,open,high,low,close,volume
2021-02-16 14:15:00,133.50999,133.64000,133.42000,133.52921,1261484
2021-02-16 14:30:00,133.52071,133.57500,133.25999,133.39079,1378197
2021-02-16 14:45:00,133.39500,133.39500,133.12000,133.16499,1354624
2021-02-16 15:00:00,133.17000,133.46001,133.05009,133.17999,2041944
2021-02-16 15:15:00,133.18359,133.44501,133.14079,133.36501,1555898
2021-02-16 15:30:00,133.36000,133.38000,133.13000,133.30000,2151172
2021-02-16 15:45:00,133.30701,133.36501,133.02000,133.19000,4745149
2021-02-17 09:30:00,131.50000,132.22000,130.92999,131.42999,12640161
2021-02-17 09:45:00,131.68500,131.89000,130.82001,130.82930,5722903
2021-02-17 10:00:00,130.83000,131.03850,130.39000,130.42000,6661215
2021-02-17 10:15:00,130.41000,130.48000,129.89000,130.24080,7123529
2021-02-17 10:30:00,130.06400,130.35989,129.94000,130.28999,4205150
2021-02-17 10:45:00,130.30000,130.94060,130.13000,130.87930,4023297
2021-02-17 11:00:00,130.87000,130.99001,129.91000,129.97279,3991447
2021-02-17 11:15:00,129.98000,130.03999,129.47000,129.74001,5819968
2021-02-17 11:30:00,129.72000,130.08000,129.60001,129.85280,3161195
2021-02-17 11:45:00,129.86990,130.25999,129.75000,130.25000,3494893
2021-02-17 12:00:00,130.25000,130.33000,129.81000,129.89999,2843728
2021-02-17 12:15:00,129.89999,129.98000,129.69009,129.96500,2384165
2021-02-17 12:30:00,129.96471,130.20000,129.95000,130.16499,1945421
2021-02-17 12:45:00,130.16000,130.42000,130.12000,130.38499,1835064
2021-02-17 13:00:00,130.38080,130.55000,130.17000,130.35840,1917605
2021-02-17 13:15:00,130.35500,130.53999,130.24500,130.48940,1670339
2021-02-17 13:30:00,130.49001,130.50000,130.31500,130.42101,1174506
2021-02-17 13:45:00,130.42999,130.66000,130.38000,130.49930,1976409
2021-02-17 14:00:00,130.50980,130.74001,130.50011,130.58501,1443106
2021-02-17 14:15:00,130.59930,130.62000,130.30000,130.37500,1516387
2021-02-17 14:30:00,130.37000,130.45000,130.25000,130.43500,1402646
2021-02-17 14:45:00,130.44000,130.69000,130.34000,130.34500,1718864
2021-02-17 15:00:00,130.34950,130.56000,130.26010,130.55980,2039097
2021-02-17 15:15:00,130.55000,130.84000,130.49471,130.69000,3915152
2021-02-17 15:30:00,130.67999,130.95000,130.67920,130.75500,2370527
2021-02-17 15:45:00,130.75929,130.99001,130.70000,130.84000,4363672
2021-02-18 09:30:00,129.05499,129.42000,128.50000,129.33000,11390506
2021-02-18 09:45:00,129.31000,129.67999,128.96001,129.53000,4479375
2021-02-18 10:00:00,129.52000,129.57001,128.53000,128.55499,4896471
2021-02-18 10:15:00,128.55499,128.69000,127.41000,128.11990,8171972
2021-02-18 10:30:00,128.10001,128.42999,127.83000,128.27499,3791410
2021-02-18 10:45:00,128.27991,128.72000,128.19000,128.54500,3453746
2021-02-18 11:00:00,128.55000,128.84000,128.39200,128.50500,3082980
2021-02-18 11:15:00,128.50380,129.10001,128.50000,128.72000,3066170
2021-02-18 11:30:00,128.67999,128.71001,128.24001,128.42999,3560704
2021-02-18 11:45:00,128.42000,128.46001,128.12000,128.34000,2897914
2021-02-18 12:00:00,128.33501,128.37000,127.90000,128.10500,3849609
2021-02-18 12:15:00,128.10001,128.63000,128.00000,128.62500,2407343
2021-02-18 12:30:00,128.62500,128.72000,128.50000,128.66000,1847823
2021-02-18 12:45:00,128.65500,128.83000,128.45000,128.70000,2160248
2021-02-18 13:00:00,128.70000,128.83000,128.52000,128.67500,1697801
2021-02-18 13:15:00,128.67999,129.07001,128.64000,128.99500,2791373
2021-02-18 13:30:00,128.99500,129.05000,128.61411,128.71001,2051956
2021-02-18 13:45:00,128.73000,128.78999,128.45000,128.56000,1918871
2021-02-18 14:00:00,128.56000,128.87000,128.46159,128.83080,2303742
2021-02-18 14:15:00,128.84000,128.92000,128.57001,128.71001,2242030
2021-02-18 14:30:00,128.70000,128.85001,128.64999,128.67000,1502773
2021-02-18 14:45:00,128.67999,129.13000,128.66000,129.07500,1660870
2021-02-18 15:00:00,129.07500,129.45000,129.03000,129.41000,2892035
2021-02-18 15:15:00,129.42000,129.85001,129.34000,129.77000,3134419
2021-02-18 15:30:00,129.77000,129.97000,129.66000,129.83701,3140854
2021-02-18 15:45:00,129.83000,129.98000,129.50000,129.71271,6280593
2021-02-19 09:30:00,130.19501,130.32001,129.45000,129.92000,11614415
2021-02-19 09:45:00,129.89999,130.44501,129.53999,130.43500,4588991
2021-02-19 10:00:00,130.43500,130.52499,129.85001,129.94000,3628142
2021-02-19 10:15:00,129.94080,130.03999,129.47501,129.78920,3230027
2021-02-19 10:30:00,129.70010,130.17000,129.55000,130.02000,2733394
2021-02-19 10:45:00,130.03000,130.07001,129.69000,129.94170,2116815
2021-02-19 11:00:00,129.92500,130.71001,129.82021,130.31000,4551132
2021-02-19 11:15:00,130.30000,130.64999,130.17000,130.55000,1943230
2021-02-19 11:30:00,130.54500,130.64999,130.36000,130.47000,1559306
2021-02-19 11:45:00,130.46001,130.53500,130.06000,130.09000,1797270
2021-02-19 12:00:00,130.06000,130.16769,129.91000,129.97800,1917199
2021-02-19 12:15:00,129.98000,130.05000,129.57001,129.67900,2500663
2021-02-19 12:30:00,129.67000,129.83000,129.28000,129.50000,3824161
