,open,high,low,close
2021-06-19 16:00:00,35937.75000,36163.96094,35754.58984,35884.76953
2021-06-19 18:00:00,35870.73047,35870.73047,35426.50000,35505.19141
2021-06-19 20:00:00,35510.39062,35780.00000,35170.57031,35626.14844
2021-06-19 22:00:00,35592.35938,35752.80859,35296.00000,35524.67188
2021-06-20 00:00:00,35488.46094,35883.39844,35450.01172,35740.01953
2021-06-20 02:00:00,35727.05078,35738.00000,35385.00000,35641.71094
2021-06-20 04:00:00,35668.19141,35668.19141,34907.07812,34989.28125
2021-06-20 06:00:00,34979.71875,35000.17188,33810.01172,33902.25000
2021-06-20 08:00:00,33829.44922,34187.76953,33369.25000,33903.73047
2021-06-20 10:00:00,33884.32031,34642.23047,33762.92969,34459.94141
2021-06-20 12:00:00,34403.73828,34781.10938,34352.19922,34562.07031
2021-06-20 14:00:00,34686.25000,35621.98047,34616.98828,35385.78125
2021-06-20 16:00:00,35570.33984,36098.28906,35397.82812,35542.53125
2021-06-20 18:00:00,35596.69922,35769.21875,35446.98828,35594.46875
2021-06-20 20:00:00,35589.01953,35696.60156,35240.46875,35269.98828
2021-06-20 22:00:00,35324.80859,35425.75000,34661.16016,34684.66016
2021-06-21 00:00:00,34690.10156,34690.10156,33793.48828,34427.25000
2021-06-21 02:00:00,34408.78906,34547.85938,32542.30078,33032.80078
2021-06-21 04:00:00,32970.73047,33447.10156,32169.09961,33188.35156
2021-06-21 06:00:00,33160.78125,33237.85938,31735.63086,32513.11914
2021-06-21 08:00:00,32571.59961,33124.69141,32010.78906,33124.69141
2021-06-21 10:00:00,33139.14844,33139.14844,32445.89062,32712.26953
2021-06-21 12:00:00,32651.64062,32973.30078,32055.77930,32250.00000
2021-06-21 14:00:00,32244.00977,32913.76953,32244.00977,32602.58008
2021-06-21 16:00:00,32581.86914,32773.71094,31500.00000,31514.34961
2021-06-21 18:00:00,31750.00000,32189.71094,31275.73047,31694.39062
2021-06-21 20:00:00,31710.14062,32930.64844,31212.80078,32660.00000
2021-06-21 22:00:00,32710.00000,33158.39062,32431.00977,33020.76172
2021-06-22 00:00:00,33058.85938,33058.85938,32518.35938,32593.38086
2021-06-22 02:00:00,32617.00977,32875.17188,32518.47070,32609.42969
2021-06-22 04:00:00,32625.97070,32625.97070,31330.56055,31567.00000
2021-06-22 06:00:00,31632.25000,32107.77930,31263.22070,31263.22070
2021-06-22 08:00:00,31304.26953,31304.26953,28868.75000,29241.60938
2021-06-22 10:00:00,29384.66016,31846.00977,29072.80078,31723.90039
2021-06-22 12:00:00,31864.83984,32849.37109,31801.03906,32726.97070
2021-06-22 14:00:00,32639.19922,33251.14062,32309.03906,32408.25977
2021-06-22 16:00:00,32415.58984,32934.69141,32173.72070,32477.57031
2021-06-22 18:00:00,32490.09961,32719.49023,32159.92969,32482.13086
2021-06-22 20:00:00,32439.99023,34210.53125,31724.72070,34013.69141
2021-06-22 22:00:00,34112.25000,34134.71875,33683.33984,33981.92969
2021-06-23 00:00:00,33918.14062,34345.78125,33626.23828,34325.98828
2021-06-23 02:00:00,34292.42969,34292.42969,33844.01953,33984.26172
2021-06-23 04:00:00,34010.07031,34254.76953,33667.01953,33903.94141
2021-06-23 06:00:00,33974.53906,34486.05078,33857.60938,33935.98828
2021-06-23 08:00:00,33868.07812,34786.17188,33859.83984,34012.21094
2021-06-23 10:00:00,33904.60938,34173.26953,33456.08984,33485.21875
2021-06-23 12:00:00,33506.92969,33909.00000,33294.71875,33599.96875
2021-06-23 14:00:00,33533.21875,33533.21875,32894.80078,32894.80078
2021-06-23 16:00:00,33000.00000,33702.96875,32787.42969,33321.78906
2021-06-23 18:00:00,33321.94141,33720.03906,33166.66016,33673.60938
2021-06-23 20:00:00,33615.55859,33794.48047,32586.18945,32586.18945
2021-06-23 22:00:00,32600.00000,32826.57031,32375.23047,32613.59961
2021-06-24 00:00:00,32654.06055,32990.62109,32355.77930,32963.60156
2021-06-24 02:00:00,33004.10156,33226.51953,32743.93945,32856.50000
2021-06-24 04:00:00,32837.73047,33547.37891,32837.73047,33305.85156
2021-06-24 06:00:00,33318.96094,33900.41016,33156.73047,33900.41016
2021-06-24 08:00:00,33946.10156,34215.07031,33781.08984,34120.00000
2021-06-24 10:00:00,34117.57031,34523.17188,33860.53125,33935.64062
2021-06-24 12:00:00,33916.96875,34992.30859,33800.96875,34955.75000
2021-06-24 14:00:00,35253.03906,35253.03906,34734.46094,34845.46094
2021-06-24 16:00:00,34814.23828,34955.80859,34677.51172,34799.10938
2021-06-24 18:00:00,34755.39062,34810.85156,34527.50000,34673.62891
2021-06-24 20:00:00,34663.07812,35091.67188,34305.26172,34755.00000
2021-06-24 22:00:00,34874.30078,35490.01953,34816.32812,35109.44141
2021-06-25 00:00:00,35035.32031,35082.46094,34353.58984,34478.76172
2021-06-25 02:00:00,34530.73828,34575.03906,34007.57031,34277.21094
2021-06-25 04:00:00,34265.85156,34463.05859,33744.33984,33744.33984
2021-06-25 06:00:00,33699.69141,33941.71875,33282.82812,33282.82812
2021-06-25 08:00:00,33315.91016,33531.98828,32693.99023,32956.94922
2021-06-25 10:00:00,32942.67969,33433.96875,32414.61914,32588.30078
2021-06-25 12:00:00,32555.98047,32865.92969,31519.42969,31662.58984
2021-06-25 14:00:00,31695.69922,32440.77930,31515.51953,32290.00000
2021-06-25 16:00:00,32167.98047,32359.76953,31612.08984,31788.60938
2021-06-25 18:00:00,31815.65039,31960.35938,31350.41016,31595.53906
2021-06-25 20:00:00,31568.43945,32156.72070,31341.58008,31991.99023
2021-06-25 22:00:00,31968.34961,32219.00000,31685.83984,32013.44922
2021-06-26 00:00:00,32032.31055,32650.00000,31899.97070,32227.63086
2021-06-26 02:00:00,32253.60938,32403.00977,30689.35938,30752.08984
2021-06-26 04:00:00,30704.60938,31232.92969,30209.17969,31051.01953
2021-06-26 06:00:00,31000.00000,31865.01953,30796.74023,31795.88086
2021-06-26 08:00:00,31788.63086,31907.14062,30776.92969,30807.00977
2021-06-26 10:00:00,30784.72070,31561.86914,30565.98047,31516.67969
2021-06-26 12:00:00,31486.99023,31711.69922,30823.65039,31698.58008
2021-06-26 14:00:00,31709.00977,31844.94922,31433.00000,31532.53906
2021-06-26 16:00:00,31523.66992,31551.24023,30995.05078,31423.00977
2021-06-26 18:00:00,31395.50000,32216.74023,31395.50000,32216.74023
2021-06-26 20:00:00,32284.74023,32956.17969,32042.50977,32806.55078
2021-06-26 22:00:00,32877.25000,33162.46875,32692.58984,33114.96875
2021-06-27 00:00:00,33140.23828,33269.69922,32842.21094,32916.00000
2021-06-27 02:00:00,32915.78906,33470.01953,32878.28906,33292.89062
2021-06-27 04:00:00,33240.71875,33432.94141,32478.75000,32651.33984
2021-06-27 06:00:00,32563.57031,33373.62109,32383.16016,33283.30859
2021-06-27 08:00:00,33291.14062,33500.00000,32988.12891,33134.62109
2021-06-27 10:00:00,33030.01172,33255.82031,32780.35938,33225.67188
2021-06-27 12:00:00,33141.48047,33343.44141,32852.32812,33039.57812
2021-06-27 14:00:00,32985.21875,32985.21875,32600.09961,32822.57812
2021-06-27 16:00:00,32799.57031,32921.64844,32473.03906,32793.78125
2021-06-27 18:00:00,32840.89062,34669.64844,32840.89062,34669.64844
2021-06-27 20:00:00,34657.30859,34880.00000,34328.28125,34328.28125
2021-06-27 22:00:00,34346.50000,34610.37109,34320.71094,34398.35938
2021-06-28 00:00:00,34389.78906,34536.80859,34299.50000,34514.07031
2021-06-28 02:00:00,34510.62891,35227.91016,34410.46875,35018.42188
2021-06-28 04:00:00,35039.98828,35137.71875,34352.12109,34383.07812
2021-06-28 06:00:00,34427.35938,34468.32812,33975.94922,34055.01172
2021-06-28 08:00:00,34105.67969,34530.00000,33950.64062,34273.48047
2021-06-28 10:00:00,34276.46094,34936.69141,34225.30078,34936.69141
2021-06-28 12:00:00,34974.92969,34974.92969,34120.05078,34193.82031
2021-06-28 14:00:00,34209.10156,34561.39062,34003.17188,34438.42188
2021-06-28 16:00:00,34401.19922,34780.00000,34304.23047,34681.26953
2021-06-28 18:00:00,34612.67188,34612.67188,34143.71094,34473.98828
2021-06-28 20:00:00,34522.64062,35126.76953,34404.01172,34624.91016
2021-06-28 22:00:00,34626.92188,34803.12891,34246.12891,34579.94922
2021-06-29 00:00:00,34580.14062,34981.03906,34580.14062,34707.48828
2021-06-29 02:00:00,34718.91016,35333.44141,34595.96875,34910.71875
2021-06-29 04:00:00,34874.98828,35331.12891,34740.00000,35235.89844
2021-06-29 06:00:00,35251.76172,35692.16016,35067.30078,35596.98828
2021-06-29 08:00:00,35540.30078,36400.00000,35408.46875,36307.71875
2021-06-29 10:00:00,36273.28906,36403.96875,36008.05859,36235.03906
2021-06-29 12:00:00,36210.01953,36594.16016,36050.01172,36368.44141
2021-06-29 14:00:00,36389.01172,36393.69922,36145.78125,36393.69922
2021-06-29 16:00:00,36376.21094,36479.98828,36136.89844,36235.41016
2021-06-29 18:00:00,36242.42969,36242.42969,35772.23828,35832.53906
2021-06-29 20:00:00,35882.05859,36088.98828,35728.96094,35840.33984
2021-06-29 22:00:00,35758.19922,35908.62891,35063.53125,35119.98828
2021-06-30 00:00:00,35098.00000,35279.00000,34699.92969,34802.44141
2021-06-30 02:00:00,34775.00000,35285.00000,34775.00000,35228.01172
2021-06-30 04:00:00,35240.51172,35279.17188,34461.17188,34624.87109
2021-06-30 06:00:00,34645.53125,34980.53125,34561.98828,34915.42969
2021-06-30 08:00:00,34841.05859,34991.55859,34473.17969,34739.98828
2021-06-30 10:00:00,34749.98047,34812.46094,34116.25000,34175.69141
2021-06-30 12:00:00,34180.01172,34728.44922,34075.00000,34709.01172
2021-06-30 14:00:00,34742.75000,34864.92969,34562.89062,34743.55859
2021-06-30 16:00:00,34790.12109,35039.16016,34509.39062,34794.12109
2021-06-30 18:00:00,34786.35156,35188.73828,34654.64844,35021.46094
2021-06-30 20:00:00,35024.41016,35024.41016,34726.37891,34964.07031
2021-06-30 22:00:00,34920.01953,34920.01953,34154.46875,34154.46875
2021-07-01 00:00:00,34137.96875,34395.48047,34075.00000,34332.53906
2021-07-01 02:00:00,34310.69141,34439.76172,33381.78125,33410.85156
2021-07-01 04:00:00,33348.25000,33532.32812,33148.98828,33264.42969
2021-07-01 06:00:00,33241.82812,33675.10156,33083.55859,33669.01953
2021-07-01 08:00:00,33723.62109,33812.57031,33437.83984,33437.83984
2021-07-01 10:00:00,33432.80859,33609.39062,33091.80859,33435.62891
2021-07-01 12:00:00,33500.01172,33532.96094,33105.00000,33486.69141
2021-07-01 14:00:00,33496.69922,33650.66016,32845.14062,33104.03125
2021-07-01 16:00:00,33146.69141,33605.00000,33146.69141,33488.37891
2021-07-01 18:00:00,33539.44922,33642.12891,33293.67969,33511.85156
2021-07-01 20:00:00,33496.53906,33925.87109,33260.28906,33262.39062
2021-07-01 22:00:00,33246.83984,33331.75000,32772.00000,32907.21875
2021-07-02 00:00:00,32908.57812,33199.98828,32759.53906,32845.37891
2021-07-02 02:00:00,32851.14062,33480.42969,32734.82031,33356.82812
2021-07-02 04:00:00,33360.82031,33568.30078,32884.98828,32979.98828
2021-07-02 06:00:00,32919.32031,33244.48047,32799.98828,33020.17188
2021-07-02 08:00:00,33009.80078,33519.89844,32883.05078,33472.58984
2021-07-02 10:00:00,33470.19141,33715.42188,33300.21094,33620.48047
2021-07-02 12:00:00,33710.17188,33765.83984,33392.83984,33459.30078
2021-07-02 14:00:00,33427.12891,33427.12891,33115.75000,33296.53906
2021-07-02 16:00:00,33311.01172,33480.64844,33062.91016,33466.19922
2021-07-02 18:00:00,33483.17969,33868.80078,33413.30078,33815.53125
2021-07-02 20:00:00,33796.53906,33888.01172,33471.92188,33687.69922
2021-07-02 22:00:00,33681.50000,33681.50000,33365.94141,33493.05078
2021-07-03 00:00:00,33506.46875,33795.25000,33473.73047,33709.96875
2021-07-03 02:00:00,33696.53906,34607.71875,33624.14844,34490.14844
2021-07-03 04:00:00,34539.19141,34709.96875,34413.46875,34637.21094
2021-07-03 06:00:00,34664.21875,34692.89062,34445.05859,34595.89062
2021-07-03 08:00:00,34587.05078,34793.14844,34474.53906,34693.55859
2021-07-03 10:00:00,34690.01172,34733.67969,34520.92188,34608.51953
2021-07-03 12:00:00,34588.51172,34907.82031,34505.00000,34783.46875
2021-07-03 14:00:00,34778.07031,34778.07031,34588.01172,34747.35938
2021-07-03 16:00:00,34742.48047,34742.48047,34742.48047,34742.48047
2021-07-04 04:00:00,35495.35938,35565.48047,35373.37891,35491.92969
2021-07-04 06:00:00,35489.32812,35610.01172,35445.00000,35525.01953
2021-07-04 08:00:00,35514.62891,35562.21094,35245.00000,35359.96094
2021-07-04 10:00:00,35359.23047,35550.57031,35304.98828,35499.98828
2021-07-04 12:00:00,35555.05859,35677.69141,35406.32812,35567.30078
2021-07-04 14:00:00,35550.35938,35603.17969,35407.05859,35577.23828
2021-07-04 16:00:00,35550.00000,35961.30078,35449.00000,35858.32031
2021-07-04 18:00:00,35873.14062,35879.98828,35223.05078,35298.71094
2021-07-04 20:00:00,35235.12891,35235.12891,34484.21094,34539.55078
2021-07-04 22:00:00,34561.42969,34644.35156,34270.01172,34374.78125
2021-07-05 00:00:00,34325.87891,34410.64062,34074.64062,34351.42969
2021-07-05 02:00:00,34345.30859,34384.92188,34090.07031,34251.10938
2021-07-05 04:00:00,34235.26172,34419.03906,34138.00000,34321.10156
2021-07-05 06:00:00,34289.28125,34557.69141,33341.50000,33416.94922
2021-07-05 08:00:00,33343.76953,33745.64844,33343.76953,33610.28906
2021-07-05 10:00:00,33614.71094,33737.48828,33491.82031,33600.46094
2021-07-05 12:00:00,33580.01172,33719.76172,33164.78125,33697.37891
2021-07-05 14:00:00,33848.26953,34233.19922,33748.32031,34130.37109
2021-07-05 16:00:00,34170.03906,34177.57031,33758.05859,34152.44922
2021-07-05 18:00:00,34189.10938,34189.10938,33680.00000,33687.17969
2021-07-05 20:00:00,33682.67969,34158.69141,33669.85156,33797.05078
