,open,high,low,close,volume
2021-04-29 15:35:00,133.98000,133.99001,133.89999,133.93750,824127
2021-04-29 15:40:00,133.93500,133.95000,133.83000,133.87000,965035
2021-04-29 15:45:00,133.87500,133.91090,133.63000,133.72009,1624379
2021-04-29 15:50:00,133.72000,133.72000,133.44009,133.46500,1976636
2021-04-29 15:55:00,133.46001,133.49001,133.27000,133.48000,2758484
2021-04-30 09:30:00,131.78200,132.70000,131.37000,132.67010,6324369
2021-04-30 09:35:00,132.67000,132.70000,132.13000,132.49500,2300797
2021-04-30 09:40:00,132.49500,132.49989,131.99001,132.00000,1800156
2021-04-30 09:45:00,132.01590,132.54010,132.01590,132.32500,1478854
2021-04-30 09:50:00,132.34000,132.45000,132.17000,132.31500,1230020
2021-04-30 09:55:00,132.31500,132.83170,132.27499,132.75999,1519461
2021-04-30 10:00:00,132.75000,132.77000,132.55499,132.56010,909975
2021-04-30 10:05:00,132.55499,132.72990,132.20500,132.68500,11962078
2021-04-30 10:10:00,132.69000,132.91789,132.53011,132.59000,1457811
2021-04-30 10:15:00,132.59500,132.88000,132.59500,132.87000,1186400
2021-04-30 10:20:00,132.86090,133.14999,132.81000,133.06010,1389589
2021-04-30 10:25:00,133.05499,133.28999,132.96001,133.28999,2022277
2021-04-30 10:30:00,133.28011,133.40590,133.12990,133.28999,1293823
2021-04-30 10:35:00,133.30000,133.46001,133.14999,133.25000,1448126
2021-04-30 10:40:00,133.23000,133.50999,133.19501,133.48820,1094144
2021-04-30 10:45:00,133.49001,133.56000,133.34000,133.53999,855245
2021-04-30 10:50:00,133.52000,133.52000,133.20010,133.39661,1066777
2021-04-30 10:55:00,133.39500,133.53500,133.36000,133.45500,976338
2021-04-30 11:00:00,133.46001,133.47000,133.25000,133.27000,991499
2021-04-30 11:05:00,133.27000,133.29500,133.07001,133.20000,1158389
2021-04-30 11:10:00,133.19000,133.39000,133.13499,133.21001,959481
2021-04-30 11:15:00,133.20000,133.21500,133.06000,133.09500,808369
2021-04-30 11:20:00,133.09000,133.25000,133.06000,133.09500,678396
2021-04-30 11:25:00,133.09990,133.19501,133.06000,133.12000,1009324
2021-04-30 11:30:00,133.12000,133.21001,133.03999,133.08501,1001850
2021-04-30 11:35:00,133.09000,133.16000,133.06000,133.13000,659924
2021-04-30 11:40:00,133.13000,133.22200,133.06010,133.11990,739394
2021-04-30 11:45:00,133.10001,133.21001,133.10001,133.14999,511001
2021-04-30 11:50:00,133.14999,133.19501,133.00000,133.16499,601122
2021-04-30 11:55:00,133.16000,133.17999,133.02000,133.03000,730202
2021-04-30 12:00:00,133.03000,133.10500,132.81000,132.84470,951269
2021-04-30 12:05:00,132.84000,133.09500,132.82021,133.00500,715547
2021-04-30 12:10:00,133.00000,133.17999,132.98000,133.09000,581076
2021-04-30 12:15:00,133.08000,133.11501,132.99001,133.06000,577088
2021-04-30 12:20:00,133.05470,133.15860,133.03000,133.05000,590560
2021-04-30 12:25:00,133.06000,133.13989,133.03000,133.10001,353616
2021-04-30 12:30:00,133.10500,133.14500,132.97000,132.99001,727400
2021-04-30 12:35:00,132.98010,132.98570,132.75999,132.78999,923731
2021-04-30 12:40:00,132.79500,132.81830,132.53999,132.58690,945877
2021-04-30 12:45:00,132.58000,132.67999,132.56000,132.59801,919732
2021-04-30 12:50:00,132.59500,132.62000,132.52000,132.54010,834210
2021-04-30 12:55:00,132.54201,132.55000,132.28000,132.43500,1144470
2021-04-30 13:00:00,132.42999,132.56000,132.34000,132.56000,1151243
2021-04-30 13:05:00,132.55000,132.64000,132.45500,132.60001,825111
2021-04-30 13:10:00,132.60899,132.62000,132.34000,132.44501,732256
2021-04-30 13:15:00,132.44501,132.53000,132.36000,132.39000,576045
2021-04-30 13:20:00,132.39999,132.46500,132.33000,132.44000,529239
2021-04-30 13:25:00,132.42999,132.44991,132.25999,132.28990,739517
2021-04-30 13:30:00,132.28799,132.38000,132.20000,132.30000,891307
2021-04-30 13:35:00,132.30991,132.35770,132.17000,132.34000,748785
2021-04-30 13:40:00,132.34500,132.34990,132.10001,132.11000,664313
2021-04-30 13:45:00,132.10001,132.10001,131.92999,131.96001,1300409
2021-04-30 13:50:00,131.95000,132.00000,131.78500,131.78500,1075416
2021-04-30 13:55:00,131.78500,131.80000,131.64000,131.74001,1121000
2021-04-30 14:00:00,131.75000,131.89990,131.56000,131.58000,1299882
2021-04-30 14:05:00,131.59000,131.78999,131.58160,131.68500,759773
2021-04-30 14:10:00,131.68860,131.76500,131.60500,131.71500,889490
2021-04-30 14:15:00,131.71001,131.72501,131.56000,131.72501,713769
2021-04-30 14:20:00,131.72070,131.74001,131.53500,131.57491,744105
2021-04-30 14:25:00,131.58000,131.89999,131.49001,131.86000,1105703
2021-04-30 14:30:00,131.86000,131.95500,131.78999,131.89999,720464
2021-04-30 14:35:00,131.89500,131.90990,131.83000,131.89500,498466
2021-04-30 14:40:00,131.89799,132.07001,131.89000,132.04500,829469
2021-04-30 14:45:00,132.05000,132.06000,131.91499,132.03990,719665
2021-04-30 14:50:00,132.03999,132.05499,131.89000,131.97000,658725
2021-04-30 14:55:00,131.96001,132.02499,131.86000,131.86501,678405
2021-04-30 15:00:00,131.86501,132.09990,131.83000,131.87000,1257063
2021-04-30 15:05:00,131.87500,131.94000,131.64000,131.64500,817915
2021-04-30 15:10:00,131.64500,131.74001,131.53000,131.53200,1044093
2021-04-30 15:15:00,131.53500,131.56500,131.37000,131.47501,1326891
2021-04-30 15:20:00,131.47501,131.61000,131.42000,131.58501,970850
2021-04-30 15:25:00,131.59000,131.70000,131.56000,131.67999,1157213
2021-04-30 15:30:00,131.67999,131.72000,131.49001,131.54190,1200827
2021-04-30 15:35:00,131.54500,131.69009,131.52000,131.65140,993144
2021-04-30 15:40:00,131.64999,131.64999,131.39500,131.41499,1258277
