date,order,price,cost,commission,gross,net,comission
2001-12-03,BUY,0.37607,93928.51509096647,,,,0.0
2002-01-17,SELL,0.39214,93928.51509096647,,,,0.0
2002-01-17,CLOSE,,,,4013.697549689761,4013.697549689761,
2002-01-18,BUY,0.39286,96703.48543557423,,,,0.0
2002-02-22,SELL,0.38679,96703.48543557423,,,,0.0
2002-02-22,CLOSE,,,,-1494.1458957234947,-1494.1458957234947,
2002-03-05,BUY,0.43125,96832.22782301856,,,,0.0
2002-03-06,SELL,0.41929,96832.22782301856,,,,0.0
2002-03-06,CLOSE,,,,-2685.480451625054,-2685.480451625054,
2002-03-07,BUY,0.42964,94802.64955982778,,,,0.0
2002-03-28,SELL,0.42321,94802.64955982778,,,,0.0
2002-03-28,CLOSE,,,,-1418.8181656030563,-1418.8181656030563,
2002-04-02,BUY,0.42857,91735.00708408417,,,,0.0
2002-04-03,SELL,0.42946,91735.00708408417,,,,0.0
2002-04-03,CLOSE,,,,190.50366639016983,190.50366639016983,
2002-04-05,BUY,0.44554,93865.07826429518,,,,0.0
2002-04-26,SELL,0.43357,93865.07826429518,,,,0.0
2002-04-26,CLOSE,,,,-2521.804971099366,-2521.804971099366,
2002-05-09,BUY,0.43304,90830.88546150082,,,,0.0
2002-05-10,SELL,0.43375,90830.88546150082,,,,0.0
2002-05-10,CLOSE,,,,148.9237222373674,148.9237222373674,
2002-05-16,BUY,0.4475,90625.34873068907,,,,0.0
2002-05-31,SELL,0.43018,90625.34873068907,,,,0.0
2002-05-31,CLOSE,,,,-3507.5553966827597,-3507.5553966827597,
2002-08-22,BUY,0.28929,88526.65339917122,,,,0.0
2002-08-28,SELL,0.26429,88526.65339917122,,,,0.0
2002-08-28,CLOSE,,,,-7650.338189979874,-7650.338189979874,
2002-10-17,BUY,0.25375,78878.4146786893,,,,0.0
2002-10-18,SELL,0.25,78878.4146786893,,,,0.0
2002-10-18,CLOSE,,,,-1165.690857320524,-1165.690857320524,
2002-10-23,BUY,0.26125,79334.23680996058,,,,0.0
2002-12-03,SELL,0.27143,79334.23680996058,,,,0.0
2002-12-03,CLOSE,,,,3091.3781080398107,3091.3781080398107,
2002-12-12,BUY,0.27696,82755.21511536166,,,,0.0
2002-12-13,SELL,0.27036,82755.21511536166,,,,0.0
2002-12-13,CLOSE,,,,-1972.0696842915456,-1972.0696842915456,
2003-02-18,BUY,0.26339,81218.1198071578,,,,0.0
2003-03-11,SELL,0.25643,81218.1198071578,,,,0.0
2003-03-11,CLOSE,,,,-2146.1639160857285,-2146.1639160857285,
2003-03-14,BUY,0.26214,78522.64157475678,,,,0.0
2003-03-17,SELL,0.26589,78522.64157475678,,,,0.0
2003-03-17,CLOSE,,,,1123.292537977189,1123.292537977189,
2003-03-18,BUY,0.26786,79751.8489822658,,,,0.0
2003-03-27,SELL,0.25571,79751.8489822658,,,,0.0
2003-03-27,CLOSE,,,,-3617.5052831125554,-3617.5052831125554,
2003-04-03,BUY,0.26,76160.83397216888,,,,0.0
2003-04-04,SELL,0.25929,76160.83397216888,,,,0.0
2003-04-04,CLOSE,,,,-207.97766200091934,-207.97766200091934,
2003-05-05,BUY,0.26375,77856.77672290025,,,,0.0
2003-08-12,SELL,0.35286,77856.77672290025,,,,0.0
2003-08-12,CLOSE,,,,26304.52084844604,26304.52084844604,
2003-08-21,BUY,0.37554,101257.59517544071,,,,0.0
2003-09-26,SELL,0.3625,101257.59517544071,,,,0.0
2003-09-26,CLOSE,,,,-3516.0010680293617,-3516.0010680293617,
2003-10-07,BUY,0.39375,96766.03762718385,,,,0.0
2003-11-11,SELL,0.39107,96766.03762718385,,,,0.0
2003-11-11,CLOSE,,,,-658.6234434053441,-658.6234434053441,
2004-01-02,BUY,0.38481999999999994,98012.20932457969,,,,0.0
2004-02-25,SELL,0.39786,98012.20932457969,,,,0.0
2004-02-25,CLOSE,,,,3321.2390457682145,3321.2390457682145,
2004-02-26,BUY,0.40857,100657.76900680631,,,,0.0
2004-04-30,SELL,0.47696,100657.76900680631,,,,0.0
2004-04-30,CLOSE,,,,16848.972813411372,16848.972813411372,
2004-05-13,BUY,0.48392999999999997,115504.24924525914,,,,0.0
2004-05-14,SELL,0.48660999999999993,115504.24924525914,,,,0.0
2004-05-14,CLOSE,,,,639.6614964505121,639.6614964505121,
2004-05-25,BUY,0.49107,117649.2050266362,,,,0.0
2004-07-12,SELL,0.53607,117649.2050266362,,,,0.0
2004-07-12,CLOSE,,,,10780.976696191243,10780.976696191243,
2004-07-16,BUY,0.58571,126701.91185071181,,,,0.0
2004-08-09,SELL,0.53304,126701.91185071181,,,,0.0
2004-08-09,CLOSE,,,,-11393.675534269503,-11393.675534269503,
2004-08-26,BUY,0.59,116346.4546385701,,,,0.0
2005-03-14,SELL,1.44714,116346.4546385701,,,,0.0
2005-03-14,CLOSE,,,,169025.76293034575,169025.76293034575,
2005-03-21,BUY,1.5460700000000003,279082.84608769405,,,,0.0
2005-04-05,SELL,1.47214,279082.84608769405,,,,0.0
2005-04-05,CLOSE,,,,-13345.188000066812,-13345.188000066812,
2005-04-06,BUY,1.51429,267497.0317158671,,,,0.0
2005-04-15,SELL,1.30786,267497.0317158671,,,,0.0
2005-04-15,CLOSE,,,,-36465.54639937292,-36465.54639937292,
2005-05-24,BUY,1.40893,227846.0349926653,,,,0.0
2005-06-13,SELL,1.28179,227846.0349926653,,,,0.0
2005-06-13,CLOSE,,,,-20560.528123446496,-20560.528123446496,
2005-06-23,BUY,1.38679,211629.766021903,,,,0.0
2005-06-29,SELL,1.32964,211629.766021903,,,,0.0
2005-06-29,CLOSE,,,,-8721.321272976993,-8721.321272976993,
2005-07-12,BUY,1.36536,202508.15138424883,,,,0.0
2006-01-30,SELL,2.54179,202508.15138424883,,,,0.0
2006-01-30,CLOSE,,,,174486.3365947237,174486.3365947237,
2006-04-07,BUY,2.53321,365979.7324012485,,,,0.0
2006-05-18,SELL,2.34571,365979.7324012485,,,,0.0
2006-05-18,CLOSE,,,,-27088.63450927246,-27088.63450927246,
2006-07-25,BUY,2.20643,343850.39171068015,,,,0.0
2006-12-21,SELL,3.025,343850.39171068015,,,,0.0
2006-12-21,CLOSE,,,,127566.0751270656,127566.0751270656,
2007-01-10,BUY,3.38393,473938.798103399,,,,0.0
2007-01-26,SELL,3.11107,473938.798103399,,,,0.0
2007-01-26,CLOSE,,,,-38215.60742996856,-38215.60742996856,
2007-02-23,BUY,3.18429,425060.64677800814,,,,0.0
2007-03-01,SELL,3.00107,425060.64677800814,,,,0.0
2007-03-01,CLOSE,,,,-24457.449447966934,-24457.449447966934,
2007-03-02,BUY,3.09893,402150.2304943978,,,,0.0
2007-03-05,SELL,3.0675,402150.2304943978,,,,0.0
2007-03-05,CLOSE,,,,-4078.692240366526,-4078.692240366526,
2007-03-07,BUY,3.14464,398985.5072357951,,,,0.0
2007-04-18,SELL,3.22,398985.5072357951,,,,0.0
2007-04-18,CLOSE,,,,9561.523044065345,9561.523044065345,
2007-04-24,BUY,3.35571,410669.98186831037,,,,0.0
2007-08-10,SELL,4.39714,410669.98186831037,,,,0.0
2007-08-10,CLOSE,,,,127449.64231626525,127449.64231626525,
2007-08-23,BUY,4.75321,532098.8885409358,,,,0.0
2007-08-24,SELL,4.66179,532098.8885409358,,,,0.0
2007-08-24,CLOSE,,,,-10234.02719223693,-10234.02719223693,
2007-08-30,BUY,4.73821,514588.87746752694,,,,0.0
2007-11-13,SELL,5.744640000000001,514588.87746752694,,,,0.0
2007-11-13,CLOSE,,,,109302.39139878638,109302.39139878638,
2007-11-29,BUY,6.40821,621160.031637427,,,,0.0
2008-01-09,SELL,6.11786,621160.031637427,,,,0.0
2008-01-09,CLOSE,,,,-28144.179917001315,-28144.179917001315,
2008-03-19,BUY,4.75429,598507.9984239915,,,,0.0
2008-06-13,SELL,6.13,598507.9984239915,,,,0.0
2008-06-13,CLOSE,,,,173185.36280114786,173185.36280114786,
2008-08-13,BUY,6.35643,767071.5717473144,,,,0.0
2008-09-04,SELL,5.92357,767071.5717473144,,,,0.0
2008-09-04,CLOSE,,,,-52236.01936095298,-52236.01936095298,
2008-12-10,BUY,3.49536,696476.432277917,,,,0.0
2008-12-18,SELL,3.18964,696476.432277917,,,,0.0
2008-12-18,CLOSE,,,,-60916.97990364506,-60916.97990364506,
2009-01-29,BUY,3.32464,646479.2463033975,,,,0.0
2009-02-24,SELL,3.12321,646479.2463033975,,,,0.0
2009-02-24,CLOSE,,,,-39168.24515824074,-39168.24515824074,
2009-03-12,BUY,3.3178599999999996,618444.4847180803,,,,0.0
2009-03-13,SELL,3.43929,618444.4847180803,,,,0.0
2009-03-13,CLOSE,,,,22634.38293939975,22634.38293939975,
2009-03-16,BUY,3.4475,642475.7480659173,,,,0.0
2009-12-04,SELL,7.13214,642475.7480659173,,,,0.0
2009-12-04,CLOSE,,,,686669.1342577524,686669.1342577524,
2009-12-24,BUY,7.26964,1300077.893518962,,,,0.0
2010-01-26,SELL,7.35536,1300077.893518962,,,,0.0
2010-01-26,CLOSE,,,,15329.875624163746,15329.875624163746,
2010-03-01,BUY,7.34821,1312588.7143279545,,,,0.0
2010-05-21,SELL,8.315,1312588.7143279545,,,,0.0
2010-05-21,CLOSE,,,,172694.79820597434,172694.79820597434,
2010-05-28,BUY,9.26393,1504474.3841112999,,,,0.0
2010-06-01,SELL,9.27464,1504474.3841112999,,,,0.0
2010-06-01,CLOSE,,,,1739.3180490171394,1739.3180490171394,
2010-06-02,BUY,9.44786,1492018.0941784603,,,,0.0
2010-06-10,SELL,8.74429,1492018.0941784603,,,,0.0
2010-06-10,CLOSE,,,,-111108.67122513888,-111108.67122513888,
2010-06-15,BUY,9.13,1372843.5748520182,,,,0.0
2010-07-02,SELL,8.94607,1372843.5748520182,,,,0.0
2010-07-02,CLOSE,,,,-27656.858567637668,-27656.858567637668,
2010-07-28,BUY,9.41679,1337187.3869946809,,,,0.0
