date,order,price,cost,commission,gross,net,comission
2020-01-28,BUY,79.2,94997.00135728039,,,,0.0
2020-01-30,SELL,80.1125,94997.00135728039,,,,0.0
2020-01-30,CLOSE,,,,1094.504592658053,1094.504592658053,
2020-01-31,BUY,80.2325,95167.9574859532,,,,0.0
2020-01-31,SELL,79.59,95167.9574859532,,,,0.0
2020-01-31,CLOSE,,,,-762.1027973043937,-762.1027973043937,
2020-02-04,BUY,79.37,95325.32985189217,,,,0.0
2020-02-07,SELL,79.895,95325.32985189217,,,,0.0
2020-02-07,CLOSE,,,,630.5379636165122,630.5379636165122,
2020-02-11,BUY,80.445,95932.68064733104,,,,0.0
2020-02-11,SELL,79.79748,95932.68064733104,,,,0.0
2020-02-11,CLOSE,,,,-772.183844524331,-772.183844524331,
2020-02-12,BUY,80.875,95201.81820303331,,,,0.0
2020-02-14,SELL,81.0575,95201.81820303331,,,,0.0
2020-02-14,CLOSE,,,,214.82945065909132,214.82945065909132,
2020-02-18,BUY,78.9475,92696.49426780785,,,,0.0
2020-02-18,SELL,79.435,92696.49426780785,,,,0.0
2020-02-18,CLOSE,,,,572.3998981038799,572.3998981038799,
2020-02-19,BUY,80.8975,95936.49788684082,,,,0.0
2020-02-20,SELL,79.9525,95936.49788684082,,,,0.0
2020-02-20,CLOSE,,,,-1120.677283019425,-1120.677283019425,
2020-03-02,BUY,71.25,94835.49279916752,,,,0.0
2020-03-05,SELL,73.53597,94835.49279916752,,,,0.0
2020-03-05,CLOSE,,,,3042.6819856015936,3042.6819856015936,
2020-03-11,BUY,69.1275,94613.85562731918,,,,0.0
2020-03-11,SELL,68.7475,94613.85562731918,,,,0.0
2020-03-11,CLOSE,,,,-520.1007578515187,-520.1007578515187,
2020-03-16,BUY,60.835,85116.39979812625,,,,0.0
2020-03-16,SELL,62.4725,85116.39979812625,,,,0.0
2020-03-16,CLOSE,,,,2291.0841566438953,2291.0841566438953,
2020-03-19,BUY,61.9775,99431.40851658027,,,,0.0
2020-03-20,SELL,61.3225,99431.40851658027,,,,0.0
2020-03-20,CLOSE,,,,-1050.826067175349,-1050.826067175349,
2020-03-24,BUY,60.1375,98381.88171827629,,,,0.0
2020-03-27,SELL,62.4725,98381.88171827629,,,,0.0
2020-03-27,CLOSE,,,,3819.940865718969,3819.940865718969,
2020-03-27,BUY,63.3651,102160.51416661948,,,,0.0
2020-03-30,SELL,62.470000000000006,102160.51416661948,,,,0.0
2020-03-30,CLOSE,,,,-1443.1268352853706,-1443.1268352853706,
