date,order,price,cost,commission,gross,net,comission
2019-07-16,BUY,51.26499999999999,94999.99999999999,,,,0.0
2019-08-02,SELL,51.0325,94999.99999999999,,,,0.0
2019-08-02,CLOSE,,,,-430.8495074612208,-430.8495074612208,
2019-08-13,BUY,52.005,94579.32635336116,,,,0.0
2019-08-26,SELL,51.465,94579.32635336116,,,,0.0
2019-08-26,CLOSE,,,,-982.0754971794047,-982.0754971794047,
2019-08-29,BUY,52.0175,93671.22697351567,,,,0.0
2019-08-29,SELL,52.08562,93671.22697351567,,,,0.0
2019-08-29,CLOSE,,,,122.66802482695104,122.66802482695104,
2019-08-30,BUY,52.51487,94204.55009692142,,,,0.0
2019-09-03,SELL,51.4125,94204.55009692142,,,,0.0
2019-09-03,CLOSE,,,,-1977.5021796748865,-1977.5021796748865,
2019-09-04,BUY,52.3275,91897.8240549011,,,,0.0
2019-09-25,SELL,54.745,91897.8240549011,,,,0.0
2019-09-25,CLOSE,,,,4245.625907079893,4245.625907079893,
2019-09-28,BUY,55.0,95481.94430731841,,,,0.0
2019-09-28,SELL,54.99250000000001,95481.94430731841,,,,0.0
2019-09-28,CLOSE,,,,-13.02026513281664,-13.02026513281664,
2019-10-06,BUY,56.50755,95912.44567877112,,,,0.0
2019-11-22,SELL,65.32,95912.44567877112,,,,0.0
2019-11-22,CLOSE,,,,14957.711525661363,14957.711525661363,
2019-11-25,BUY,66.325,110126.43010771387,,,,0.0
2019-12-03,SELL,64.2525,110126.43010771387,,,,0.0
2019-12-03,CLOSE,,,,-3441.1915024234836,-3441.1915024234836,
2019-12-05,BUY,66.2525,106853.26613384225,,,,0.0
2019-12-06,SELL,66.8875,106853.26613384225,,,,0.0
2019-12-06,CLOSE,,,,1024.139828610096,1024.139828610096,
2019-12-06,BUY,67.3525,107827.98968749116,,,,0.0
2020-01-28,SELL,78.1225,107827.98968749116,,,,0.0
2020-01-28,CLOSE,,,,17242.232269541284,17242.232269541284,
2020-01-28,BUY,79.58002,124209.75856362283,,,,0.0
2020-02-03,SELL,76.02837,124209.75856362283,,,,0.0
2020-02-03,CLOSE,,,,-5543.471703104525,-5543.471703104525,
2020-02-04,BUY,79.37,118955.9686363494,,,,0.0
2020-02-04,SELL,79.71745,118955.9686363494,,,,0.0
2020-02-04,CLOSE,,,,520.7414804422199,520.7414804422199,
2020-02-05,BUY,81.1,121513.93427495997,,,,0.0
2020-02-19,SELL,80.0,121513.93427495997,,,,0.0
2020-02-19,CLOSE,,,,-1648.1544722867484,-1648.1544722867484,
2020-02-19,BUY,80.8975,117882.11858069168,,,,0.0
2020-02-21,SELL,79.6875,117882.11858069168,,,,0.0
2020-02-21,CLOSE,,,,-1763.1862972605607,-1763.1862972605607,
2020-03-05,BUY,73.875,113351.72435057811,,,,0.0
2020-03-06,SELL,71.97875,113351.72435057811,,,,0.0
2020-03-06,CLOSE,,,,-2909.5527214860663,-2909.5527214860663,
2020-04-01,BUY,61.7325,110146.42227815175,,,,0.0
2020-04-01,SELL,61.445,110146.42227815175,,,,0.0
2020-04-01,CLOSE,,,,-512.9728490660314,-512.9728490660314,
2020-04-07,BUY,67.36717,116040.06006454339,,,,0.0
2020-07-24,SELL,91.9325,116040.06006454339,,,,0.0
2020-07-24,CLOSE,,,,42313.82094134769,42313.82094134769,
2020-07-30,BUY,95.6375,153127.07049592488,,,,0.0
2020-07-31,SELL,102.94250000000001,153127.07049592488,,,,0.0
2020-07-31,CLOSE,,,,11696.178277064228,11696.178277064228,
2020-07-31,BUY,102.905,164295.99868043553,,,,0.0
2020-09-08,SELL,116.07999999999998,164295.99868043553,,,,0.0
2020-09-08,CLOSE,,,,21034.933021862278,21034.933021862278,
2020-09-30,BUY,113.67,183561.0297605759,,,,0.0
2020-10-22,SELL,115.945,183561.0297605759,,,,0.0
2020-10-22,CLOSE,,,,3673.804369713281,3673.804369713281,
2020-11-06,BUY,118.27,186585.60721592788,,,,0.0
2020-11-23,SELL,115.0,186585.60721592788,,,,0.0
2020-11-23,CLOSE,,,,-5158.830942724981,-5158.830942724981,
2020-11-30,BUY,119.07,182828.4953229311,,,,0.0
2021-01-07,SELL,128.37,182828.4953229311,,,,0.0
2021-01-07,CLOSE,,,,14279.877437669113,14279.877437669113,
2021-01-11,BUY,129.19,192140.77855837424,,,,0.0
2021-01-12,SELL,128.48,192140.77855837424,,,,0.0
2021-01-12,CLOSE,,,,-1055.9637183717566,-1055.9637183717566,
2021-01-13,BUY,130.88499,195396.72211555374,,,,0.0
2021-01-14,SELL,130.75,195396.72211555374,,,,0.0
2021-01-14,CLOSE,,,,-201.5250451436502,-201.5250451436502,
2021-01-21,BUY,133.82001,197936.15553435456,,,,0.0
2021-02-03,SELL,135.63,197936.15553435456,,,,0.0
2021-02-03,CLOSE,,,,2677.1964981591786,2677.1964981591786,
2021-03-17,BUY,124.07,195380.95540677296,,,,0.0
2021-03-19,SELL,119.91,195380.95540677296,,,,0.0
2021-03-19,CLOSE,,,,-6551.017768132304,-6551.017768132304,
2021-04-05,BUY,123.81,192780.8612173018,,,,0.0
2021-05-03,SELL,132.23,192780.8612173018,,,,0.0
2021-05-03,CLOSE,,,,13110.531067358685,13110.531067358685,
2021-06-09,BUY,127.19500000000001,204706.9132963807,,,,0.0
