date,order,price,cost,commission,gross,net,comission
2001-12-03,BUY,0.37607,93928.51509096647,,,,0.0
2001-12-14,SELL,0.37018,93928.51509096647,,,,0.0
2001-12-14,CLOSE,,,,-1471.106320328112,-1471.106320328112,
2001-12-20,BUY,0.38214,92649.62276067118,,,,0.0
2001-12-21,SELL,0.37518,92649.62276067118,,,,0.0
2001-12-21,CLOSE,,,,-1687.4479887325806,-1687.4479887325806,
2001-12-27,BUY,0.38536,92385.35123358267,,,,0.0
2002-01-10,SELL,0.37893,92385.35123358267,,,,0.0
2002-01-10,CLOSE,,,,-1541.5139309527085,-1541.5139309527085,
2002-01-18,BUY,0.39286,88602.13395029497,,,,0.0
2002-02-19,SELL,0.42429,88602.13395029497,,,,0.0
2002-02-19,CLOSE,,,,7088.441353300851,7088.441353300851,
2002-03-05,BUY,0.43125,96708.32647804021,,,,0.0
2002-03-06,SELL,0.41929,96708.32647804021,,,,0.0
2002-03-06,CLOSE,,,,-2682.044254324321,-2682.044254324321,
2002-03-07,BUY,0.42964,94681.34515475472,,,,0.0
2002-03-25,SELL,0.42982,94681.34515475472,,,,0.0
2002-03-25,CLOSE,,,,39.66726126024548,39.66726126024548,
2002-04-02,BUY,0.42857,92975.42178021913,,,,0.0
2002-04-03,SELL,0.42946,92975.42178021913,,,,0.0
2002-04-03,CLOSE,,,,193.07960282893157,193.07960282893157,
2002-04-05,BUY,0.44554,95134.29517759598,,,,0.0
2002-04-10,SELL,0.43232,95134.29517759598,,,,0.0
2002-04-10,CLOSE,,,,-2822.81138000588,-2822.81138000588,
2002-04-11,BUY,0.44696,93643.22653108735,,,,0.0
2002-04-23,SELL,0.43821,93643.22653108735,,,,0.0
2002-04-23,CLOSE,,,,-1833.2249690062145,-1833.2249690062145,
2002-05-09,BUY,0.43304,90073.7602877146,,,,0.0
2002-05-10,SELL,0.43375,90073.7602877146,,,,0.0
2002-05-10,CLOSE,,,,147.6823614545569,147.6823614545569,
2002-05-16,BUY,0.4475,89869.93681811623,,,,0.0
2002-05-22,SELL,0.41732,89869.93681811623,,,,0.0
2002-05-22,CLOSE,,,,-6060.949035018427,-6060.949035018427,
2002-05-23,BUY,0.43660999999999994,85354.83118611347,,,,0.0
2002-05-28,SELL,0.42303999999999997,85354.83118611347,,,,0.0
2002-05-28,CLOSE,,,,-2652.8596669694984,-2652.8596669694984,
2002-05-29,BUY,0.42714,82175.21571536279,,,,0.0
2002-05-30,SELL,0.42445999999999995,82175.21571536279,,,,0.0
2002-05-30,CLOSE,,,,-515.5910898468268,-515.5910898468268,
2002-08-22,BUY,0.28929,82298.06643447274,,,,0.0
2002-08-27,SELL,0.28054,82298.06643447274,,,,0.0
2002-08-27,CLOSE,,,,-2489.225625848231,-2489.225625848231,
2002-10-17,BUY,0.25375,77614.79699466343,,,,0.0
2002-10-18,SELL,0.25,77614.79699466343,,,,0.0
2002-10-18,CLOSE,,,,-1147.0167043546246,-1147.0167043546246,
2002-10-23,BUY,0.26125,78063.3169392948,,,,0.0
2002-11-12,SELL,0.27357,78063.3169392948,,,,0.0
2002-11-12,CLOSE,,,,3681.301683032007,3681.301683032007,
2002-11-13,BUY,0.27679,81200.64837660664,,,,0.0
2002-11-14,SELL,0.28393,81200.64837660664,,,,0.0
2002-11-14,CLOSE,,,,2094.6299700457903,2094.6299700457903,
2002-11-15,BUY,0.28982,83563.54928712611,,,,0.0
2002-11-19,SELL,0.27768,83563.54928712611,,,,0.0
2002-11-19,CLOSE,,,,-3500.3156729891457,-3500.3156729891457,
2002-11-22,BUY,0.28732,79317.73950212596,,,,0.0
2002-11-27,SELL,0.27857,79317.73950212596,,,,0.0
2002-11-27,CLOSE,,,,-2415.530490893794,-2415.530490893794,
2002-12-12,BUY,0.27696,78402.98630016619,,,,0.0
2002-12-13,SELL,0.27036,78402.98630016619,,,,0.0
2002-12-13,CLOSE,,,,-1868.355392768257,-1868.355392768257,
2003-02-18,BUY,0.26339,76946.72928695969,,,,0.0
2003-02-27,SELL,0.26018,76946.72928695969,,,,0.0
2003-02-27,CLOSE,,,,-937.7690915036253,-937.7690915036253,
2003-02-28,BUY,0.26536,75638.08858746108,,,,0.0
2003-03-04,SELL,0.26321,75638.08858746108,,,,0.0
2003-03-04,CLOSE,,,,-612.8349806415445,-612.8349806415445,
2003-03-14,BUY,0.26214,74850.30970319922,,,,0.0
2003-03-17,SELL,0.26589,74850.30970319922,,,,0.0
2003-03-17,CLOSE,,,,1070.758607564658,1070.758607564658,
2003-03-18,BUY,0.26786,76022.02977395004,,,,0.0
2003-03-25,SELL,0.25732,76022.02977395004,,,,0.0
2003-03-25,CLOSE,,,,-2991.38428215274,-2991.38428215274,
2003-04-03,BUY,0.26,73031.86778757305,,,,0.0
2003-04-04,SELL,0.25929,73031.86778757305,,,,0.0
2003-04-04,CLOSE,,,,-199.43317741990776,-199.43317741990776,
2003-05-05,BUY,0.26375,74658.13499457299,,,,0.0
2003-06-03,SELL,0.31143,74658.13499457299,,,,0.0
2003-06-03,CLOSE,,,,13496.492422905176,13496.492422905176,
2003-06-17,BUY,0.32875,86521.46515815186,,,,0.0
2003-08-06,SELL,0.35821,86521.46515815186,,,,0.0
2003-08-06,CLOSE,,,,7753.3760108263195,7753.3760108263195,
2003-08-21,BUY,0.37554,93318.67156495799,,,,0.0
2003-09-23,SELL,0.39321,93318.67156495799,,,,0.0
2003-09-23,CLOSE,,,,4390.852975855593,4390.852975855593,
2003-09-24,BUY,0.39661,96444.85478403578,,,,0.0
2003-09-25,SELL,0.38107,96444.85478403578,,,,0.0
2003-09-25,CLOSE,,,,-3778.9088609563946,-3778.9088609563946,
2003-10-07,BUY,0.39375,92799.48884159759,,,,0.0
