date,order,price,cost,commission,gross,net,comission
2019-01-16,BUY,38.76,95003.3089387788,,,,0.0
2019-01-22,SELL,38.79588,95003.3089387788,,,,0.0
2019-01-22,CLOSE,,,,87.94423954394401,87.94423954394401,
2019-01-25,BUY,39.09245,95077.34513359256,,,,0.0
2019-01-28,SELL,38.7325,95077.34513359256,,,,0.0
2019-01-28,CLOSE,,,,-875.4398964719896,-875.4398964719896,
2019-01-28,BUY,38.76,94245.80032042813,,,,0.0
2019-01-29,SELL,38.775,94245.80032042813,,,,0.0
2019-01-29,CLOSE,,,,36.47283294134353,36.47283294134353,
2019-01-30,BUY,40.535,94303.97693759087,,,,0.0
2019-02-07,SELL,42.95,94303.97693759087,,,,0.0
2019-02-07,CLOSE,,,,5618.4557617930805,5618.4557617930805,
2019-02-13,BUY,42.855,99612.43925856761,,,,0.0
2019-02-14,SELL,42.45,99612.43925856761,,,,0.0
2019-02-14,CLOSE,,,,-941.3846202244614,-941.3846202244614,
2019-02-14,BUY,42.77637,98763.80129417978,,,,0.0
2019-02-14,SELL,42.5775,98763.80129417978,,,,0.0
2019-02-14,CLOSE,,,,-459.15904419597723,-459.15904419597723,
2019-02-14,BUY,42.7225,98296.42082413599,,,,0.0
2019-02-14,SELL,42.67,98296.42082413599,,,,0.0
2019-02-14,CLOSE,,,,-120.79260561218648,-120.79260561218648,
2019-02-15,BUY,42.815,98448.97177561208,,,,0.0
2019-02-15,SELL,42.535,98448.97177561208,,,,0.0
2019-02-15,CLOSE,,,,-643.8330514345789,-643.8330514345789,
2019-02-19,BUY,42.68,97554.16759409921,,,,0.0
2019-02-19,SELL,42.6075,97554.16759409921,,,,0.0
2019-02-19,CLOSE,,,,-165.71408506494842,-165.71408506494842,
2019-02-19,BUY,42.735,97409.72205471054,,,,0.0
2019-02-21,SELL,42.755,97409.72205471054,,,,0.0
2019-02-21,CLOSE,,,,45.587795509407165,45.587795509407165,
2019-02-21,BUY,42.8875,97458.75697907084,,,,0.0
2019-02-21,SELL,42.7025,97458.75697907084,,,,0.0
2019-02-21,CLOSE,,,,-420.3991848703777,-420.3991848703777,
2019-02-22,BUY,42.96725,97041.79407805498,,,,0.0
2019-02-27,SELL,43.26,97041.79407805498,,,,0.0
2019-02-27,CLOSE,,,,661.1776461456204,661.1776461456204,
2019-02-27,BUY,43.5575,97687.3768044187,,,,0.0
2019-02-28,SELL,43.465,97687.3768044187,,,,0.0
2019-02-28,CLOSE,,,,-207.45181322179067,-207.45181322179067,
2019-02-28,BUY,43.565,97481.89375171353,,,,0.0
2019-02-28,SELL,43.5025,97481.89375171353,,,,0.0
2019-02-28,CLOSE,,,,-139.8512190860116,-139.8512190860116,
2019-03-01,BUY,43.54,97357.42223178025,,,,0.0
2019-03-04,SELL,43.62,97357.42223178025,,,,0.0
2019-03-04,CLOSE,,,,178.88364213464067,178.88364213464067,
2019-03-04,BUY,43.805,97521.77157799144,,,,0.0
2019-03-05,SELL,43.68,97521.77157799144,,,,0.0
2019-03-05,CLOSE,,,,-278.28379060036366,-278.28379060036366,
2019-03-05,BUY,43.8525,97240.7710942301,,,,0.0
2019-03-06,SELL,43.7225,97240.7710942301,,,,0.0
2019-03-06,CLOSE,,,,-288.26863331053335,-288.26863331053335,
2019-03-11,BUY,44.6375,96980.83098611377,,,,0.0
2019-03-19,SELL,46.64,96980.83098611377,,,,0.0
2019-03-19,CLOSE,,,,4350.694238021677,4350.694238021677,
2019-03-20,BUY,47.2975,101119.16493112702,,,,0.0
2019-03-25,SELL,47.885,101119.16493112702,,,,0.0
2019-03-25,CLOSE,,,,1256.039101369776,1256.039101369776,
2019-03-29,BUY,47.38,102315.34210441518,,,,0.0
2019-04-01,SELL,47.23505,102315.34210441518,,,,0.0
2019-04-01,CLOSE,,,,-313.0141164633839,-313.0141164633839,
2019-04-01,BUY,47.545,101996.49057067267,,,,0.0
2019-04-10,SELL,49.715,101996.49057067267,,,,0.0
2019-04-10,CLOSE,,,,4655.2189407584365,4655.2189407584365,
2019-04-10,BUY,49.875,106435.82762990054,,,,0.0
2019-04-11,SELL,49.7,106435.82762990054,,,,0.0
2019-04-11,CLOSE,,,,-373.4590443154344,-373.4590443154344,
2019-04-15,BUY,49.81025,106077.31305176255,,,,0.0
2019-04-16,SELL,49.865,106077.31305176255,,,,0.0
2019-04-16,CLOSE,,,,116.5971439529784,116.5971439529784,
2019-04-16,BUY,50.34,106193.65613584654,,,,0.0
2019-04-17,SELL,49.885,106193.65613584654,,,,0.0
2019-04-17,CLOSE,,,,-959.8353901829707,-959.8353901829707,
2019-04-17,BUY,50.3725,105294.85303585386,,,,0.0
2019-04-25,SELL,51.4175,105294.85303585386,,,,0.0
2019-04-25,CLOSE,,,,2184.388732393006,2184.388732393006,
2019-05-01,BUY,53.61000000000001,107364.35836428693,,,,0.0
2019-05-06,SELL,51.895,107364.35836428693,,,,0.0
2019-05-06,CLOSE,,,,-3434.6180674268317,-3434.6180674268317,
2019-06-04,BUY,44.64,104091.45773647801,,,,0.0
2019-06-14,SELL,47.92,104091.45773647801,,,,0.0
2019-06-14,CLOSE,,,,7648.29707382724,7648.29707382724,
2019-06-17,BUY,48.6375,111374.514129957,,,,0.0
2019-06-18,SELL,49.0125,111374.514129957,,,,0.0
2019-06-18,CLOSE,,,,858.7086671546415,858.7086671546415,
2019-06-18,BUY,49.875,112161.86889277745,,,,0.0
2019-06-24,SELL,49.635,112161.86889277745,,,,0.0
2019-06-24,CLOSE,,,,-539.7262864013396,-539.7262864013396,
2019-06-24,BUY,49.885,111661.761016101,,,,0.0
2019-06-24,SELL,49.76355,111661.761016101,,,,0.0
2019-06-24,CLOSE,,,,-271.8516763637366,-271.8516763637366,
2019-06-26,BUY,50.0675,111404.89549332514,,,,0.0
2019-06-26,SELL,50.02535,111404.89549332514,,,,0.0
2019-06-26,CLOSE,,,,-93.78771348766355,-93.78771348766355,
2019-06-26,BUY,50.1725,111316.45474370499,,,,0.0
2019-06-28,SELL,49.4725,111316.45474370499,,,,0.0
2019-06-28,CLOSE,,,,-1553.0722670904142,-1553.0722670904142,
2019-07-01,BUY,50.6625,109842.15018672962,,,,0.0
2019-07-08,SELL,49.90125,109842.15018672962,,,,0.0
2019-07-08,CLOSE,,,,-1650.4779043601945,-1650.4779043601945,
2019-07-10,BUY,50.715,108280.31850909532,,,,0.0
2019-07-11,SELL,50.5625,108280.31850909532,,,,0.0
2019-07-11,CLOSE,,,,-325.5989070814829,-325.5989070814829,
2019-07-11,BUY,50.615,107962.56383931468,,,,0.0
2019-07-12,SELL,50.6925,107962.56383931468,,,,0.0
2019-07-12,CLOSE,,,,165.3086772211192,165.3086772211192,
2019-07-12,BUY,50.93375,108115.13862156389,,,,0.0
2019-07-16,SELL,50.9525,108115.13862156389,,,,0.0
2019-07-16,CLOSE,,,,39.799913596662634,39.799913596662634,
2019-07-16,BUY,51.0775,108152.53055938493,,,,0.0
2019-07-16,SELL,51.01397,108152.53055938493,,,,0.0
2019-07-16,CLOSE,,,,-134.51970567153316,-134.51970567153316,
2019-07-16,BUY,51.145,108016.82375270831,,,,0.0
2019-07-17,SELL,51.0225,108016.82375270831,,,,0.0
2019-07-17,CLOSE,,,,-258.71660787382956,-258.71660787382956,
2019-07-18,BUY,51.2425,107776.34468462085,,,,0.0
2019-07-18,SELL,50.9975,107776.34468462085,,,,0.0
2019-07-18,CLOSE,,,,-515.2989110158917,-515.2989110158917,
2019-07-18,BUY,51.16,107313.0448378527,,,,0.0
2019-07-19,SELL,50.9675,107313.0448378527,,,,0.0
2019-07-19,CLOSE,,,,-403.7873559672822,-403.7873559672822,
2019-07-22,BUY,51.54,106905.8780940904,,,,0.0
2019-07-25,SELL,51.8425,106905.8780940904,,,,0.0
