date,order,price,cost,commission,gross,net,comission
2021-07-14,BUY,148.71001,95009.5833747212,,,,0.0
2021-07-14,SELL,148.785,95009.5833747212,,,,0.0
2021-07-14,CLOSE,,,,47.91048468942313,47.91048468942313,
2021-07-14,BUY,148.89,95042.32326446244,,,,0.0
2021-07-14,SELL,148.84,95042.32326446244,,,,0.0
2021-07-14,CLOSE,,,,-31.916959924921095,-31.916959924921095,
2021-07-14,BUY,148.855,95019.6558242356,,,,0.0
2021-07-14,SELL,149.0,95019.6558242356,,,,0.0
2021-07-14,CLOSE,,,,92.55886664549485,92.55886664549485,
2021-07-14,BUY,149.08,95106.31454627425,,,,0.0
2021-07-14,SELL,148.895,95106.31454627425,,,,0.0
2021-07-14,CLOSE,,,,-118.02165408546385,-118.02165408546385,
2021-07-14,BUY,148.985,94991.00420045832,,,,0.0
2021-07-14,SELL,148.922,94991.00420045832,,,,0.0
2021-07-14,CLOSE,,,,-40.16802540276169,-40.16802540276169,
2021-07-14,BUY,148.86501,94949.66183504515,,,,0.0
2021-07-14,SELL,148.9411,94949.66183504515,,,,0.0
2021-07-14,CLOSE,,,,48.53202084914361,48.53202084914361,
2021-07-14,BUY,148.99921,95004.81609641631,,,,0.0
2021-07-14,SELL,148.95,95004.81609641631,,,,0.0
2021-07-14,CLOSE,,,,-31.377260323099733,-31.377260323099733,
2021-07-14,BUY,148.98,94962.76102936706,,,,0.0
2021-07-14,SELL,148.97009,94962.76102936706,,,,0.0
2021-07-14,CLOSE,,,,-6.316827505706471,-6.316827505706471,
2021-07-14,BUY,149.019,94959.32360715607,,,,0.0
2021-07-14,SELL,149.24001,94959.32360715607,,,,0.0
2021-07-14,CLOSE,,,,140.83412256435898,140.83412256435898,
2021-07-14,BUY,149.285,95100.04813939272,,,,0.0
2021-07-14,SELL,149.3071,95100.04813939272,,,,0.0
2021-07-14,CLOSE,,,,14.078514679171205,14.078514679171205,
2021-07-14,BUY,149.315,95112.21858921634,,,,0.0
2021-07-14,SELL,149.35001,95112.21858921634,,,,0.0
2021-07-14,CLOSE,,,,22.301033203686444,22.301033203686444,
2021-07-14,BUY,149.355,95133.34078711463,,,,0.0
2021-07-14,SELL,149.27,95133.34078711463,,,,0.0
2021-07-14,CLOSE,,,,-54.14170243314785,-54.14170243314785,
2021-07-14,BUY,149.38499,95080.68909837429,,,,0.0
2021-07-14,SELL,149.405,95080.68909837429,,,,0.0
2021-07-14,CLOSE,,,,12.735982302236286,12.735982302236286,
2021-07-14,BUY,149.42,95088.97622946854,,,,0.0
2021-07-14,SELL,149.41499,95088.97622946854,,,,0.0
2021-07-14,CLOSE,,,,-3.188299899006203,-3.188299899006203,
2021-07-15,BUY,149.27499,95092.30804896491,,,,0.0
2021-07-15,SELL,149.28999,95092.30804896491,,,,0.0
2021-07-15,CLOSE,,,,9.555415952351941,9.555415952351941,
2021-07-15,BUY,149.4982,95097.06193061262,,,,0.0
2021-07-15,SELL,149.355,95097.06193061262,,,,0.0
2021-07-15,CLOSE,,,,-91.09072395831136,-91.09072395831136,
2021-07-15,BUY,148.375,95011.67073798575,,,,0.0
2021-07-15,SELL,148.57001,95011.67073798575,,,,0.0
2021-07-15,CLOSE,,,,124.87431110776247,124.87431110776247,
2021-07-15,BUY,147.9519,95121.87902456326,,,,0.0
2021-07-15,SELL,147.89729,95121.87902456326,,,,0.0
2021-07-15,CLOSE,,,,-35.11009871134529,-35.11009871134529,
2021-07-15,BUY,148.061,95091.16012915754,,,,0.0
2021-07-15,SELL,148.02,95091.16012915754,,,,0.0
2021-07-15,CLOSE,,,,-26.331968346121908,-26.331968346121908,
2021-07-15,BUY,148.00999,95068.71338262846,,,,0.0
2021-07-15,SELL,147.9512,95068.71338262846,,,,0.0
2021-07-15,CLOSE,,,,-37.7615704167236,-37.7615704167236,
2021-07-15,BUY,147.94,95032.83958318092,,,,0.0
2021-07-15,SELL,147.815,95032.83958318092,,,,0.0
2021-07-15,CLOSE,,,,-80.29677536770052,-80.29677536770052,
2021-07-15,BUY,147.96001,94956.57349966669,,,,0.0
2021-07-15,SELL,147.9019,94956.57349966669,,,,0.0
2021-07-15,CLOSE,,,,-37.2933638357118,-37.2933638357118,
2021-07-15,BUY,147.78999,94930.11537949095,,,,0.0
2021-07-15,SELL,147.745,94930.11537949095,,,,0.0
2021-07-15,CLOSE,,,,-28.89847878683671,-28.89847878683671,
2021-07-15,BUY,147.64999,94900.10094811616,,,,0.0
2021-07-15,SELL,147.78841,94900.10094811616,,,,0.0
2021-07-15,CLOSE,,,,88.96764553277586,88.96764553277586,
2021-07-15,BUY,147.75,94987.83548186252,,,,0.0
2021-07-15,SELL,147.92999,94987.83548186252,,,,0.0
2021-07-15,CLOSE,,,,115.71479193489532,115.71479193489532,
2021-07-15,BUY,148.03,95092.3698237196,,,,0.0
2021-07-15,SELL,148.02,95092.3698237196,,,,0.0
2021-07-15,CLOSE,,,,-6.4238579898421335,-6.4238579898421335,
2021-07-15,BUY,148.05,95079.45301327488,,,,0.0
2021-07-15,SELL,148.22,95079.45301327488,,,,0.0
2021-07-15,CLOSE,,,,109.1760014336747,109.1760014336747,
2021-07-15,BUY,148.375,95188.95654271284,,,,0.0
2021-07-15,SELL,148.17999,95188.95654271284,,,,0.0
2021-07-15,CLOSE,,,,-125.10731872211683,-125.10731872211683,
2021-07-15,BUY,148.36501,95060.50018995514,,,,0.0
2021-07-16,SELL,149.005,95060.50018995514,,,,0.0
2021-07-16,CLOSE,,,,410.05469899249016,410.05469899249016,
2021-07-16,BUY,149.22,95466.04782737671,,,,0.0
2021-07-16,SELL,148.96001,95466.04782737671,,,,0.0
2021-07-16,CLOSE,,,,-166.33305035945918,-166.33305035945918,
2021-07-16,BUY,149.17999,95330.3964782162,,,,0.0
2021-07-16,SELL,148.91,95330.3964782162,,,,0.0
2021-07-16,CLOSE,,,,-172.5315422340105,-172.5315422340105,
2021-07-16,BUY,149.0098,95150.37211733023,,,,0.0
2021-07-16,SELL,149.02,95150.37211733023,,,,0.0
2021-07-16,CLOSE,,,,6.5132212485120755,6.5132212485120755,
2021-07-16,BUY,149.0,95137.54406619053,,,,0.0
2021-07-16,SELL,149.0,95137.54406619053,,,,0.0
2021-07-16,CLOSE,,,,0.0,0.0,
2021-07-16,BUY,149.14,95144.30552297231,,,,0.0
2021-07-16,SELL,148.94,95144.30552297231,,,,0.0
2021-07-16,CLOSE,,,,-127.59059343297159,-127.59059343297159,
2021-07-16,BUY,148.71001,95030.51427300829,,,,0.0
2021-07-16,SELL,148.61,95030.51427300829,,,,0.0
2021-07-16,CLOSE,,,,-63.909630107908136,-63.909630107908136,
2021-07-16,BUY,147.5901,94962.06188058406,,,,0.0
2021-07-16,SELL,147.69,94962.06188058406,,,,0.0
2021-07-16,CLOSE,,,,64.27741414816775,64.27741414816775,
2021-07-16,BUY,147.61501,95019.84901700134,,,,0.0
2021-07-16,SELL,147.955,95019.84901700134,,,,0.0
2021-07-16,CLOSE,,,,218.851717500072,218.851717500072,
2021-07-16,BUY,147.86,95230.97021389398,,,,0.0
2021-07-16,SELL,147.73,95230.97021389398,,,,0.0
2021-07-16,CLOSE,,,,-83.72802737595353,-83.72802737595353,
2021-07-16,BUY,146.61,95144.93892559057,,,,0.0
2021-07-16,SELL,146.46001,95144.93892559057,,,,0.0
2021-07-16,CLOSE,,,,-97.3384447817309,-97.3384447817309,
2021-07-16,BUY,146.46001,95058.95706534418,,,,0.0
2021-07-16,SELL,146.31,95058.95706534418,,,,0.0
2021-07-16,CLOSE,,,,-97.36305595891412,-97.36305595891412,
2021-07-16,BUY,146.47,94966.46216218322,,,,0.0
2021-07-19,SELL,143.78,94966.46216218322,,,,0.0
2021-07-19,CLOSE,,,,-1744.109942078737,-1744.109942078737,
2021-07-19,BUY,142.405,93316.11058477519,,,,0.0
2021-07-19,SELL,142.11,93316.11058477519,,,,0.0
2021-07-19,CLOSE,,,,-193.3095932200942,-193.3095932200942,
2021-07-19,BUY,142.19,93125.91360364933,,,,0.0
2021-07-19,SELL,142.0101,93125.91360364933,,,,0.0
2021-07-19,CLOSE,,,,-117.82369967857684,-117.82369967857684,
2021-07-19,BUY,142.42,93017.253216736,,,,0.0
2021-07-19,SELL,143.2001,93017.253216736,,,,0.0
2021-07-19,CLOSE,,,,509.49837968246163,509.49837968246163,
2021-07-19,BUY,143.59,93498.65569984245,,,,0.0
2021-07-19,SELL,143.57001,93498.65569984245,,,,0.0
2021-07-19,CLOSE,,,,-13.016492286653044,-13.016492286653044,
2021-07-19,BUY,143.77,93498.57403282938,,,,0.0
2021-07-19,SELL,143.575,93498.57403282938,,,,0.0
2021-07-19,CLOSE,,,,-126.81520439871841,-126.81520439871841,
2021-07-19,BUY,143.69,93365.16443780193,,,,0.0
2021-07-19,SELL,143.60561,93365.16443780193,,,,0.0
2021-07-19,CLOSE,,,,-54.83392182409835,-54.83392182409835,
2021-07-19,BUY,143.3385,93315.34425029626,,,,0.0
2021-07-19,SELL,142.94,93315.34425029626,,,,0.0
2021-07-19,CLOSE,,,,-259.42900674797244,-259.42900674797244,
2021-07-19,BUY,142.12,93076.43837206419,,,,0.0
2021-07-19,SELL,142.03,93076.43837206419,,,,0.0
2021-07-19,CLOSE,,,,-58.94229843432377,-58.94229843432377,
2021-07-19,BUY,142.08,93006.30562393315,,,,0.0
2021-07-19,SELL,141.99001,93006.30562393315,,,,0.0
2021-07-19,CLOSE,,,,-58.907921192974136,-58.907921192974136,
2021-07-19,BUY,142.17999,92961.1886838269,,,,0.0
2021-07-19,SELL,142.11,92961.1886838269,,,,0.0
2021-07-19,CLOSE,,,,-45.76138735120262,-45.76138735120262,
2021-07-19,BUY,142.14,92898.1122751137,,,,0.0
2021-07-19,SELL,142.34,92898.1122751137,,,,0.0
2021-07-19,CLOSE,,,,130.71353915171187,130.71353915171187,
2021-07-19,BUY,142.3,93035.361491223,,,,0.0
2021-07-19,SELL,142.14,93035.361491223,,,,0.0
2021-07-19,CLOSE,,,,-104.60757441038655,-104.60757441038655,
2021-07-19,BUY,142.1725,92934.35011258436,,,,0.0
2021-07-19,SELL,142.31,92934.35011258436,,,,0.0
2021-07-19,CLOSE,,,,89.88006218135921,89.88006218135921,
2021-07-19,BUY,142.106,93025.7563240041,,,,0.0
2021-07-19,SELL,141.9294,93025.7563240041,,,,0.0
2021-07-19,CLOSE,,,,-115.60629788200242,-115.60629788200242,
