,open,high,low,close,volume
2021-07-28 23:54:00,1.26440,1.26450,1.26440,1.26450,
2021-07-28 23:55:00,1.26450,1.26500,1.26450,1.26500,
2021-07-28 23:56:00,1.26350,1.26350,1.26300,1.26300,
2021-07-28 23:57:00,1.26270,1.26450,1.26270,1.26450,
2021-07-28 23:58:00,1.26640,1.26680,1.26640,1.26680,
2021-07-28 23:59:00,1.26630,1.26630,1.26470,1.26470,
2021-07-29 00:00:00,1.26570,1.26650,1.26570,1.26650,
2021-07-29 00:01:00,1.26610,1.26610,1.26540,1.26540,
2021-07-29 00:02:00,1.26360,1.26360,1.26200,1.26200,
2021-07-29 00:03:00,1.26420,1.26510,1.26300,1.26510,
2021-07-29 00:04:00,1.26600,1.26670,1.26600,1.26670,
2021-07-29 00:05:00,1.26810,1.26920,1.26810,1.26920,
2021-07-29 00:06:00,1.27170,1.27170,1.27070,1.27070,
2021-07-29 00:07:00,1.27120,1.27120,1.26950,1.26950,
2021-07-29 00:08:00,1.27000,1.27030,1.27000,1.27030,
2021-07-29 00:09:00,1.27040,1.27040,1.26790,1.26810,
2021-07-29 00:10:00,1.26780,1.26780,1.26700,1.26700,
2021-07-29 00:11:00,1.26560,1.26560,1.26430,1.26430,
2021-07-29 00:12:00,1.26520,1.26590,1.26520,1.26590,
2021-07-29 00:13:00,1.26590,1.26590,1.26580,1.26580,
2021-07-29 00:14:00,1.26680,1.26920,1.26680,1.26920,
2021-07-29 00:15:00,1.26840,1.27140,1.26840,1.27140,
2021-07-29 00:16:00,1.27460,1.27460,1.27450,1.27450,
2021-07-29 00:17:00,1.27450,1.27450,1.27450,1.27450,
2021-07-29 00:18:00,1.27430,1.27430,1.27220,1.27220,
2021-07-29 00:19:00,1.27390,1.27410,1.27390,1.27410,
2021-07-29 00:20:00,1.27370,1.27420,1.27370,1.27420,
2021-07-29 00:21:00,1.27420,1.27420,1.27390,1.27390,
2021-07-29 00:22:00,1.27450,1.27450,1.27350,1.27350,
2021-07-29 00:23:00,1.27310,1.27350,1.27310,1.27350,
2021-07-29 00:24:00,1.27260,1.27270,1.27260,1.27270,
2021-07-29 00:25:00,1.27410,1.27560,1.27410,1.27560,
2021-07-29 00:26:00,1.27590,1.27590,1.27520,1.27520,
2021-07-29 00:27:00,1.27570,1.27580,1.27530,1.27530,
2021-07-29 00:28:00,1.27560,1.27570,1.27560,1.27570,
2021-07-29 00:29:00,1.27560,1.27560,1.27460,1.27460,
2021-07-29 00:30:00,1.27520,1.27520,1.27520,1.27520,
2021-07-29 00:31:00,1.27490,1.27490,1.27340,1.27340,
2021-07-29 00:32:00,1.27320,1.27320,1.27250,1.27250,
2021-07-29 00:33:00,1.27340,1.27420,1.27190,1.27420,
2021-07-29 00:34:00,1.27440,1.27440,1.27300,1.27300,
2021-07-29 00:35:00,1.27380,1.27750,1.27380,1.27750,
2021-07-29 00:36:00,1.27780,1.27780,1.27420,1.27420,
2021-07-29 00:37:00,1.27530,1.27960,1.27530,1.27960,
2021-07-29 00:38:00,1.27940,1.27950,1.27940,1.27950,
2021-07-29 00:39:00,1.27970,1.27970,1.27860,1.27860,
2021-07-29 00:40:00,1.27920,1.27950,1.27920,1.27950,
2021-07-29 00:41:00,1.27970,1.27970,1.27970,1.27970,
2021-07-29 00:42:00,1.27910,1.28050,1.27910,1.28050,
2021-07-29 00:43:00,1.28020,1.28030,1.28020,1.28030,
2021-07-29 00:44:00,1.27920,1.27920,1.27890,1.27890,
2021-07-29 00:45:00,1.28000,1.28000,1.27960,1.27960,
2021-07-29 00:46:00,1.28020,1.28070,1.28020,1.28070,
2021-07-29 00:47:00,1.28030,1.28030,1.27930,1.27930,
2021-07-29 00:48:00,1.27930,1.27930,1.27740,1.27740,
2021-07-29 00:49:00,1.27870,1.27870,1.27720,1.27720,
2021-07-29 00:50:00,1.27620,1.27660,1.27620,1.27660,
2021-07-29 00:51:00,1.27750,1.27750,1.27650,1.27650,
