,open,high,low,close,volume
2019-09-23 08:00:00,0.04884,0.04930,0.04805,0.04903,
2019-09-23 12:00:00,0.04919,0.04945,0.04818,0.04828,
2019-09-23 16:00:00,0.04823,0.04881,0.04602,0.04635,
2019-09-23 20:00:00,0.04631,0.04657,0.04560,0.04637,
2019-09-24 00:00:00,0.04645,0.04657,0.04570,0.04570,
2019-09-24 04:00:00,0.04577,0.04620,0.04542,0.04578,
2019-09-24 08:00:00,0.04580,0.04580,0.04340,0.04461,
2019-09-24 12:00:00,0.04443,0.04514,0.03558,0.03721,
2019-09-24 16:00:00,0.03698,0.03927,0.03632,0.03720,
2019-09-24 20:00:00,0.03724,0.03973,0.03724,0.03856,
2019-09-25 00:00:00,0.03857,0.03867,0.03682,0.03687,
2019-09-25 04:00:00,0.03680,0.03785,0.03595,0.03705,
2019-09-25 08:00:00,0.03685,0.03844,0.03656,0.03770,
2019-09-25 12:00:00,0.03770,0.03870,0.03733,0.03855,
2019-09-25 16:00:00,0.03855,0.04023,0.03847,0.03912,
2019-09-25 20:00:00,0.03923,0.03938,0.03785,0.03835,
2019-09-26 00:00:00,0.03834,0.03902,0.03823,0.03868,
2019-09-26 04:00:00,0.03868,0.04014,0.03864,0.03914,
2019-09-26 08:00:00,0.03912,0.03956,0.03613,0.03622,
2019-09-26 12:00:00,0.03614,0.03758,0.03502,0.03758,
2019-09-26 16:00:00,0.03766,0.03831,0.03698,0.03820,
2019-09-26 20:00:00,0.03817,0.03833,0.03700,0.03769,
2019-09-27 00:00:00,0.03777,0.03862,0.03732,0.03851,
2019-09-27 04:00:00,0.03866,0.03875,0.03780,0.03832,
2019-09-27 08:00:00,0.03840,0.03840,0.03697,0.03772,
2019-09-27 12:00:00,0.03781,0.03862,0.03752,0.03851,
2019-09-28 12:00:00,0.03859,0.03869,0.03859,0.03867,
2019-09-28 16:00:00,0.03867,0.03894,0.03796,0.03853,
2019-09-29 08:00:00,0.03662,0.03683,0.03642,0.03675,
2019-09-29 12:00:00,0.03679,0.03748,0.03666,0.03690,
2019-09-30 08:00:00,0.03853,0.03908,0.03832,0.03896,
2019-09-30 12:00:00,0.03906,0.03925,0.03858,0.03898,
2019-10-01 08:00:00,0.03863,0.03872,0.03847,0.03847,
2019-10-01 12:00:00,0.03837,0.03861,0.03817,0.03833,
2019-10-01 16:00:00,0.03841,0.03877,0.03830,0.03842,
2019-10-02 04:00:00,0.03839,0.03854,0.03835,0.03851,
2019-10-02 08:00:00,0.03873,0.03909,0.03857,0.03886,
2019-10-02 12:00:00,0.03888,0.03939,0.03861,0.03908,
2019-10-02 16:00:00,0.03914,0.03940,0.03890,0.03918,
2019-10-02 20:00:00,0.03924,0.03950,0.03897,0.03947,
2019-10-03 00:00:00,0.03948,0.03959,0.03885,0.03900,
2019-10-03 04:00:00,0.03897,0.03909,0.03837,0.03847,
2019-10-03 08:00:00,0.03847,0.03873,0.03762,0.03777,
2019-10-03 12:00:00,0.03773,0.03828,0.03752,0.03783,
2019-10-03 16:00:00,0.03790,0.03840,0.03761,0.03817,
2019-10-03 20:00:00,0.03820,0.03824,0.03764,0.03765,
2019-10-04 00:00:00,0.03762,0.03843,0.03747,0.03831,
2019-10-04 04:00:00,0.03836,0.03896,0.03804,0.03865,
2019-10-04 08:00:00,0.03871,0.03979,0.03851,0.03964,
2019-10-04 12:00:00,0.03964,0.04022,0.03939,0.03995,
2019-10-04 16:00:00,0.03996,0.04007,0.03927,0.03927,
2019-10-04 20:00:00,0.03928,0.03962,0.03910,0.03948,
2019-10-05 00:00:00,0.03943,0.03975,0.03928,0.03947,
2019-10-05 04:00:00,0.03946,0.03955,0.03896,0.03927,
2019-10-05 08:00:00,0.03927,0.03949,0.03865,0.03949,
2019-10-05 12:00:00,0.03949,0.03972,0.03912,0.03955,
2019-10-05 16:00:00,0.03950,0.03969,0.03918,0.03967,
2019-10-05 20:00:00,0.03967,0.03981,0.03919,0.03961,
2019-10-06 00:00:00,0.03962,0.03999,0.03923,0.03936,
2019-10-06 04:00:00,0.03936,0.03943,0.03881,0.03939,
2019-10-06 08:00:00,0.03936,0.03959,0.03875,0.03947,
2019-10-06 12:00:00,0.03949,0.03954,0.03810,0.03847,
2019-10-06 16:00:00,0.03845,0.03890,0.03832,0.03885,
2019-10-06 20:00:00,0.03876,0.03906,0.03813,0.03886,
2019-10-07 00:00:00,0.03888,0.03912,0.03859,0.03892,
2019-10-07 04:00:00,0.03899,0.04077,0.03899,0.04024,
2019-10-07 08:00:00,0.04024,0.04148,0.04024,0.04122,
2019-10-07 12:00:00,0.04127,0.04179,0.04090,0.04116,
