,open,high,low,close,volume
2019-06-20 08:00:00,11.58000,11.59000,11.03000,11.11000,384276
2019-06-20 12:00:00,11.11500,11.12000,10.88000,11.01500,1392624
2019-06-20 16:00:00,11.01000,11.01680,10.93000,10.93000,283078
2019-06-21 08:00:00,10.88000,10.88000,10.31000,10.48010,342692
2019-06-21 12:00:00,10.49000,10.68000,10.41000,10.63000,915067
2019-06-21 16:00:00,10.62500,10.65000,10.56000,10.61000,330572
2019-06-24 08:00:00,10.64000,10.66060,9.97000,10.00000,1350505
2019-06-24 12:00:00,10.00000,10.20000,9.98000,10.10500,992446
2019-06-24 16:00:00,10.10500,10.11000,10.00000,10.02000,387804
2019-06-25 08:00:00,10.01000,10.03000,9.65000,9.70980,1102545
2019-06-25 12:00:00,9.70500,9.75000,9.50000,9.52000,1726653
2019-06-25 16:00:00,9.52500,9.53000,9.42000,9.49000,607451
2019-06-26 08:00:00,9.53000,9.70000,9.32000,9.33500,1258958
2019-06-26 12:00:00,9.33500,9.53000,9.31000,9.41660,1122352
2019-06-26 16:00:00,9.41500,9.48000,9.40500,9.45000,409985
2019-06-27 08:00:00,9.45000,9.54000,9.35000,9.50000,599719
2019-06-27 12:00:00,9.50000,9.53500,9.46000,9.50000,871126
2019-06-27 16:00:00,9.50000,9.52000,9.48000,9.51000,358412
2019-06-28 08:00:00,9.46000,9.51990,9.32000,9.37000,596622
2019-06-28 12:00:00,9.37500,9.49000,9.28490,9.37500,1080320
2019-06-28 16:00:00,9.37500,9.39000,9.32000,9.34000,538991
2019-07-01 08:00:00,9.85000,9.90000,9.28000,9.28000,1219764
2019-07-01 12:00:00,9.29000,9.32000,9.15000,9.17500,1194723
2019-07-01 16:00:00,9.17500,9.28000,9.17000,9.28000,338581
2019-07-02 08:00:00,9.23000,9.30000,9.04000,9.04500,776891
2019-07-02 12:00:00,9.05000,9.27000,9.04000,9.26500,820587
2019-07-02 16:00:00,9.26500,9.28000,9.21000,9.25000,230909
2019-07-03 08:00:00,9.29850,9.29850,9.00000,9.06000,1124909
2019-07-03 12:00:00,9.06000,9.17000,9.00000,9.10000,819045
2019-07-05 08:00:00,9.03000,9.33000,9.02500,9.33000,1077759
2019-07-05 12:00:00,9.33000,9.51000,9.30010,9.37000,1476992
2019-07-05 16:00:00,9.37500,9.43000,9.33000,9.43000,415665
2019-07-08 08:00:00,9.34000,9.37000,9.09000,9.09500,875597
2019-07-08 12:00:00,9.09500,9.10000,8.80000,8.83500,2721998
2019-07-08 16:00:00,8.84000,8.88000,8.80000,8.86000,778221
2019-07-09 08:00:00,8.83000,9.17500,8.73000,9.09500,1674078
2019-07-09 12:00:00,9.09500,9.13000,8.91000,8.91500,1391571
2019-07-09 16:00:00,8.92000,8.93000,8.89500,8.92000,366956
2019-07-10 08:00:00,9.02000,9.24000,8.95000,9.20000,904115
2019-07-10 12:00:00,9.20000,9.32000,9.17000,9.23000,864582
2019-07-10 16:00:00,9.23500,9.27000,9.20000,9.22000,283117
2019-07-11 08:00:00,9.22000,9.38500,9.13000,9.35000,733469
2019-07-11 12:00:00,9.35000,9.55000,9.34000,9.49560,1378604
2019-07-11 16:00:00,9.49500,9.51000,9.45000,9.45500,291565
2019-07-12 08:00:00,9.55000,9.58010,9.31000,9.57000,614316
2019-07-12 12:00:00,9.57000,9.61000,9.38000,9.44690,975644
2019-07-12 16:00:00,9.44500,9.46000,9.44000,9.46000,175790
2019-07-15 08:00:00,9.39000,9.43500,9.06000,9.35000,1215618
2019-07-15 12:00:00,9.36000,9.53000,9.30000,9.47000,682718
2019-07-15 16:00:00,9.47500,9.51000,9.47000,9.48000,259010
2019-07-16 08:00:00,9.39000,9.49500,9.32000,9.39090,461344
2019-07-16 12:00:00,9.39000,9.80000,9.39000,9.78500,1096995
2019-07-16 16:00:00,9.78500,9.82000,9.77000,9.79500,429576
2019-07-17 08:00:00,9.78000,9.94000,9.66000,9.68500,602019
2019-07-17 12:00:00,9.68500,9.88000,9.64000,9.79000,777063
2019-07-17 16:00:00,9.79500,9.83000,9.79000,9.81000,224711
2019-07-18 08:00:00,9.69720,9.90000,9.49000,9.52500,731125
2019-07-18 12:00:00,9.52500,9.74000,9.52500,9.61000,935049
2019-07-18 16:00:00,9.61500,9.62000,9.58000,9.62000,285715
2019-07-19 08:00:00,9.95000,10.33000,9.93000,10.20000,1679753
2019-07-19 12:00:00,10.20500,11.04000,10.20500,10.54500,6853414
2019-07-19 16:00:00,10.55000,10.55000,10.44000,10.54000,1478606
2019-07-22 08:00:00,10.64000,10.90000,10.20500,10.21500,2044713
2019-07-22 12:00:00,10.22000,10.27000,10.07000,10.21000,2459126
2019-07-22 16:00:00,10.20500,10.47000,10.20000,10.40000,787088
2019-07-23 08:00:00,10.26000,10.53000,10.18000,10.34000,904974
2019-07-23 12:00:00,10.33500,10.47000,10.22000,10.26500,1349837
2019-07-23 16:00:00,10.27000,10.30000,10.26000,10.29500,602188
2019-07-24 08:00:00,10.33000,10.89000,10.33000,10.81000,1255393
2019-07-24 12:00:00,10.81000,10.82000,10.63000,10.78000,981018
2019-07-24 16:00:00,10.77500,10.79000,10.74010,10.78500,271943
2019-07-25 08:00:00,10.81000,11.02000,10.67000,10.71500,864360
2019-07-25 12:00:00,10.71990,10.90000,10.71500,10.89000,858697
2019-07-25 16:00:00,10.89000,10.94000,10.88000,10.94000,345422
2019-07-26 08:00:00,11.00000,11.16000,10.95000,11.13500,731725
2019-07-26 12:00:00,11.14000,11.25000,11.14000,11.24500,1046496
2019-07-26 16:00:00,11.25000,11.30000,11.23000,11.25000,471284
2019-07-29 08:00:00,11.33000,11.37000,10.93000,11.12000,957853
2019-07-29 12:00:00,11.12500,11.43000,11.10000,11.41500,1161188
2019-07-29 16:00:00,11.41000,11.45000,11.40000,11.45000,434858
2019-07-30 08:00:00,11.34000,11.61000,11.13000,11.60500,1039827
2019-07-30 12:00:00,11.60500,11.73000,11.51500,11.71220,1146964
2019-07-30 16:00:00,11.71000,11.73000,11.65000,11.72500,386940
2019-07-31 08:00:00,11.75000,11.90000,11.58810,11.84000,927728
2019-07-31 12:00:00,11.84300,11.97500,11.54500,11.86000,1372448
2019-07-31 16:00:00,11.86000,11.86000,11.77000,11.82000,350394
2019-08-01 08:00:00,11.70000,11.82000,11.46000,11.59500,1414603
2019-08-01 12:00:00,11.59660,11.79000,11.04000,11.24450,2470165
2019-08-01 16:00:00,11.24000,11.29000,11.21000,11.26000,0
2019-08-02 08:00:00,11.20000,11.63010,11.08000,11.45650,1381292
2019-08-02 12:00:00,11.45360,11.57000,11.40000,11.57000,940024
2019-08-02 16:00:00,11.56500,11.64000,11.54000,11.61000,419438
2019-08-05 08:00:00,11.43000,11.47990,11.01000,11.19000,906439
