,open,high,low,close,volume
2020-06-09 08:00:00,17.33300,17.37670,17.29640,17.31950,
2020-06-09 10:00:00,17.31990,17.34990,17.29510,17.32870,
2020-06-09 12:00:00,17.33080,17.33110,17.29410,17.31410,
2020-06-09 14:00:00,17.32310,17.33490,17.24760,17.32470,
2020-06-09 16:00:00,17.34110,17.38040,17.29080,17.37290,
2020-06-09 18:00:00,17.36810,17.38860,17.29490,17.37190,
2020-06-09 20:00:00,17.34040,17.44980,17.33550,17.43500,
2020-06-09 22:00:00,17.43560,17.44010,17.38490,17.39890,
2020-06-10 00:00:00,17.39130,17.42000,17.34780,17.39120,
2020-06-10 02:00:00,17.39600,17.39940,17.27840,17.31770,
2020-06-10 04:00:00,17.32520,17.33990,17.27040,17.28570,
2020-06-10 06:00:00,17.28810,17.31900,17.28500,17.28500,
2020-06-10 08:00:00,17.28500,17.34950,17.27000,17.30560,
2020-06-10 10:00:00,17.31200,17.32630,17.27280,17.28990,
2020-06-10 12:00:00,17.29300,17.30950,17.25960,17.30040,
2020-06-10 14:00:00,17.26730,17.56550,17.26730,17.39660,
2020-06-10 16:00:00,17.43780,17.44190,17.33930,17.38620,
2020-06-10 18:00:00,17.39520,17.44770,17.37280,17.40520,
2020-06-10 20:00:00,17.40940,17.50950,17.38980,17.47840,
2020-06-10 22:00:00,17.48860,17.49960,17.42300,17.44470,
2020-06-11 00:00:00,17.45840,17.46550,17.40000,17.41170,
2020-06-11 02:00:00,17.40770,17.43740,17.27110,17.33260,
2020-06-11 04:00:00,17.33370,17.36760,17.32470,17.36290,
2020-06-11 06:00:00,17.35320,17.37170,17.28850,17.30990,
2020-06-11 08:00:00,17.30030,17.35100,17.04000,17.11970,
2020-06-11 10:00:00,17.10160,17.15450,16.90660,16.92210,
2020-06-11 12:00:00,16.87910,16.97710,16.00010,16.59370,
2020-06-11 14:00:00,16.60360,16.60360,16.34850,16.36860,
2020-06-11 16:00:00,16.34000,16.55120,16.27090,16.53060,
2020-06-11 18:00:00,16.52120,16.52800,16.21320,16.21630,
2020-06-11 20:00:00,16.21480,16.48930,16.10210,16.47880,
2020-06-11 22:00:00,16.49000,16.54110,16.44040,16.51360,
2020-06-12 00:00:00,16.51470,16.56930,16.50540,16.56610,
2020-06-12 02:00:00,16.56870,16.67840,16.55720,16.61550,
2020-06-12 04:00:00,16.67830,16.73270,16.58900,16.61730,
2020-06-12 06:00:00,16.63700,16.73780,16.63700,16.73030,
2020-06-12 08:00:00,16.73110,16.76340,16.64600,16.76340,
2020-06-12 10:00:00,16.76860,16.77320,16.48520,16.53840,
2020-06-12 12:00:00,16.53330,16.60580,16.34290,16.40120,
2020-06-12 14:00:00,16.39440,16.60000,16.39440,16.57680,
2020-06-12 16:00:00,16.57550,16.64800,16.54670,16.56000,
2020-06-12 18:00:00,16.56470,16.64170,16.56340,16.64170,
2020-06-12 20:00:00,16.64390,16.69010,16.58760,16.63620,
2020-06-12 22:00:00,16.60710,16.62110,16.54310,16.55790,
2020-06-13 00:00:00,16.55050,16.56500,16.49610,16.54780,
2020-06-13 02:00:00,16.55180,16.61420,16.52480,16.58720,
2020-06-13 04:00:00,16.57700,16.60000,16.54730,16.56820,
2020-06-13 06:00:00,16.56920,16.58390,16.51050,16.52380,
2020-06-13 08:00:00,16.52370,16.57480,16.51000,16.57480,
2020-06-13 10:00:00,16.57410,16.64300,16.57210,16.62100,
2020-06-13 12:00:00,16.63110,16.79240,16.59310,16.77030,
2020-06-13 14:00:00,16.78110,16.80060,16.62390,16.65700,
2020-06-13 16:00:00,16.63240,16.74000,16.57200,16.74000,
2020-06-13 18:00:00,16.74990,16.81110,16.72440,16.81110,
2020-06-13 20:00:00,16.81110,16.83960,16.75040,16.78230,
2020-06-13 22:00:00,16.78620,16.81520,16.75070,16.77900,
2020-06-14 00:00:00,16.77910,16.78570,16.73620,16.75650,
2020-06-14 02:00:00,16.76000,16.76000,16.64610,16.69330,
2020-06-14 04:00:00,16.69260,16.74990,16.66790,16.68550,
2020-06-14 06:00:00,16.68390,16.74760,16.68390,16.73500,
2020-06-14 08:00:00,16.73180,16.75940,16.60280,16.64830,
2020-06-14 10:00:00,16.64810,16.69620,16.52180,16.68360,
2020-06-14 12:00:00,16.68440,16.68440,16.58000,16.62200,
2020-06-14 14:00:00,16.62080,16.64660,16.58260,16.62480,
2020-06-14 16:00:00,16.66000,16.66870,16.53340,16.55870,
2020-06-14 18:00:00,16.54210,16.63420,16.41560,16.56090,
2020-06-14 20:00:00,16.55880,16.59710,16.36340,16.36690,
2020-06-14 22:00:00,16.34680,16.45890,16.11010,16.15480,
2020-06-15 00:00:00,16.12370,16.26430,15.65840,15.79920,
2020-06-15 02:00:00,15.76230,15.94310,15.54310,15.89950,
2020-06-15 04:00:00,15.87580,15.95840,15.82510,15.93350,
2020-06-15 06:00:00,15.94000,15.94000,15.77290,15.90270,
2020-06-15 08:00:00,15.90750,15.97690,15.75940,15.97490,
2020-06-15 10:00:00,16.01930,16.12420,15.97040,16.12420,
2020-06-15 12:00:00,16.08770,16.27020,16.08770,16.23740,
2020-06-15 14:00:00,16.25650,16.39990,16.25650,16.35510,
2020-06-15 16:00:00,16.37470,16.51840,16.37040,16.46980,
2020-06-15 18:00:00,16.47540,16.50630,16.35940,16.37960,
2020-06-15 20:00:00,16.38700,16.50670,16.26510,16.45000,
2020-06-15 22:00:00,16.42240,16.62290,16.34210,16.54920,
2020-06-16 00:00:00,16.53170,16.54500,16.44440,16.49610,
2020-06-16 02:00:00,16.50170,16.50170,16.35040,16.36850,
2020-06-16 04:00:00,16.37260,16.42440,16.31090,16.42370,
2020-06-16 06:00:00,16.42620,16.48150,16.38190,16.38190,
2020-06-16 08:00:00,16.36460,16.50380,16.30030,16.45920,
2020-06-16 10:00:00,16.44370,16.45230,16.16340,16.22150,
2020-06-16 12:00:00,16.21760,16.34010,16.18590,16.32380,
2020-06-16 14:00:00,16.32370,16.42020,16.32370,16.39200,
2020-06-16 16:00:00,16.39270,16.43170,16.36370,16.41550,
2020-06-16 18:00:00,16.41510,16.42800,16.36890,16.42800,
2020-06-16 20:00:00,16.43870,16.48060,16.29410,16.40520,
2020-06-16 22:00:00,16.40270,16.42630,16.31970,16.38510,
2020-06-17 00:00:00,16.38560,16.56700,16.33810,16.35890,
2020-06-17 02:00:00,16.36750,16.50180,16.35240,16.47830,
2020-06-17 04:00:00,16.49130,16.50480,16.41660,16.46930,
2020-06-17 06:00:00,16.47230,16.48680,16.42910,16.47160,
2020-06-17 08:00:00,16.47310,16.61730,16.41520,16.41520,
2020-06-17 10:00:00,16.39840,16.46880,16.31420,16.31420,
2020-06-17 12:00:00,16.32610,16.36980,16.18840,16.27000,
2020-06-17 14:00:00,16.27120,16.30850,16.13520,16.13520,
2020-06-17 16:00:00,16.09270,16.33400,16.00580,16.31910,
2020-06-17 18:00:00,16.31920,16.41050,16.29140,16.39830,
2020-06-17 20:00:00,16.39040,16.53460,16.34200,16.43390,
2020-06-17 22:00:00,16.43790,16.52720,16.38240,16.44500,
2020-06-18 00:00:00,16.44990,16.44990,16.38810,16.41530,
2020-06-18 02:00:00,16.41740,16.47360,16.40250,16.43860,
2020-06-18 04:00:00,16.43460,16.49070,16.37530,16.44200,
2020-06-18 06:00:00,16.42720,16.43410,16.36130,16.37580,
2020-06-18 08:00:00,16.38280,16.38440,16.22450,16.25690,
2020-06-18 10:00:00,16.22850,16.33120,16.21000,16.24700,
2020-06-18 12:00:00,16.22790,16.29760,16.21000,16.23690,
2020-06-18 14:00:00,16.23170,16.23910,16.03270,16.16210,
2020-06-18 16:00:00,16.12270,16.18340,15.89950,16.05750,
2020-06-18 18:00:00,16.04950,16.20280,16.03120,16.15540,
2020-06-18 20:00:00,16.14510,16.28190,16.10230,16.10460,
2020-06-18 22:00:00,16.09530,16.13320,15.89660,15.94360,
2020-06-19 00:00:00,15.92080,16.13760,15.91480,16.09690,
2020-06-19 02:00:00,16.10860,16.11920,15.95010,15.99380,
2020-06-19 04:00:00,16.00930,16.15700,15.97460,16.12950,
2020-06-19 06:00:00,16.13310,16.17110,16.12310,16.15590,
2020-06-19 08:00:00,16.15380,16.16030,16.11770,16.13510,
2020-06-19 10:00:00,16.13840,16.16030,16.08100,16.12520,
2020-06-19 12:00:00,16.12250,16.13860,15.98190,15.98830,
2020-06-19 14:00:00,15.99000,16.05300,15.92900,15.98930,
2020-06-19 16:00:00,15.98130,16.04420,15.94030,16.02500,
2020-06-19 18:00:00,16.03020,16.05900,15.93400,15.96120,
2020-06-19 20:00:00,15.91000,16.05940,15.91000,15.98710,
2020-06-19 22:00:00,15.98000,16.02840,15.94670,15.99960,
2020-06-20 00:00:00,16.03860,16.03860,15.95460,15.95700,
2020-06-20 02:00:00,15.96660,16.01530,15.95260,15.97970,
2020-06-20 04:00:00,15.97410,15.97770,15.90530,15.94080,
2020-06-20 06:00:00,15.93790,15.98800,15.70000,15.98800,
2020-06-20 08:00:00,15.97550,15.98630,15.87920,15.88600,
2020-06-20 10:00:00,15.89390,15.93670,15.80990,15.84070,
2020-06-20 12:00:00,15.81600,15.87240,15.81380,15.83100,
2020-06-20 14:00:00,15.83570,15.93230,15.83570,15.89810,
2020-06-20 16:00:00,15.93570,15.99600,15.92940,15.97170,
2020-06-20 18:00:00,15.98890,16.08520,15.98890,16.05780,
2020-06-20 20:00:00,16.07080,16.18630,16.06700,16.13530,
2020-06-20 22:00:00,16.14680,16.31270,16.14680,16.17670,
2020-06-21 00:00:00,16.17020,16.18710,16.04800,16.14980,
2020-06-21 02:00:00,16.17530,16.17530,16.02330,16.02990,
2020-06-21 04:00:00,16.03000,16.08830,16.02090,16.07310,
2020-06-21 06:00:00,16.07090,16.07090,16.01260,16.04500,
2020-06-21 08:00:00,16.02760,16.04350,15.97690,16.03450,
2020-06-21 10:00:00,16.02170,16.11160,16.00150,16.06700,
2020-06-21 12:00:00,16.07880,16.10500,16.03780,16.05170,
2020-06-21 14:00:00,16.03650,16.06220,15.97310,16.04680,
2020-06-21 16:00:00,16.04640,16.05930,15.98550,16.00880,
2020-06-21 18:00:00,15.99880,15.99880,15.94600,15.97000,
2020-06-21 20:00:00,15.97750,16.17800,15.96480,16.17800,
2020-06-21 22:00:00,16.18490,16.18860,16.12280,16.17260,
2020-06-22 00:00:00,16.19270,16.22510,16.13450,16.19020,
2020-06-22 02:00:00,16.20010,16.21750,16.15830,16.18680,
2020-06-22 04:00:00,16.19080,16.25000,16.18870,16.24440,
2020-06-22 06:00:00,16.23270,16.28290,16.20550,16.26470,
2020-06-22 08:00:00,16.28000,16.35740,16.24310,16.26480,
2020-06-22 10:00:00,16.26200,16.31900,16.22510,16.31900,
2020-06-22 12:00:00,16.33700,16.43820,16.31830,16.34360,
2020-06-22 14:00:00,16.34380,16.39350,16.33620,16.37430,
2020-06-22 16:00:00,16.38570,16.52740,16.38570,16.44120,
2020-06-22 18:00:00,16.42890,16.51940,16.38130,16.50000,
2020-06-22 20:00:00,16.50400,16.54320,16.35770,16.39760,
2020-06-22 22:00:00,16.41390,16.41720,16.34300,16.41570,
2020-06-23 00:00:00,16.41580,16.41900,16.32560,16.35480,
2020-06-23 02:00:00,16.35170,16.42070,16.33080,16.41130,
2020-06-23 04:00:00,16.39000,16.39000,16.27540,16.36240,
2020-06-23 06:00:00,16.33690,16.37940,16.30500,16.37260,
2020-06-23 08:00:00,16.36810,16.42610,16.35210,16.40460,
2020-06-23 10:00:00,16.40470,16.48750,16.39670,16.48750,
2020-06-23 12:00:00,16.51240,16.51240,16.40750,16.44060,
2020-06-23 14:00:00,16.45250,16.46300,16.41820,16.44080,
2020-06-23 16:00:00,16.42200,16.44640,16.36160,16.39040,
2020-06-23 18:00:00,16.38950,16.39620,16.32340,16.38990,
2020-06-23 20:00:00,16.38370,16.45440,16.34760,16.45440,
2020-06-23 22:00:00,16.45540,16.47310,16.41800,16.44630,
2020-06-24 00:00:00,16.45030,16.58930,16.43490,16.58930,
2020-06-24 02:00:00,16.59950,16.64460,16.30910,16.30910,
2020-06-24 04:00:00,16.25780,16.38120,16.25780,16.33280,
2020-06-24 06:00:00,16.33220,16.34270,16.05010,16.05010,
2020-06-24 08:00:00,16.05010,16.23550,16.05010,16.15580,
2020-06-24 10:00:00,16.14670,16.18390,15.97860,16.05490,
2020-06-24 12:00:00,16.03860,16.20470,16.03200,16.15690,
2020-06-24 14:00:00,16.17610,16.17610,16.04450,16.06330,
2020-06-24 16:00:00,16.05730,16.09470,15.98010,16.08740,
2020-06-24 18:00:00,16.08640,16.20000,15.98030,16.00280,
2020-06-24 20:00:00,15.99190,16.01480,15.93260,15.97950,
2020-06-24 22:00:00,15.96430,15.96620,15.50750,15.75830,
2020-06-25 00:00:00,15.75300,15.87590,15.70130,15.86380,
2020-06-25 02:00:00,15.87340,15.89660,15.77890,15.83160,
2020-06-25 04:00:00,15.84770,16.04120,15.84770,15.99440,
2020-06-25 06:00:00,15.99350,16.08000,15.98620,16.04030,
2020-06-25 08:00:00,16.05070,16.05070,15.84920,15.85000,
2020-06-25 10:00:00,15.86120,15.97870,15.86120,15.96500,
