,open,high,low,close,volume
2021-04-17 09:00:00,521.00098,521.19531,514.78729,517.37250,
2021-04-17 09:30:00,519.80450,525.04053,519.63849,521.93982,
2021-04-17 10:00:00,520.53027,525.07788,519.00000,521.69458,
2021-04-17 10:30:00,522.97559,522.97559,518.04340,518.46997,
2021-04-17 11:00:00,517.86310,519.29089,514.41479,518.65039,
2021-04-17 11:30:00,517.54889,518.67297,508.84790,512.01239,
2021-04-17 12:00:00,510.00000,516.19928,506.92291,516.19928,
2021-04-17 12:30:00,516.29932,519.16803,514.40668,516.54950,
2021-04-17 13:00:00,516.41162,518.94769,515.65833,517.84918,
2021-04-17 13:30:00,517.66418,519.30048,510.00000,511.20731,
2021-04-17 14:00:00,509.71149,518.23438,507.86859,515.86407,
2021-04-17 14:30:00,515.16528,517.08911,514.71289,515.10419,
2021-04-17 15:00:00,514.92383,517.91718,514.92383,515.68701,
2021-04-17 15:30:00,515.37671,518.02618,515.37671,517.53693,
2021-04-17 16:00:00,518.43512,518.43512,516.21729,518.06500,
2021-04-17 16:30:00,518.58698,524.39990,518.58698,524.39990,
2021-04-17 17:00:00,524.90002,524.99982,519.88129,524.14227,
2021-04-17 17:30:00,524.70001,528.92999,524.70001,526.94849,
2021-04-17 18:00:00,527.19391,530.00012,524.99988,530.00012,
2021-04-17 18:30:00,529.37817,529.80548,524.26801,526.75598,
2021-04-17 19:00:00,526.15991,527.82208,521.78821,521.78821,
2021-04-17 19:30:00,521.95679,522.01471,514.82379,515.13483,
2021-04-17 20:00:00,516.40997,520.00061,509.92761,509.92761,
2021-04-17 20:30:00,508.01691,514.17987,507.45331,510.29980,
2021-04-17 21:00:00,510.17920,511.50409,500.31329,508.02039,
2021-04-17 21:30:00,507.05640,514.48358,506.70950,511.55829,
2021-04-17 22:00:00,509.59781,513.72131,502.61060,509.46429,
2021-04-17 22:30:00,509.26080,511.50171,502.00000,504.03409,
2021-04-17 23:00:00,505.66010,507.50000,472.30640,485.39999,
2021-04-17 23:30:00,478.46600,480.12021,433.44870,480.12021,
2021-04-18 00:00:00,478.26190,488.03931,470.30161,481.59009,
2021-04-18 00:30:00,483.38049,485.08191,453.98099,457.55200,
2021-04-18 01:00:00,457.90860,472.41260,457.90860,465.62259,
2021-04-18 01:30:00,467.88901,469.33191,462.60510,469.02371,
2021-04-18 02:00:00,467.42349,477.29269,467.42349,473.95850,
2021-04-18 02:30:00,476.04370,476.04370,461.45639,465.58621,
2021-04-18 03:00:00,466.80939,477.82639,466.80939,477.42041,
2021-04-18 03:30:00,478.01669,483.22711,474.00000,480.40930,
2021-04-18 04:00:00,482.30249,483.24219,473.40930,478.86279,
2021-04-18 04:30:00,479.71539,481.00009,466.02951,467.52771,
2021-04-18 05:00:00,466.91949,467.09079,454.04141,454.60849,
2021-04-18 05:30:00,452.45581,459.01199,443.97269,454.21689,
2021-04-18 06:00:00,453.00000,459.83191,448.33279,454.23080,
2021-04-18 06:30:00,455.53339,462.03922,454.18219,454.67380,
2021-04-18 07:00:00,454.63580,459.61310,450.37100,450.37100,
2021-04-18 07:30:00,452.01190,452.01190,430.00000,432.32410,
2021-04-18 08:00:00,436.06891,447.29660,435.97760,446.65979,
2021-04-18 08:30:00,444.03760,452.36609,444.03760,451.39380,
2021-04-18 09:00:00,449.93500,456.66641,448.07541,454.82510,
2021-04-18 09:30:00,455.57959,456.24438,451.36890,454.54080,
2021-04-18 10:00:00,453.29810,461.99991,451.92361,461.99991,
2021-04-18 10:30:00,460.47571,468.54010,460.47571,463.25659,
2021-04-18 11:00:00,463.21201,469.71310,460.09030,467.40939,
2021-04-18 11:30:00,468.39490,468.39490,459.85229,467.11490,
2021-04-18 12:00:00,468.99991,479.36230,467.08499,477.03851,
2021-04-18 12:30:00,477.38010,477.42139,471.66281,475.27621,
2021-04-18 13:00:00,474.93930,477.88751,469.80200,473.44421,
2021-04-18 13:30:00,473.17789,473.17789,462.82019,464.74039,
2021-04-18 14:00:00,465.47531,466.97510,461.68011,462.66379,
2021-04-18 14:30:00,461.90640,469.43451,461.83691,467.48239,
2021-04-18 15:00:00,468.34900,472.94299,465.97360,472.69290,
2021-04-18 15:30:00,473.21701,474.35010,470.23260,474.34460,
2021-04-18 16:00:00,475.02200,475.02200,472.57309,472.99991,
2021-04-18 16:30:00,473.78491,479.50000,473.59549,476.10001,
2021-04-18 17:00:00,476.70679,476.70679,471.56131,473.23169,
2021-04-18 17:30:00,473.95050,476.11081,466.36340,476.00119,
2021-04-18 18:00:00,478.31009,478.45590,473.74359,475.38931,
2021-04-18 18:30:00,476.16940,481.31281,476.00000,480.48999,
2021-04-18 19:00:00,480.10001,480.32269,476.26669,476.61520,
2021-04-18 19:30:00,478.41800,484.11621,478.41800,481.46271,
2021-04-18 20:00:00,481.42010,483.33191,469.37000,474.79660,
2021-04-18 20:30:00,474.04059,490.25671,473.88080,489.38309,
2021-04-18 21:00:00,489.06461,502.59799,488.65640,502.59799,
2021-04-18 21:30:00,499.23730,511.66281,497.72690,506.72739,
2021-04-18 22:00:00,509.40851,509.95999,503.11310,509.50250,
2021-04-18 22:30:00,510.20410,523.34363,509.74210,523.19360,
2021-04-18 23:00:00,524.99829,533.16760,521.34912,532.71307,
2021-04-18 23:30:00,533.24902,538.33240,530.72839,532.09381,
2021-04-19 00:00:00,532.78772,532.78772,524.33893,528.91510,
2021-04-19 00:30:00,531.66278,533.07581,521.60718,528.00000,
