,open,high,low,close,volume
2021-06-08 21:15:00,32965.48047,33004.87891,32920.01172,33004.87891,
2021-06-08 21:30:00,32985.12109,32985.12109,32767.32031,32767.32031,
2021-06-08 21:45:00,32738.56055,32738.56055,32459.99023,32459.99023,
2021-06-08 22:00:00,32547.18945,32651.75000,32529.07031,32529.07031,
2021-06-08 22:15:00,32571.85938,32604.24023,32424.92969,32544.94922,
2021-06-08 22:30:00,32510.07031,32658.64062,32454.39062,32653.80078,
2021-06-08 22:45:00,32621.38086,33101.35156,32621.38086,32816.71094,
2021-06-08 23:00:00,32894.42969,32936.35156,32611.51953,32928.12109,
2021-06-08 23:15:00,32976.03906,33091.00000,32916.26172,32941.71094,
2021-06-08 23:30:00,32948.16016,32948.16016,32814.28125,32932.71094,
2021-06-08 23:45:00,32952.85938,32971.44922,32843.42969,32874.37891,
2021-06-09 00:00:00,32899.33984,32960.67969,32674.99023,32801.60938,
2021-06-09 00:15:00,32766.51953,32766.51953,32573.96094,32661.26953,
2021-06-09 00:30:00,32631.43945,32821.57031,32631.43945,32725.65039,
2021-06-09 00:45:00,32726.33984,32964.05078,32726.33984,32964.05078,
2021-06-09 01:00:00,32921.28125,33183.98828,32913.35938,33172.19141,
2021-06-09 01:15:00,33209.98828,33696.05859,33209.98828,33570.67188,
2021-06-09 01:30:00,33478.94922,33559.96875,33425.48828,33559.96875,
2021-06-09 01:45:00,33538.62109,33538.62109,33431.73047,33489.94141,
2021-06-09 02:00:00,33470.44922,33585.32812,33442.14844,33480.01172,
2021-06-09 02:15:00,33483.58984,33709.48828,33483.58984,33660.55859,
2021-06-09 02:30:00,33826.10938,34085.12891,33681.28906,34085.12891,
2021-06-09 02:45:00,34108.01172,34274.96094,34094.03125,34206.30859,
2021-06-09 03:00:00,34185.76172,34481.92969,34152.82031,34335.55078,
2021-06-09 03:15:00,34331.21875,34356.48047,34123.85156,34141.69922,
2021-06-09 03:30:00,34168.30078,34262.07031,34168.30078,34257.89844,
2021-06-09 03:45:00,34245.76953,34322.14844,34137.98828,34161.58984,
2021-06-09 04:00:00,34106.12109,34285.01172,33814.37891,34257.82031,
2021-06-09 04:15:00,34216.76172,34216.76172,33996.32812,34027.67969,
2021-06-09 04:30:00,33943.94141,34092.17969,33888.12109,34007.89844,
2021-06-09 04:45:00,34051.71875,34099.98828,33865.96875,33971.05078,
2021-06-09 05:00:00,34022.60156,34188.41016,33980.94141,34034.42969,
2021-06-09 05:15:00,34175.87109,34363.48047,34175.87109,34224.62891,
2021-06-09 05:30:00,34274.51172,34338.98047,34159.98828,34312.28906,
2021-06-09 05:45:00,34267.16016,34267.16016,34011.96094,34019.10156,
2021-06-09 06:00:00,33996.30859,34129.85938,33983.66016,34068.35938,
2021-06-09 06:15:00,34049.62109,34330.00000,34049.62109,34317.53906,
2021-06-09 06:30:00,34276.05078,34641.12891,34245.23047,34543.10156,
2021-06-09 06:45:00,34599.14844,34601.60938,34406.32812,34488.85938,
2021-06-09 07:00:00,34462.71875,34632.55078,34363.53125,34542.39844,
2021-06-09 07:15:00,34535.78125,34727.14844,34535.78125,34564.85156,
2021-06-09 07:30:00,34588.37109,34701.01953,34522.96094,34701.01953,
