,open,high,low,close,volume
2020-01-06 07:00:00,7540.20020,7556.33984,7523.04980,7524.20996,
2020-01-06 11:00:00,7517.60010,7559.60010,7511.64990,7539.77979,
2020-01-06 15:00:00,7539.54004,7783.45996,7535.20996,7757.18994,
2020-01-06 19:00:00,7769.20996,7988.89014,7769.20996,7895.20996,
2020-01-06 23:00:00,7901.27979,7904.99023,7831.72998,7883.37012,
2020-01-07 03:00:00,7882.04980,7958.16992,7856.00000,7899.52979,
2020-01-07 07:00:00,7896.74023,7908.93018,7746.06982,7764.10986,
2020-01-07 11:00:00,7752.70020,8120.68018,7740.00000,8071.14014,
2020-01-07 15:00:00,8060.00000,8186.81006,7957.81006,8158.56982,
2020-01-07 19:00:00,8147.08984,8450.54980,8147.08984,8299.74023,
2020-01-07 23:00:00,8313.16992,8374.71973,8285.05957,8299.96973,
2020-01-08 03:00:00,8296.69043,8364.00000,8265.00977,8330.00000,
2020-01-08 07:00:00,8332.05957,8414.03027,8224.62988,8309.62012,
2020-01-08 11:00:00,8322.34961,8322.34961,7965.00000,7965.00000,
2020-01-08 15:00:00,7974.56982,8123.45020,7880.79980,8049.77002,
2020-01-08 19:00:00,8052.75977,8052.75977,7934.08984,7952.39014,
2020-01-08 23:00:00,7952.49023,7973.74023,7901.00977,7950.29980,
2020-01-09 03:00:00,7949.52002,7954.24023,7857.60010,7875.37012,
2020-01-09 07:00:00,7875.06006,7943.93018,7872.14990,7906.39990,
2020-01-09 11:00:00,7913.74023,7942.25000,7781.45996,7909.58008,
2020-01-09 15:00:00,7916.91992,7992.22998,7753.72998,7822.22998,
2020-01-09 19:00:00,7817.75977,7850.83984,7782.52979,7815.83008,
2020-01-09 23:00:00,7815.14990,7815.14990,7721.54980,7751.31982,
2020-01-10 03:00:00,7746.66992,7851.72998,7684.74023,7838.14014,
2020-01-10 07:00:00,7842.85010,8078.25977,7820.00000,8066.45020,
2020-01-10 11:00:00,8067.43994,8132.50000,7913.02002,8066.22021,
2020-01-10 15:00:00,8048.43018,8197.37012,7986.83984,8194.87988,
2020-01-10 19:00:00,8176.39014,8250.26953,8132.45996,8161.08008,
2020-01-10 23:00:00,8156.95020,8175.47021,8045.16016,8074.14014,
2020-01-11 03:00:00,8068.91016,8128.06006,8011.37012,8045.62988,
2020-01-11 07:00:00,8035.12012,8112.47021,8022.93018,8099.06982,
2020-01-11 11:00:00,8099.22021,8215.59961,8074.41992,8155.97021,
2020-01-11 15:00:00,8153.43994,8284.84961,8006.22998,8020.00977,
2020-01-11 19:00:00,8005.85010,8109.58008,7968.02979,8086.33008,
2020-01-11 23:00:00,8092.31982,8152.77979,8071.95020,8097.10010,
2020-01-12 03:00:00,8096.79980,8161.41016,8088.37988,8111.56982,
2020-01-12 07:00:00,8115.70996,8182.18994,8113.50977,8155.00000,
2020-01-12 11:00:00,8152.66992,8189.41992,8075.00000,8129.33008,
2020-01-12 15:00:00,8136.43018,8183.52979,8101.06006,8182.41016,
2020-01-12 19:00:00,8184.62988,8195.00977,8088.31006,8107.70020,
2020-01-12 23:00:00,8098.91992,8125.37012,8060.02002,8075.60010,
2020-01-13 03:00:00,8073.99023,8129.99023,8065.00000,8092.33008,
2020-01-13 07:00:00,8076.72998,8109.16992,8065.77979,8085.37988,
2020-01-13 11:00:00,8085.39014,8128.37988,8075.00000,8111.56006,
2020-01-13 15:00:00,8109.47998,8157.52979,8103.91992,8107.75977,
2020-01-13 19:00:00,8112.64014,8469.55957,8112.64014,8465.99023,
2020-01-13 23:00:00,8479.62988,8562.58008,8465.26953,8510.00000,
2020-01-14 03:00:00,8514.29980,8554.82031,8475.12012,8524.04980,
2020-01-14 07:00:00,8526.48047,8750.00977,8480.04004,8693.17969,
2020-01-14 11:00:00,8648.79980,8845.83984,8536.67969,8762.83008,
2020-01-14 15:00:00,8752.41992,8876.13965,8672.96973,8840.00000,
2020-01-14 19:00:00,8802.63965,8894.95996,8720.15039,8729.80957,
2020-01-14 23:00:00,8725.76953,8732.04004,8573.66992,8622.08984,
2020-01-15 03:00:00,8619.37012,8805.80957,8605.54004,8729.98047,
2020-01-15 07:00:00,8729.09961,8912.38965,8729.09961,8765.70020,
2020-01-15 11:00:00,8793.90039,8816.98047,8698.98047,8761.23047,
2020-01-15 15:00:00,8758.46973,8868.83008,8740.46973,8829.16992,
2020-01-15 19:00:00,8824.57031,8859.21973,8601.78027,8645.26953,
2020-01-15 23:00:00,8636.91016,8725.76953,8623.00000,8677.62012,
2020-01-16 03:00:00,8679.66992,8720.86035,8604.91992,8720.86035,
2020-01-16 07:00:00,8715.83008,8786.00000,8646.58008,8711.44043,
2020-01-16 11:00:00,8710.00977,8717.00000,8630.00000,8705.00000,
2020-01-16 15:00:00,8710.91016,8749.79004,8675.13965,8731.99023,
2020-01-16 19:00:00,8722.49023,8834.63965,8676.71973,8782.61035,
2020-01-16 23:00:00,8799.37988,8995.70996,8764.58984,8928.01953,
