,open,high,low,close,volume
2001-09-20,372.50000,382.50000,363.00000,363.60001,2502500
2001-09-21,350.00000,366.89999,345.10001,363.60001,3059900
2001-09-24,380.00000,395.00000,377.60001,390.00000,1974800
2001-09-25,386.00000,398.39999,380.10001,390.39999,1894400
2001-09-26,399.50000,399.50000,386.00000,393.10001,1411600
2001-09-27,394.39999,399.89999,383.50000,398.70001,1366700
2001-09-28,401.50000,411.00000,400.50000,405.00000,1845500
2001-10-01,407.79999,422.50000,405.00000,417.50000,1769200
2001-10-02,416.50000,423.50000,410.29999,422.50000,1557800
2001-10-03,417.79999,440.00000,416.89999,434.79999,1930900
2001-10-04,444.50000,446.00000,430.89999,436.20001,2264900
2001-10-05,435.00000,442.50000,421.60001,431.00000,2117900
2001-10-08,431.10001,431.10001,420.20001,424.20001,1186900
2001-10-09,422.00000,432.50000,421.10001,427.00000,1130500
2001-10-10,428.00000,448.00000,427.50000,443.10001,1559100
2001-10-11,450.00000,460.00000,449.20001,457.50000,1916200
2001-10-12,450.00000,455.10001,440.00000,450.60001,1787500
2001-10-15,449.50000,453.00000,440.10001,448.00000,1224000
2001-10-16,453.00000,466.00000,451.10001,460.89999,1437400
2001-10-17,469.50000,477.00000,462.10001,465.60001,1952300
2001-10-18,461.60001,467.70001,459.89999,465.00000,1123600
2001-10-19,464.89999,464.89999,447.79999,458.50000,1584500
2001-10-22,457.00000,472.50000,456.70001,470.10001,1174700
2001-10-23,480.00000,483.50000,470.50000,472.39999,1653600
2001-10-24,472.50000,478.39999,467.00000,469.39999,1225200
2001-10-25,462.20001,483.70001,459.60001,481.00000,1329800
2001-10-26,478.20001,487.50000,477.79999,485.79999,1184500
2001-10-29,483.10001,483.10001,462.70001,464.00000,1464800
2001-10-30,454.00000,469.89999,448.39999,455.50000,1411000
2001-10-31,460.00000,463.79999,452.60001,455.20001,1110800
2001-11-01,454.50000,464.79999,447.00000,462.50000,1261900
2001-11-02,454.00000,470.50000,453.60001,469.29999,898300
2001-11-05,474.50000,480.00000,467.20001,472.70001,1254800
2001-11-06,472.70001,476.70001,465.50000,475.50000,1459200
2001-11-07,473.00000,485.00000,470.20001,481.00000,1202400
2001-11-08,482.50000,494.00000,482.10001,485.00000,1338800
2001-11-09,484.00000,489.89999,478.89999,483.00000,824400
2001-11-12,478.00000,484.70001,469.00000,482.00000,958900
2001-11-13,490.50000,500.00000,486.39999,499.50000,1352900
2001-11-14,500.00000,507.50000,496.50000,504.50000,1510700
2001-11-15,502.79999,505.70001,496.20001,500.89999,1273800
2001-11-16,497.50000,497.60001,482.00000,488.00000,1772700
2001-11-19,493.20001,500.29999,489.00000,496.00000,989900
2001-11-20,499.29999,501.79999,494.79999,495.50000,876600
2001-11-21,493.79999,496.60001,486.00000,489.00000,688600
2001-11-23,491.50000,499.89999,490.60001,499.39999,358900
2001-11-26,500.79999,508.89999,498.60001,508.10001,1105000
2001-11-27,508.10001,509.89999,500.00000,505.50000,1028200
2001-11-28,500.00000,502.20001,477.50000,478.00000,2365100
2001-11-29,478.00000,484.89999,470.00000,483.60001,1553400
2001-11-30,483.60001,484.70001,475.10001,479.00000,1325500
2001-12-03,480.00000,480.00000,465.50000,469.10001,1378900
2001-12-04,470.50000,478.89999,469.60001,478.29999,970900
2001-12-05,480.00000,495.29999,480.00000,490.00000,1275900
2001-12-06,492.00000,499.70001,488.50000,496.00000,1148300
2001-12-07,498.50000,498.50000,488.00000,492.10001,841000
2001-12-10,487.50000,490.89999,478.20001,479.20001,983600
2001-12-11,482.00000,491.00000,475.50000,486.10001,1237100
2001-12-12,487.00000,491.00000,474.89999,481.50000,1366800
2001-12-13,472.50000,475.00000,470.50000,474.50000,1319000
2001-12-14,469.29999,472.50000,460.00000,466.89999,1481200
2001-12-17,469.39999,477.29999,463.00000,473.70001,1158300
2001-12-18,478.50000,483.39999,473.50000,481.00000,1375400
2001-12-19,485.00000,501.10001,485.00000,500.00000,1837200
2001-12-20,503.50000,505.00000,494.50000,497.10001,1392200
2001-12-21,497.20001,501.50000,489.00000,501.50000,2693000
2001-12-24,500.00000,503.00000,499.20001,499.70001,484800
2001-12-26,501.10001,508.29999,500.60001,502.20001,657600
2001-12-27,500.00000,508.39999,500.00000,507.39999,743900
2001-12-28,510.00000,518.00000,509.39999,511.89999,868500
2001-12-31,506.00000,513.70001,504.79999,504.79999,841600
2002-01-02,500.20001,511.00000,499.10001,510.10001,1127600
2002-01-03,507.00000,514.00000,502.50000,510.50000,1181500
2002-01-04,511.50000,520.00000,511.50000,520.00000,1234800
2002-01-07,519.90002,522.00000,511.60001,513.90002,1051100
2002-01-08,509.50000,510.60001,492.50000,495.00000,1983500
2002-01-09,501.50000,506.00000,496.70001,497.89999,1296600
2002-01-10,500.00000,503.00000,494.89999,498.50000,918400
2002-01-11,501.00000,501.89999,489.89999,490.70001,863000
2002-01-14,490.70001,492.89999,485.00000,488.79999,1101600
2002-01-15,494.00000,498.00000,488.39999,497.20001,1054200
2002-01-16,493.00000,494.79999,487.00000,488.60001,1212800
2002-01-17,501.00000,502.50000,497.00000,499.00000,1543000
2002-01-18,499.00000,503.20001,498.00000,499.60001,1273500
2002-01-22,505.00000,505.50000,490.60001,492.00000,1244400
2002-01-23,496.39999,499.89999,487.00000,495.00000,982300
2002-01-24,499.50000,505.60001,494.50000,499.00000,1148900
2002-01-25,496.00000,501.89999,492.70001,496.20001,967500
2002-01-28,498.70001,500.89999,485.29999,493.10001,1033000
2002-01-29,493.10001,496.00000,462.50000,467.10001,2255500
2002-01-30,465.00000,477.00000,452.10001,475.00000,2308200
2002-01-31,477.29999,477.50000,462.50000,474.00000,1498800
2002-02-01,470.10001,474.00000,460.00000,464.89999,1432200
2002-02-04,460.00000,460.10001,439.89999,443.00000,2210800
2002-02-05,455.00000,455.00000,431.50000,448.00000,1956800
2002-02-06,448.00000,453.70001,435.00000,440.00000,1578000
2002-02-07,437.50000,453.39999,435.50000,441.39999,1611200
