,open,high,low,close,volume
2019-06-20 10:00:00,68.56000,68.72000,67.23500,67.42500,5289174
2019-06-20 12:00:00,67.42500,67.83000,67.25000,67.82000,2512066
2019-06-20 14:00:00,67.82000,68.31000,67.82000,68.07500,2232873
2019-06-20 16:00:00,68.07500,68.32000,67.97500,68.11000,2071205
2019-06-21 10:00:00,68.03000,68.96000,67.88010,68.70000,1313851
2019-06-21 12:00:00,68.69000,68.86000,68.52000,68.60500,2076825
2019-06-21 14:00:00,68.60500,68.67000,68.32500,68.40000,2292730
2019-06-21 16:00:00,68.40000,68.45000,67.95500,68.09000,2363539
2019-06-24 10:00:00,67.82000,68.50460,67.66000,67.83000,3406506
2019-06-24 12:00:00,67.83000,67.97000,67.74000,67.80500,1761787
2019-06-24 14:00:00,67.80500,67.88000,67.55000,67.68000,2207799
2019-06-24 16:00:00,67.68000,67.75000,67.38000,67.41000,1684350
2019-06-25 10:00:00,67.46000,67.48000,66.57000,67.03500,3442117
2019-06-25 12:00:00,67.04000,67.23000,66.90000,67.18000,2712296
2019-06-25 14:00:00,67.18000,67.19000,66.63000,66.76000,3310333
2019-06-25 16:00:00,66.75500,66.80000,66.48000,66.52000,2145228
2019-06-26 10:00:00,67.04000,67.72000,66.76500,67.56000,4071726
2019-06-26 12:00:00,67.56000,67.57500,67.07000,67.07500,2059836
2019-06-26 14:00:00,67.07700,67.34000,67.02370,67.28000,2801321
2019-06-26 16:00:00,67.28000,67.42500,67.24000,67.25000,1875090
2019-06-27 10:00:00,67.62000,68.18000,67.53000,67.92550,3845828
2019-06-27 12:00:00,67.92000,68.36000,67.78000,68.32000,1746755
2019-06-27 14:00:00,68.31500,68.43000,67.89500,68.02000,1725878
2019-06-27 16:00:00,68.01000,68.29000,67.96320,68.23000,1549431
2019-06-28 10:00:00,69.28000,70.13000,69.13000,69.94500,6339925
2019-06-28 12:00:00,69.93000,70.20500,69.77000,69.84000,2551978
2019-06-28 14:00:00,69.83000,69.97000,69.64000,69.73500,2392414
2019-06-28 16:00:00,69.73000,70.10500,69.70500,70.08500,2273009
2019-07-01 10:00:00,70.86000,71.64000,70.70000,70.74000,4936679
2019-07-01 12:00:00,70.75000,70.90500,70.19000,70.31000,2910625
2019-07-01 14:00:00,70.30500,70.74000,70.30000,70.66000,2198787
2019-07-01 16:00:00,70.66000,70.90000,70.66000,70.70000,1706016
2019-07-02 10:00:00,70.36000,70.98000,70.30000,70.46000,3171829
2019-07-02 12:00:00,70.46000,70.53000,70.09000,70.39000,2719042
2019-07-02 14:00:00,70.39500,70.40990,70.14500,70.29000,2146541
2019-07-02 16:00:00,70.29000,70.40000,70.25000,70.36000,1279566
2019-07-03 10:00:00,70.71000,70.95000,70.28000,70.89000,3176121
2019-07-03 12:00:00,70.88500,71.20000,70.83000,70.84490,1944440
2019-07-03 14:00:00,70.85000,70.89500,70.53000,70.72000,0
2019-07-05 10:00:00,71.27000,71.80000,70.98000,71.28310,3769553
2019-07-05 12:00:00,71.28000,71.48000,71.23000,71.24420,1540871
2019-07-05 14:00:00,71.25000,71.46500,71.15000,71.40500,1490191
2019-07-05 16:00:00,71.40000,71.45000,71.15000,71.41000,1298345
2019-07-08 10:00:00,70.76000,71.69000,70.64000,71.63000,4043969
2019-07-08 12:00:00,71.63000,71.65000,71.30000,71.31000,1692522
2019-07-08 14:00:00,71.31000,71.37500,71.00500,71.19000,2048026
2019-07-08 16:00:00,71.20000,71.31000,71.11000,71.13990,1326055
2019-07-09 10:00:00,70.59000,71.58500,70.41000,71.56000,2956025
2019-07-09 12:00:00,71.56000,71.61000,71.17000,71.29500,1743271
2019-07-09 14:00:00,71.29000,71.46500,71.21000,71.43280,1641413
2019-07-09 16:00:00,71.44000,71.67000,71.42500,71.58000,1618862
2019-07-10 10:00:00,71.50000,71.93500,70.65000,70.70500,6113190
2019-07-10 12:00:00,70.71000,71.31000,70.68000,71.22000,1744361
2019-07-10 14:00:00,71.23000,71.35580,70.99000,71.04500,1958278
2019-07-10 16:00:00,71.04500,71.14000,70.97470,71.05500,1166361
2019-07-11 10:00:00,71.42980,71.76000,71.09000,71.47000,3548868
2019-07-11 12:00:00,71.47500,71.78000,71.38000,71.62000,2060243
2019-07-11 14:00:00,71.62000,72.00000,71.60000,71.86160,2652840
2019-07-11 16:00:00,71.87000,71.87000,71.59000,71.61500,1810288
2019-07-12 10:00:00,71.89000,72.00000,71.58000,71.60990,5191061
2019-07-12 12:00:00,71.61000,71.99000,71.61000,71.98500,2921630
2019-07-12 14:00:00,71.99000,72.02000,71.74000,71.84000,3782827
2019-07-12 16:00:00,71.83500,71.91000,71.69000,71.75000,2574006
2019-07-15 10:00:00,71.73000,72.15000,70.08000,71.80980,12464921
2019-07-15 12:00:00,71.79660,71.86530,71.31000,71.66200,2959214
2019-07-15 14:00:00,71.67000,72.07500,71.62000,71.93500,3140710
2019-07-15 16:00:00,71.93000,71.95000,71.66000,71.73000,2396216
2019-07-16 10:00:00,71.70000,72.00000,71.23000,71.65000,7000572
2019-07-16 12:00:00,71.65000,71.67000,71.09000,71.31500,3294956
2019-07-16 14:00:00,71.32000,71.59500,71.14000,71.45500,3149684
2019-07-16 16:00:00,71.45000,71.57000,71.35000,71.36000,1891711
2019-07-17 10:00:00,71.19000,71.50000,70.62000,70.98000,4696199
2019-07-17 12:00:00,70.98000,71.50000,70.98000,71.38000,1960783
2019-07-17 14:00:00,71.39000,71.45000,70.76000,70.77500,2298111
2019-07-17 16:00:00,70.77500,70.87500,70.65500,70.82000,2011390
