,open,high,low,close,volume
2017-08-16,303.60999,312.17999,298.20999,302.00000,
2017-08-17,302.00000,311.79001,283.94000,293.95999,
2017-08-18,293.95999,299.89999,278.00000,290.91000,
2017-08-19,290.91000,300.53000,282.85001,299.10001,
2017-08-20,299.10001,346.51999,294.60001,323.29001,
2017-08-21,323.29001,330.41000,144.21001,309.79999,
2017-08-22,309.79999,324.98999,309.41000,315.73999,
2017-08-23,315.73999,328.04001,314.01001,323.42001,
2017-08-24,323.42001,338.28000,323.42001,327.23999,
2017-08-25,327.23999,335.44000,323.41000,330.79001,
2017-08-26,330.79001,348.13000,330.73001,348.13000,
2017-08-27,348.13000,351.00000,331.95001,346.00000,
2017-08-28,346.00000,377.60001,346.00000,374.70001,
2017-08-29,374.70001,393.70999,362.04999,385.92999,
2017-08-30,385.92999,389.35999,377.78000,384.79001,
2017-08-31,384.79001,394.39001,383.17999,388.45999,
2017-09-01,388.45999,394.32001,320.07999,343.14001,
2017-09-02,343.14001,367.28000,320.07999,341.76999,
2017-09-03,341.76999,344.54999,267.94000,283.76999,
2017-09-04,283.76999,321.51999,235.55000,312.09000,
2017-09-05,312.09000,336.34000,312.09000,335.00000,
2017-09-06,335.00000,342.50000,320.17001,334.48999,
2017-09-07,334.48999,335.10001,272.00000,302.98999,
2017-09-08,302.98999,307.00000,281.66000,296.73999,
2017-09-09,296.73999,302.78000,261.03000,293.50000,
2017-09-10,293.50000,304.98001,285.20999,297.29999,
2017-09-11,297.29999,316.45999,286.01001,293.95999,
2017-09-12,293.95999,294.50000,257.04999,276.91000,
2017-09-13,276.91000,283.76999,215.00000,215.21001,
2017-09-14,215.21001,270.92999,192.00000,253.00000,
2017-09-15,253.00000,271.81000,235.50999,249.31000,
2017-09-16,249.31000,264.39001,239.02000,257.54999,
2017-09-17,257.54999,306.22000,257.10999,294.57001,
2017-09-18,294.57001,300.00000,277.41000,284.00000,
2017-09-19,284.00000,294.00000,275.91000,282.00000,
