,open,high,low,close,volume
2021-01-03 08:00:00,833.21997,887.28998,833.21997,873.94000,
2021-01-03 09:00:00,871.38000,921.01001,864.37000,912.78998,
2021-01-03 10:00:00,917.69000,917.96997,887.46997,917.96997,
2021-01-03 11:00:00,929.46997,974.26001,929.10999,936.75000,
2021-01-03 12:00:00,939.70001,956.15002,919.79999,934.92999,
2021-01-03 13:00:00,939.59998,941.28998,893.13000,917.20001,
2021-01-03 14:00:00,915.97998,923.54999,900.13000,920.50000,
2021-01-03 15:00:00,922.07001,963.52002,922.07001,946.95001,
2021-01-03 16:00:00,945.35999,957.04999,937.67999,950.07001,
2021-01-03 17:00:00,947.09003,994.96002,945.97998,991.78998,
2021-01-03 18:00:00,989.95001,1008.28998,965.00000,973.84998,
2021-01-03 19:00:00,981.10999,993.81000,958.21002,977.28998,
2021-01-03 20:00:00,974.32001,978.42999,956.67999,965.71002,
2021-01-03 21:00:00,964.98999,980.40997,963.23999,979.38000,
2021-01-03 22:00:00,980.54999,1022.56000,978.78003,1022.44000,
2021-01-03 23:00:00,1019.96002,1032.81995,1015.23999,1027.63000,
2021-01-04 00:00:00,1027.48999,1094.58997,1017.46002,1089.39001,
2021-01-04 01:00:00,1080.00000,1158.97998,1080.00000,1104.20996,
2021-01-04 02:00:00,1108.87000,1115.18005,1027.17004,1045.46997,
2021-01-04 03:00:00,1049.43994,1077.81006,986.21002,1021.65002,
2021-01-04 04:00:00,1017.40997,1027.17004,910.21997,971.02002,
2021-01-04 05:00:00,969.69000,981.87000,895.00000,966.40002,
2021-01-04 06:00:00,960.21997,977.27002,936.40002,976.13000,
2021-01-04 07:00:00,976.75000,1026.51001,957.70001,1019.22998,
2021-01-04 08:00:00,1010.13000,1011.66998,977.47998,1011.66998,
2021-01-04 09:00:00,1016.34998,1044.38000,1002.09998,1042.48999,
2021-01-04 10:00:00,1045.43005,1055.28003,1031.69995,1039.38000,
2021-01-04 11:00:00,1039.60999,1047.26001,987.00000,1012.34998,
2021-01-04 12:00:00,1017.90002,1025.98999,986.63000,999.47998,
2021-01-04 13:00:00,1003.13000,1024.21997,1002.64001,1014.25000,
2021-01-04 14:00:00,1017.52002,1045.48999,1012.07001,1042.21997,
2021-01-04 15:00:00,1045.42004,1048.42004,1017.46002,1017.46002,
2021-01-04 16:00:00,1023.38000,1034.80005,993.53003,1007.28998,
2021-01-04 17:00:00,1005.12000,1022.21997,1004.96997,1013.03998,
2021-01-04 18:00:00,1013.09998,1043.75000,1002.29999,1042.18994,
2021-01-04 19:00:00,1046.42004,1131.56006,1046.42004,1091.90002,
2021-01-04 20:00:00,1101.43994,1114.43005,1069.07996,1114.43005,
2021-01-04 21:00:00,1111.23999,1111.23999,1071.02002,1078.08997,
2021-01-04 22:00:00,1079.19995,1085.91003,999.37000,1004.75000,
2021-01-04 23:00:00,1012.79999,1029.31006,991.00000,1004.15997,
2021-01-05 00:00:00,1005.88000,1021.75000,977.14001,988.45001,
2021-01-05 01:00:00,989.96997,1021.09003,982.77002,1015.25000,
2021-01-05 02:00:00,1018.66998,1022.15997,1002.50000,1003.81000,
2021-01-05 03:00:00,1005.39001,1043.76001,1005.39001,1024.93994,
2021-01-05 04:00:00,1032.82996,1049.26001,1024.87000,1035.66003,
2021-01-05 05:00:00,1037.87000,1041.34998,1016.13000,1028.25000,
2021-01-05 06:00:00,1028.20996,1043.00000,1025.45996,1041.43994,
2021-01-05 07:00:00,1046.93994,1051.40002,1029.54004,1029.84998,
2021-01-05 08:00:00,1032.45996,1040.94995,1024.65002,1024.65002,
2021-01-05 09:00:00,1024.25000,1046.62000,1003.40002,1046.15002,
2021-01-05 10:00:00,1045.51001,1061.28003,1038.50000,1052.21997,
2021-01-05 11:00:00,1056.94995,1078.73999,1040.98999,1061.14001,
2021-01-05 12:00:00,1071.60999,1081.00000,1061.51001,1080.64001,
2021-01-05 13:00:00,1084.65002,1094.06006,1071.87000,1073.54004,
2021-01-05 14:00:00,1078.78003,1105.47998,1051.16003,1093.09998,
2021-01-05 15:00:00,1097.16003,1100.72998,1081.15002,1098.62000,
2021-01-05 16:00:00,1098.98999,1102.76001,1079.84998,1084.04004,
2021-01-05 17:00:00,1084.29004,1119.50000,1084.29004,1107.65002,
2021-01-05 18:00:00,1108.22998,1113.65002,1086.35999,1099.39001,
2021-01-05 19:00:00,1105.65002,1110.00000,1067.25000,1082.32996,
2021-01-05 20:00:00,1085.96997,1085.96997,1060.80005,1071.68994,
2021-01-05 21:00:00,1073.31006,1086.40002,1073.31006,1077.06006,
2021-01-05 22:00:00,1080.20996,1082.37000,1063.37000,1076.64001,
2021-01-05 23:00:00,1077.53003,1132.73999,1074.09998,1115.50000,
2021-01-06 00:00:00,1121.62000,1125.00000,1089.90002,1100.81995,
2021-01-06 01:00:00,1100.81006,1117.68994,1099.56995,1114.45996,
2021-01-06 02:00:00,1114.57996,1121.44995,1092.95996,1105.96997,
2021-01-06 03:00:00,1108.13000,1122.44995,1094.06006,1110.89001,
2021-01-06 04:00:00,1109.29004,1110.91003,1093.47998,1098.41003,
2021-01-06 05:00:00,1098.44995,1117.87000,1098.44995,1114.70996,
2021-01-06 06:00:00,1113.60999,1161.66003,1113.05005,1151.35999,
2021-01-06 07:00:00,1154.05005,1154.05005,1127.17004,1143.40002,
2021-01-06 08:00:00,1145.71997,1145.71997,1122.50000,1134.28003,
2021-01-06 09:00:00,1132.82996,1146.67004,1125.32996,1133.22998,
2021-01-06 10:00:00,1132.27002,1153.20996,1132.27002,1143.46997,
2021-01-06 11:00:00,1151.08997,1191.93005,1151.08997,1173.01001,
2021-01-06 12:00:00,1173.63000,1204.76001,1173.63000,1190.93994,
2021-01-06 13:00:00,1196.82996,1206.45996,1186.18994,1192.20996,
2021-01-06 14:00:00,1192.40002,1204.34998,1160.04004,1160.04004,
2021-01-06 15:00:00,1173.41003,1204.32996,1125.04004,1195.96997,
2021-01-06 16:00:00,1199.80005,1199.80005,1174.38000,1177.96997,
2021-01-06 17:00:00,1179.07996,1194.02002,1175.73999,1178.34998,
2021-01-06 18:00:00,1177.68005,1210.41003,1176.06006,1208.50000,
2021-01-06 19:00:00,1216.04004,1220.55005,1188.18994,1199.68994,
2021-01-06 20:00:00,1199.62000,1209.93005,1197.42004,1199.79004,
2021-01-06 21:00:00,1199.94995,1204.56006,1180.96997,1196.68005,
2021-01-06 22:00:00,1198.55005,1223.80005,1195.06006,1213.44995,
2021-01-06 23:00:00,1212.91003,1216.00000,1202.01001,1210.68994,
2021-01-07 00:00:00,1211.00000,1216.77002,1203.76001,1207.55005,
2021-01-07 01:00:00,1207.78003,1210.00000,1187.06006,1199.23999,
2021-01-07 02:00:00,1200.98999,1204.04004,1181.84998,1186.76001,
2021-01-07 03:00:00,1190.45996,1197.58997,1162.32996,1197.07996,
2021-01-07 04:00:00,1195.98999,1203.76001,1182.26001,1203.76001,
2021-01-07 05:00:00,1204.05005,1204.05005,1183.03003,1184.05005,
2021-01-07 06:00:00,1184.17004,1202.94995,1184.17004,1199.79004,
2021-01-07 07:00:00,1203.15002,1225.81006,1200.25000,1225.81006,
2021-01-07 08:00:00,1221.08997,1230.00000,1211.97998,1218.15002,
2021-01-07 09:00:00,1215.69995,1228.88000,1215.69995,1224.12000,
2021-01-07 10:00:00,1223.83997,1249.87000,1217.67004,1246.44995,
2021-01-07 11:00:00,1251.45996,1275.84998,1240.19995,1264.12000,
2021-01-07 12:00:00,1261.73999,1273.17004,1260.07996,1270.55005,
2021-01-07 13:00:00,1271.30005,1286.23999,1153.18005,1219.93994,
2021-01-07 14:00:00,1220.07996,1244.88000,1176.52002,1234.60999,
2021-01-07 15:00:00,1237.97998,1244.19995,1225.96997,1244.19995,
2021-01-07 16:00:00,1244.82996,1265.01001,1242.19995,1253.83997,
2021-01-07 17:00:00,1252.90002,1258.19995,1240.79004,1245.46997,
2021-01-07 18:00:00,1240.91003,1240.91003,1204.01001,1224.58997,
2021-01-07 19:00:00,1231.10999,1231.10999,1187.45996,1187.45996,
2021-01-07 20:00:00,1186.60999,1198.87000,1162.32996,1183.97998,
2021-01-07 21:00:00,1185.00000,1186.00000,1069.68994,1111.62000,
2021-01-07 22:00:00,1116.70996,1159.08997,1116.70996,1150.38000,
2021-01-07 23:00:00,1146.67004,1175.96997,1142.30005,1170.07996,
2021-01-08 00:00:00,1164.55005,1172.21997,1145.00000,1146.72998,
2021-01-08 01:00:00,1148.29004,1180.00000,1129.23999,1175.80005,
2021-01-08 02:00:00,1175.90002,1210.90002,1168.81995,1208.56006,
2021-01-08 03:00:00,1209.02002,1209.02002,1186.06006,1197.37000,
2021-01-08 04:00:00,1201.38000,1221.90002,1187.73999,1221.90002,
2021-01-08 05:00:00,1218.35999,1268.79004,1218.35999,1248.84998,
2021-01-08 06:00:00,1251.79004,1263.52002,1243.70996,1254.25000,
2021-01-08 07:00:00,1256.06995,1271.00000,1227.87000,1249.68005,
2021-01-08 08:00:00,1249.30005,1254.37000,1223.64001,1251.93994,
2021-01-08 09:00:00,1250.95996,1256.50000,1238.76001,1255.51001,
2021-01-08 10:00:00,1257.39001,1262.96997,1178.41003,1216.77002,
2021-01-08 11:00:00,1221.50000,1239.78003,1207.51001,1227.50000,
2021-01-08 12:00:00,1230.67004,1235.50000,1210.43994,1215.15002,
2021-01-08 13:00:00,1218.31006,1220.07996,1175.06995,1183.01001,
2021-01-08 14:00:00,1191.40002,1202.48999,1181.90002,1186.27002,
2021-01-08 15:00:00,1185.68994,1193.93994,1145.47998,1145.47998,
2021-01-08 16:00:00,1142.01001,1193.16003,1137.96997,1193.16003,
2021-01-08 17:00:00,1189.53003,1218.47998,1167.00000,1216.80005,
2021-01-08 18:00:00,1213.45996,1228.82996,1209.16003,1215.78003,
2021-01-08 19:00:00,1217.79004,1233.51001,1184.68005,1195.68005,
2021-01-08 20:00:00,1196.30005,1197.62000,1172.10999,1197.62000,
2021-01-08 21:00:00,1198.98999,1206.43994,1180.18994,1198.78003,
2021-01-08 22:00:00,1198.08997,1229.38000,1193.28003,1226.85999,
2021-01-08 23:00:00,1224.83997,1224.83997,1209.79004,1220.23999,
2021-01-09 00:00:00,1214.00000,1215.55005,1183.27002,1184.09998,
2021-01-09 01:00:00,1180.90002,1194.34998,1178.07996,1178.92004,
2021-01-09 02:00:00,1177.19995,1199.29004,1175.56995,1195.52002,
2021-01-09 03:00:00,1196.35999,1211.73999,1185.46997,1208.41003,
2021-01-09 04:00:00,1209.54004,1219.97998,1205.60999,1211.67004,
2021-01-09 05:00:00,1212.21997,1229.40002,1204.41003,1218.52002,
2021-01-09 06:00:00,1216.65002,1234.15002,1215.82996,1219.96997,
2021-01-09 07:00:00,1222.84998,1226.50000,1213.18005,1221.81006,
2021-01-09 08:00:00,1224.16003,1229.37000,1219.43005,1220.56006,
2021-01-09 09:00:00,1222.87000,1234.97998,1221.43005,1223.81995,
2021-01-09 10:00:00,1224.40002,1227.31995,1208.58997,1220.43994,
2021-01-09 11:00:00,1223.40002,1223.51001,1196.25000,1201.20996,
2021-01-09 12:00:00,1204.66003,1223.88000,1204.66003,1222.54004,
2021-01-09 13:00:00,1224.68994,1229.97998,1220.22998,1224.69995,
2021-01-09 14:00:00,1226.01001,1234.31006,1222.29004,1228.72998,
2021-01-09 15:00:00,1232.00000,1270.08997,1219.13000,1270.08997,
2021-01-09 16:00:00,1270.66003,1293.17004,1264.58997,1287.52002,
2021-01-09 17:00:00,1288.09998,1301.62000,1276.93994,1286.16003,
2021-01-09 18:00:00,1288.79004,1291.10999,1273.29004,1275.45996,
2021-01-09 19:00:00,1281.04004,1291.41003,1278.59998,1289.96997,
2021-01-09 20:00:00,1292.66003,1334.00000,1286.27002,1322.67004,
2021-01-09 21:00:00,1321.71997,1337.63000,1312.06006,1336.62000,
2021-01-09 22:00:00,1339.79004,1339.79004,1310.01001,1310.92004,
2021-01-09 23:00:00,1306.97998,1325.70996,1306.97998,1318.77002,
2021-01-10 00:00:00,1317.28003,1328.27002,1309.01001,1316.10999,
2021-01-10 01:00:00,1314.38000,1326.94995,1314.38000,1324.57996,
