,open,high,low,close,volume
2021-07-28 23:54:00,2279.54004,2279.54004,2279.15991,2279.15991,
2021-07-28 23:55:00,2280.62012,2280.62012,2279.20996,2279.20996,
2021-07-28 23:56:00,2279.43994,2279.43994,2278.52002,2278.52002,
2021-07-28 23:57:00,2278.61011,2278.61011,2278.09009,2278.09009,
2021-07-28 23:58:00,2280.18994,2282.02002,2280.18994,2282.02002,
2021-07-28 23:59:00,2280.50000,2280.50000,2278.62012,2278.62012,
2021-07-29 00:00:00,2277.69995,2279.46997,2277.69995,2279.46997,
2021-07-29 00:01:00,2281.50000,2281.50000,2275.81006,2275.81006,
2021-07-29 00:02:00,2275.00000,2275.00000,2273.12012,2273.12012,
2021-07-29 00:03:00,2273.58008,2277.00000,2273.58008,2277.00000,
2021-07-29 00:04:00,2277.37988,2279.85010,2277.37988,2279.85010,
2021-07-29 00:05:00,2280.71997,2283.81006,2280.71997,2283.81006,
2021-07-29 00:06:00,2286.46997,2286.46997,2285.57007,2285.57007,
2021-07-29 00:07:00,2287.53003,2287.53003,2284.57007,2284.57007,
2021-07-29 00:08:00,2284.62012,2284.62012,2284.42993,2284.42993,
2021-07-29 00:09:00,2281.80005,2281.84009,2281.80005,2281.84009,
2021-07-29 00:10:00,2281.78003,2281.78003,2280.92993,2280.92993,
2021-07-29 00:11:00,2280.37012,2280.37012,2279.15991,2279.15991,
2021-07-29 00:12:00,2279.91992,2280.61011,2279.91992,2280.61011,
2021-07-29 00:13:00,2280.25000,2280.98999,2280.25000,2280.98999,
2021-07-29 00:14:00,2282.12012,2284.98999,2282.12012,2284.98999,
2021-07-29 00:15:00,2285.59009,2285.59009,2285.29004,2285.29004,
2021-07-29 00:16:00,2287.21997,2288.12012,2287.21997,2288.12012,
2021-07-29 00:17:00,2286.69995,2287.55005,2286.69995,2287.55005,
2021-07-29 00:18:00,2287.67993,2287.67993,2285.33008,2285.33008,
2021-07-29 00:19:00,2287.63989,2287.63989,2286.95996,2286.95996,
2021-07-29 00:20:00,2287.56006,2288.36011,2287.56006,2288.36011,
2021-07-29 00:21:00,2287.84009,2288.61011,2287.84009,2288.61011,
2021-07-29 00:22:00,2288.58008,2288.58008,2287.85010,2287.85010,
2021-07-29 00:23:00,2287.12988,2288.36011,2287.12988,2288.36011,
2021-07-29 00:24:00,2288.26001,2288.26001,2285.69995,2285.69995,
2021-07-29 00:25:00,2290.07007,2293.27002,2290.07007,2293.27002,
2021-07-29 00:26:00,2289.76001,2291.20996,2289.76001,2291.20996,
2021-07-29 00:27:00,2291.73999,2291.73999,2290.66992,2290.66992,
2021-07-29 00:28:00,2290.41992,2292.44995,2290.41992,2292.44995,
2021-07-29 00:29:00,2293.03003,2294.36011,2293.03003,2294.36011,
2021-07-29 00:30:00,2295.38989,2295.38989,2293.10010,2293.61011,
2021-07-29 00:31:00,2291.91992,2291.91992,2291.63989,2291.63989,
2021-07-29 00:32:00,2291.61011,2292.09009,2291.61011,2292.09009,
2021-07-29 00:33:00,2291.53003,2291.53003,2290.97998,2290.97998,
2021-07-29 00:34:00,2292.43994,2292.43994,2290.50000,2290.50000,
2021-07-29 00:35:00,2294.03003,2296.92993,2294.03003,2296.92993,
