,open,high,low,close,volume
2019-06-20 10:00:00,5.66000,5.69000,5.56000,5.60000,540733
2019-06-20 12:00:00,5.60000,5.61000,5.55000,5.55500,882760
2019-06-20 14:00:00,5.55000,5.57000,5.52000,5.56000,636581
2019-06-20 16:00:00,5.56000,5.56000,5.52500,5.53000,758190
2019-06-21 10:00:00,5.52000,5.52000,5.31000,5.38500,1572382
2019-06-21 12:00:00,5.38750,5.48000,5.37000,5.47500,750175
2019-06-21 14:00:00,5.47500,5.50000,5.45000,5.45500,901752
2019-06-21 16:00:00,5.46000,5.49000,5.41000,5.42000,1726075
2019-06-24 10:00:00,5.41000,5.47000,5.33000,5.34000,1890477
2019-06-24 12:00:00,5.34500,5.34500,5.30000,5.30000,783104
2019-06-24 14:00:00,5.30500,5.38000,5.28000,5.34000,1049200
2019-06-24 16:00:00,5.34000,5.39000,5.33000,5.38000,692240
2019-06-25 10:00:00,5.34000,5.49000,5.32000,5.43000,901041
2019-06-25 12:00:00,5.43000,5.53000,5.42000,5.46500,587711
2019-06-25 14:00:00,5.46500,5.48000,5.43000,5.45500,436770
2019-06-25 16:00:00,5.46000,5.46000,5.45000,5.46000,536110
2019-06-26 10:00:00,5.47000,5.51190,5.38000,5.40500,1240333
2019-06-26 12:00:00,5.40500,5.50000,5.40000,5.50000,685539
2019-06-26 14:00:00,5.50000,5.52000,5.45000,5.50000,771450
2019-06-26 16:00:00,5.49500,5.51000,5.46000,5.46000,629993
2019-06-27 10:00:00,5.46000,5.59000,5.42500,5.56500,1069611
2019-06-27 12:00:00,5.56500,5.58500,5.55000,5.56500,1171355
2019-06-27 14:00:00,5.56000,5.58000,5.52500,5.54000,711397
2019-06-27 16:00:00,5.55000,5.56000,5.51000,5.54000,606038
2019-06-28 10:00:00,5.53000,5.58000,5.49000,5.56000,604070
2019-06-28 12:00:00,5.56500,5.56650,5.49000,5.50000,649223
2019-06-28 14:00:00,5.50500,5.52000,5.45000,5.46000,734199
2019-06-28 16:00:00,5.45000,5.49000,5.44000,5.46500,903192
2019-07-01 10:00:00,5.53000,5.57000,5.41000,5.41500,820608
2019-07-01 12:00:00,5.41500,5.46000,5.38000,5.40000,1288351
2019-07-01 14:00:00,5.40000,5.41000,5.34000,5.38510,1165560
2019-07-01 16:00:00,5.38500,5.40000,5.34500,5.36000,645337
2019-07-02 10:00:00,5.35000,5.45000,5.34000,5.36000,1864322
2019-07-02 12:00:00,5.36000,5.39000,5.32000,5.34000,1103193
2019-07-02 14:00:00,5.34000,5.41000,5.33000,5.39000,978183
2019-07-02 16:00:00,5.39000,5.40000,5.36000,5.37000,815450
2019-07-03 10:00:00,5.37000,5.38000,5.27000,5.31000,1116444
2019-07-03 12:00:00,5.30500,5.33000,5.28000,5.30500,878889
