,open,high,low,close,volume
2020-01-21 12:30:00,4.60500,4.63000,4.60500,4.62500,145986
2020-01-21 13:00:00,4.62500,4.66000,4.60200,4.62500,223970
2020-01-21 13:30:00,4.62500,4.63000,4.59000,4.59500,159842
2020-01-21 14:00:00,4.59000,4.65000,4.56000,4.64010,283979
2020-01-21 14:30:00,4.64000,4.67000,4.63000,4.65500,129940
2020-01-21 15:00:00,4.65500,4.68000,4.64000,4.65000,218015
2020-01-21 15:30:00,4.65500,4.66000,4.59000,4.59500,628228
2020-01-22 09:30:00,4.57000,4.61000,4.47000,4.59000,462487
2020-01-22 10:00:00,4.59500,4.59500,4.50000,4.50000,129787
2020-01-22 10:30:00,4.50500,4.55000,4.48000,4.48500,146092
2020-01-22 11:00:00,4.47500,4.53500,4.46270,4.53500,382378
2020-01-22 11:30:00,4.53500,4.54000,4.49540,4.53420,109537
2020-01-22 12:00:00,4.53000,4.55000,4.50000,4.51450,96599
2020-01-22 12:30:00,4.51500,4.55500,4.51000,4.55000,77596
2020-01-22 13:00:00,4.55000,4.59000,4.55000,4.58500,119392
2020-01-22 13:30:00,4.58500,4.61000,4.58000,4.59500,106003
2020-01-22 14:00:00,4.59000,4.61000,4.58290,4.59000,88651
2020-01-22 14:30:00,4.59920,4.61000,4.59000,4.60500,88094
2020-01-22 15:00:00,4.60500,4.64000,4.58000,4.59500,203640
2020-01-22 15:30:00,4.59000,4.60000,4.55000,4.56000,356697
2020-01-23 09:30:00,4.52400,4.59000,4.46380,4.53000,190681
2020-01-23 10:00:00,4.52000,4.62000,4.51500,4.62000,176507
2020-01-23 10:30:00,4.62000,4.63000,4.57000,4.60000,105451
2020-01-23 11:00:00,4.61000,4.62500,4.57000,4.57500,75449
2020-01-23 11:30:00,4.58000,4.62500,4.54500,4.55500,113940
2020-01-23 12:00:00,4.56000,4.56000,4.49500,4.51500,118227
2020-01-23 12:30:00,4.51000,4.52000,4.48000,4.51480,119790
2020-01-23 13:00:00,4.52000,4.59000,4.50000,4.57500,65851
2020-01-23 13:30:00,4.57000,4.60000,4.56470,4.59500,65167
2020-01-23 14:00:00,4.60000,4.63000,4.59500,4.61500,118623
2020-01-23 14:30:00,4.62000,4.64000,4.61500,4.61500,64246
2020-01-23 15:00:00,4.62000,4.62500,4.60000,4.60500,92245
2020-01-23 15:30:00,4.60500,4.62000,4.59500,4.62000,347772
2020-01-24 09:30:00,4.62000,4.62000,4.54000,4.58000,232011
2020-01-24 10:00:00,4.58000,4.60000,4.55000,4.55500,81811
2020-01-24 10:30:00,4.55500,4.55500,4.44000,4.45500,401394
2020-01-24 11:00:00,4.45470,4.46800,4.41000,4.42320,172273
2020-01-24 11:30:00,4.42250,4.49500,4.40000,4.46000,186127
2020-01-24 12:00:00,4.45000,4.47000,4.40000,4.43500,220839
2020-01-24 12:30:00,4.44500,4.49000,4.44500,4.47500,136036
2020-01-24 13:00:00,4.48000,4.49000,4.42500,4.43500,93311
2020-01-24 13:30:00,4.43500,4.45000,4.41000,4.43000,91226
2020-01-24 14:00:00,4.43000,4.45000,4.41500,4.43220,98031
2020-01-24 14:30:00,4.44000,4.49500,4.43000,4.48500,159117
2020-01-24 15:00:00,4.48500,4.50000,4.37000,4.41500,524289
2020-01-24 15:30:00,4.41000,4.41000,4.25000,4.32000,1544472
2020-01-27 09:30:00,4.20000,4.32000,4.16000,4.26000,263247
2020-01-27 10:00:00,4.25500,4.29000,4.21000,4.29000,125019
2020-01-27 10:30:00,4.28500,4.28500,4.22000,4.25000,143871
2020-01-27 11:00:00,4.25000,4.27000,4.23000,4.25320,117944
2020-01-27 11:30:00,4.25000,4.27000,4.21000,4.23500,220290
2020-01-27 12:00:00,4.24000,4.29000,4.24000,4.26500,96818
2020-01-27 12:30:00,4.27000,4.29000,4.26000,4.28000,71844
2020-01-27 13:00:00,4.29000,4.32000,4.28500,4.32000,76103
2020-01-27 13:30:00,4.32000,4.32000,4.31000,4.32000,47042
2020-01-27 14:00:00,4.32000,4.35000,4.30500,4.35000,95700
2020-01-27 14:30:00,4.35000,4.35000,4.30000,4.31000,81150
2020-01-27 15:00:00,4.31000,4.32000,4.29000,4.29500,82941
2020-01-27 15:30:00,4.29500,4.31000,4.26000,4.27000,369060
2020-01-28 09:30:00,4.29000,4.29000,4.18500,4.21000,201419
2020-01-28 10:00:00,4.21000,4.27000,4.20500,4.25000,152891
2020-01-28 10:30:00,4.24500,4.25500,4.18000,4.19000,101026
2020-01-28 11:00:00,4.20000,4.21000,4.18000,4.20000,103314
2020-01-28 11:30:00,4.19200,4.21000,4.18000,4.21000,84371
2020-01-28 12:00:00,4.20500,4.22000,4.19000,4.20000,127976
2020-01-28 12:30:00,4.20000,4.23000,4.19000,4.23000,92018
2020-01-28 13:00:00,4.23000,4.23000,4.20000,4.22450,62469
2020-01-28 13:30:00,4.23000,4.23000,4.21000,4.22500,61230
2020-01-28 14:00:00,4.23000,4.24000,4.20000,4.20500,66276
2020-01-28 14:30:00,4.20500,4.24500,4.20000,4.23500,149037
2020-01-28 15:00:00,4.23500,4.23500,4.20000,4.22500,130741
2020-01-28 15:30:00,4.22500,4.23000,4.19000,4.22000,482652
2020-01-29 09:30:00,4.21000,4.31500,4.20000,4.22470,137693
2020-01-29 10:00:00,4.22000,4.22000,4.17000,4.20000,190295
2020-01-29 10:30:00,4.19500,4.21710,4.18000,4.21020,54410
2020-01-29 11:00:00,4.21500,4.27000,4.21000,4.26500,135897
2020-01-29 11:30:00,4.26000,4.26000,4.20000,4.20500,79329
2020-01-29 12:00:00,4.20000,4.20000,4.17500,4.18000,48875
2020-01-29 12:30:00,4.18000,4.19000,4.17000,4.17000,38950
2020-01-29 13:00:00,4.17000,4.17000,4.15000,4.15000,58769
2020-01-29 13:30:00,4.15000,4.18000,4.15000,4.17000,94659
2020-01-29 14:00:00,4.17000,4.20530,4.17000,4.18500,65032
2020-01-29 14:30:00,4.18500,4.19000,4.18000,4.18000,36750
2020-01-29 15:00:00,4.18000,4.18000,4.15500,4.16000,58945
2020-01-29 15:30:00,4.16500,4.16750,4.13000,4.14000,276822
2020-01-30 09:30:00,4.10200,4.12000,4.03000,4.05000,183992
2020-01-30 10:00:00,4.05070,4.11000,4.01500,4.04000,170953
2020-01-30 10:30:00,4.04500,4.05000,3.92500,3.95850,394962
2020-01-30 11:00:00,3.95000,4.00000,3.92000,3.94000,351033
2020-01-30 11:30:00,3.94500,3.97500,3.92000,3.94000,134074
