timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,coef,adj_open,adj_high,adj_low
1999-11-01,86.62,87.12,83.37,83.56,28.5293592428,4510867,0.0,1.0,2.9289126085468666,29.57411557696668,29.744827396274964,28.464488751462852
1999-11-02,84.5,86.25,83.25,83.69,28.5737443158,3541600,0.0,1.0,2.928912608548932,28.850297463079222,29.447788830657785,28.42351791480882
1999-11-03,83.62,84.0,82.19,82.44,28.1469647676,2648800,0.0,1.0,2.928912608541606,28.549844661168272,28.679585643842795,28.061608857945707
1999-11-04,83.88,85.94,83.5,84.12,28.7205564804,3869600,0.0,1.0,2.928912608549444,28.638614807132093,29.341947502681595,28.508873824457915
1999-11-05,86.13,87.38,85.62,86.25,29.4477888307,3433267,0.0,1.0,2.9289126085447337,29.406817994065978,29.833597542336992,29.232691938371406
1999-11-08,86.31,86.62,84.12,84.38,28.8093266265,2393600,0.0,1.0,2.928912608543367,29.468274249030756,29.574115577002015,28.72055648045959
1999-11-09,84.31,84.69,82.0,83.06,28.3586474235,3235267,0.0,1.0,2.9289126085460113,28.785426971770825,28.915167954445156,27.996738366566333
1999-11-10,82.06,82.25,80.56,80.56,27.505088327,3180067,0.0,1.0,2.9289126085415753,28.01722378492577,28.08209427626303,27.505088327
1999-11-11,80.81,82.62,80.31,81.12,27.6962855646,2292867,0.0,1.0,2.9289126085442847,27.590444236628773,28.208421022525297,27.41973241732034
1999-11-12,82.56,85.0,82.5,85.0,29.0210092824,3423267,0.0,1.0,2.9289126085476584,28.187935604175816,29.0210092824,28.167450185858826
1999-11-15,84.06,84.81,82.5,82.56,28.1879356042,3742000,0.0,1.0,2.9289126085451453,28.700071062125147,28.956138791087717,28.167450185882995
1999-11-16,83.37,86.44,82.88,86.0,29.362432921,4490200,0.0,1.0,2.9289126085493016,28.464488751439188,29.512659321991162,28.29719116851721
1999-11-17,85.06,85.19,81.63,81.87,27.9523532935,3606800,0.0,1.0,2.9289126085508492,29.04149470068535,29.085879773705443,27.870411620232133
1999-11-18,82.38,84.12,81.94,83.37,28.4644887515,3071600,0.0,1.0,2.9289126085430444,28.126479349269157,28.720556480462754,27.976252948277676
1999-11-19,83.5,84.38,82.5,83.0,28.3381620052,1998867,0.0,1.0,2.928912608544254,28.508873824508434,28.809326626491274,28.167450185891568
1999-11-22,82.5,82.56,80.69,81.87,27.9523532935,2514267,0.0,1.0,2.9289126085508492,28.16745018582814,28.187935604145107,27.549473399933
1999-11-23,81.87,82.25,79.5,79.94,27.293405671,3029267,0.0,1.0,2.9289126085477295,27.95235329352977,28.082094276204028,27.143179270008755
1999-11-24,79.75,79.94,78.75,79.56,27.1636646883,2521400,0.0,1.0,2.9289126085505055,27.228535179637063,27.29340567097413,26.887111541020925
1999-11-26,80.88,80.88,79.06,79.06,26.992952869,794200,0.0,1.0,2.9289126085496298,27.614343891281557,27.614343891281557,26.992952869
1999-11-29,78.81,78.81,76.31,76.94,26.2691347552,3480867,0.0,1.0,2.928912608542223,26.907596959413986,26.907596959413986,26.054037862871226
1999-11-30,76.62,79.25,76.56,77.25,26.3749760831,4031467,0.0,1.0,2.928912608550141,26.159879190771807,27.057823360332364,26.139393772454834
1999-12-01,77.13,78.0,76.56,77.39,26.4227753925,3046200,0.0,1.0,2.9289126085508355,26.334005246459814,26.63104381205582,26.13939377244864
1999-12-02,78.0,79.25,76.0,79.06,26.992952869,3261800,0.0,1.0,2.9289126085496298,26.631043812066785,27.057823360337085,25.948196534834302
1999-12-03,80.94,83.37,80.81,82.0,27.9967383666,3844467,0.0,1.0,2.9289126085424897,27.6348293096659,28.46448875150539,27.59044423664568
1999-12-06,82.0,82.0,77.37,78.87,26.9280823777,3321667,0.0,1.0,2.928912608545596,27.996738366570305,27.996738366570305,26.41594691977493
1999-12-07,78.5,79.19,77.37,78.63,26.8461407044,3702400,0.0,1.0,2.9289126085490857,26.801755631379883,27.037337942025133,26.41594691974346
1999-12-08,78.38,78.63,76.88,77.72,26.5354451933,3171400,0.0,1.0,2.9289126085445787,26.760784794787103,26.84614070444131,26.24864933686186
1999-12-09,78.0,79.38,76.06,77.88,26.5900729755,3158800,0.0,1.0,2.9289126085422312,26.631043812134056,27.102208433425655,25.968681953216876
1999-12-10,79.62,79.62,78.12,78.94,26.9519820324,3209067,0.0,1.0,2.9289126085459403,27.184150106659338,27.184150106659338,26.672014648734333
1999-12-13,78.12,79.25,77.75,78.53,26.8119983406,1701867,0.0,1.0,2.928912608542354,26.672014648766993,27.057823360404303,26.54568790247867
1999-12-14,78.06,78.06,76.06,76.56,26.1393937725,2228000,0.0,1.0,2.9289126085450805,26.651529230425155,26.651529230425155,25.968681953191613
1999-12-15,76.56,77.37,74.75,75.5,25.7774847156,3057600,0.0,1.0,2.9289126085412422,26.139393772534252,26.4159469198142,25.521416986637085
1999-12-16,76.19,76.19,73.81,75.0,25.6067728962,2703400,0.0,1.0,2.9289126085516957,26.01306702615304,26.01306702615304,25.20047876624696
1999-12-17,73.25,74.88,72.06,72.75,24.8385697094,6655667,0.0,1.0,2.9289126085415544,25.009281528708595,25.565802059654597,24.60298739875415
1999-12-20,73.38,73.94,72.25,72.25,24.6678578901,4137067,0.0,1.0,2.928912608540535,25.053666601737547,25.244863839363237,24.6678578901
1999-12-21,72.38,76.5,72.12,75.0,25.6067728962,5240000,0.0,1.0,2.9289126085516957,24.71224296302608,26.118908354124,24.62347281698592
1999-12-22,75.0,75.63,74.0,74.88,25.5658020596,2252267,0.0,1.0,2.9289126085478094,25.606772896233977,25.82186978856234,25.265349257617522
1999-12-23,76.25,77.94,76.06,77.5,26.4603319928,2891600,0.0,1.0,2.9289126085450543,26.033552444529032,26.61055839379138,25.968681953191844
1999-12-27,77.5,79.19,76.5,76.5,26.1189083542,2541200,0.0,1.0,2.928912608543173,26.460331992816993,27.037337942079713,26.1189083542
1999-12-28,76.69,77.37,76.31,76.44,26.0984229359,1502200,0.0,1.0,2.928912608541263,26.183778845554304,26.41594691981401,26.054037862879763
1999-12-29,77.19,78.19,76.94,77.56,26.4808174111,1533467,0.0,1.0,2.9289126085469355,26.35449066481187,26.695914303428427,26.269134755157733
1999-12-30,77.56,78.69,76.75,78.06,26.6515292304,1277400,0.0,1.0,2.928912608547845,26.480817411091774,26.866626122728363,26.20426426381245
1999-12-31,78.0,78.38,77.69,77.69,26.5252024841,773600,0.0,1.0,2.9289126085491604,26.631043812071052,26.76078479474524,26.5252024841
2000-01-03,74.75,75.38,72.12,72.87,24.879540546,8012800,0.0,1.0,2.9289126085455646,25.521416986599423,25.73651387892795,24.623472817037467
2000-01-04,70.62,71.19,69.19,70.88,24.340091197,7815600,0.41,1.0,2.9120679715750697,24.2508075667627,24.44654475612909,23.759747600457533
2000-01-05,70.25,72.56,69.0,70.44,24.1889958227,5809667,0.0,1.0,2.9120679715813607,24.123750092911344,24.91700080771028,23.694501870617547
2000-01-06,70.12,72.94,69.75,71.44,24.5323944006,5579467,0.0,1.0,2.9120679715736495,24.07910827785655,25.04749226735392,23.95205080405725
2000-01-07,72.63,73.5,71.0,72.75,24.9822465375,4381267,0.0,1.0,2.9120679715812368,24.94103870815979,25.239795470876288,24.38129902628866
2000-01-10,72.75,73.38,71.5,71.5,24.5529983152,3149000,0.0,1.0,2.9120679715819704,24.982246537493705,25.198587641529734,24.5529983152
2000-01-11,70.0,70.44,68.25,69.81,23.9726547187,5603667,0.0,1.0,2.912067971576979,24.037900448488756,24.1889958227364,23.436952937276537
2000-01-12,69.69,70.88,69.5,70.25,24.1237500929,4847867,0.0,1.0,2.9120679715827302,23.93144688931247,24.34009119693597,23.866201159523843
2000-01-13,71.13,72.5,70.56,71.31,24.4877525854,4612600,0.0,1.0,2.9120679715833213,24.42594084138973,24.896396893023415,24.230203652023892
2000-01-14,73.94,75.75,72.81,73.88,25.3702869305,6487867,0.0,1.0,2.9120679715759117,25.39089084517014,26.01244227105272,25.002850452215824
2000-01-18,73.94,74.5,70.25,71.0,24.3812990263,3531067,0.0,1.0,2.9120679715798823,25.39089084513552,25.58319404872324,24.12375009292359
2000-01-19,72.25,75.38,72.25,74.13,25.4561365749,10489800,0.0,1.0,2.9120679715826516,24.81054724857042,25.885384797193606,24.81054724857042
2000-01-20,75.38,76.0,72.75,74.06,25.4320986745,5180200,0.0,1.0,2.9120679715771054,25.885384797242907,26.098291915500944,24.982246537535442
2000-01-21,73.88,74.0,72.63,72.94,25.0474922673,3440400,0.0,1.0,2.9120679715799183,25.37028693046509,25.41149475980532,24.941038708171085
2000-01-24,74.37,74.56,72.19,73.0,25.068096182,4306067,0.0,1.0,2.9120679715764464,25.538552233634796,25.603797963423563,24.78994333395315
2000-01-25,73.0,75.75,73.0,74.62,25.6244018781,5053267,0.0,1.0,2.9120679715757305,25.068096182006162,26.01244227105434,25.068096182006162
2000-01-26,75.38,79.0,75.0,78.44,26.9361844454,5591067,0.0,1.0,2.912067971579231,25.885384797224013,27.128487648987758,25.754893337646607
2000-01-27,79.44,81.5,78.56,80.69,27.7088312455,5443867,0.0,1.0,2.91206797158232,27.279583023206346,27.98698409354629,26.977392274711615
