,open,high,low,close,volume
2019-06-20 08:00:00,110.88000,111.08500,109.03310,109.12000,3964579
2019-06-20 12:00:00,109.11500,110.25500,109.11010,110.14000,4257406
2019-06-20 16:00:00,110.14500,110.46000,110.06000,110.18000,1855979
2019-06-21 08:00:00,110.19000,111.67000,110.19000,111.18000,6109090
2019-06-21 12:00:00,111.17000,111.35000,110.33500,110.34000,3798925
2019-06-21 16:00:00,110.34500,110.42000,109.09000,109.71000,5505080
2019-06-24 08:00:00,109.28000,109.77000,108.71000,109.26000,3967028
2019-06-24 12:00:00,109.26500,109.43000,109.01500,109.12500,3591467
2019-06-24 16:00:00,109.12000,109.19840,108.53500,108.66500,2573469
2019-06-25 08:00:00,108.68000,108.98000,107.67000,108.78920,4177735
2019-06-25 12:00:00,108.79000,108.90500,107.97000,108.18000,6298344
2019-06-25 16:00:00,108.17500,108.27000,107.74000,107.78000,2216815
2019-06-26 08:00:00,108.30000,109.30000,108.16000,109.21000,3633692
2019-06-26 12:00:00,109.21000,109.31000,108.37000,108.49000,3773843
2019-06-26 16:00:00,108.48000,108.63000,108.45000,108.48000,1104466
2019-06-27 08:00:00,108.84000,109.55000,108.44000,108.95000,3721936
2019-06-27 12:00:00,108.95000,109.38000,108.62500,108.75000,4254638
2019-06-27 16:00:00,108.75000,109.04000,108.73500,108.86500,1542477
2019-06-28 08:00:00,111.04000,112.43000,110.90000,111.60000,6063460
2019-06-28 12:00:00,111.59000,112.16000,111.11000,111.11000,4788850
2019-06-28 16:00:00,111.12000,112.00000,111.10000,111.77000,2628803
2019-07-01 08:00:00,113.23000,114.52000,113.08000,113.45000,4876189
2019-07-01 12:00:00,113.46000,113.78500,113.13480,113.68500,4039921
2019-07-01 16:00:00,113.68550,113.91000,113.61000,113.61000,1697840
2019-07-02 08:00:00,113.51000,114.20000,113.35000,113.60000,3640540
2019-07-02 12:00:00,113.61000,113.91000,113.22000,113.57000,4242360
2019-07-02 16:00:00,113.56500,113.86000,113.56500,113.74000,1114001
2019-07-03 08:00:00,113.35000,113.39000,112.26000,112.58000,3596055
2019-07-03 12:00:00,112.60000,112.88000,112.45000,112.70000,0
2019-07-05 08:00:00,113.51000,114.27000,112.92000,113.23570,3065870
2019-07-05 12:00:00,113.23000,113.62000,113.16500,113.38000,2296497
2019-07-05 16:00:00,113.38000,113.43000,113.05000,113.23000,962328
2019-07-08 08:00:00,112.96000,113.48000,112.50000,113.34350,2277381
2019-07-08 12:00:00,113.35000,113.37000,112.58000,112.89000,2663738
2019-07-08 16:00:00,112.91000,113.06000,112.84030,112.88000,1023035
2019-07-09 08:00:00,112.28000,113.47000,112.15030,113.34000,2471166
2019-07-09 12:00:00,113.34000,113.46000,112.73000,113.06500,2976354
2019-07-09 16:00:00,113.07000,113.49000,113.04000,113.34000,1476879
2019-07-10 08:00:00,113.37000,113.83000,112.74000,112.82500,3474293
2019-07-10 12:00:00,112.82430,113.39000,112.77000,112.84500,3526592
2019-07-10 16:00:00,112.83500,113.04000,112.81000,113.01940,1336827
2019-07-11 08:00:00,113.37000,113.91000,113.12000,113.72000,2724199
2019-07-11 12:00:00,113.72000,114.33500,113.59310,114.26500,5898424
2019-07-11 16:00:00,114.26000,114.35500,113.93000,114.09000,1859445
2019-07-12 08:00:00,114.13000,114.57000,113.93000,114.24500,3179851
2019-07-12 12:00:00,114.25000,115.21500,114.25000,115.11830,4207128
2019-07-12 16:00:00,115.12000,115.35000,115.06000,115.28000,1996509
2019-07-15 08:00:00,115.54000,115.57000,113.95000,114.49000,4411408
2019-07-15 12:00:00,114.49000,114.51000,113.63000,113.63660,5033114
2019-07-15 16:00:00,113.63000,113.88000,113.53000,113.88000,2113240
2019-07-16 08:00:00,113.61010,115.24500,112.92000,115.11590,7309741
2019-07-16 12:00:00,115.11500,115.49000,114.06000,115.35420,6137378
2019-07-16 16:00:00,115.35500,115.50000,115.22000,115.23000,1860074
2019-07-17 08:00:00,114.43000,114.94000,113.73000,114.06000,4813402
2019-07-17 12:00:00,114.09000,114.59000,113.97000,113.97000,4873654
2019-07-17 16:00:00,113.98000,114.20000,113.89000,114.02000,1504152
2019-07-18 08:00:00,113.93000,114.80000,113.55000,114.35000,2746890
2019-07-18 12:00:00,114.35000,115.07000,114.13000,114.55000,4335648
2019-07-18 16:00:00,114.55000,114.76000,114.47000,114.64500,1139180
2019-07-19 08:00:00,114.89000,115.12000,114.17000,114.53500,3380863
2019-07-19 12:00:00,114.55000,114.60340,113.95000,114.07000,2940820
2019-07-19 16:00:00,114.07500,114.22000,113.40000,113.57000,2193704
2019-07-22 08:00:00,112.91000,114.17440,112.77000,113.66000,2553157
2019-07-22 12:00:00,113.68000,114.45000,113.61500,114.38000,3507497
2019-07-22 16:00:00,114.38000,114.40500,114.15000,114.28000,1122308
2019-07-23 08:00:00,114.88000,116.43000,114.82000,116.11000,4945706
2019-07-23 12:00:00,116.11000,116.40000,115.74000,116.29540,4850456
2019-07-23 16:00:00,116.30000,116.45000,116.20000,116.34000,1348361
2019-07-24 08:00:00,115.58000,116.63500,115.52000,116.49500,3602430
2019-07-24 12:00:00,116.49000,116.88000,116.30500,116.68500,3932510
2019-07-24 16:00:00,116.69000,116.86000,116.65000,116.77000,1317061
2019-07-25 08:00:00,116.89000,117.24000,116.22000,116.56000,3415707
2019-07-25 12:00:00,116.55000,116.55000,115.31500,115.62730,4401540
2019-07-25 16:00:00,115.62000,115.88000,115.55000,115.79000,1455069
2019-07-26 08:00:00,115.77000,116.23000,115.53000,116.22500,3644314
2019-07-26 12:00:00,116.22500,116.51000,115.96500,116.26000,5557937
2019-07-26 16:00:00,116.25500,116.40000,116.18000,116.22000,1601364
2019-07-29 08:00:00,116.46000,117.18000,116.27000,116.83000,2940633
2019-07-29 12:00:00,116.83500,116.85500,116.01000,116.03810,2993128
2019-07-29 16:00:00,116.05000,116.06000,115.79000,115.85000,1086582
2019-07-30 08:00:00,115.19000,115.62000,114.76000,115.32000,2770257
2019-07-30 12:00:00,115.32000,116.07000,115.28000,115.65000,2448515
2019-07-30 16:00:00,115.64500,115.80000,115.49000,115.55000,947337
2019-07-31 08:00:00,115.75000,115.85000,114.86000,115.48000,3665310
2019-07-31 12:00:00,115.47000,116.13000,115.15500,116.01000,5661098
2019-07-31 16:00:00,116.01000,116.18000,115.35000,116.00000,2489880
2019-08-01 08:00:00,115.33000,116.80000,115.11000,116.45000,3822659
2019-08-01 12:00:00,116.45000,116.49000,112.83000,113.15000,7935684
2019-08-01 16:00:00,113.16000,113.43000,112.59500,112.94000,2325608
2019-08-02 08:00:00,112.70000,113.31000,111.40000,112.06650,3708581
2019-08-02 12:00:00,112.06000,113.01000,111.87830,112.94000,4444666
2019-08-02 16:00:00,112.95000,113.42000,112.67000,112.92000,1965471
2019-08-05 08:00:00,110.79000,110.98000,109.58000,109.90000,3921656
2019-08-05 12:00:00,109.91000,110.04000,108.26500,109.00000,6702499
2019-08-05 16:00:00,108.97000,109.89500,108.81000,109.55000,2943711
2019-08-06 08:00:00,110.00000,110.32000,108.34000,108.67000,3248122
2019-08-06 12:00:00,108.66000,110.32000,108.47000,110.18000,3768286
2019-08-06 16:00:00,110.18000,110.50000,109.97000,110.44000,1344376
2019-08-07 08:00:00,108.00000,108.03000,105.94000,106.70000,6836103
2019-08-07 12:00:00,106.70000,107.75000,106.26000,107.72000,6179078
2019-08-07 16:00:00,107.72000,108.28000,107.69000,108.02000,2098996
2019-08-08 08:00:00,109.05000,109.78000,108.72000,109.33000,3199583
2019-08-08 12:00:00,109.32880,109.98000,109.26000,109.56000,3938486
2019-08-08 16:00:00,109.56000,110.08000,109.52000,109.92000,1692053
2019-08-09 08:00:00,109.35000,109.88000,108.29000,108.34000,2615339
2019-08-09 12:00:00,108.34000,110.35000,108.30000,110.23000,4585708
2019-08-09 16:00:00,110.22000,110.44500,109.67000,109.74000,1446874
2019-08-12 08:00:00,108.07000,108.51460,107.48500,108.02000,3657700
2019-08-12 12:00:00,108.03000,108.45000,107.21000,107.59500,4052522
2019-08-12 16:00:00,107.56000,107.56000,107.56000,107.56000,678
2019-08-13 08:00:00,107.95000,110.15000,107.03000,109.46000,4509132
2019-08-13 12:00:00,109.47000,110.33000,109.28000,109.49000,4317095
2019-08-13 16:00:00,109.49500,109.49500,109.07000,109.34000,1317573
2019-08-14 08:00:00,106.30000,106.91000,105.08000,105.39000,6115960
2019-08-14 12:00:00,105.39000,105.55000,104.45000,105.01000,6956277
2019-08-14 16:00:00,105.00000,105.11000,104.68000,104.79000,2799713
2019-08-15 08:00:00,105.80000,106.38000,104.68000,105.19000,4957365
2019-08-15 12:00:00,105.20000,105.62500,104.34000,104.99500,5374986
2019-08-15 16:00:00,104.99000,105.39000,104.89000,105.20000,1387049
2019-08-16 08:00:00,106.33000,107.76000,105.96000,107.51000,4241519
2019-08-16 12:00:00,107.50120,107.94000,107.29690,107.44000,3425446
2019-08-16 16:00:00,107.44000,107.98000,107.32000,107.72000,1602740
2019-08-19 08:00:00,109.63000,109.75000,108.41500,108.71000,3370354
2019-08-19 12:00:00,108.71000,109.15000,108.56000,108.94000,2817097
2019-08-19 16:00:00,108.93400,109.07500,108.65000,108.69000,1109983
2019-08-20 08:00:00,107.85000,108.44000,107.47000,108.24000,2673838
2019-08-20 12:00:00,108.26000,108.29000,107.45000,107.64000,3197277
2019-08-20 16:00:00,107.64000,107.74000,107.24000,107.33000,1245848
2019-08-21 08:00:00,108.21000,108.43000,107.63000,108.04000,2356746
2019-08-21 12:00:00,108.03000,108.31000,107.44500,107.81500,3565436
2019-08-21 16:00:00,107.82000,107.93000,107.47000,107.61000,1323079
2019-08-22 08:00:00,108.53500,109.06000,107.93000,108.44500,3068017
2019-08-22 12:00:00,108.45000,109.26500,108.37000,108.84000,3616853
2019-08-22 16:00:00,108.84000,109.09000,108.64000,108.75000,1271749
2019-08-23 08:00:00,108.00000,108.78000,106.50000,106.74000,3366621
2019-08-23 12:00:00,106.73000,106.73000,105.80000,105.94000,5302344
2019-08-23 16:00:00,105.93000,106.05000,105.11000,106.02000,3326728
2019-08-26 08:00:00,106.62000,106.99000,106.01000,106.39000,2606153
2019-08-26 12:00:00,106.39360,106.87500,106.25000,106.62000,3481892
