,open,high,low,close,volume
2001-09-20,26.17500,26.30500,25.33500,25.38000,117983200
2001-09-21,23.96000,25.30000,23.75000,24.85500,184976600
2001-09-24,25.32500,26.22500,24.93500,26.00500,85580200
2001-09-25,26.13500,26.50000,25.08000,25.65000,84940600
2001-09-26,25.75500,25.90000,24.77500,25.13500,58524400
2001-09-27,25.05000,25.34000,24.00000,24.98000,81191200
2001-09-28,24.81000,25.79500,24.49000,25.58500,116641200
2001-10-01,25.47000,26.25000,25.20500,25.89500,69999600
2001-10-02,25.81500,26.77500,25.78000,26.52500,80860800
2001-10-03,26.24000,28.46500,26.20000,28.11500,97199200
2001-10-04,28.46000,29.20000,28.10500,28.22000,101778000
2001-10-05,28.08000,29.00000,27.47000,28.86000,80844400
2001-10-08,28.40000,29.32500,28.37000,29.02000,60605800
2001-10-09,28.75000,28.78500,27.09500,27.28000,99477600
2001-10-10,26.80000,27.87500,26.50000,27.75500,86349200
2001-10-11,27.88000,28.42000,27.29500,28.16000,83742600
2001-10-12,27.85000,28.32000,27.27500,28.19000,63307000
2001-10-15,27.95000,29.25000,27.92500,29.03000,68437000
2001-10-16,28.93500,29.45500,28.60500,29.22500,66169000
2001-10-17,29.56000,29.65000,27.99000,28.01500,73710600
2001-10-18,28.17000,28.79000,27.75000,28.37500,78348000
2001-10-19,28.70000,29.00500,27.81500,28.95000,91219600
2001-10-22,28.95000,30.09000,28.73500,30.08000,72323600
2001-10-23,30.23500,30.72000,29.70000,30.21500,80325000
2001-10-24,30.25000,30.81000,29.81000,30.66000,79141400
2001-10-25,30.30500,31.30000,29.78500,31.28000,75318200
2001-10-26,31.16000,31.81500,31.04000,31.10000,64509400
2001-10-29,31.05000,31.10000,29.77000,29.82000,55129400
2001-10-30,29.46000,29.77000,29.09500,29.44000,57395600
2001-10-31,29.65000,30.36500,29.05000,29.07500,64700000
2001-11-01,30.04000,31.12500,29.80000,30.92000,109671200
2001-11-02,30.96500,31.51000,30.25500,30.70000,83360000
2001-11-05,30.93000,32.01500,30.87500,31.63500,66401600
2001-11-06,31.35000,32.47000,31.08000,32.39000,68612000
2001-11-07,32.11000,32.52500,32.01500,32.12500,58899000
2001-11-08,32.23000,33.03000,31.83000,32.21000,74227800
2001-11-09,32.17000,32.82500,31.95500,32.60500,48013600
2001-11-12,32.35000,33.22000,31.82500,32.89500,57752800
2001-11-13,33.40000,33.97500,33.30000,33.95000,60159600
2001-11-14,34.11500,34.17000,32.89500,32.97500,88625600
2001-11-15,33.05000,33.52500,32.72500,33.06000,77922000
2001-11-16,33.18000,33.30500,32.47500,32.87500,59249000
2001-11-19,33.12500,33.48500,32.85000,33.27000,56005000
2001-11-20,33.22500,33.90000,32.51500,32.70000,65921800
2001-11-21,32.18000,32.30000,31.74000,32.02500,50785200
2001-11-23,32.19000,32.40500,31.81000,32.35500,15754600
2001-11-26,32.49500,32.85500,32.20000,32.57000,41983600
2001-11-27,32.39500,32.53500,31.37500,31.87000,90819000
2001-11-28,31.58500,32.06000,31.36500,31.40000,54536600
2001-11-29,31.56000,32.45000,31.47500,32.42000,54034400
2001-11-30,32.33000,32.54000,31.96500,32.10500,48234200
2001-12-03,31.91500,32.61500,31.90000,32.38500,47211800
2001-12-04,32.50000,33.04000,32.05000,33.00000,51005800
2001-12-05,33.24500,34.08500,32.60000,34.05000,74243000
2001-12-06,33.99000,34.50000,33.77500,34.32500,56026200
2001-12-07,34.12500,34.42000,33.27500,33.91500,42334800
2001-12-10,33.76000,34.22500,33.43000,33.53000,38367400
2001-12-11,33.83000,34.06500,33.53500,33.66000,54334000
2001-12-12,33.58000,33.99000,33.12500,33.97500,47884200
2001-12-13,33.56500,34.12000,33.03500,33.13500,53227800
2001-12-14,33.01000,33.97500,32.96500,33.72000,43000600
2001-12-17,33.58500,34.55500,33.58000,34.49000,57079800
2001-12-18,34.46000,34.70000,34.30000,34.63500,47255200
2001-12-19,34.31000,34.94500,34.22500,34.74500,56996200
2001-12-20,34.57500,34.62500,33.31000,33.38000,78585000
2001-12-21,34.00500,34.01000,33.50000,33.77000,84307600
2001-12-24,33.86000,34.01500,33.60000,33.63500,11701600
2001-12-26,33.71000,34.53500,33.69500,33.84000,29328000
2001-12-27,33.99000,34.35500,33.63000,33.92500,32406600
2001-12-28,34.11500,34.42500,33.85000,33.93500,28787200
2001-12-31,33.92000,34.24000,33.12500,33.12500,43006200
2002-01-02,33.32500,33.55500,32.75500,33.52000,48124000
2002-01-03,33.55500,34.62500,33.54500,34.61500,67590800
2002-01-04,34.62500,34.95500,34.33500,34.45000,52731400
2002-01-07,34.87500,35.01000,34.17500,34.28000,58508800
2002-01-08,34.34500,34.93000,34.00000,34.69000,47736400
2002-01-09,34.86000,35.31000,34.27500,34.35500,76304000
2002-01-10,34.24000,34.90000,34.06500,34.64000,50296600
2002-01-11,34.76000,35.16000,34.05000,34.30500,72993200
2002-01-14,34.15000,34.52000,33.87000,34.23500,50997800
2002-01-15,34.33000,34.81000,34.25000,34.77500,60717400
2002-01-16,34.42500,34.92000,33.92500,33.93500,61955400
2002-01-17,34.26500,35.00000,34.20000,34.93000,78958000
2002-01-18,33.55000,33.92500,32.71000,33.05000,107140400
2002-01-22,33.30500,33.31500,32.12500,32.23000,76837200
2002-01-23,32.02500,32.35500,31.62000,31.87000,80403000
2002-01-24,32.05000,32.59000,31.90000,32.30000,83886000
2002-01-25,32.09500,32.42500,31.75500,31.90000,48981200
2002-01-28,32.11500,32.20000,31.45500,31.91000,41622000
2002-01-29,31.95000,32.25000,30.99500,31.16000,58666000
2002-01-30,31.22500,31.45000,30.66500,31.42500,66100000
2002-01-31,31.53000,31.90500,31.06000,31.85500,69566200
2002-02-01,32.07500,32.25000,31.23500,31.33000,63462200
2002-02-04,31.20000,31.34500,30.37500,30.56000,70308400
2002-02-05,30.40000,31.11500,30.25000,30.57500,66772600
2002-02-06,30.80500,30.94500,30.12500,30.20000,66103000
2002-02-07,30.15000,30.80500,29.87500,29.90000,63314000
2002-02-08,30.06000,30.33000,29.41500,30.32500,61283000
2002-02-11,30.00500,30.62000,29.79500,30.56500,50899600
2002-02-12,30.24500,30.42500,30.01000,30.07000,44973800
2002-02-13,30.13000,30.94000,29.97500,30.91000,54168600
2002-02-14,31.00000,31.49500,30.66000,30.84000,57267000
2002-02-15,30.85000,31.03000,30.10000,30.11500,50179800
2002-02-19,29.95500,30.07000,29.30000,29.46500,52262600
2002-02-20,29.70000,30.18000,29.40000,29.95000,50492000
2002-02-21,29.86000,30.13500,29.00500,29.02500,59398400
2002-02-22,29.02500,29.37500,28.57500,28.99500,71347800
2002-02-25,28.97000,29.94500,28.94500,29.54000,51832200
2002-02-26,29.55000,30.00000,28.95000,29.27500,63276200
2002-02-27,29.53500,30.07500,28.99500,29.19500,65750000
2002-02-28,29.39000,29.85000,29.07000,29.17000,68068000
2002-03-01,29.52500,30.71000,29.42500,30.68500,62115600
2002-03-04,30.62000,31.75000,30.43500,31.65000,74464200
2002-03-05,31.50000,31.94000,31.17000,31.54000,55926400
2002-03-06,31.45500,31.85000,31.09500,31.81500,49835400
2002-03-07,31.83500,31.94000,30.93000,31.36000,58079200
2002-03-08,31.81500,32.35000,31.58500,31.97500,57701800
2002-03-11,31.75500,32.50000,31.50000,32.17000,43718200
2002-03-12,31.26000,31.40000,30.83500,31.27000,66407200
2002-03-13,31.04000,31.51000,30.97500,31.05000,44387400
2002-03-14,31.07000,31.12000,30.52500,30.61000,51819600
2002-03-15,30.50000,31.25500,30.48500,31.24500,69086800
2002-03-18,31.37000,31.49500,30.60000,31.07000,52296800
2002-03-19,31.09000,31.50000,30.75000,31.11500,36376400
2002-03-20,30.70000,31.01000,30.05000,30.05000,55235200
2002-03-21,30.10500,30.79500,29.91500,30.68000,46123400
2002-03-22,30.52500,30.57000,30.11000,30.22500,41341400
2002-03-25,30.24000,30.39000,29.57500,29.61500,47752400
2002-03-26,29.55000,30.46000,29.15500,29.54000,69357200
2002-03-27,29.40000,29.94000,29.29500,29.72000,47318400
2002-03-28,29.97500,30.32500,29.83000,30.15500,43901200
2002-04-01,29.91500,30.20000,29.60000,30.19000,47010000
2002-04-02,29.45000,29.54500,28.55500,28.64000,76509400
2002-04-03,28.72000,28.80500,27.75000,28.16500,76931400
2002-04-04,27.99000,28.48500,27.71000,28.22500,61763800
2002-04-05,28.44500,28.65000,27.92000,27.93500,50166000
2002-04-08,27.15000,28.65500,27.13000,28.61000,73389600
2002-04-09,28.66500,28.71500,27.40000,27.43500,63413000
2002-04-10,27.56000,28.55500,27.53000,28.15000,75636400
2002-04-11,27.94500,28.22500,27.25000,27.39500,58165800
2002-04-12,27.57500,28.13000,27.43000,27.96500,52297600
2002-04-15,28.00000,28.37500,27.70000,27.84500,47388800
2002-04-16,28.20000,29.05000,28.18000,28.90500,51921600
2002-04-17,28.97500,29.14000,28.21000,28.31500,55158600
2002-04-18,28.39500,28.65500,26.34000,28.18500,74794800
2002-04-19,28.72000,28.99000,28.43000,28.60000,104268600
2002-04-22,28.26000,28.35000,27.50000,27.79500,51465200
2002-04-23,27.85000,27.91000,26.65000,26.99500,68281400
2002-04-24,26.92500,27.21500,26.50000,26.51000,61220400
2002-04-25,26.45000,27.22500,26.44000,26.86500,57290400
2002-04-26,27.03500,27.22500,25.73000,25.75000,62776600
2002-04-29,25.73500,26.45500,25.72000,26.12000,70246000
2002-04-30,26.05000,26.65000,25.96000,26.13000,77384000
2002-05-01,26.08000,26.59500,25.33000,26.37500,76413000
2002-05-02,26.32000,27.03500,25.57500,25.60500,79009200
2002-05-03,25.63000,25.84000,24.75500,24.78000,71628000
2002-05-06,24.72000,25.27000,24.18500,24.31000,66299400
2002-05-07,24.59000,25.14500,24.17500,24.73500,88385400
2002-05-08,25.63500,27.48500,25.61000,27.48500,101242000
2002-05-09,27.20000,27.50000,25.95000,26.06000,83288200
2002-05-10,26.26500,26.33500,24.99500,25.02500,64408800
2002-05-13,25.22500,26.45500,24.87500,26.34500,64819000
2002-05-14,27.20000,27.55000,26.99000,27.44000,64832400
2002-05-15,27.24500,28.22000,26.93000,27.37500,70412000
2002-05-16,27.35500,28.01500,27.32500,27.87000,53406400
2002-05-17,28.10500,28.20000,27.63500,28.01500,54646200
2002-05-20,27.75000,27.77500,26.75000,27.00500,52115800
2002-05-21,26.97500,27.30000,26.06500,26.09500,63120000
2002-05-22,25.93500,26.86000,25.92500,26.84500,54169400
2002-05-23,26.85000,27.42000,26.50500,27.41000,51412800
2002-05-24,27.07000,27.26000,26.52000,26.63000,35982000
2002-05-28,26.79500,26.84500,25.87500,26.16000,49602000
2002-05-29,25.82500,26.36000,25.77500,26.02500,45393200
2002-05-30,25.82000,26.68000,25.71500,26.32000,63213000
2002-05-31,26.45000,26.71000,25.44000,25.45500,66468000
2002-06-03,25.49500,25.82000,24.58500,24.71000,88439000
2002-06-04,24.75000,25.61500,24.62000,24.99000,88008400
2002-06-05,25.21500,25.87500,25.16500,25.83000,66969400
2002-06-06,25.75000,26.07000,25.00000,25.95000,78703400
2002-06-07,24.94500,26.30000,24.93000,25.99000,97834400
2002-06-10,25.82500,26.65000,25.73000,26.41000,71825400
2002-06-11,26.62000,27.09000,26.21000,26.28500,74368200
2002-06-12,26.29000,27.89000,26.25000,27.77000,136198600
2002-06-13,27.42000,27.74000,27.10000,27.11000,79771600
2002-06-14,26.57500,27.77500,26.50000,27.62500,109433600
2002-06-17,27.83000,28.22000,27.68500,27.84000,94486600
2002-06-18,27.76500,28.14500,27.67500,27.99500,77518400
2002-06-19,27.73500,27.97000,27.16000,27.18000,81247000
2002-06-20,27.18500,27.55000,26.95000,27.05000,86401200
2002-06-21,26.70000,27.27500,26.14000,26.14000,116820000
2002-06-24,26.04500,27.32000,25.92500,27.08000,104523200
2002-06-25,27.35000,27.50000,26.40000,26.47500,84025200
2002-06-26,25.52500,27.19500,25.52500,27.06500,112131400
2002-06-27,27.30000,27.47000,26.43000,27.46000,95812400
2002-06-28,27.27500,27.89500,27.00000,27.35000,89555600
2002-07-01,27.06000,27.19500,26.29000,26.33000,66473800
2002-07-02,26.19000,26.46000,25.66500,25.72000,82814200
2002-07-03,25.62000,26.26000,25.22500,25.92000,80936600
2002-07-05,26.54500,27.45000,26.52500,27.42500,35673600
2002-07-08,27.20500,27.46500,26.29000,26.46000,63199400
2002-07-09,26.65500,27.36500,26.48500,26.60500,85277200
2002-07-10,26.84500,27.10000,26.06500,26.12000,90673400
2002-07-11,26.02000,26.53500,25.62500,26.45500,129550600
2002-07-12,26.68500,26.86500,25.74000,25.93000,95733800
2002-07-15,25.69500,25.93000,24.00000,25.90000,136965600
2002-07-16,25.65500,26.40000,25.32000,25.62500,97154600
2002-07-17,26.26000,26.65000,25.58500,26.00000,98034800
2002-07-18,26.03000,26.37000,25.33000,25.55500,91053600
2002-07-19,24.93500,25.44500,24.40500,24.78000,112543400
2002-07-22,24.47500,24.99500,22.95000,23.75500,180069800
2002-07-23,23.24500,23.40000,21.48500,21.50500,168061600
2002-07-24,20.87500,23.18000,20.70500,23.11500,202307800
2002-07-25,22.72500,22.85500,21.22000,21.41500,163411400
2002-07-26,21.87000,22.70500,21.84000,22.67500,123538000
2002-07-29,23.42500,24.15000,23.27500,24.12500,112148600
2002-07-30,23.77500,24.41500,23.66500,24.05000,122690600
2002-07-31,23.80500,24.00000,23.18000,23.99000,93875600
2002-08-01,23.79000,24.04500,22.75000,22.87500,92002800
2002-08-02,22.75500,22.92500,21.90000,22.20500,85947600
2002-08-05,22.14500,22.58500,21.90500,21.99500,78941600
2002-08-06,22.45000,23.62500,22.42000,22.83500,88715800
2002-08-07,23.50000,23.65000,22.58000,23.54500,86349400
2002-08-08,23.55500,24.50000,23.20500,24.45500,88748000
2002-08-09,24.07500,24.57500,23.83000,24.06000,69049400
2002-08-12,23.80500,24.37500,23.80000,24.23500,56866600
2002-08-13,23.99500,24.85000,23.46000,23.53000,100122800
2002-08-14,23.62500,24.86500,23.60500,24.85500,96706000
2002-08-15,24.98000,25.37000,24.37500,24.88500,98745600
2002-08-16,24.71500,25.11500,24.46000,25.00000,69334000
2002-08-19,25.02000,26.02500,24.92500,26.00000,79848200
2002-08-20,25.69000,25.85000,25.37500,25.52000,70317600
2002-08-21,25.78000,26.19000,25.57500,26.14000,81203400
2002-08-22,26.42500,26.72500,26.30000,26.61500,72517600
2002-08-23,26.33000,26.42500,25.92000,26.11000,57929200
2002-08-26,26.25000,26.32500,25.59000,26.05000,55652400
2002-08-27,26.16500,26.22500,25.32500,25.42000,65470200
2002-08-28,25.24000,25.33000,24.65000,24.69000,68875000
2002-08-29,24.44500,25.50000,24.26000,25.29000,94275600
2002-08-30,25.07000,25.24000,24.50000,24.54000,58138400
2002-09-03,24.26000,24.26000,23.50000,23.51000,74452600
2002-09-04,23.72500,24.30000,23.57500,24.10500,80232000
2002-09-05,23.75000,23.76000,22.94000,22.95500,90438800
2002-09-06,23.87500,24.13500,23.73500,23.91000,69918400
2002-09-09,23.62500,24.47500,23.31500,24.35000,81653200
2002-09-10,24.27000,24.91000,24.17500,24.89500,83950000
2002-09-11,25.11500,25.55000,24.26500,24.29000,77443200
2002-09-12,24.07500,24.15000,23.51000,23.57500,63726800
2002-09-13,23.45000,24.13000,23.42500,23.95500,59549200
2002-09-16,23.80000,24.06500,23.52500,23.89000,50166200
2002-09-17,24.33500,24.45000,23.60500,23.64500,73343400
2002-09-18,23.36000,24.12000,23.33000,23.87500,83951800
2002-09-19,23.34000,23.91000,23.29500,23.60000,77777600
2002-09-20,23.85500,24.00000,23.65000,23.73000,130619200
2002-09-23,23.30000,23.35500,22.40500,22.61500,89783800
2002-09-24,22.41500,23.24000,22.31500,22.82000,104142200
2002-09-25,23.20000,23.48000,22.52500,23.25500,107116600
2002-09-26,23.55500,23.75000,22.97500,23.10000,100852200
2002-09-27,23.02000,23.55000,22.59500,22.62500,81011600
2002-09-30,22.43500,22.52000,21.55500,21.87000,115577000
2002-10-01,22.16000,23.12500,21.59500,23.11500,110636600
2002-10-02,23.05000,23.40500,22.58000,22.80500,103488600
2002-10-03,22.65000,23.29500,22.30000,22.40000,105221400
2002-10-04,22.69500,22.78500,21.84500,21.88500,107120400
2002-10-07,21.90500,22.53000,21.84500,22.02500,89790000
2002-10-08,22.37500,22.99000,22.06500,22.49500,115667600
2002-10-09,22.11500,22.72500,21.90500,21.99500,123142600
2002-10-10,22.00000,23.31000,21.62500,23.19000,118515000
2002-10-11,23.68000,24.45000,23.50500,24.43500,108828800
2002-10-14,24.12500,24.66500,23.92000,24.64500,76216200
