date,order,price,cost,commission,gross,net,comission
2001-12-05,BUY,33.245,95705.30303030302,,,,0.0
2002-01-23,SELL,32.025,95705.30303030302,,,,0.0
2002-01-23,CLOSE,,,,-3512.1212121212093,-3512.1212121212093,
2002-03-07,BUY,31.835,91721.10765838488,,,,0.0
2002-03-22,SELL,30.525000000000002,91721.10765838488,,,,0.0
2002-03-22,CLOSE,,,,-3774.2940484524706,-3774.2940484524706,
2002-05-20,BUY,27.750000000000004,87244.7573690211,,,,0.0
2002-05-22,SELL,25.935,87244.7573690211,,,,0.0
2002-05-22,CLOSE,,,,-5706.27872521707,-5706.27872521707,
2002-05-24,BUY,27.07,81631.64484182459,,,,0.0
2002-05-29,SELL,25.825,81631.64484182459,,,,0.0
2002-05-29,CLOSE,,,,-3754.392235983439,-3754.392235983439,
2002-06-13,BUY,27.42,78093.45160277294,,,,0.0
2002-07-03,SELL,25.620000000000005,78093.45160277294,,,,0.0
2002-07-03,CLOSE,,,,-5126.484787928203,-5126.484787928203,
2002-07-08,BUY,27.205,73624.7229041748,,,,0.0
2002-07-09,SELL,26.655,73624.7229041748,,,,0.0
2002-07-09,CLOSE,,,,-1488.4615915197917,-1488.4615915197917,
2002-08-19,BUY,25.019999999999996,72864.313884062,,,,0.0
2002-09-05,SELL,23.75,72864.313884062,,,,0.0
2002-09-05,CLOSE,,,,-3698.5483066650063,-3698.5483066650063,
2002-10-15,BUY,25.63,72061.89676463009,,,,0.0
2002-12-11,SELL,26.924999999999997,72061.89676463009,,,,0.0
2002-12-11,CLOSE,,,,3641.0517483494377,3641.0517483494377,
2003-01-10,BUY,27.55,71825.92270460483,,,,0.0
2003-01-22,SELL,25.795,71825.92270460483,,,,0.0
2003-01-22,CLOSE,,,,-4575.4807385329,-4575.4807385329,
2003-03-18,BUY,25.89,68299.21843625155,,,,0.0
2003-04-14,SELL,24.27,68299.21843625155,,,,0.0
2003-04-14,CLOSE,,,,-4273.647503542974,-4273.647503542974,
2003-04-21,BUY,25.61,64622.3411665663,,,,0.0
2003-05-21,SELL,24.63,64622.3411665663,,,,0.0
2003-05-21,CLOSE,,,,-2472.858037611675,-2472.858037611675,
2003-06-18,BUY,25.98,62043.32270587365,,,,0.0
2003-08-04,SELL,26.15,62043.32270587365,,,,0.0
2003-08-04,CLOSE,,,,405.98017167045447,405.98017167045447,
2003-08-26,BUY,26.31,61933.97976434339,,,,0.0
2003-10-27,SELL,26.91,61933.97976434339,,,,0.0
2003-10-27,CLOSE,,,,1412.4054678299553,1412.4054678299553,
2003-12-11,BUY,26.59,63723.02669026134,,,,0.0
2004-02-05,SELL,27.06,63723.02669026134,,,,0.0
2004-02-05,CLOSE,,,,1126.3566207003669,1126.3566207003669,
2004-04-08,BUY,25.82,65375.4181591132,,,,0.0
2004-04-16,SELL,25.33,65375.4181591132,,,,0.0
2004-04-16,CLOSE,,,,-1240.6644034843375,-1240.6644034843375,
