date,order,price,cost,commission,gross,net,comission
2019-07-19,BUY,138.855,95003.41411570656,,,,0.0
2019-07-19,SELL,136.95,95003.41411570656,,,,0.0
2019-07-19,CLOSE,,,,-1303.3848539153873,-1303.3848539153873,
2019-07-22,BUY,138.354,93761.10669889287,,,,0.0
2019-08-01,SELL,137.0,93761.10669889287,,,,0.0
2019-08-01,CLOSE,,,,-917.592107711394,-917.592107711394,
2019-08-01,BUY,140.78,92883.48070892735,,,,0.0
2019-08-01,SELL,138.61,92883.48070892735,,,,0.0
2019-08-01,CLOSE,,,,-1431.7172406476145,-1431.7172406476145,
2019-08-09,BUY,138.3559,91527.22821558663,,,,0.0
2019-08-13,SELL,136.05,91527.22821558663,,,,0.0
2019-08-13,CLOSE,,,,-1525.4328549943975,-1525.4328549943975,
2019-08-13,BUY,137.75999,90074.23426691823,,,,0.0
2019-08-14,SELL,134.3,90074.23426691823,,,,0.0
2019-08-14,CLOSE,,,,-2262.3110659429653,-2262.3110659429653,
2019-08-19,BUY,138.25,87928.40373218094,,,,0.0
2019-08-23,SELL,133.25,87928.40373218094,,,,0.0
2019-08-23,CLOSE,,,,-3180.0507678908116,-3180.0507678908116,
2019-08-29,BUY,137.73,84910.53555345254,,,,0.0
2019-09-10,SELL,134.67,84910.53555345254,,,,0.0
2019-09-10,CLOSE,,,,-1886.4897901224497,-1886.4897901224497,
2019-09-12,BUY,137.58,83118.37025283622,,,,0.0
2019-09-12,SELL,138.0,83118.37025283622,,,,0.0
2019-09-12,CLOSE,,,,253.74120879626523,253.74120879626523,
2019-09-17,BUY,136.87,83365.51525494111,,,,0.0
2019-09-17,SELL,137.05,83365.51525494111,,,,0.0
2019-09-17,CLOSE,,,,109.63536747198049,109.63536747198049,
2019-09-18,BUY,137.67999,83469.63452055126,,,,0.0
2019-10-01,SELL,137.59,83469.63452055126,,,,0.0
2019-10-01,CLOSE,,,,-54.55718300462128,-54.55718300462128,
2019-10-04,BUY,137.89,83417.79826656404,,,,0.0
2019-10-05,SELL,134.41,83417.79826656404,,,,0.0
2019-10-05,CLOSE,,,,-2105.2573643312935,-2105.2573643312935,
2019-10-07,BUY,137.34,80952.0005728744,,,,0.0
2019-10-08,SELL,136.63,80952.0005728744,,,,0.0
2019-10-08,CLOSE,,,,-418.49366831761665,-418.49366831761665,
2019-10-09,BUY,138.425,81020.04404057712,,,,0.0
2019-10-10,SELL,138.49001,81020.04404057712,,,,0.0
2019-10-10,CLOSE,,,,38.05030206305213,38.05030206305213,
2019-10-10,BUY,139.55,81061.95060339099,,,,0.0
2019-10-18,SELL,138.19,81061.95060339099,,,,0.0
2019-10-18,CLOSE,,,,-789.9982287396118,-789.9982287396118,
2019-10-24,BUY,139.94501,80299.83466507746,,,,0.0
2019-10-25,SELL,136.03999,80299.83466507746,,,,0.0
2019-10-25,CLOSE,,,,-2240.6833967414873,-2240.6833967414873,
2019-10-25,BUY,140.95,78176.73185405486,,,,0.0
2019-12-03,SELL,147.83,78176.73185405486,,,,0.0
2019-12-03,CLOSE,,,,3815.934126682507,3815.934126682507,
2019-12-06,BUY,151.23,81790.90907157566,,,,0.0
2020-01-27,SELL,162.5,81790.90907157566,,,,0.0
2020-01-27,CLOSE,,,,6095.242645220252,6095.242645220252,
2020-01-29,BUY,167.075,87581.55607908891,,,,0.0
2020-02-21,SELL,178.28999,87581.55607908891,,,,0.0
2020-02-21,CLOSE,,,,5878.954215839721,5878.954215839721,
2020-03-27,BUY,152.09,90871.49265179687,,,,0.0
2020-05-27,SELL,178.64,90871.49265179687,,,,0.0
2020-05-27,CLOSE,,,,15863.226575745975,15863.226575745975,
2020-06-01,BUY,182.39999,107733.9191173441,,,,0.0
