date,order,price,cost,commission,gross,net,comission
2021-04-30,BUY,251.78,95000.03395822963,,,,0.0
2021-04-30,SELL,251.28999,95000.03395822963,,,,0.0
2021-04-30,CLOSE,,,,-184.88746778883655,-184.88746778883655,
2021-04-30,BUY,251.91,94828.12503521674,,,,0.0
2021-05-03,SELL,252.075,94828.12503521674,,,,0.0
2021-05-03,CLOSE,,,,62.112026639712624,62.112026639712624,
2021-05-04,BUY,250.767,94430.35429774136,,,,0.0
2021-05-04,SELL,250.17799,94430.35429774136,,,,0.0
2021-05-04,CLOSE,,,,-221.80120584013372,-221.80120584013372,
2021-05-04,BUY,246.978,94683.38648080945,,,,0.0
2021-05-04,SELL,246.47,94683.38648080945,,,,0.0
2021-05-04,CLOSE,,,,-194.75078886480628,-194.75078886480628,
2021-05-04,BUY,246.87999999999997,94491.46636085604,,,,0.0
2021-05-05,SELL,247.91000000000003,94491.46636085604,,,,0.0
2021-05-05,CLOSE,,,,394.22476649256527,394.22476649256527,
2021-05-06,BUY,246.44,94872.55056340342,,,,0.0
2021-05-06,SELL,245.96001000000004,94872.55056340342,,,,0.0
2021-05-06,CLOSE,,,,-184.7828093853544,-184.7828093853544,
2021-05-06,BUY,246.13,94686.60879519048,,,,0.0
2021-05-06,SELL,246.98,94686.60879519048,,,,0.0
2021-05-06,CLOSE,,,,326.99637376959885,326.99637376959885,
2021-05-06,BUY,247.58000000000004,94997.25535027159,,,,0.0
2021-05-06,SELL,247.53000000000003,94997.25535027159,,,,0.0
2021-05-06,CLOSE,,,,-19.18516345228758,-19.18516345228758,
2021-05-06,BUY,247.69,94979.02944499192,,,,0.0
2021-05-06,SELL,247.23,94979.02944499192,,,,0.0
2021-05-06,CLOSE,,,,-176.3912695090518,-176.3912695090518,
2021-05-06,BUY,247.81,94819.1141308463,,,,0.0
2021-05-07,SELL,252.91,94819.1141308463,,,,0.0
2021-05-07,CLOSE,,,,1951.4042293180887,1951.4042293180887,
2021-05-07,BUY,253.10001,96669.11498005316,,,,0.0
2021-05-10,SELL,250.65199,96669.11498005316,,,,0.0
2021-05-10,CLOSE,,,,-934.9976985519215,-934.9976985519215,
2021-05-10,BUY,250.92,95777.65467269151,,,,0.0
2021-05-10,SELL,250.37999999999997,95777.65467269151,,,,0.0
2021-05-10,CLOSE,,,,-206.1212080473962,-206.1212080473962,
2021-05-11,BUY,246.38999999999996,95585.10821874089,,,,0.0
2021-05-11,SELL,245.08,95585.10821874089,,,,0.0
2021-05-11,CLOSE,,,,-508.20443916776395,-508.20443916776395,
2021-05-11,BUY,245.75,95102.30058843503,,,,0.0
2021-05-11,SELL,245.67,95102.30058843503,,,,0.0
2021-05-11,CLOSE,,,,-30.959039866026416,-30.959039866026416,
2021-05-11,BUY,245.85001000000003,95073.47456081773,,,,0.0
2021-05-11,SELL,244.92998999999998,95073.47456081773,,,,0.0
2021-05-11,CLOSE,,,,-355.7839923026468,-355.7839923026468,
2021-05-11,BUY,245.41010000000003,94732.2253473739,,,,0.0
2021-05-11,SELL,245.2,94732.2253473739,,,,0.0
2021-05-11,CLOSE,,,,-81.10196175905969,-81.10196175905969,
