date,order,price,cost,commission,gross,net,comission
2001-12-05,BUY,33.245,95705.30303030302,,,,0.0
2001-12-21,SELL,34.005,95705.30303030302,,,,0.0
2001-12-21,CLOSE,,,,2187.8787878788025,2187.8787878788025,
2001-12-24,BUY,33.86,97337.20749095934,,,,0.0
2002-01-02,SELL,33.325,97337.20749095934,,,,0.0
2002-01-02,CLOSE,,,,-1537.9623747094777,-1537.9623747094777,
2002-01-04,BUY,34.625,95645.04370982776,,,,0.0
2002-01-17,SELL,34.265,95645.04370982776,,,,0.0
2002-01-17,CLOSE,,,,-994.432223409038,-994.432223409038,
2002-01-18,BUY,33.55,90932.41969190193,,,,0.0
2002-01-22,SELL,33.305,90932.41969190193,,,,0.0
2002-01-22,CLOSE,,,,-664.0370439497987,-664.0370439497987,
2002-03-07,BUY,31.835,94100.99273589606,,,,0.0
2002-03-15,SELL,30.5,94100.99273589606,,,,0.0
2002-03-15,CLOSE,,,,-3946.1229873542115,-3946.1229873542115,
2002-03-18,BUY,31.369999999999997,90654.28797914016,,,,0.0
2002-03-21,SELL,30.104999999999997,90654.28797914016,,,,0.0
2002-03-21,CLOSE,,,,-3655.647889499906,-3655.647889499906,
2002-05-20,BUY,27.750000000000004,85998.9413043142,,,,0.0
2002-05-22,SELL,25.935,85998.9413043142,,,,0.0
2002-05-22,CLOSE,,,,-5624.795620444349,-5624.795620444349,
2002-05-24,BUY,27.07,80465.98151030498,,,,0.0
2002-05-28,SELL,26.795,80465.98151030498,,,,0.0
2002-05-28,CLOSE,,,,-817.4416296761639,-817.4416296761639,
2002-06-13,BUY,27.420000000000005,79682.96143326092,,,,0.0
2002-06-24,SELL,26.045,79682.96143326092,,,,0.0
2002-06-24,CLOSE,,,,-3995.7721360588635,-3995.7721360588635,
2002-06-25,BUY,27.35,77670.85246609137,,,,0.0
2002-06-26,SELL,25.525,77670.85246609137,,,,0.0
2002-06-26,CLOSE,,,,-5182.789972600254,-5182.789972600254,
2002-06-27,BUY,27.300000000000004,72605.42481675354,,,,0.0
2002-07-02,SELL,26.19,72605.42481675354,,,,0.0
2002-07-02,CLOSE,,,,-2952.0887013405363,-2952.0887013405363,
2002-07-08,BUY,27.205,68621.02778706727,,,,0.0
2002-07-09,SELL,26.654999999999998,68621.02778706727,,,,0.0
2002-07-09,CLOSE,,,,-1387.302528317839,-1387.302528317839,
2002-08-19,BUY,25.019999999999996,67912.29780560966,,,,0.0
2002-08-29,SELL,24.445,67912.29780560966,,,,0.0
2002-08-29,CLOSE,,,,-1560.7342621193154,-1560.7342621193154,
2002-08-30,BUY,25.07,65797.90898206017,,,,0.0
