date,order,price,cost,commission,gross,net,comission
2019-07-19,BUY,138.855,95003.41411570656,,,,0.0
2019-07-19,SELL,136.95,95003.41411570656,,,,0.0
2019-07-19,CLOSE,,,,-1303.3848539153873,-1303.3848539153873,
2019-07-22,BUY,138.354,93761.10669889287,,,,0.0
2019-07-31,SELL,139.14999,93761.10669889287,,,,0.0
2019-07-31,CLOSE,,,,539.4343735725075,539.4343735725075,
2019-08-01,BUY,140.78,94267.55764957766,,,,0.0
2019-08-01,SELL,138.61,94267.55764957766,,,,0.0
2019-08-01,CLOSE,,,,-1453.0515705326209,-1453.0515705326209,
2019-08-09,BUY,138.3559,92891.09534295902,,,,0.0
2019-08-12,SELL,136.71001,92891.09534295902,,,,0.0
2019-08-12,CLOSE,,,,-1105.0379847481818,-1105.0379847481818,
2019-08-12,BUY,135.61,91840.26943235601,,,,0.0
2019-08-13,SELL,136.05,91840.26943235601,,,,0.0
2019-08-13,CLOSE,,,,297.9847986891559,297.9847986891559,
2019-08-13,BUY,137.75999,92120.4538125893,,,,0.0
2019-08-14,SELL,134.94,92120.4538125893,,,,0.0
2019-08-14,CLOSE,,,,-1885.734446895378,-1885.734446895378,
2019-08-19,BUY,138.25,90332.43280460012,,,,0.0
2019-08-22,SELL,136.71001,90332.43280460012,,,,0.0
2019-08-22,CLOSE,,,,-1006.2281605407242,-1006.2281605407242,
2019-08-22,BUY,137.7489,89379.06930729361,,,,0.0
2019-08-23,SELL,135.47,89379.06930729361,,,,0.0
2019-08-23,CLOSE,,,,-1478.6757719618147,-1478.6757719618147,
2019-08-29,BUY,137.73,87975.04106448418,,,,0.0
2019-09-03,SELL,136.39999,87975.04106448418,,,,0.0
2019-09-03,CLOSE,,,,-849.5439219209576,-849.5439219209576,
2019-09-03,BUY,136.19,87171.17469017884,,,,0.0
2019-09-04,SELL,137.3,87171.17469017884,,,,0.0
2019-09-04,CLOSE,,,,710.478037345618,710.478037345618,
2019-09-04,BUY,137.14,87839.72591741025,,,,0.0
2019-09-09,SELL,137.94,87839.72591741025,,,,0.0
2019-09-09,CLOSE,,,,512.4090763739916,512.4090763739916,
2019-09-12,BUY,137.58,88329.7170966929,,,,0.0
2019-09-12,SELL,138.0,88329.7170966929,,,,0.0
2019-09-12,CLOSE,,,,269.65024844170597,269.65024844170597,
2019-09-17,BUY,136.87,88592.35757016923,,,,0.0
2019-09-17,SELL,137.05,88592.35757016923,,,,0.0
2019-09-17,CLOSE,,,,116.50927422102043,116.50927422102043,
2019-09-18,BUY,137.67999,88703.00489455354,,,,0.0
2019-09-19,SELL,136.87,88703.00489455354,,,,0.0
2019-09-19,CLOSE,,,,-521.8517733371374,-521.8517733371374,
2019-09-19,BUY,140.3291,90087.63527614907,,,,0.0
2019-09-20,SELL,137.75,90087.63527614907,,,,0.0
2019-09-20,CLOSE,,,,-1655.715173408203,-1655.715173408203,
2019-09-20,BUY,141.00999,88178.70857359035,,,,0.0
2019-09-26,SELL,140.37,88178.70857359035,,,,0.0
2019-09-26,CLOSE,,,,-400.2091745415386,-400.2091745415386,
2019-10-04,BUY,137.89,86253.93659934663,,,,0.0
2019-10-05,SELL,134.41,86253.93659934663,,,,0.0
2019-10-05,CLOSE,,,,-2176.834428644031,-2176.834428644031,
2019-10-07,BUY,137.34,83704.30375889836,,,,0.0
2019-10-08,SELL,136.73,83704.30375889836,,,,0.0
2019-10-08,CLOSE,,,,-371.7753407086729,-371.7753407086729,
2019-10-08,BUY,137.03,83829.56696815781,,,,0.0
2019-10-08,SELL,136.63,83829.56696815781,,,,0.0
2019-10-08,CLOSE,,,,-244.7042748833365,-244.7042748833365,
2019-10-09,BUY,138.425,83600.07840251763,,,,0.0
