date,order,price,cost,commission,gross,net,comission
2021-04-30,BUY,251.78,95000.03395822963,,,,0.0
2021-04-30,SELL,251.47,95000.03395822963,,,,0.0
2021-04-30,CLOSE,,,,-116.96723539221304,-116.96723539221304,
2021-04-30,BUY,251.90999999999997,94892.65182005656,,,,0.0
2021-04-30,SELL,251.80999999999997,94892.65182005656,,,,0.0
2021-04-30,CLOSE,,,,-37.66926752412537,-37.66926752412537,
2021-04-30,BUY,252.09,94843.50525142596,,,,0.0
2021-04-30,SELL,251.66999999999996,94843.50525142596,,,,0.0
2021-04-30,CLOSE,,,,-158.01607444008255,-158.01607444008255,
2021-05-03,BUY,253.39999,95161.1354970043,,,,0.0
2021-05-03,SELL,252.77999999999997,95161.1354970043,,,,0.0
2021-05-03,CLOSE,,,,-232.82933987798432,-232.82933987798432,
2021-05-04,BUY,250.767,94030.70039789593,,,,0.0
2021-05-04,SELL,250.17799,94030.70039789593,,,,0.0
2021-05-04,CLOSE,,,,-220.86248526067965,-220.86248526067965,
2021-05-04,BUY,246.97799999999998,94282.66168273959,,,,0.0
2021-05-04,SELL,246.47,94282.66168273959,,,,0.0
2021-05-04,CLOSE,,,,-193.9265527084597,-193.9265527084597,
2021-05-04,BUY,246.88,94091.55381881306,,,,0.0
2021-05-04,SELL,246.495,94091.55381881306,,,,0.0
2021-05-04,CLOSE,,,,-146.7322108726595,-146.7322108726595,
2021-05-04,BUY,246.84,93948.3469922276,,,,0.0
2021-05-05,SELL,247.69,93948.3469922276,,,,0.0
2021-05-05,CLOSE,,,,323.5135915710295,323.5135915710295,
2021-05-05,BUY,247.86000000000004,94259.48403375086,,,,0.0
2021-05-05,SELL,247.69,94259.48403375086,,,,0.0
2021-05-05,CLOSE,,,,-64.64985187501745,-64.64985187501745,
2021-05-05,BUY,248.12029999999996,94198.17791113006,,,,0.0
2021-05-05,SELL,247.86,94198.17791113006,,,,0.0
2021-05-05,CLOSE,,,,-98.82216694991052,-98.82216694991052,
2021-05-05,BUY,248.38499000000002,94100.38648633641,,,,0.0
2021-05-05,SELL,248.29999999999998,94100.38648633641,,,,0.0
2021-05-05,CLOSE,,,,-32.19837014899404,-32.19837014899404,
2021-05-05,BUY,248.47999999999996,94073.58399670375,,,,0.0
2021-05-05,SELL,248.245,94073.58399670375,,,,0.0
2021-05-05,CLOSE,,,,-88.97010720871425,-88.97010720871425,
2021-05-06,BUY,246.44,93995.57841536972,,,,0.0
2021-05-06,SELL,245.97999999999996,93995.57841536972,,,,0.0
2021-05-06,CLOSE,,,,-175.45027621762222,-175.45027621762222,
2021-05-06,BUY,246.13,93818.59867043985,,,,0.0
2021-05-06,SELL,247.37000000000003,93818.59867043985,,,,0.0
2021-05-06,CLOSE,,,,472.6569794472282,472.6569794472282,
2021-05-06,BUY,247.58,94267.62280091472,,,,0.0
2021-05-06,SELL,247.53,94267.62280091472,,,,0.0
2021-05-06,CLOSE,,,,-19.037810566470664,-19.037810566470664,
2021-05-06,BUY,247.69,94249.53688087656,,,,0.0
2021-05-06,SELL,247.23,94249.53688087656,,,,0.0
2021-05-06,CLOSE,,,,-175.03648498205,-175.03648498205,
2021-05-06,BUY,247.81,94090.84980661969,,,,0.0
2021-05-07,SELL,253.19999999999996,94090.84980661969,,,,0.0
2021-05-07,CLOSE,,,,2046.5262921499489,2046.5262921499489,
2021-05-07,BUY,253.10001,96031.25019364206,,,,0.0
2021-05-07,SELL,252.66,96031.25019364206,,,,0.0
2021-05-07,CLOSE,,,,-166.9486713876642,-166.9486713876642,
