,open,high,low,close,volume
2020-10-22 15:45:00,130.08000,130.14000,129.86000,130.03000,268447
2020-10-23 09:30:00,130.00000,130.60001,129.68120,129.74020,1387798
2020-10-23 09:45:00,129.55020,129.64999,129.12000,129.21001,167361
2020-10-23 10:00:00,129.26500,129.30000,128.80000,129.03999,123673
2020-10-23 10:15:00,128.97000,129.25999,128.64999,129.16000,83964
2020-10-23 10:30:00,129.12000,129.67000,129.10010,129.39000,112399
2020-10-23 10:45:00,129.39500,129.59000,129.32010,129.49001,102950
2020-10-23 11:00:00,129.47000,129.66000,129.35001,129.60001,93191
2020-10-23 11:15:00,129.60001,129.83000,129.39500,129.48500,34227
2020-10-23 11:30:00,129.45000,129.59000,129.38000,129.50999,40675
2020-10-23 11:45:00,129.53999,129.56551,129.08000,129.13000,58830
2020-10-23 12:00:00,129.17500,129.55000,129.11000,129.52000,51070
2020-10-23 12:15:00,129.42000,129.44501,128.95000,129.14999,55286
2020-10-23 12:30:00,129.17000,129.18600,128.97000,129.17999,37632
2020-10-23 12:45:00,129.16000,129.19501,128.92000,128.98000,33895
2020-10-23 13:00:00,128.97000,129.28000,128.97000,129.24339,32744
2020-10-23 13:15:00,129.25999,129.52000,129.17999,129.47000,47187
2020-10-23 13:30:00,129.48000,129.66499,129.44701,129.64500,53491
2020-10-23 13:45:00,129.67230,129.98000,129.64999,129.96001,50170
2020-10-23 14:00:00,129.96001,130.10001,129.87000,129.97000,94686
2020-10-23 14:15:00,130.00000,130.34489,129.99001,130.33501,72252
2020-10-23 14:30:00,130.33990,130.37000,130.17999,130.17999,62694
2020-10-23 14:45:00,130.17500,130.25999,130.10001,130.10001,58021
2020-10-23 15:00:00,130.11000,130.22000,130.08000,130.20000,154617
2020-10-23 15:15:00,130.14500,130.21001,129.89999,129.94000,88672
2020-10-23 15:30:00,129.94501,130.08000,129.89999,130.07001,94422
2020-10-23 15:45:00,130.06149,130.17000,129.98000,130.00000,333976
2020-10-26 09:30:00,128.93111,129.32001,128.64999,128.83000,222943
2020-10-26 09:45:00,128.87500,129.28000,128.78050,129.14500,118960
2020-10-26 10:00:00,129.13000,129.60001,128.92999,129.51500,418374
2020-10-26 10:15:00,129.51230,129.59990,128.85001,128.85001,187375
2020-10-26 10:30:00,128.88989,128.92999,128.53690,128.78999,156402
2020-10-26 10:45:00,128.75999,128.84000,128.27200,128.28999,129067
2020-10-26 11:00:00,128.24001,128.45000,127.97130,128.33000,128121
2020-10-26 11:15:00,128.32001,128.32001,127.80000,128.00500,153879
2020-10-26 11:30:00,128.00000,128.03500,127.73000,127.90840,139565
2020-10-26 11:45:00,127.96000,128.20500,127.89000,127.89000,135638
2020-10-26 12:00:00,127.94580,127.99500,127.62000,127.68000,78602
2020-10-26 12:15:00,127.69000,127.86560,127.61000,127.78000,72005
2020-10-26 12:30:00,127.74000,127.74000,127.12000,127.34000,130385
2020-10-26 12:45:00,127.30000,127.30000,127.03000,127.18000,68186
2020-10-26 13:00:00,127.25000,127.41000,127.08000,127.26500,66821
2020-10-26 13:15:00,127.25000,127.27000,126.90000,126.93000,106759
2020-10-26 13:30:00,126.90000,127.12000,126.69000,127.11000,97547
2020-10-26 13:45:00,127.10000,127.61000,127.09000,127.57000,69041
2020-10-26 14:00:00,127.57000,127.93000,127.51000,127.74000,84767
2020-10-26 14:15:00,127.81000,127.98000,127.63000,127.94000,71813
2020-10-26 14:30:00,127.95000,128.14999,127.88000,127.98000,159859
2020-10-26 14:45:00,127.94000,128.12000,127.75000,127.95000,88693
2020-10-26 15:00:00,127.98000,128.10001,127.58000,127.70000,101449
2020-10-26 15:15:00,127.65000,128.10500,127.65000,128.04500,108790
2020-10-26 15:30:00,128.08000,128.23500,127.94000,128.17999,203356
2020-10-26 15:45:00,128.16000,128.53000,127.80000,128.35001,444057
2020-10-27 09:30:00,128.53999,129.34000,128.53999,129.24001,90913
2020-10-27 09:45:00,129.17000,129.31000,128.69000,128.73000,94396
2020-10-27 10:00:00,128.74500,129.49001,128.70010,129.25999,85146
2020-10-27 10:15:00,129.27000,129.27000,128.53000,128.61000,84528
2020-10-27 10:30:00,128.61000,129.07001,128.61000,128.81310,65504
2020-10-27 10:45:00,128.80000,129.17000,128.64999,128.75000,68023
2020-10-27 11:00:00,128.78500,128.92999,128.63000,128.92999,54018
2020-10-27 11:15:00,128.92000,128.95329,128.39999,128.41000,60218
2020-10-27 11:30:00,128.44000,128.47000,128.12000,128.39999,85985
2020-10-27 11:45:00,128.39000,128.89000,128.38010,128.84380,48837
2020-10-27 12:00:00,128.83000,128.97000,128.75999,128.89999,34511
