,open,high,low,close,volume
2019-06-20 08:00:00,84.90000,85.67000,84.53000,84.62000,1994065
2019-06-20 12:00:00,84.62500,85.31000,84.42000,85.10000,2345612
2019-06-20 16:00:00,85.10000,85.41500,85.07000,85.24000,979009
2019-06-21 08:00:00,85.16000,85.60000,84.60000,85.23000,2716639
2019-06-21 12:00:00,85.23000,85.71500,85.05000,85.48500,1642283
2019-06-21 16:00:00,85.48000,85.74000,85.37000,85.71000,1617877
2019-06-24 08:00:00,86.00000,86.85000,85.30770,85.72500,1696945
2019-06-24 12:00:00,85.72000,85.88000,84.58000,84.58500,2107051
2019-06-24 16:00:00,84.59500,84.68500,84.36500,84.50000,1488021
2019-06-25 08:00:00,84.60000,84.69000,83.59500,83.70000,1595905
2019-06-25 12:00:00,83.70000,83.75500,82.16000,82.48000,3614898
2019-06-25 16:00:00,82.47000,82.72000,82.40000,82.61000,1126507
2019-06-26 08:00:00,83.15000,83.69000,82.81000,83.68000,1685498
2019-06-26 12:00:00,83.69000,83.69000,82.44000,82.61500,2281326
2019-06-26 16:00:00,82.61000,82.72000,82.50000,82.52000,971369
2019-06-27 08:00:00,82.93000,83.59000,82.93000,83.21000,2285443
2019-06-27 12:00:00,83.21000,83.77000,83.06000,83.57000,3526221
2019-06-27 16:00:00,83.57000,83.75000,83.47500,83.66000,1724193
2019-06-28 08:00:00,83.99000,84.75000,83.10000,83.43000,5157542
2019-06-28 12:00:00,83.42000,83.80000,82.67000,83.42000,2853373
2019-06-28 16:00:00,83.42000,84.04000,83.39000,84.04000,1192916
2019-07-01 08:00:00,84.93000,86.28000,84.90000,85.51000,2727148
2019-07-01 12:00:00,85.51000,85.80000,85.28000,85.43000,2314141
2019-07-01 16:00:00,85.43000,85.53000,85.27000,85.37000,835490
2019-07-02 08:00:00,85.36000,85.47000,84.82100,85.07000,1719007
2019-07-02 12:00:00,85.06500,85.08000,84.22000,84.70500,2018847
2019-07-02 16:00:00,84.70500,84.84000,84.61500,84.80000,699530
2019-07-03 08:00:00,85.33000,86.20000,85.12000,86.03000,2024836
2019-07-03 12:00:00,86.03000,86.36000,85.96000,86.36000,754487
2019-07-05 08:00:00,85.80000,86.69000,85.42000,86.38000,3381425
2019-07-05 12:00:00,86.38000,86.91000,86.28000,86.81000,1411191
2019-07-05 16:00:00,86.81000,86.88000,86.66500,86.88000,820832
2019-07-08 08:00:00,86.06000,87.67000,85.97000,87.53000,1918360
2019-07-08 12:00:00,87.53000,88.42000,87.49000,88.34000,2634713
2019-07-08 16:00:00,88.34990,88.52000,88.34000,88.48000,1155164
2019-07-09 08:00:00,88.10000,88.80000,87.96170,88.60000,2163375
2019-07-09 12:00:00,88.60000,88.69000,87.82000,87.91310,2000639
2019-07-09 16:00:00,87.92000,88.27000,87.92000,88.04000,893390
2019-07-10 08:00:00,88.48000,88.94000,87.39000,87.80000,2063611
2019-07-10 12:00:00,87.79000,88.05000,87.48000,87.60000,1948497
2019-07-10 16:00:00,87.59000,87.84000,87.46000,87.56000,673943
2019-07-11 08:00:00,87.71000,88.11000,87.40000,87.99500,1286887
2019-07-11 12:00:00,88.00000,88.28000,87.89500,87.95000,1518547
2019-07-11 16:00:00,87.95000,88.30000,87.94500,88.28000,638861
2019-07-12 08:00:00,88.63000,88.98000,88.25000,88.81500,1280059
2019-07-12 12:00:00,88.81000,89.31000,88.71000,88.99000,1619545
2019-07-12 16:00:00,89.00000,89.13000,88.92000,89.12000,636550
2019-07-15 08:00:00,89.06000,89.87000,89.06000,89.59000,1364465
2019-07-15 12:00:00,89.60000,89.68000,89.29000,89.55000,1296403
2019-07-15 16:00:00,89.55000,89.61000,89.40000,89.47500,617185
2019-07-16 08:00:00,89.50000,89.70770,89.04000,89.14500,1744928
2019-07-16 12:00:00,89.14000,89.16500,88.71500,88.72000,2514525
2019-07-16 16:00:00,88.72000,88.84000,88.59000,88.60500,912218
2019-07-17 08:00:00,88.42000,88.68500,87.94000,87.97000,1098793
2019-07-17 12:00:00,87.96000,88.29000,87.69000,87.72000,1288150
2019-07-17 16:00:00,87.72000,87.83000,87.51000,87.52500,706779
2019-07-18 08:00:00,87.57970,87.73000,87.01000,87.12000,1109106
2019-07-18 12:00:00,87.14000,87.44000,86.75500,87.22500,2061262
2019-07-18 16:00:00,87.22000,87.41000,87.19000,87.37000,593265
2019-07-19 08:00:00,87.73000,87.88000,87.33000,87.54710,1569067
2019-07-19 12:00:00,87.55000,87.58000,86.74000,87.01000,2578829
2019-07-19 16:00:00,87.00000,87.10000,86.48000,86.55000,861738
2019-07-22 08:00:00,86.56000,86.99000,85.86000,86.02000,1760528
2019-07-22 12:00:00,86.02000,86.20000,85.83000,86.00000,2382215
2019-07-22 16:00:00,86.00000,86.02000,85.83000,85.96000,1370998
2019-07-23 08:00:00,86.64000,87.10000,86.34500,86.45000,1325630
2019-07-23 12:00:00,86.44000,87.02000,86.23000,86.77500,2122744
2019-07-23 16:00:00,86.78000,86.79000,86.56500,86.68000,847898
2019-07-24 08:00:00,86.65000,87.21000,86.44000,86.77000,1465490
2019-07-24 12:00:00,86.79000,86.80000,86.30500,86.60000,1883296
2019-07-24 16:00:00,86.59500,86.80000,86.56000,86.70000,1224570
2019-07-25 08:00:00,86.82000,87.50000,86.59000,87.15500,1358316
2019-07-25 12:00:00,87.15500,87.30320,86.88920,87.20000,1790517
2019-07-25 16:00:00,87.20000,87.28000,87.06000,87.27000,831186
2019-07-26 08:00:00,87.48000,87.64000,86.83000,86.85000,1171578
2019-07-26 12:00:00,86.86000,87.84000,86.77000,87.71000,1268449
2019-07-26 16:00:00,87.70000,87.73000,87.53000,87.55000,442935
2019-07-29 08:00:00,87.65000,87.87000,87.18000,87.36000,1114243
2019-07-29 12:00:00,87.36000,87.69000,87.29000,87.54500,1369790
2019-07-29 16:00:00,87.55000,87.76000,87.50000,87.61000,472322
2019-07-30 08:00:00,86.84000,87.78480,86.36000,87.63000,1295941
2019-07-30 12:00:00,87.64000,87.91080,87.09000,87.12000,1276281
2019-07-30 16:00:00,87.12000,87.16000,86.99000,87.12000,411500
2019-07-31 08:00:00,87.09000,87.27000,86.27000,86.70000,1638143
2019-07-31 12:00:00,86.68000,87.18000,85.55000,86.43000,1940990
2019-07-31 16:00:00,86.43000,86.58000,85.98000,86.00000,954308
2019-08-01 08:00:00,85.57000,86.52950,85.27000,86.49000,1486602
2019-08-01 12:00:00,86.49000,86.77000,82.70000,83.16000,3998025
2019-08-01 16:00:00,83.17000,83.43000,82.96000,83.11000,1352769
2019-08-02 08:00:00,82.53000,83.24000,81.83000,81.89000,2862337
2019-08-02 12:00:00,81.90000,82.19000,80.79000,81.16000,3734851
2019-08-02 16:00:00,81.16000,81.54000,81.04000,81.12000,1552774
2019-08-05 08:00:00,79.66000,80.05000,78.78000,79.83000,2610941
2019-08-05 12:00:00,79.83000,79.85000,78.18500,78.74000,3154514
2019-08-05 16:00:00,78.72000,79.23000,78.54000,78.97000,1309904
2019-08-06 08:00:00,79.85000,80.61000,79.49000,80.15000,2089681
2019-08-06 12:00:00,80.17000,81.59000,80.06000,81.15000,2956948
2019-08-06 16:00:00,81.15000,81.40000,81.08000,81.28000,1409189
2019-08-07 08:00:00,80.50000,81.82000,80.09000,81.26000,2007568
2019-08-07 12:00:00,81.26000,81.38000,80.62000,81.15500,2381243
2019-08-07 16:00:00,81.16000,81.32000,80.93000,81.28000,956646
2019-08-08 08:00:00,81.81000,83.24000,81.60920,83.02000,1884235
2019-08-08 12:00:00,83.01000,83.36000,82.68000,82.70500,2429098
2019-08-08 16:00:00,82.69000,83.02000,82.68500,83.00000,886200
2019-08-09 08:00:00,83.14000,83.43000,81.50000,81.50000,1585200
2019-08-09 12:00:00,81.51000,82.52000,81.32000,82.27000,2388335
2019-08-09 16:00:00,82.27000,82.41500,81.94000,81.98000,900922
2019-08-12 08:00:00,81.41000,81.79000,81.18000,81.31000,1153993
2019-08-12 12:00:00,81.31000,81.95000,81.28000,81.43000,1872099
2019-08-12 16:00:00,81.52000,81.55000,81.52000,81.55000,1702
2019-08-13 08:00:00,81.17000,84.15000,80.85000,82.95000,1199921
2019-08-13 12:00:00,82.94000,83.37500,82.63000,83.36590,2187200
2019-08-13 16:00:00,83.36000,83.36500,83.15500,83.33000,1192722
2019-08-14 08:00:00,81.24000,81.67000,80.51000,81.40000,2338366
2019-08-14 12:00:00,81.40000,81.69000,80.88000,81.27000,2631625
2019-08-14 16:00:00,81.25000,81.37500,81.02000,81.03000,1260656
2019-08-15 08:00:00,81.11500,81.30000,80.08000,80.44000,1689335
2019-08-15 12:00:00,80.45000,80.51000,79.44000,79.53500,3060456
2019-08-15 16:00:00,79.53500,79.98000,79.46000,79.52000,1168967
2019-08-16 08:00:00,80.09000,80.37000,79.25000,80.26500,2127194
2019-08-16 12:00:00,80.26000,80.56000,80.12000,80.33500,1878863
2019-08-16 16:00:00,80.33000,80.45500,80.24000,80.30000,1070345
2019-08-19 08:00:00,82.00000,82.32000,80.83000,81.06000,1879835
2019-08-19 12:00:00,81.07000,81.36000,80.91000,81.25000,1915570
2019-08-19 16:00:00,81.22000,81.26000,81.10000,81.10000,884180
2019-08-20 08:00:00,80.87000,81.23000,79.45000,80.81000,1395892
2019-08-20 12:00:00,80.81000,81.08500,80.58000,80.75000,1928991
2019-08-20 16:00:00,80.74000,80.77000,80.47000,80.55000,856886
2019-08-21 08:00:00,82.08000,82.43000,81.78000,82.16000,1905633
2019-08-21 12:00:00,82.15000,82.73000,82.09000,82.61000,2182251
2019-08-21 16:00:00,82.61000,82.84000,82.48000,82.80000,1351219
2019-08-22 08:00:00,83.42000,83.56000,82.50000,82.73000,1230868
2019-08-22 12:00:00,82.73000,83.47000,82.73000,83.32000,1349186
2019-08-22 16:00:00,83.33000,83.72000,83.26000,83.33000,1014150
2019-08-23 08:00:00,82.02000,82.72500,80.76500,80.87000,2228220
2019-08-23 12:00:00,80.89000,81.06500,80.03000,80.16000,2901483
2019-08-23 16:00:00,80.15000,80.56000,80.06000,80.44000,1803020
2019-08-26 08:00:00,81.44000,81.73000,80.74420,81.68140,1331579
2019-08-26 12:00:00,81.62000,82.15500,81.39000,81.84000,1364758
