timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-07-02,135.6,136.635,135.42,135.9,135.9,5572412,0.0000,1.0
2021-07-01,135.43,136.14,134.92,135.24,135.24,5922398,0.0000,1.0
2021-06-30,134.58,135.29,134.29,134.93,134.93,5776572,0.0000,1.0
2021-06-29,135.51,135.83,133.82,134.4,134.4,5792314,0.0000,1.0
2021-06-28,134.9,136.16,134.76,135.32,135.32,6065743,0.0000,1.0
2021-06-25,133.26,135.54,132.95,134.92,134.92,24504907,0.0000,1.0
2021-06-24,132.95,133.305,132.7,133.02,133.02,6056719,0.0000,1.0
2021-06-23,132.95,133.36,132.315,132.93,132.93,5796165,0.0000,1.0
2021-06-22,133.04,134.02,132.88,133.12,133.12,6551072,0.0000,1.0
2021-06-21,132.69,133.26,132.4,133.07,133.07,8014793,0.0000,1.0
2021-06-18,133.34,133.35,131.94,132.03,132.03,13997625,0.0000,1.0
2021-06-17,132.82,134.155,132.65,133.99,133.99,7875601,0.0000,1.0
2021-06-16,135.18,135.58,132.65,132.78,132.78,8930309,0.0000,1.0
2021-06-15,135.2,135.64,134.55,134.65,134.65,5543565,0.0000,1.0
2021-06-14,134.98,135.03,133.96,134.91,134.91,6302202,0.0000,1.0
2021-06-11,135.75,135.87,133.9,134.86,134.86,10641366,0.0000,1.0
2021-06-10,135.02,136.35,134.62,135.79,135.79,6515559,0.0000,1.0
2021-06-09,135.55,136.4384,134.74,134.79,134.79,6200787,0.0000,1.0
2021-06-08,136.68,136.75,134.75,134.84,134.84,6911504,0.0000,1.0
2021-06-07,136.36,136.84,135.675,136.42,136.42,8418233,0.0000,1.0
2021-06-04,135.7,136.62,135.4,135.95,135.95,6894439,0.0000,1.0
2021-06-03,133.23,135.91,133.2,135.85,135.85,11249823,0.0000,1.0
2021-06-02,133.0,133.63,132.52,133.46,133.46,8254204,0.0000,1.0
2021-06-01,135.79,136.0,132.48,132.88,132.88,9993944,0.0000,1.0
2021-05-28,135.15,136.13,134.64,134.85,134.85,10477732,0.0000,1.0
2021-05-27,138.12,138.28,134.6633,134.98,134.98,33095653,0.0000,1.0
2021-05-26,138.79,138.86,137.87,138.12,138.12,8123078,0.0000,1.0
2021-05-25,138.05,138.48,136.75,138.43,138.43,8142437,0.0000,1.0
2021-05-24,138.0,138.8,137.73,137.96,137.96,6981325,0.0000,1.0
2021-05-21,138.2,138.94,137.78,138.0,138.0,10160960,0.0000,1.0
2021-05-20,136.79,138.71,136.72,138.0,138.0,8768374,0.0000,1.0
2021-05-19,136.06,136.83,135.585,136.6,136.6,9807061,0.0000,1.0
2021-05-18,136.46,137.83,136.15,136.32,136.32,9239099,0.0000,1.0
2021-05-17,137.97,139.07,137.61,137.73,137.73,7690705,0.0000,1.0
2021-05-14,137.67,139.1,137.67,138.01,138.01,5989760,0.0000,1.0
2021-05-13,135.89,138.53,135.39,137.72,137.72,8753803,0.0000,1.0
2021-05-12,136.49,137.0,135.49,135.54,135.54,8853733,0.0000,1.0
2021-05-11,138.49,138.79,136.47,136.99,136.99,10973728,0.0000,1.0
2021-05-10,135.89,138.4156,135.69,137.67,137.67,8852710,0.0000,1.0
2021-05-07,135.08,136.03,134.765,135.15,135.15,6299182,0.0000,1.0
2021-05-06,134.01,135.3659,133.92,135.14,135.14,9771262,0.0000,1.0
2021-05-05,134.37,134.47,133.37,133.46,133.46,5683444,0.0000,1.0
2021-05-04,134.98,135.83,134.205,134.54,134.54,9624263,0.0000,1.0
2021-05-03,134.03,135.68,134.03,135.0,135.0,8070288,0.0000,1.0
2021-04-30,132.75,133.67,132.265,133.42,133.42,9188831,0.0000,1.0
2021-04-29,131.31,132.985,131.31,132.51,132.51,6786955,0.0000,1.0
2021-04-28,131.71,131.8497,130.88,131.4,131.4,6262789,0.0000,1.0
2021-04-27,131.24,131.89,130.295,131.18,131.18,8297033,0.0000,1.0
2021-04-26,133.49,133.76,131.17,131.26,131.26,9910569,0.0000,1.0
2021-04-23,134.93,135.08,133.25,133.94,133.94,6708718,0.0000,1.0
2021-04-22,135.37,135.79,134.06,134.63,134.63,7338314,0.8698,1.0
2021-04-21,137.89,138.57,136.6,136.85,135.971532799,8465869,0.0000,1.0
2021-04-20,134.84,138.59,133.53,137.75,136.865755521,10040612,0.0000,1.0
2021-04-19,136.94,137.08,135.39,136.61,135.733073407,9149433,0.0000,1.0
2021-04-16,137.61,137.9,136.88,137.25,136.36896512,7708478,0.0000,1.0
2021-04-15,135.97,137.76,135.87,137.24,136.359029312,7945349,0.0000,1.0
2021-04-14,135.52,135.79,134.58,135.6,134.729556796,7584034,0.0000,1.0
2021-04-13,136.02,136.3899,134.835,135.11,134.242702203,9161190,0.0000,1.0
2021-04-12,136.5,137.04,135.71,136.92,136.041083455,6441042,0.0000,1.0
2021-04-09,136.51,137.27,135.56,136.37,135.494614014,5855637,0.0000,1.0
2021-04-08,136.9,137.6327,136.59,137.26,136.378900928,6190528,0.0000,1.0
2021-04-07,137.12,137.33,136.25,136.74,135.862238911,10244622,0.0000,1.0
2021-04-06,136.0,137.02,135.64,136.5,135.623779518,6180642,0.0000,1.0
2021-04-05,134.96,137.25,134.73,136.45,135.574100478,8279156,0.0000,1.0
2021-04-01,135.05,135.48,133.33,134.28,133.418030137,9117845,0.0000,1.0
2021-03-31,135.68,136.75,135.26,135.43,134.56064806,9202839,0.0000,1.0
2021-03-30,136.61,137.0,135.14,135.45,134.580519676,8090641,0.0000,1.0
2021-03-29,135.0,137.6,135.0,137.57,136.686910977,11175976,0.0000,1.0
2021-03-26,133.22,135.61,132.48,135.45,134.580519676,10821240,0.0000,1.0
2021-03-25,133.09,133.62,132.05,133.48,132.623165495,7517293,0.0000,1.0
2021-03-24,130.9395,133.14,130.62,132.56,131.709071157,8318034,0.0000,1.0
2021-03-23,130.41,133.29,129.99,132.6,131.748814389,9503792,0.0000,1.0
2021-03-22,128.01,130.885,128.01,130.18,129.344348848,8077630,0.0000,1.0
2021-03-19,129.1,129.74,127.9,128.01,127.188278507,20262097,0.0000,1.0
2021-03-18,128.21,129.035,127.04,128.7,127.87384926,6871342,0.0000,1.0
2021-03-17,129.11,129.84,128.3528,128.42,127.595646636,6192905,0.0000,1.0
2021-03-16,128.51,129.98,128.51,128.94,128.112308653,6485164,0.0000,1.0
2021-03-15,128.39,129.04,127.19,128.56,127.734747948,7172764,0.0000,1.0
2021-03-12,127.65,128.82,127.65,128.14,127.317444011,6521993,0.0000,1.0
2021-03-11,127.13,127.85,126.72,126.91,126.095339624,6941802,0.0000,1.0
2021-03-10,126.15,128.42,125.47,127.34,126.522579369,9070895,0.0000,1.0
2021-03-09,127.645,128.915,126.06,126.18,125.370025638,8859731,0.0000,1.0
2021-03-08,125.76,128.895,125.32,127.31,126.492771945,9224659,0.0000,1.0
2021-03-05,122.76,126.33,122.5463,125.98,125.171309478,10491004,0.0000,1.0
2021-03-04,123.1,124.77,121.54,122.15,121.365895005,10228116,0.0000,1.0
2021-03-03,123.77,124.2,122.785,123.16,122.369411615,7536965,0.0000,1.0
2021-03-02,123.87,124.86,123.43,123.9,123.104661409,10206557,0.0000,1.0
2021-03-01,124.16,125.49,124.0,124.29,123.492157922,7740158,0.0000,1.0
2021-02-26,126.54,126.93,121.82,123.53,122.737036512,17630117,0.0000,1.0
2021-02-25,127.49,128.99,126.29,126.58,125.767457959,7762919,0.0000,1.0
2021-02-24,127.35,128.24,126.91,127.66,126.840525226,7263025,0.0000,1.0
2021-02-23,127.78,129.93,127.19,127.52,126.701423914,10145342,0.0000,1.0
2021-02-22,126.79,127.244,126.38,126.58,125.767457959,6839842,0.0000,1.0
2021-02-19,129.35,129.44,127.02,127.12,126.303991593,8277918,0.0000,1.0
2021-02-18,127.81,129.845,127.59,129.53,128.698521326,6936352,0.0000,1.0
2021-02-17,127.19,129.49,127.11,128.46,127.635389868,8835778,0.0000,1.0
2021-02-16,127.97,128.17,126.99,127.92,127.098856234,8246039,0.0000,1.0
2021-02-12,128.0,128.13,126.58,127.62,126.800781994,8407254,0.0000,1.0
2021-02-11,128.54,129.33,128.205,128.33,127.506224363,6139426,0.0000,1.0
2021-02-10,128.75,129.16,127.96,128.22,127.396930475,8397257,0.0000,1.0
2021-02-09,129.46,129.94,128.23,128.67,127.844041836,5909163,0.0000,1.0
2021-02-08,129.93,130.1,128.11,129.17,128.340832237,7011334,0.0000,1.0
2021-02-05,129.12,130.0961,129.03,129.57,128.738264558,5063663,0.0000,1.0
2021-02-04,129.38,129.455,128.58,129.03,128.201730925,6613694,0.0000,1.0
2021-02-03,128.95,129.195,127.75,128.95,128.122244461,7309656,0.0000,1.0
2021-02-02,129.6,130.72,128.69,128.79,127.963271533,6792003,0.0000,1.0
2021-02-01,129.0,129.6597,128.2,128.97,128.142116077,6534168,0.0000,1.0
2021-01-29,130.19,130.29,128.07,128.21,127.386994667,8344091,0.0000,1.0
2021-01-28,127.84,131.65,127.4405,130.36,129.523193392,8242252,0.0000,1.0
2021-01-27,132.39,133.1,127.7,128.38,127.555903404,10826688,0.0000,1.0
2021-01-26,132.25,133.47,131.43,133.09,132.235668983,5996689,0.0000,1.0
2021-01-25,129.95,133.0,129.9,132.24,131.391125301,9639958,0.0000,1.0
2021-01-22,131.02,131.47,129.99,130.0,129.165504303,7202837,0.0000,1.0
2021-01-21,130.65,131.99,130.505,131.01,130.169020914,8765692,0.7907,1.0
2021-01-20,132.53,133.8,131.26,131.93,130.296720193,12506633,0.0000,1.0
2021-01-19,135.7,136.36,133.56,133.6,131.946045765,9184920,0.0000,1.0
2021-01-15,135.25,136.2,134.66,134.78,133.111437487,7757624,0.0000,1.0
2021-01-14,137.43,137.65,135.28,135.8,134.118809992,6172796,0.0000,1.0
2021-01-13,137.1,138.07,137.1,137.26,135.560735342,6078874,0.0000,1.0
2021-01-12,137.85,138.25,136.24,137.05,135.353335121,6327610,0.0000,1.0
2021-01-11,138.75,139.44,137.6,137.85,136.143431203,7240037,0.0000,1.0
2021-01-08,138.47,139.055,137.0,138.79,137.0717941,7448475,0.0000,1.0
2021-01-07,139.75,140.13,138.04,138.85,137.131051306,7355623,0.0000,1.0
2021-01-06,138.77,141.04,138.6,140.16,138.424833641,10577952,0.0000,1.0
2021-01-05,137.99,138.92,136.27,138.7,136.982908291,6856411,0.0000,1.0
2021-01-04,139.66,139.86,136.35,137.82,136.1138026,8330985,0.0000,1.0
2020-12-31,138.31,139.29,137.39,139.14,137.417461136,4076415,0.0000,1.0
2020-12-30,138.6,138.9214,137.55,137.77,136.064421595,3261417,0.0000,1.0
2020-12-29,139.22,139.94,138.2,138.42,136.706374662,5139415,0.0000,1.0
2020-12-28,138.15,139.3935,137.945,138.68,136.963155888,3683567,0.0000,1.0
2020-12-24,136.2,138.13,136.2,137.72,136.01504059,2588169,0.0000,1.0
2020-12-23,137.39,137.55,136.13,136.34,134.652124847,6004252,0.0000,1.0
2020-12-22,137.29,138.07,136.38,136.55,134.859525069,5023425,0.0000,1.0
2020-12-21,137.96,138.43,136.22,137.52,135.817516569,6732371,0.0000,1.0
2020-12-18,138.26,140.07,137.45,139.04,137.318699126,19988803,0.0000,1.0
2020-12-17,138.01,139.12,137.95,138.25,136.538479244,7405252,0.0000,1.0
2020-12-16,136.71,138.27,136.71,137.27,135.570611543,5382469,0.0000,1.0
2020-12-15,136.39,137.54,136.24,136.65,134.958287079,5398197,0.0000,1.0
2020-12-14,137.02,137.93,135.77,135.85,134.168190997,6485252,0.0000,1.0
2020-12-11,134.46,136.8,134.2001,136.51,134.820020265,6548068,0.0000,1.0
2020-12-10,136.52,136.92,135.04,135.51,133.832400162,6800847,0.0000,1.0
2020-12-09,137.83,138.04,136.25,136.41,134.721258255,6773608,0.0000,1.0
2020-12-08,137.02,138.78,136.43,138.05,136.340955224,6493708,0.0000,1.0
2020-12-07,136.61,137.735,136.56,137.68,135.975535785,6918027,0.0000,1.0
2020-12-04,137.21,137.86,135.87,137.47,135.768135564,6617372,0.0000,1.0
2020-12-03,138.09,138.35,135.54,137.34,135.63974495,8742470,0.0000,1.0
2020-12-02,139.37,139.94,137.485,138.36,136.647117456,6963009,0.0000,1.0
