,open,high,low,close,volume
2001-09-20,3.78250,3.80500,3.61000,3.66750,35646000
2001-09-21,3.44500,3.63000,3.36500,3.57000,39418400
2001-09-24,3.64750,3.78500,3.59000,3.74250,28482400
2001-09-25,3.76500,3.79250,3.57000,3.76250,19338800
2001-09-26,3.75000,3.75750,3.49000,3.50000,17910000
2001-09-27,3.51250,3.68250,3.41000,3.63250,13192400
2001-09-28,3.69500,3.80250,3.60500,3.73500,15286400
2001-10-01,3.70000,3.74500,3.54000,3.70000,12856400
2001-10-02,3.63750,3.77250,3.56750,3.64000,19926400
2001-10-03,3.63000,3.98500,3.60250,3.91500,16256000
2001-10-04,3.96250,4.04500,3.70000,3.76750,38448400
2001-10-05,4.10250,4.32000,4.00750,4.24000,40668800
2001-10-08,4.17750,4.31250,4.14750,4.26750,11134800
2001-10-09,4.25250,4.28000,4.08750,4.11000,10286400
2001-10-10,4.16000,4.33250,4.12000,4.19750,11255200
2001-10-11,4.23000,4.26500,4.12750,4.25500,16421600
2001-10-12,4.18750,4.18750,3.83750,4.00000,25874400
2001-10-15,3.97250,4.11250,3.91750,4.10750,12568800
2001-10-16,4.13750,4.27000,4.08750,4.21750,13238400
2001-10-17,4.31250,4.32500,3.95000,3.97250,18205200
2001-10-18,3.96000,4.14000,3.88750,4.07500,14733200
2001-10-19,4.04000,4.25000,4.03000,4.15250,13813200
2001-10-22,4.18500,4.34250,4.12000,4.30250,11846800
2001-10-23,4.35000,4.40000,4.23750,4.30000,17464000
2001-10-24,4.31000,4.43750,4.28250,4.34500,16976400
2001-10-25,4.32250,4.47500,4.21000,4.45250,15873200
2001-10-26,4.42000,4.48750,4.36000,4.46500,9687600
2001-10-29,4.43750,4.45000,4.21250,4.23750,12180400
2001-10-30,4.19000,4.37500,4.09250,4.33250,16934000
2001-10-31,4.34250,4.40000,4.22250,4.28000,12156400
2001-11-01,4.28750,4.38250,4.23250,4.32250,13973200
2001-11-02,4.35000,4.66000,4.32500,4.47250,25409200
2001-11-05,4.56500,4.66750,4.51750,4.65000,16546400
2001-11-06,4.57750,4.86250,4.56250,4.81750,19555600
2001-11-07,4.82500,4.88750,4.67000,4.75000,13864800
2001-11-08,4.76000,4.85000,4.62500,4.72000,9529200
2001-11-09,4.75500,4.79750,4.69500,4.75750,10427600
2001-11-12,4.77750,4.79750,4.52500,4.77500,8524800
2001-11-13,4.78250,4.83750,4.64250,4.82750,11255200
2001-11-14,4.83000,4.87500,4.70000,4.78000,14279200
2001-11-15,4.76500,4.81250,4.73250,4.79250,11527600
2001-11-16,4.51250,4.56250,4.28750,4.37500,79164000
2001-11-19,4.38750,4.39250,4.26750,4.34750,22384400
2001-11-20,4.35000,4.42500,4.28750,4.34500,17835200
2001-11-21,4.35250,4.44250,4.28500,4.32750,12976000
2001-11-23,4.32750,4.35250,4.30000,4.32750,2713200
2001-11-26,4.36000,4.37250,4.27250,4.34250,15608000
2001-11-27,4.31250,4.36750,4.26250,4.29750,17587600
2001-11-28,4.26750,4.33500,4.18750,4.22750,15805200
2001-11-29,4.25000,4.25500,4.17000,4.22500,14431600
2001-11-30,4.26750,4.44250,4.22750,4.43000,23841600
2001-12-03,4.40750,4.72750,4.40000,4.62000,33618000
2001-12-04,4.63000,4.92500,4.62750,4.91500,27789600
2001-12-05,4.91500,4.99250,4.86000,4.97750,28917600
2001-12-06,4.96500,4.96750,4.86500,4.88500,13640000
2001-12-07,4.86500,4.89000,4.69000,4.73750,13612400
2001-12-10,4.72750,4.84750,4.68750,4.78000,13020000
2001-12-11,4.81250,4.90250,4.74000,4.75750,9232800
2001-12-12,4.74000,4.74000,4.54750,4.68500,18997200
2001-12-13,4.59500,4.73750,4.56500,4.67750,15620800
2001-12-14,4.65000,4.89500,4.65000,4.80250,14090000
2001-12-17,4.80250,4.91250,4.80000,4.88000,12110800
2001-12-18,4.74750,4.88000,4.69500,4.87750,12603200
2001-12-19,4.83250,4.85000,4.68750,4.77500,10424400
2001-12-20,4.75000,4.76250,4.59500,4.60250,11459200
2001-12-21,4.62500,4.78500,4.56250,4.71000,16509200
2001-12-24,4.68750,4.77500,4.66500,4.71500,2760800
2001-12-26,4.71500,4.81250,4.68750,4.75500,5840000
2001-12-27,4.76250,4.87500,4.75000,4.84000,6976400
2001-12-28,4.85500,4.94750,4.83750,4.87500,6948000
2001-12-31,4.84500,4.94000,4.75500,4.76250,9476800
2002-01-02,4.77750,4.89500,4.75000,4.87750,11298400
2002-01-03,4.89750,5.12500,4.89500,5.10500,25148400
2002-01-04,5.42750,5.62500,5.42500,5.52750,62756400
2002-01-07,5.52000,5.62250,5.43750,5.46000,23204000
2002-01-08,5.47000,5.70250,5.46250,5.67250,21871600
2002-01-09,5.71250,5.74250,5.45750,5.46750,18543600
2002-01-10,5.48000,5.62500,5.42500,5.61750,17722000
2002-01-11,5.61250,5.64000,5.45250,5.47000,20484800
2002-01-14,5.47000,5.50500,5.39000,5.47500,18553600
2002-01-15,5.45500,5.50250,5.42750,5.47750,14385600
2002-01-16,5.48500,5.51000,5.30000,5.31250,11719600
2002-01-17,5.29500,5.50250,5.29500,5.50250,14024800
2002-01-18,5.52000,5.56250,5.40250,5.47750,13901600
2002-01-22,5.48500,5.52500,5.34250,5.34500,9051600
2002-01-23,5.41500,5.71250,5.34500,5.66000,21312400
2002-01-24,5.75500,5.83250,5.56000,5.78500,27716800
2002-01-25,5.85000,5.85000,5.63250,5.71250,20340400
2002-01-28,5.71750,5.77750,5.58750,5.72000,9624000
2002-01-29,5.68750,5.73000,5.50000,5.58000,13134000
2002-01-30,5.55250,5.72000,5.52500,5.69000,16829600
2002-01-31,5.72000,5.97000,5.70750,5.94250,29612000
2002-02-01,5.96250,5.96250,5.62500,5.71750,19589600
2002-02-04,5.70500,5.75750,5.53000,5.57250,13523200
2002-02-05,5.58000,5.73250,5.51000,5.59250,13014400
2002-02-06,5.62750,5.66250,5.39000,5.44500,13810000
2002-02-07,5.47750,5.59250,5.38000,5.41500,14914000
2002-02-08,5.42500,5.50000,5.31250,5.49500,11180800
2002-02-11,5.49750,5.56250,5.42250,5.45000,11877600
2002-02-12,5.44250,5.48500,5.37500,5.38250,6969600
2002-02-13,5.40750,5.51250,5.37500,5.50000,6659600
2002-02-14,5.48750,5.57250,5.39500,5.43500,8359200
2002-02-15,5.46500,5.50750,5.37750,5.39000,6078000
2002-02-19,5.33750,5.47000,5.29250,5.33750,7352800
2002-02-20,5.34500,5.43750,5.31000,5.40750,7732400
2002-02-21,5.37750,5.48500,5.25500,5.27500,10444800
2002-02-22,5.25250,5.47750,5.20500,5.40250,10674000
2002-02-25,5.38500,5.56000,5.38250,5.53750,11096800
2002-02-26,5.61250,5.66250,5.38500,5.57750,13205600
2002-02-27,5.61750,5.70500,5.56500,5.61000,14112400
2002-02-28,5.70500,5.90000,5.67750,5.75250,22622800
2002-03-01,5.89000,5.94000,5.71250,5.87500,21678400
2002-03-04,5.91000,6.03250,5.80000,6.01750,23330400
2002-03-05,5.99250,6.07250,5.81000,5.86750,15773200
2002-03-06,5.89500,5.89750,5.73000,5.78500,16816800
2002-03-07,5.80250,5.85000,5.73750,5.78000,10128000
2002-03-08,5.78750,5.82000,5.65000,5.74000,17586400
2002-03-11,5.75000,5.87000,5.68750,5.71250,13410000
2002-03-12,5.67500,5.73750,5.58750,5.72500,11203600
2002-03-13,5.66500,5.82750,5.62500,5.66500,10560800
2002-03-14,5.69750,5.88250,5.69500,5.83500,13051600
2002-03-15,5.96250,5.99000,5.86250,5.93750,13027200
2002-03-18,5.96250,6.00000,5.87250,5.93500,12272800
2002-03-19,5.91750,6.00750,5.91500,5.96500,8506000
2002-03-20,5.93750,6.13250,5.89000,5.92000,14892000
2002-03-21,5.93250,6.00000,5.79500,5.99500,8948400
2002-03-22,5.92750,5.98000,5.86500,5.89500,8623600
2002-03-25,5.89000,5.95500,5.76250,5.80000,12520000
2002-03-26,5.76000,5.93500,5.71500,5.87250,10365600
2002-03-27,5.81000,5.92250,5.75750,5.86750,8839600
2002-03-28,5.87500,5.88500,5.76250,5.78250,8424000
2002-04-01,5.76750,5.83250,5.70250,5.82500,8368800
2002-04-02,5.79750,5.88000,5.77750,5.82000,10630800
2002-04-03,5.82750,5.93500,5.81250,5.87250,8858400
2002-04-04,5.81500,5.99000,5.81500,5.97000,12196800
2002-04-05,6.06500,6.13250,5.99500,6.01000,12089600
2002-04-08,5.90750,6.12250,5.89750,6.11250,12412800
2002-04-09,6.11500,6.24500,6.08750,6.23500,17052800
2002-04-10,6.21750,6.28750,6.19000,6.26500,17633600
2002-04-11,6.22000,6.34250,6.20250,6.23000,12921200
2002-04-12,6.23250,6.38500,6.22500,6.29250,13070400
2002-04-15,6.28250,6.36000,6.19250,6.27750,12070800
2002-04-16,6.29750,6.38500,6.27000,6.34500,11206000
2002-04-17,6.36500,6.42500,6.28750,6.40750,12312000
2002-04-18,6.41000,6.42000,6.24000,6.35000,11622400
2002-04-19,6.37250,6.37500,6.23500,6.24500,9256800
2002-04-22,6.24000,6.31000,6.19000,6.24000,9154400
2002-04-23,6.26500,6.32000,6.26000,6.29250,7819600
2002-04-24,6.31250,6.37500,6.29250,6.29500,10201600
2002-04-25,6.32500,6.41000,6.31000,6.34500,12388800
2002-04-26,6.31250,6.31250,5.87750,5.88000,38074400
2002-04-29,5.89000,6.00000,5.72250,5.77000,23403600
2002-04-30,5.76250,5.77500,5.66000,5.70500,32667200
