,open,high,low,close,volume
2019-06-20 10:00:00,84.41000,84.42000,83.83000,84.33000,1524407
2019-06-20 12:00:00,84.32000,84.51540,84.00000,84.32000,833983
2019-06-20 14:00:00,84.32000,84.44000,84.12000,84.42000,897384
2019-06-20 16:00:00,84.42000,84.82920,84.35000,84.68000,880998
2019-06-21 10:00:00,84.43000,84.77010,84.05700,84.51000,461198
2019-06-21 12:00:00,84.51000,84.63500,83.98500,84.15500,897479
2019-06-21 14:00:00,84.16000,84.44000,84.11000,84.28000,878295
2019-06-21 16:00:00,84.29000,84.31500,83.81000,83.83000,1283309
2019-06-24 10:00:00,84.08000,84.56000,84.00000,84.31000,1640524
2019-06-24 12:00:00,84.30500,84.36000,84.00000,84.05000,874656
2019-06-24 14:00:00,84.06000,84.20000,83.72000,83.79000,1461142
2019-06-24 16:00:00,83.79000,83.92000,83.61000,83.65000,1166368
2019-06-25 10:00:00,84.20000,85.20000,84.18000,84.44500,2963320
2019-06-25 12:00:00,84.45000,84.56000,84.10000,84.32000,1092475
2019-06-25 14:00:00,84.31000,84.45470,83.96000,84.27000,1497251
2019-06-25 16:00:00,84.26000,84.30000,84.14000,84.25000,944629
2019-06-26 10:00:00,84.30000,84.30000,83.32000,83.74000,1773360
2019-06-26 12:00:00,83.73000,83.89000,83.65000,83.70000,1011524
2019-06-26 14:00:00,83.70500,83.82000,83.18000,83.31110,1557970
2019-06-26 16:00:00,83.31000,83.66000,83.20000,83.39000,1174850
2019-06-27 10:00:00,83.55000,83.72000,83.21000,83.41000,1356342
2019-06-27 12:00:00,83.41000,83.85000,83.37000,83.78500,936510
2019-06-27 14:00:00,83.79000,83.89000,83.72000,83.82000,1189153
2019-06-27 16:00:00,83.81500,83.81500,83.56000,83.57000,763260
2019-06-28 10:00:00,83.56000,83.62000,83.32000,83.55000,1453584
2019-06-28 12:00:00,83.55000,83.70000,83.38680,83.50000,914926
2019-06-28 14:00:00,83.51000,83.71720,83.48000,83.65000,1399715
2019-06-28 16:00:00,83.65000,83.89500,83.61000,83.83000,1382867
2019-07-01 10:00:00,84.62000,84.96000,84.32000,84.67000,2262755
2019-07-01 12:00:00,84.66000,84.73000,84.18000,84.35260,1391153
2019-07-01 14:00:00,84.35000,84.36500,84.03000,84.28000,1681649
2019-07-01 16:00:00,84.27500,84.64000,84.27000,84.52000,1029846
2019-07-02 10:00:00,84.74000,85.19500,84.52000,85.04000,1393913
2019-07-02 12:00:00,85.03000,85.27500,84.91000,85.27500,895628
2019-07-02 14:00:00,85.28000,85.42000,85.19000,85.36000,1281447
2019-07-02 16:00:00,85.36000,85.59000,85.35500,85.50000,1465183
2019-07-03 10:00:00,86.22000,87.36000,86.15000,87.35000,3583389
2019-07-03 12:00:00,87.35350,87.69000,87.26000,87.55000,1309215
2019-07-03 14:00:00,87.58500,87.80000,87.09300,87.26440,0
2019-07-05 10:00:00,87.57000,87.71000,86.88000,87.18650,1982251
2019-07-05 12:00:00,87.18000,87.60000,87.11000,87.58000,803502
2019-07-05 14:00:00,87.59000,87.88550,87.57000,87.82500,921233
2019-07-05 16:00:00,87.82500,87.85000,87.60000,87.66000,542317
2019-07-08 10:00:00,87.60000,87.83350,87.18000,87.69000,1273656
2019-07-08 12:00:00,87.69000,87.74000,87.34500,87.70000,803148
2019-07-08 14:00:00,87.70500,87.95000,87.61000,87.62000,1088088
2019-07-08 16:00:00,87.63000,87.71000,87.40000,87.45000,1029124
2019-07-09 10:00:00,87.29000,87.65000,87.11000,87.32000,1474188
2019-07-09 12:00:00,87.32310,87.37000,86.89000,87.01000,966820
2019-07-09 14:00:00,87.02000,87.22000,87.02000,87.12500,830416
2019-07-09 16:00:00,87.12500,87.29000,87.08000,87.26990,836869
2019-07-10 10:00:00,87.42000,88.37000,87.42000,88.11000,1691467
2019-07-10 12:00:00,88.12000,88.46000,88.10000,88.45000,846076
2019-07-10 14:00:00,88.45000,88.54000,88.08000,88.23000,1312966
2019-07-10 16:00:00,88.23000,88.49000,88.22500,88.38000,647051
2019-07-11 10:00:00,88.66000,88.84000,88.26500,88.75000,1590265
2019-07-11 12:00:00,88.75410,88.81500,88.56000,88.59000,765798
2019-07-11 14:00:00,88.59000,88.69000,88.42000,88.63000,824367
2019-07-11 16:00:00,88.63000,89.09000,88.62000,89.06000,1117088
2019-07-12 10:00:00,89.38000,89.47000,88.85000,89.27000,1811238
2019-07-12 12:00:00,89.27000,89.48000,89.20000,89.42000,898838
2019-07-12 14:00:00,89.42000,89.74000,89.41000,89.62000,1207706
2019-07-12 16:00:00,89.61500,89.82000,89.53230,89.77000,902540
2019-07-15 10:00:00,89.87000,90.34000,89.66000,90.11500,1702885
2019-07-15 12:00:00,90.11500,90.12000,89.86000,89.94500,1058771
2019-07-15 14:00:00,89.94500,90.33000,89.92000,90.22000,959647
2019-07-15 16:00:00,90.22000,90.34000,90.10000,90.16000,655023
2019-07-16 10:00:00,90.34000,90.48000,89.74500,89.87000,1630188
2019-07-16 12:00:00,89.87000,90.29000,89.59000,90.16000,1208785
2019-07-16 14:00:00,90.16000,90.22000,89.85000,90.11000,1474967
2019-07-16 16:00:00,90.11000,90.23000,90.08000,90.09000,503776
2019-07-17 10:00:00,90.08000,90.37000,89.79000,89.91500,1712333
2019-07-17 12:00:00,89.91000,89.98010,89.74000,89.94500,908782
2019-07-17 14:00:00,89.93000,90.35000,89.92000,90.26000,940077
2019-07-17 16:00:00,90.26000,90.38000,90.20000,90.32000,549888
2019-07-18 10:00:00,90.43000,90.43000,89.95000,90.31000,1853705
2019-07-18 12:00:00,90.31000,90.79100,90.19500,90.62000,1563744
2019-07-18 14:00:00,90.62000,91.36500,90.56000,91.35000,1495603
2019-07-18 16:00:00,91.35500,91.51000,91.30000,91.45000,1055671
2019-07-19 10:00:00,91.41000,91.61000,90.57000,90.76500,2221018
2019-07-19 12:00:00,90.77000,91.18000,90.61000,90.99000,1417385
2019-07-19 14:00:00,91.00000,91.23000,90.41000,90.57500,2869268
2019-07-19 16:00:00,90.58000,90.79000,90.23420,90.29000,1501155
2019-07-22 10:00:00,90.52000,91.18000,90.05000,90.83000,1879389
2019-07-22 12:00:00,90.83500,91.13000,90.54000,90.90000,1272677
2019-07-22 14:00:00,90.90500,91.10000,90.74500,91.00000,1234042
2019-07-22 16:00:00,91.01000,91.02000,90.84500,90.92000,687307
2019-07-23 10:00:00,91.25000,91.36000,89.76000,89.78000,2427808
2019-07-23 12:00:00,89.79000,89.79500,89.17000,89.22500,1639875
2019-07-23 14:00:00,89.22500,89.85000,89.19000,89.77000,1698717
2019-07-23 16:00:00,89.78000,90.11000,89.78000,90.11000,809085
2019-07-24 10:00:00,89.90000,90.42180,89.74250,90.27000,2096081
2019-07-24 12:00:00,90.27000,90.60000,90.26000,90.51500,995779
2019-07-24 14:00:00,90.51000,90.67110,90.41000,90.53000,1064076
2019-07-24 16:00:00,90.54000,90.75000,90.53460,90.68500,565689
2019-07-25 10:00:00,91.49000,91.50000,90.47000,90.98000,2216988
2019-07-25 12:00:00,90.97500,91.16000,90.62150,90.78000,1507794
2019-07-25 14:00:00,90.78000,91.12000,90.67000,90.76000,1652292
2019-07-25 16:00:00,90.77000,91.07000,90.74000,91.06000,1050998
2019-07-26 10:00:00,95.86000,97.93000,95.21000,97.28000,9299715
2019-07-26 12:00:00,97.27500,98.86270,97.15000,98.75000,3824609
2019-07-26 14:00:00,98.76830,99.72000,98.74000,99.39000,4309875
2019-07-26 16:00:00,99.39500,99.65000,99.02000,99.11000,2147633
2019-07-29 10:00:00,97.87000,98.94000,97.20800,98.13000,5348997
2019-07-29 12:00:00,98.13000,98.35000,97.68000,97.70000,1679623
2019-07-29 14:00:00,97.70500,97.94000,97.43000,97.90000,1960201
2019-07-29 16:00:00,97.89000,98.23000,97.89000,98.02000,1171785
2019-07-30 10:00:00,97.50000,98.27500,97.41500,97.50500,2639322
2019-07-30 12:00:00,97.51000,97.52000,96.84000,96.93500,1379006
2019-07-30 14:00:00,96.94000,97.11000,96.57000,96.57500,1314080
2019-07-30 16:00:00,96.57500,96.75000,96.52000,96.59000,1138633
2019-07-31 10:00:00,96.38000,96.45000,95.68000,95.74500,2721835
2019-07-31 12:00:00,95.74500,95.81000,95.61000,95.63000,1082021
2019-07-31 14:00:00,95.63000,95.63000,93.50000,94.96000,3209556
2019-07-31 16:00:00,94.95000,95.01000,94.67000,94.68000,1510695
2019-08-01 10:00:00,95.00000,97.11500,94.58000,97.11500,2463937
2019-08-01 12:00:00,97.12350,97.58000,96.67000,96.70000,1755698
2019-08-01 14:00:00,96.64000,96.92000,95.24000,95.94000,2528661
2019-08-01 16:00:00,95.94000,96.01000,95.24000,95.38000,1009267
2019-08-02 10:00:00,95.00000,96.04000,94.80000,95.62000,2284192
2019-08-02 12:00:00,95.64000,95.66000,95.29000,95.46000,1086123
2019-08-02 14:00:00,95.47000,95.78560,95.19000,95.75000,1287279
2019-08-02 16:00:00,95.77000,96.02000,95.31500,95.51000,1101219
2019-08-05 10:00:00,94.52000,95.35000,93.95000,94.14000,2049969
2019-08-05 12:00:00,94.15000,94.23000,93.33000,93.63990,1638931
2019-08-05 14:00:00,93.63000,95.52000,93.03000,93.59000,2312322
2019-08-05 16:00:00,93.58000,94.13500,93.42000,93.70000,1330994
2019-08-06 10:00:00,94.31000,95.71000,93.80000,95.03000,3083450
2019-08-06 12:00:00,95.04000,95.40000,94.66000,95.21000,1127224
2019-08-06 14:00:00,95.21000,95.68640,95.09000,95.37000,1244030
2019-08-06 16:00:00,95.36000,95.47000,95.21000,95.29000,828878
2019-08-07 10:00:00,94.45000,95.33000,94.18000,94.92000,2086473
2019-08-07 12:00:00,94.92000,95.32000,94.54000,95.20000,1206642
2019-08-07 14:00:00,95.21000,95.70000,95.16500,95.38500,1376544
2019-08-07 16:00:00,95.38500,95.61500,95.13000,95.19000,754549
2019-08-08 10:00:00,95.25000,95.48000,94.43500,95.38000,2255764
2019-08-08 12:00:00,95.38000,96.20500,95.37000,96.10000,2030029
2019-08-08 14:00:00,96.11000,96.41330,95.89500,96.02000,1151209
2019-08-08 16:00:00,96.02000,96.38000,95.99000,96.23000,868662
2019-08-09 10:00:00,96.07000,96.84000,95.42000,95.44000,1427686
2019-08-09 12:00:00,95.44000,96.74000,95.42000,96.63000,1181390
2019-08-09 14:00:00,96.64000,96.82000,96.47500,96.62000,971113
2019-08-09 16:00:00,96.62000,96.75000,96.17000,96.30000,681457
2019-08-12 10:00:00,95.40000,96.02000,94.78000,95.25000,1847862
2019-08-12 12:00:00,95.25000,95.74000,95.09000,95.28000,919341
2019-08-12 14:00:00,95.29000,95.37500,94.30000,94.73410,1545547
2019-08-12 16:00:00,94.74000,95.01000,94.73000,94.90000,636872
2019-08-13 10:00:00,94.52000,95.65000,94.21000,95.02000,2600552
2019-08-13 12:00:00,95.01000,95.41500,94.87000,95.20000,1328970
