,date,order,price,cost,commission,gross,net,comission
0,2017-03-17,BUY,52.800000000000004,90669.71951917573,,,,0.0
0,2017-07-06,SELL,63.45200000000001,90669.71951917573,,,,0.0
0,2017-07-06,CLOSE,,,,18291.929021179178,18291.929021179178,
0,2017-08-07,BUY,71.46999999999998,106593.98378343711,,,,0.0
0,2017-09-11,SELL,70.27000000000001,106593.98378343711,,,,0.0
0,2017-09-11,CLOSE,,,,-1789.7408778525512,-1789.7408778525512,
0,2017-09-12,BUY,72.898,105082.60964207158,,,,0.0
0,2017-09-28,SELL,67.976,105082.60964207158,,,,0.0
0,2017-09-28,CLOSE,,,,-7095.072631049906,-7095.072631049906,
0,2017-10-13,BUY,71.396,98826.29578839208,,,,0.0
0,2017-10-16,SELL,70.752,98826.29578839208,,,,0.0
0,2017-10-16,CLOSE,,,,-891.4243723419384,-891.4243723419384,
0,2017-10-19,BUY,71.112,96553.46928275739,,,,0.0
0,2017-10-23,SELL,69.976,96553.46928275739,,,,0.0
0,2017-10-23,CLOSE,,,,-1542.4223915121495,-1542.4223915121495,
0,2017-12-12,BUY,66.09000000000002,96726.71853128409,,,,0.0
0,2017-12-29,SELL,63.236,96726.71853128409,,,,0.0
0,2017-12-29,CLOSE,,,,-4177.0018866437695,-4177.0018866437695,
0,2018-01-09,BUY,67.03200000000001,92172.87572085978,,,,0.0
0,2018-02-09,SELL,63.98599999999999,92172.87572085978,,,,0.0
0,2018-02-09,CLOSE,,,,-4188.426116567312,-4188.426116567312,
0,2018-02-23,BUY,69.56599999999999,89172.62825133963,,,,0.0
0,2018-03-07,SELL,65.088,89172.62825133963,,,,0.0
0,2018-03-07,CLOSE,,,,-5740.088970323124,-5740.088970323124,
0,2018-03-14,BUY,67.35200000000002,82338.9003011359,,,,0.0
0,2018-03-15,SELL,65.876,82338.9003011359,,,,0.0
0,2018-03-15,CLOSE,,,,-1804.433674493373,-1804.433674493373,
0,2018-05-08,BUY,60.16,81423.72585176522,,,,0.0
0,2018-05-17,SELL,57.17999999999999,81423.72585176522,,,,0.0
0,2018-05-17,CLOSE,,,,-4033.2896116732163,-4033.2896116732163,
0,2018-06-05,BUY,59.54,78580.42573627838,,,,0.0
0,2018-06-06,SELL,60.1,78580.42573627838,,,,0.0
0,2018-06-06,CLOSE,,,,739.0836145837338,739.0836145837338,
0,2018-06-07,BUY,63.23000000000002,78163.95715904246,,,,0.0
0,2018-07-09,SELL,62.398,78163.95715904246,,,,0.0
0,2018-07-09,CLOSE,,,,-1028.5056516894588,-1028.5056516894588,
0,2018-08-06,BUY,69.09199999999998,77458.91063072,,,,0.0
0,2018-08-21,SELL,62.122,77458.91063072,,,,0.0
0,2018-08-21,CLOSE,,,,-7814.053828172823,-7814.053828172823,
0,2018-09-28,BUY,54.05199999999999,62427.22782521661,,,,0.0
0,2018-10-01,SELL,61.15399999999999,62427.22782521661,,,,0.0
0,2018-10-01,CLOSE,,,,8202.437874910987,8202.437874910987,
0,2018-10-26,BUY,61.65000000000002,76769.8665724638,,,,0.0
0,2018-12-21,SELL,63.47999999999999,76769.8665724638,,,,0.0
0,2018-12-21,CLOSE,,,,2278.813557625408,2278.813557625408,
0,2019-01-14,BUY,68.476,79336.23094343634,,,,0.0
0,2019-01-22,SELL,60.96399999999999,79336.23094343634,,,,0.0
0,2019-01-22,CLOSE,,,,-8703.396326407712,-8703.396326407712,
0,2019-06-18,BUY,45.74399999999999,73825.00520960288,,,,0.0
0,2019-08-06,SELL,46.376,73825.00520960288,,,,0.0
0,2019-08-06,CLOSE,,,,1019.9677180060642,1019.9677180060642,
0,2019-09-11,BUY,47.476,74126.51362559001,,,,0.0
0,2020-03-09,SELL,121.07799999999997,74126.51362559001,,,,0.0
0,2020-03-09,CLOSE,,,,114918.26724809747,114918.26724809747,
0,2020-04-14,BUY,139.79399999999998,190033.915306086,,,,0.0
0,2020-10-29,SELL,409.96000000000004,190033.915306086,,,,0.0
0,2020-10-29,CLOSE,,,,367259.7018654881,367259.7018654881,
0,2020-11-06,BUY,436.1,505206.76394533354,,,,0.0
0,2020-11-09,SELL,439.5,505206.76394533354,,,,0.0
0,2020-11-09,CLOSE,,,,3938.782383430687,3938.782383430687,
0,2020-11-19,BUY,492.0,516685.9506227732,,,,0.0
0,2021-02-18,SELL,780.9,516685.9506227732,,,,0.0
0,2021-02-18,CLOSE,,,,303395.46978642105,303395.46978642105,
0,2021-04-13,BUY,712.7,796087.1965599806,,,,0.0
0,2021-05-05,SELL,681.06,796087.1965599806,,,,0.0
0,2021-05-05,CLOSE,,,,-35341.937560204664,-35341.937560204664,
0,2021-06-23,BUY,632.0,762304.4077156965,,,,0.0
