,open,high,low,close,volume
2020-10-22 15:45:00,428.57501,428.72000,425.24091,425.95999,1561259
2020-10-23 09:30:00,421.35999,422.88589,413.32141,414.62000,4775794
2020-10-23 09:45:00,414.63000,416.33981,412.44260,413.26999,2032653
2020-10-23 10:00:00,413.34000,413.39001,410.14999,411.54501,2268358
2020-10-23 10:15:00,411.54669,411.56500,407.38010,410.41000,2574545
2020-10-23 10:30:00,412.13000,413.10001,409.54999,412.23901,1694817
2020-10-23 10:45:00,412.20499,413.10001,409.00000,410.92401,1318200
2020-10-23 11:00:00,410.85501,413.54999,409.67599,413.35229,1293371
2020-10-23 11:15:00,413.35999,413.79999,411.29999,413.00000,962113
2020-10-23 11:30:00,413.00000,413.00000,410.50000,411.64001,910966
2020-10-23 11:45:00,411.33011,412.00000,410.00000,411.41751,827430
2020-10-23 12:00:00,411.45499,412.79999,410.42999,412.17001,692216
2020-10-23 12:15:00,412.29001,412.63211,410.54999,412.53491,640371
2020-10-23 12:30:00,412.56000,415.92999,412.05011,415.51501,1267450
2020-10-23 12:45:00,415.57001,416.50000,414.85001,415.60861,689339
2020-10-23 13:00:00,415.57001,418.08990,415.35001,416.92999,908388
2020-10-23 13:15:00,416.96411,417.45001,415.06000,415.07999,671905
2020-10-23 13:30:00,415.08881,415.87000,414.01999,415.59409,679056
2020-10-23 13:45:00,415.58499,417.34000,414.85999,417.05499,642186
2020-10-23 14:00:00,417.09000,418.00000,416.56400,417.14999,633874
2020-10-23 14:15:00,417.16159,417.82001,416.20001,417.63000,528478
2020-10-23 14:30:00,417.69000,419.44000,417.50000,418.70001,869683
2020-10-23 14:45:00,418.70999,420.00000,418.17001,418.24829,913409
2020-10-23 15:00:00,418.26639,418.85999,417.60001,418.60001,777578
2020-10-23 15:15:00,418.56500,418.67749,417.00000,417.42001,498813
2020-10-23 15:30:00,417.47000,417.95999,416.48001,417.83499,706339
2020-10-23 15:45:00,417.82001,420.78000,417.57001,420.61499,1364275
2020-10-26 09:30:00,411.28351,416.97989,410.61859,415.10001,2848092
2020-10-26 09:45:00,415.19000,423.29001,414.88000,422.44000,1724360
2020-10-26 10:00:00,422.50000,425.76001,421.54999,422.70001,1749008
2020-10-26 10:15:00,422.79501,424.64001,420.98999,421.66989,1067730
2020-10-26 10:30:00,421.32001,423.12000,419.67999,422.42300,909562
2020-10-26 10:45:00,422.35999,422.79001,417.48999,417.73001,932920
2020-10-26 11:00:00,417.84000,418.39999,414.46759,417.60001,1395562
2020-10-26 11:15:00,417.51999,418.76001,414.84290,417.69989,876290
2020-10-26 11:30:00,417.51410,418.33990,416.00000,417.33499,616037
2020-10-26 11:45:00,417.46500,419.99341,417.26999,418.54001,783290
2020-10-26 12:00:00,418.41000,418.94580,416.32999,416.51999,514775
2020-10-26 12:15:00,416.42999,417.45969,415.56000,415.56000,565364
2020-10-26 12:30:00,415.50000,415.97501,413.87000,414.10999,807928
2020-10-26 12:45:00,414.13000,414.29990,412.62009,414.08499,785284
2020-10-26 13:00:00,414.11499,414.43701,411.90009,413.88501,741457
2020-10-26 13:15:00,413.96991,413.98880,411.54251,411.80521,557039
2020-10-26 13:30:00,411.76440,412.03900,410.00000,410.39999,737175
2020-10-26 13:45:00,410.38501,415.03000,410.07181,414.50000,851739
2020-10-26 14:00:00,414.53000,415.75000,413.66721,414.23499,716159
2020-10-26 14:15:00,414.27499,415.09991,412.57999,414.54999,637585
2020-10-26 14:30:00,414.69501,417.13000,414.24240,416.58420,657522
2020-10-26 14:45:00,416.47040,417.50000,415.26001,416.67429,616156
2020-10-26 15:00:00,416.63821,418.17001,415.62000,416.06671,688361
2020-10-26 15:15:00,416.12000,419.00000,415.97000,418.99960,820192
2020-10-26 15:30:00,418.98999,421.09991,418.15140,420.92999,1107282
2020-10-26 15:45:00,420.95001,421.29001,418.70999,420.28000,1378052
2020-10-27 09:30:00,423.60001,428.95001,420.10001,428.89001,3824471
2020-10-27 09:45:00,428.72009,430.50000,426.01001,426.51001,2176402
2020-10-27 10:00:00,426.49799,428.22000,423.85001,424.73999,1394132
2020-10-27 10:15:00,424.70001,426.38000,423.51999,424.61011,953073
2020-10-27 10:30:00,424.60001,427.50000,424.28000,425.92001,917674
2020-10-27 10:45:00,426.19989,428.88000,425.42001,427.76001,906366
2020-10-27 11:00:00,427.98001,428.32910,426.12000,426.71011,698548
2020-10-27 11:15:00,426.79999,427.13000,425.00000,425.65521,591428
2020-10-27 11:30:00,425.70990,426.29999,423.85999,425.53500,607362
2020-10-27 11:45:00,425.64999,427.14999,425.55499,425.68890,339533
2020-10-27 12:00:00,425.81000,425.81000,423.84000,424.00000,576833
