,open,high,low,close,volume
2020-10-22 15:45:00,198.20000,198.25000,197.56000,197.92999,400077
2020-10-23 09:30:00,199.70000,199.88000,197.45000,197.64900,288217
2020-10-23 09:45:00,197.60001,198.16000,197.13000,198.16000,182783
2020-10-23 10:00:00,198.17000,198.23000,197.62000,198.03999,196620
2020-10-23 10:15:00,198.11000,198.14999,197.50000,197.60500,110614
2020-10-23 10:30:00,197.63000,197.73500,196.83000,196.92000,165856
2020-10-23 10:45:00,196.90500,197.60001,196.77521,197.34000,182304
2020-10-23 11:00:00,197.34000,197.70000,197.20000,197.27000,103309
2020-10-23 11:15:00,197.30949,197.34000,196.66499,196.92999,126130
2020-10-23 11:30:00,196.92000,197.06000,196.72000,196.75999,91799
2020-10-23 11:45:00,196.74500,196.83110,196.31000,196.50000,160903
2020-10-23 12:00:00,196.49500,196.74001,196.19000,196.55499,286189
2020-10-23 12:15:00,196.48000,196.62000,196.02000,196.37000,197259
2020-10-23 12:30:00,196.35001,196.53000,196.20000,196.53000,99129
2020-10-23 12:45:00,196.50999,196.50999,196.05000,196.21001,117447
2020-10-23 13:00:00,196.16499,196.57001,196.11000,196.42999,176315
2020-10-23 13:15:00,196.47000,196.95500,196.38499,196.77000,187907
2020-10-23 13:30:00,196.85001,196.97501,196.78999,196.86729,114262
2020-10-23 13:45:00,196.88000,196.98000,196.77010,196.83000,213041
2020-10-23 14:00:00,196.84500,197.09000,196.82001,196.91000,139023
2020-10-23 14:15:00,196.92999,197.22000,196.92000,197.16000,221824
2020-10-23 14:30:00,197.16380,197.28999,197.13499,197.25000,125103
2020-10-23 14:45:00,197.27499,197.37500,197.17000,197.28000,162724
2020-10-23 15:00:00,197.25999,197.63000,197.25999,197.63000,102334
2020-10-23 15:15:00,197.64000,197.66530,197.41499,197.53000,141774
2020-10-23 15:30:00,197.53999,197.83000,197.42000,197.78000,154671
2020-10-23 15:45:00,197.81500,198.03000,197.57001,198.00999,373491
2020-10-26 09:30:00,196.17999,196.41000,194.28999,194.78999,457203
2020-10-26 09:45:00,194.83501,195.02000,194.25000,195.02000,247868
2020-10-26 10:00:00,194.96500,195.39999,194.73000,194.99631,210926
2020-10-26 10:15:00,195.00999,195.26151,194.07001,194.07001,187481
2020-10-26 10:30:00,194.05000,194.17990,193.50999,194.17990,292579
2020-10-26 10:45:00,194.14999,194.25999,193.11000,193.28999,282736
2020-10-26 11:00:00,193.25999,193.25999,192.75000,192.96500,238691
2020-10-26 11:15:00,192.95000,192.98000,192.08000,192.59000,368948
2020-10-26 11:30:00,192.52000,192.74850,192.13000,192.60001,253185
2020-10-26 11:45:00,192.69000,193.05000,192.55000,192.67619,332182
2020-10-26 12:00:00,192.69000,192.95000,192.56000,192.69000,269501
2020-10-26 12:15:00,192.82500,193.07001,192.70000,192.85001,236616
2020-10-26 12:30:00,192.82001,192.82001,191.70000,191.75000,290779
2020-10-26 12:45:00,191.72000,191.89720,191.55009,191.67000,256576
2020-10-26 13:00:00,191.61501,192.00259,191.40640,191.87000,200830
2020-10-26 13:15:00,191.89000,191.92999,191.14999,191.25500,235184
2020-10-26 13:30:00,191.20000,191.27499,190.72000,190.97000,282354
2020-10-26 13:45:00,190.99001,191.70000,190.86000,191.66000,226362
