,open,high,low,close,volume
2019-06-20 08:00:00,172.50999,173.42000,171.97000,172.05499,3227883
2019-06-20 12:00:00,172.05000,173.56000,171.78000,173.47000,3355887
2019-06-20 16:00:00,173.47000,173.94000,173.33000,173.72000,1154003
2019-06-21 08:00:00,173.27000,174.80650,173.16000,174.50000,3481295
2019-06-21 12:00:00,174.50000,174.64999,173.22000,173.36501,2503036
2019-06-21 16:00:00,173.36000,173.75999,173.22000,173.41000,1083428
2019-06-24 08:00:00,174.60001,174.73000,172.72000,173.50000,1948593
2019-06-24 12:00:00,173.47000,174.18600,173.39000,174.14000,1627471
2019-06-24 16:00:00,174.14999,174.17500,173.70000,173.88000,696287
2019-06-25 08:00:00,174.81000,174.94000,172.17310,172.96300,1947638
2019-06-25 12:00:00,172.99001,173.13000,170.59000,171.03000,2664351
2019-06-25 16:00:00,171.00999,171.39999,170.86000,171.25999,908564
2019-06-26 08:00:00,171.39000,172.39000,171.14000,172.16000,1478539
2019-06-26 12:00:00,172.15500,172.17000,170.81760,171.45000,1711097
2019-06-26 16:00:00,171.44000,171.66000,171.02000,171.08000,845074
2019-06-27 08:00:00,172.12000,172.39999,170.53000,170.53000,1234530
2019-06-27 12:00:00,170.53000,171.27901,170.32001,171.11000,1728394
2019-06-27 16:00:00,171.11000,171.33000,170.92999,171.22000,605600
2019-06-28 08:00:00,171.96001,172.00999,170.54050,171.14999,1206288
2019-06-28 12:00:00,171.14500,172.11000,171.12000,171.41000,1909473
2019-06-28 16:00:00,171.39999,172.64000,171.23981,172.63000,809755
2019-07-01 08:00:00,175.33000,175.53999,172.74001,172.97501,2448216
2019-07-01 12:00:00,172.99001,174.03000,172.99001,173.89500,2077326
2019-07-01 16:00:00,173.89999,174.03000,173.75000,173.78000,665720
2019-07-02 08:00:00,174.10001,174.59000,173.30000,174.53000,1696858
2019-07-02 12:00:00,174.53000,175.22000,173.72501,175.14999,1897444
2019-07-02 16:00:00,175.14999,175.28000,175.03999,175.19000,559535
2019-07-03 08:00:00,176.00000,176.99001,175.72000,176.39000,2096416
2019-07-03 12:00:00,176.38910,176.89000,176.31500,176.87000,633635
2019-07-05 08:00:00,175.86000,175.91000,174.60001,175.88000,3034887
2019-07-05 12:00:00,175.89999,177.03110,175.70470,176.89999,1295337
2019-07-05 16:00:00,176.89000,176.95000,176.53999,176.78999,603521
2019-07-08 08:00:00,176.30000,176.39000,175.39999,176.13000,1377645
2019-07-08 12:00:00,176.13000,176.61000,175.80000,176.43660,1226709
2019-07-08 16:00:00,176.45500,176.55000,176.17999,176.28000,416160
2019-07-09 08:00:00,175.42999,177.38000,175.30000,177.14000,1601513
2019-07-09 12:00:00,177.14999,177.89000,177.06000,177.34500,1861927
2019-07-09 16:00:00,177.34500,177.85001,176.96001,177.72000,781815
2019-07-10 08:00:00,178.58000,180.25999,178.58000,179.25000,2055757
2019-07-10 12:00:00,179.24001,179.64900,178.83000,179.19000,1405922
2019-07-10 16:00:00,179.19000,179.50000,179.16000,179.23000,426238
2019-07-11 08:00:00,180.12000,180.83110,179.46001,180.73000,1895015
2019-07-11 12:00:00,180.73000,180.94000,179.89500,180.08000,1711765
2019-07-11 16:00:00,180.08000,180.78000,180.02000,180.74001,794139
2019-07-12 08:00:00,181.35001,181.35001,178.92000,179.45500,2113264
2019-07-12 12:00:00,179.46001,179.97000,179.34000,179.89000,2079804
2019-07-12 16:00:00,179.89000,180.39999,179.88000,180.27000,651617
2019-07-15 08:00:00,180.56000,181.07001,179.94000,180.45000,1436440
2019-07-15 12:00:00,180.42999,180.56000,180.14999,180.21001,1476696
2019-07-15 16:00:00,180.21001,180.53999,180.20000,180.53999,689510
2019-07-16 08:00:00,180.37000,180.88000,179.85001,180.55000,1594218
2019-07-16 12:00:00,180.53000,180.60001,178.73000,179.41000,2297996
2019-07-16 16:00:00,179.38000,179.63000,179.08000,179.37000,656983
2019-07-17 08:00:00,179.56000,180.20500,179.00999,179.47000,1460579
2019-07-17 12:00:00,179.42999,179.75000,179.24001,179.38000,1342052
2019-07-17 16:00:00,179.38000,179.60001,179.30000,179.34000,449658
2019-07-18 08:00:00,178.63000,180.39000,178.58000,179.30499,1469940
2019-07-18 12:00:00,179.28999,180.49001,178.78999,180.35001,1949537
2019-07-18 16:00:00,180.35001,180.62000,180.24001,180.47000,496253
2019-07-19 08:00:00,181.84000,181.84000,180.08000,180.52000,1669211
2019-07-19 12:00:00,180.53000,181.11501,179.55000,179.83000,1821302
2019-07-19 16:00:00,179.84000,180.05499,179.14000,179.24001,856254
2019-07-22 08:00:00,179.61000,180.14000,179.14000,180.03999,1720858
2019-07-22 12:00:00,180.05000,180.98000,179.55000,180.47501,2105272
2019-07-22 16:00:00,180.47000,180.60500,180.20000,180.55000,565889
2019-07-23 08:00:00,180.89000,181.27000,179.55000,180.03999,1855175
2019-07-23 12:00:00,180.05000,180.86000,179.06000,180.70000,3519924
2019-07-23 16:00:00,180.70000,180.89000,180.59000,180.85001,940528
2019-07-24 08:00:00,180.78999,180.87000,179.25000,179.86000,2539174
2019-07-24 12:00:00,179.86000,182.47000,179.83600,182.32030,3534553
2019-07-24 16:00:00,182.33501,183.36000,182.21001,183.33000,1431122
2019-07-25 08:00:00,183.87000,183.99001,181.30000,182.17999,2202650
2019-07-25 12:00:00,182.21001,182.45000,181.48000,181.81000,2534930
2019-07-25 16:00:00,181.81270,181.99001,181.36000,181.70000,781716
2019-07-26 08:00:00,182.80000,183.29500,182.26790,182.88000,1774297
2019-07-26 12:00:00,182.87000,183.82001,182.86000,183.57500,1611822
2019-07-26 16:00:00,183.58501,183.73000,183.46001,183.69000,769060
2019-07-29 08:00:00,183.89000,183.89999,182.73380,183.68820,1386979
2019-07-29 12:00:00,183.69000,184.07001,183.30000,183.47000,1710193
2019-07-29 16:00:00,183.46500,183.62000,183.23000,183.23000,565114
2019-07-30 08:00:00,181.95000,183.38000,181.50999,182.69000,1617885
2019-07-30 12:00:00,182.70000,182.83000,181.36000,181.41000,2042983
2019-07-30 16:00:00,181.40500,181.53999,181.27000,181.44000,639488
2019-07-31 08:00:00,181.78999,182.05000,180.94000,181.46001,1602676
2019-07-31 12:00:00,181.47000,181.55000,176.06000,178.92999,3888733
2019-07-31 16:00:00,178.95990,179.09129,177.94000,177.95000,1159521
2019-08-01 08:00:00,179.09000,182.13499,178.96001,182.13499,3005608
2019-08-01 12:00:00,182.14999,182.39999,178.17000,179.56000,3611221
2019-08-01 16:00:00,179.56500,179.98000,178.96001,179.17999,1064557
2019-08-02 08:00:00,178.00000,178.27000,174.69000,175.59000,3055174
2019-08-02 12:00:00,175.60001,177.53000,175.36000,177.42999,2763550
2019-08-02 16:00:00,177.44000,178.17999,177.09900,177.48000,1132999
2019-08-05 08:00:00,172.00999,173.50000,170.75999,171.36000,4253226
2019-08-05 12:00:00,171.41000,171.55000,166.97501,168.25000,6408522
2019-08-05 16:00:00,168.25999,169.35001,167.96001,168.89999,2080120
2019-08-06 08:00:00,171.78999,172.16000,170.35001,170.86000,3483929
2019-08-06 12:00:00,170.89000,172.75999,170.13000,172.06000,3861619
2019-08-06 16:00:00,172.06000,172.95000,171.75999,172.49001,1132269
2019-08-07 08:00:00,171.50000,173.46001,170.34000,172.71001,2502986
2019-08-07 12:00:00,172.67999,175.49001,172.09000,175.45000,2968025
2019-08-07 16:00:00,175.45000,175.73000,174.91000,175.28999,1067679
2019-08-08 08:00:00,177.46001,179.28999,176.57001,179.20000,2584242
2019-08-08 12:00:00,179.20000,179.95000,178.86000,178.98000,2890410
2019-08-08 16:00:00,178.98000,179.89999,178.97000,179.89999,0
2019-08-09 08:00:00,179.67000,179.91000,178.14000,178.25999,2208841
2019-08-09 12:00:00,178.23900,180.10001,177.85001,179.74001,1723049
2019-08-09 16:00:00,179.72000,180.03999,178.92000,179.09000,683159
2019-08-12 08:00:00,177.62000,178.64999,176.63499,177.41499,2056986
2019-08-12 12:00:00,177.39000,178.49001,175.60001,175.75000,1963740
2019-08-12 16:00:00,176.03000,176.09000,176.03000,176.06000,3263
2019-08-13 08:00:00,174.39000,177.93961,174.21001,176.92999,3133251
2019-08-13 12:00:00,176.92000,178.92000,176.70000,178.71140,2246271
2019-08-13 16:00:00,178.70000,178.72501,178.31000,178.64000,711924
2019-08-14 08:00:00,176.24001,177.25000,173.89000,174.52000,2201051
2019-08-14 12:00:00,174.50000,174.94080,173.16010,174.16000,2894180
2019-08-14 16:00:00,174.10001,174.28000,173.44000,173.52000,927774
2019-08-15 08:00:00,174.25999,176.21001,173.52000,175.69000,2011486
2019-08-15 12:00:00,175.72000,177.00000,174.68600,176.11980,2392449
2019-08-15 16:00:00,176.10001,176.88000,176.00999,176.28000,673637
2019-08-16 08:00:00,178.00000,178.75000,177.20000,178.30000,1541149
2019-08-16 12:00:00,178.28000,178.53999,177.58000,178.22501,1308863
2019-08-16 16:00:00,178.19000,178.67000,178.02000,178.28999,744451
2019-08-19 08:00:00,180.27000,180.42000,178.12000,179.64000,1933380
2019-08-19 12:00:00,179.59000,180.03999,179.20000,179.75999,2062680
2019-08-19 16:00:00,179.74001,180.00000,179.69000,179.74001,771025
2019-08-20 08:00:00,179.49001,180.38000,178.55000,180.00000,1099526
2019-08-20 12:00:00,180.00999,180.63000,179.16000,179.85500,1435568
2019-08-20 16:00:00,179.84000,179.87320,179.03000,179.21001,599343
2019-08-21 08:00:00,180.69000,181.69000,180.24001,180.96001,1399230
2019-08-21 12:00:00,180.95000,181.25999,180.28000,180.75000,1409735
2019-08-21 16:00:00,180.75000,180.98000,180.64999,180.94000,423956
2019-08-22 08:00:00,182.14000,182.33000,178.61000,179.22591,2233971
2019-08-22 12:00:00,179.23000,180.75999,179.23000,180.33000,1435198
2019-08-22 16:00:00,180.34050,180.78999,179.97000,180.14999,803665
2019-08-23 08:00:00,179.55000,180.41060,176.76019,177.27499,1678887
