,open,high,low,close,volume
2019-01-07 09:00:00,93.71000,94.25000,93.20000,94.19000,1150821
2019-01-07 10:00:00,94.19000,95.10100,94.16000,94.87500,1118132
2019-01-07 11:00:00,94.91000,95.17000,94.77000,94.78000,768905
2019-01-07 12:00:00,94.78000,95.17000,94.73000,95.00000,808201
2019-01-07 13:00:00,95.00500,95.01000,94.37000,94.79490,787742
2019-01-07 14:00:00,94.75000,94.79000,94.45000,94.70000,1023449
2019-01-07 15:00:00,94.70000,94.83000,94.47000,94.53000,1094880
2019-01-08 09:00:00,95.30000,95.50000,94.31000,94.48000,1192282
2019-01-08 10:00:00,94.49000,94.65000,93.92000,94.44000,1014964
2019-01-08 11:00:00,94.44000,95.04000,94.38000,95.04000,667876
2019-01-08 12:00:00,95.05000,95.08000,94.67000,95.07000,587025
2019-01-08 13:00:00,95.09310,95.46000,95.09000,95.39000,644628
2019-01-08 14:00:00,95.38500,95.73240,95.38500,95.68000,717751
2019-01-08 15:00:00,95.69000,95.75000,95.14000,95.18000,1113132
2019-01-09 09:00:00,95.73000,96.11170,95.53290,95.92000,1160539
2019-01-09 10:00:00,95.84000,95.89000,95.27000,95.69000,591114
2019-01-09 11:00:00,95.67000,95.67000,95.23380,95.36000,485934
2019-01-09 12:00:00,95.38000,95.66000,95.31500,95.61000,583090
2019-01-09 13:00:00,95.60000,95.70000,95.28000,95.32000,586771
2019-01-09 14:00:00,95.33000,95.40000,95.11000,95.26000,801511
2019-01-09 15:00:00,95.25000,95.29000,94.78000,94.89000,1254675
2019-01-10 09:00:00,93.92000,94.24000,93.15000,94.23000,1593213
2019-01-10 10:00:00,94.22000,94.64000,93.91500,94.49000,1025074
2019-01-10 11:00:00,94.46000,94.94000,94.44000,94.85000,595798
2019-01-10 12:00:00,94.84500,94.86000,94.44000,94.57000,592172
2019-01-10 13:00:00,94.57000,94.86000,94.42500,94.85000,774706
2019-01-10 14:00:00,94.85000,94.85000,94.37000,94.80000,987081
2019-01-10 15:00:00,94.80000,94.98000,94.68000,94.96000,1087171
2019-01-11 09:00:00,94.80000,95.25000,94.56000,94.72000,911550
2019-01-11 10:00:00,94.67000,94.88000,94.59000,94.80000,601865
2019-01-11 11:00:00,94.81500,94.98000,94.71000,94.89000,458212
2019-01-11 12:00:00,94.90000,95.28000,94.90000,95.09000,548796
2019-01-11 13:00:00,95.10000,95.10000,94.91000,95.00000,490165
2019-01-11 14:00:00,94.99490,95.10000,94.80000,94.86000,730417
2019-01-11 15:00:00,94.85000,94.97000,94.78000,94.82000,692112
2019-01-14 09:00:00,94.49000,95.18000,94.34000,94.98000,833454
2019-01-14 10:00:00,94.96000,95.44000,94.95000,95.23000,844114
2019-01-14 11:00:00,95.22000,95.24000,94.89000,94.96500,488473
2019-01-14 12:00:00,94.96000,95.25500,94.89000,95.21000,485094
2019-01-14 13:00:00,95.22000,95.39000,94.94000,94.94000,400224
2019-01-14 14:00:00,94.94500,95.09000,94.84500,94.91000,1034107
2019-01-14 15:00:00,94.91000,95.07000,94.89710,94.93000,678945
2019-01-15 09:00:00,95.61000,96.59000,95.41000,95.95000,1643244
2019-01-15 10:00:00,95.96000,96.28000,95.88000,96.00000,726297
2019-01-15 11:00:00,96.00000,96.23000,95.95000,96.09000,639885
2019-01-15 12:00:00,96.08000,96.16000,95.98000,96.08380,580249
2019-01-15 13:00:00,96.08000,96.19500,95.66000,95.68000,606177
2019-01-15 14:00:00,95.68000,96.28000,95.63000,96.06000,864892
2019-01-15 15:00:00,96.05000,96.41000,96.05000,96.25000,828908
2019-01-16 09:00:00,95.99000,96.36990,95.84000,96.01000,937660
2019-01-16 10:00:00,96.01000,96.12000,95.83000,96.08000,584932
2019-01-16 11:00:00,96.07000,96.21810,95.98000,96.21810,530825
2019-01-16 12:00:00,96.23950,96.51000,96.18000,96.51000,513833
2019-01-16 13:00:00,96.51500,96.80000,96.51000,96.78550,553816
2019-01-16 14:00:00,96.79000,96.85000,96.47000,96.72000,610113
2019-01-16 15:00:00,96.71000,96.71000,96.29000,96.35000,901204
2019-01-17 09:00:00,96.42340,97.11000,96.42340,96.61000,915726
2019-01-17 10:00:00,96.62000,96.62000,96.33000,96.33000,443404
2019-01-17 11:00:00,96.33000,96.38000,96.17000,96.38000,413829
2019-01-17 12:00:00,96.38000,96.74500,96.35000,96.74000,360366
2019-01-17 13:00:00,96.75000,96.78730,96.53000,96.60000,284504
2019-01-17 14:00:00,96.61000,97.21000,96.54000,96.66000,963663
2019-01-17 15:00:00,96.69000,96.86000,96.64500,96.75000,647690
2019-01-18 09:00:00,97.10000,97.65000,96.92000,97.01000,1629401
2019-01-18 10:00:00,97.04000,97.78000,97.04000,97.78000,568370
2019-01-18 11:00:00,97.80000,98.19000,97.76000,98.05000,613768
