,open,high,low,close,volume
2021-04-29 15:35:00,139.75500,139.78000,139.64999,139.66000,74669
2021-04-29 15:40:00,139.64999,139.75000,139.63000,139.74001,69141
2021-04-29 15:45:00,139.73500,139.80000,139.70000,139.76500,98763
2021-04-29 15:50:00,139.75999,139.75999,139.60001,139.60500,147148
2021-04-29 15:55:00,139.60001,139.66000,139.57001,139.60001,242658
2021-04-30 09:30:00,139.89999,139.89999,139.48500,139.62000,168172
2021-04-30 09:35:00,139.59570,139.70000,139.30000,139.33000,85019
2021-04-30 09:40:00,139.34000,139.52000,139.28999,139.46001,64066
2021-04-30 09:45:00,139.46001,139.56000,139.31000,139.44000,115188
2021-04-30 09:50:00,139.42999,139.57001,139.39999,139.45000,68963
2021-04-30 09:55:00,139.45000,139.46001,139.25000,139.30000,63290
2021-04-30 10:00:00,139.28999,139.44000,139.27000,139.42999,64647
2021-04-30 10:05:00,139.42000,139.42000,139.13000,139.17999,70548
2021-04-30 10:10:00,139.17000,139.26500,139.15900,139.25000,70514
2021-04-30 10:15:00,139.24001,139.34000,139.13000,139.27000,66666
2021-04-30 10:20:00,139.25999,139.28000,139.14999,139.27000,51514
2021-04-30 10:25:00,139.25999,139.45000,139.25349,139.41000,69080
2021-04-30 10:30:00,139.39999,139.53999,139.39000,139.52000,52589
2021-04-30 10:35:00,139.52000,139.55000,139.32001,139.44000,60447
2021-04-30 10:40:00,139.42999,139.50999,139.37000,139.42000,72313
2021-04-30 10:45:00,139.39999,139.56000,139.39999,139.55499,58419
2021-04-30 10:50:00,139.55000,139.71500,139.53000,139.67000,62304
2021-04-30 10:55:00,139.67999,139.70500,139.55000,139.55000,46711
2021-04-30 11:00:00,139.56000,139.56000,139.39999,139.53000,37275
2021-04-30 11:05:00,139.53500,139.59000,139.50999,139.58000,38733
2021-04-30 11:10:00,139.56000,139.60001,139.45000,139.57001,53590
2021-04-30 11:15:00,139.55000,139.57001,139.38989,139.42900,57784
2021-04-30 11:20:00,139.42000,139.58000,139.39000,139.57001,43922
2021-04-30 11:25:00,139.58000,139.58000,139.35001,139.35001,51136
2021-04-30 11:30:00,139.35500,139.36000,139.23000,139.35001,54084
2021-04-30 11:35:00,139.34000,139.41000,139.25999,139.41000,29931
2021-04-30 11:40:00,139.39000,139.53999,139.38000,139.52499,35062
2021-04-30 11:45:00,139.53000,139.69000,139.52499,139.67999,52176
2021-04-30 11:50:00,139.67999,139.69000,139.58000,139.58501,48152
2021-04-30 11:55:00,139.59000,139.64310,139.53999,139.63000,53507
2021-04-30 12:00:00,139.64000,139.70000,139.60001,139.70000,31809
2021-04-30 12:05:00,139.70000,139.71500,139.53000,139.53000,112516
2021-04-30 12:10:00,139.52000,139.52000,139.42030,139.47000,43945
2021-04-30 12:15:00,139.47000,139.53000,139.41000,139.46001,35038
2021-04-30 12:20:00,139.47000,139.52000,139.45000,139.50000,39964
2021-04-30 12:25:00,139.47000,139.52000,139.42000,139.52000,57091
2021-04-30 12:30:00,139.51500,139.62320,139.50000,139.61501,80161
2021-04-30 12:35:00,139.60001,139.66499,139.59000,139.65500,49073
2021-04-30 12:40:00,139.65500,139.72000,139.63000,139.64999,30793
2021-04-30 12:45:00,139.67000,139.75999,139.58000,139.62000,47349
2021-04-30 12:50:00,139.63499,139.66499,139.61501,139.64000,40328
2021-04-30 12:55:00,139.64020,139.64020,139.49001,139.55000,35438
2021-04-30 13:00:00,139.53999,139.59000,139.50000,139.58000,36577
2021-04-30 13:05:00,139.60001,139.60001,139.55000,139.56000,23861
2021-04-30 13:10:00,139.57001,139.57001,139.44000,139.49989,31720
2021-04-30 13:15:00,139.49001,139.53999,139.48849,139.50000,24433
2021-04-30 13:20:00,139.49500,139.52499,139.45180,139.48000,29387
2021-04-30 13:25:00,139.49831,139.61000,139.49500,139.60001,28118
2021-04-30 13:30:00,139.60001,139.64000,139.59000,139.61890,27861
2021-04-30 13:35:00,139.61000,139.61000,139.52000,139.52000,32821
2021-04-30 13:40:00,139.53000,139.62000,139.52000,139.59000,39544
2021-04-30 13:45:00,139.58501,139.67999,139.56500,139.67860,38972
2021-04-30 13:50:00,139.67000,139.69000,139.53999,139.53999,36884
2021-04-30 13:55:00,139.53500,139.64000,139.50500,139.59000,41325
2021-04-30 14:00:00,139.59000,139.75999,139.59000,139.74001,56327
2021-04-30 14:05:00,139.75000,139.77000,139.60001,139.67000,50751
2021-04-30 14:10:00,139.67000,139.72000,139.63499,139.64000,52482
2021-04-30 14:15:00,139.64000,139.72501,139.64000,139.70000,41106
2021-04-30 14:20:00,139.70000,139.75999,139.64999,139.75999,43145
2021-04-30 14:25:00,139.77000,139.85500,139.74001,139.81000,45784
2021-04-30 14:30:00,139.81000,139.83501,139.75999,139.79010,49534
2021-04-30 14:35:00,139.81000,139.84000,139.73000,139.73000,37601
2021-04-30 14:40:00,139.72000,139.83000,139.72000,139.81830,45356
2021-04-30 14:45:00,139.81500,139.81500,139.72000,139.73500,36630
2021-04-30 14:50:00,139.74001,139.84000,139.74001,139.84000,61793
2021-04-30 14:55:00,139.84340,139.89000,139.78999,139.84500,42877
2021-04-30 15:00:00,139.87000,139.89000,139.73000,139.74001,69541
2021-04-30 15:05:00,139.74001,139.78000,139.66000,139.75999,57948
2021-04-30 15:10:00,139.75000,139.78000,139.73000,139.73000,61767
2021-04-30 15:15:00,139.72000,139.78999,139.71001,139.72000,65363
2021-04-30 15:20:00,139.73500,139.87000,139.73500,139.85500,80671
2021-04-30 15:25:00,139.86000,139.98000,139.83000,139.95500,86179
2021-04-30 15:30:00,139.95000,139.96001,139.89500,139.94000,82935
2021-04-30 15:35:00,139.94000,139.95000,139.84000,139.86000,69203
2021-04-30 15:40:00,139.86000,139.94501,139.83000,139.87000,76016
2021-04-30 15:45:00,139.86000,139.93500,139.64999,139.91499,127097
2021-04-30 15:50:00,139.92000,139.97000,139.77000,139.77000,175325
2021-04-30 15:55:00,139.78000,140.00000,139.73500,140.00000,518170
2021-05-03 09:30:00,139.92500,140.72000,139.80000,140.70000,296081
2021-05-03 09:35:00,140.72000,140.87000,140.50000,140.71001,155400
2021-05-03 09:40:00,140.71001,141.00999,140.67000,140.98000,278303
2021-05-03 09:45:00,141.00000,141.46899,140.95000,141.34000,375824
2021-05-03 09:50:00,141.38000,141.57001,141.37000,141.44000,270762
2021-05-03 09:55:00,141.46001,141.47000,141.17999,141.36000,213147
2021-05-03 10:00:00,141.34000,141.38000,141.12000,141.20000,95156
2021-05-03 10:05:00,141.19000,141.36000,141.03999,141.17999,127671
2021-05-03 10:10:00,141.19000,141.36000,141.17281,141.34000,91260
2021-05-03 10:15:00,141.36000,141.59000,141.36000,141.56000,118740
2021-05-03 10:20:00,141.56000,141.97000,141.55000,141.96899,213900
2021-05-03 10:25:00,141.95000,142.23700,141.95000,142.14999,310078
2021-05-03 10:30:00,142.14000,142.35719,142.04170,142.25301,143157
2021-05-03 10:35:00,142.27000,142.48000,142.26500,142.47000,114148
2021-05-03 10:40:00,142.46660,142.47501,142.17000,142.27991,109731
2021-05-03 10:45:00,142.25000,142.38000,142.24001,142.27000,80011
2021-05-03 10:50:00,142.25999,142.25999,142.03999,142.05000,92293
2021-05-03 10:55:00,142.05000,142.20000,141.96001,142.17000,121160
2021-05-03 11:00:00,142.19000,142.24001,142.00000,142.08000,83200
2021-05-03 11:05:00,142.09000,142.34990,142.08501,142.34270,81325
2021-05-03 11:10:00,142.35001,142.56000,142.34000,142.47000,177805
2021-05-03 11:15:00,142.46010,142.48000,142.25000,142.31920,85197
2021-05-03 11:20:00,142.32001,142.49001,142.31000,142.48000,93500
2021-05-03 11:25:00,142.46001,142.73000,142.44000,142.73000,112751
2021-05-03 11:30:00,142.72200,142.73000,142.48000,142.58160,103421
2021-05-03 11:35:00,142.60001,142.63921,142.44000,142.46310,85709
2021-05-03 11:40:00,142.46001,142.64999,142.42000,142.64999,93899
2021-05-03 11:45:00,142.67000,142.67000,142.42999,142.46001,71526
2021-05-03 11:50:00,142.46001,142.60001,142.45000,142.59000,110653
2021-05-03 11:55:00,142.60001,142.70799,142.59000,142.64000,112857
2021-05-03 12:00:00,142.63000,142.63000,142.48000,142.59900,88494
2021-05-03 12:05:00,142.60001,142.60001,142.39999,142.42999,78062
2021-05-03 12:10:00,142.44000,142.45000,142.33000,142.38000,134216
2021-05-03 12:15:00,142.37000,142.42999,142.32159,142.36000,143273
2021-05-03 12:20:00,142.35001,142.41000,142.28000,142.39000,129894
2021-05-03 12:25:00,142.39999,142.44000,142.28000,142.34000,116923
2021-05-03 12:30:00,142.32001,142.39000,142.27000,142.28000,111605
2021-05-03 12:35:00,142.27000,142.28500,142.16000,142.19000,64182
2021-05-03 12:40:00,142.23000,142.32001,142.17000,142.20000,49127
2021-05-03 12:45:00,142.20000,142.33859,142.17000,142.19000,119762
2021-05-03 12:50:00,142.19000,142.27950,142.16499,142.27950,43685
2021-05-03 12:55:00,142.27000,142.31000,142.21001,142.22099,44054
2021-05-03 13:00:00,142.25000,142.27000,142.05000,142.05321,61648
2021-05-03 13:05:00,142.05000,142.10730,142.02000,142.10730,56423
2021-05-03 13:10:00,142.09000,142.14000,142.02000,142.02000,74235
2021-05-03 13:15:00,142.02499,142.19000,142.00999,142.17000,72123
2021-05-03 13:20:00,142.16000,142.18250,142.12010,142.14999,55592
2021-05-03 13:25:00,142.12000,142.21001,142.09000,142.19859,42163
2021-05-03 13:30:00,142.20000,142.22000,142.13000,142.22000,52679
2021-05-03 13:35:00,142.21291,142.24001,142.14000,142.14000,43911
