,open,high,low,close,volume
2021-07-28 23:55:00,0.70070,0.70100,0.70070,0.70100,
2021-07-28 23:56:00,0.70040,0.70040,0.70010,0.70010,
2021-07-28 23:57:00,0.70010,0.70010,0.70000,0.70000,
2021-07-28 23:58:00,0.70040,0.70130,0.70040,0.70130,
2021-07-28 23:59:00,0.70050,0.70050,0.69930,0.69930,
2021-07-29 00:00:00,0.70010,0.70100,0.70010,0.70100,
2021-07-29 00:01:00,0.70020,0.70020,0.69940,0.69940,
2021-07-29 00:02:00,0.69920,0.69920,0.69800,0.69800,
2021-07-29 00:03:00,0.69880,0.69880,0.69860,0.69860,
2021-07-29 00:04:00,0.70030,0.70140,0.70030,0.70140,
2021-07-29 00:05:00,0.70200,0.70320,0.70200,0.70320,
2021-07-29 00:06:00,0.70440,0.70440,0.70370,0.70370,
2021-07-29 00:07:00,0.70340,0.70340,0.70230,0.70230,
2021-07-29 00:08:00,0.70240,0.70240,0.70100,0.70100,
2021-07-29 00:09:00,0.70140,0.70140,0.70070,0.70070,
2021-07-29 00:10:00,0.70060,0.70060,0.70020,0.70020,
2021-07-29 00:11:00,0.70000,0.70000,0.70000,0.70000,
2021-07-29 00:12:00,0.70040,0.70050,0.70040,0.70050,
2021-07-29 00:13:00,0.70080,0.70130,0.70080,0.70130,
2021-07-29 00:14:00,0.70180,0.70360,0.70180,0.70360,
2021-07-29 00:15:00,0.70310,0.70420,0.70310,0.70420,
2021-07-29 00:16:00,0.70390,0.70440,0.70390,0.70430,
2021-07-29 00:17:00,0.70430,0.70430,0.70380,0.70380,
2021-07-29 00:18:00,0.70380,0.70380,0.70200,0.70200,
2021-07-29 00:19:00,0.70320,0.70420,0.70320,0.70420,
2021-07-29 00:20:00,0.70370,0.70430,0.70370,0.70430,
2021-07-29 00:21:00,0.70410,0.70410,0.70390,0.70390,
2021-07-29 00:22:00,0.70420,0.70420,0.70380,0.70380,
2021-07-29 00:23:00,0.70370,0.70410,0.70370,0.70410,
2021-07-29 00:24:00,0.70390,0.70390,0.70380,0.70380,
2021-07-29 00:25:00,0.70430,0.70480,0.70430,0.70480,
2021-07-29 00:26:00,0.70490,0.70490,0.70480,0.70480,
2021-07-29 00:27:00,0.70520,0.70600,0.70520,0.70600,
2021-07-29 00:28:00,0.70640,0.70700,0.70640,0.70700,
2021-07-29 00:29:00,0.70760,0.70760,0.70730,0.70730,
2021-07-29 00:30:00,0.70800,0.70800,0.70660,0.70660,
2021-07-29 00:31:00,0.70600,0.70600,0.70580,0.70580,
2021-07-29 00:32:00,0.70560,0.70560,0.70530,0.70530,
2021-07-29 00:33:00,0.70540,0.70620,0.70510,0.70620,
2021-07-29 00:34:00,0.70600,0.70600,0.70520,0.70520,
2021-07-29 00:35:00,0.70530,0.70610,0.70530,0.70610,
2021-07-29 00:36:00,0.70610,0.70610,0.70560,0.70560,
2021-07-29 00:37:00,0.70570,0.70630,0.70570,0.70630,
2021-07-29 00:38:00,0.70600,0.70600,0.70600,0.70600,
2021-07-29 00:39:00,0.70640,0.70660,0.70640,0.70660,
2021-07-29 00:40:00,0.70680,0.70700,0.70680,0.70700,
2021-07-29 00:41:00,0.70740,0.70750,0.70740,0.70750,
2021-07-29 00:42:00,0.70810,0.70920,0.70810,0.70920,
2021-07-29 00:43:00,0.70900,0.70950,0.70900,0.70950,
2021-07-29 00:44:00,0.70850,0.70850,0.70840,0.70840,
2021-07-29 00:45:00,0.70940,0.70940,0.70820,0.70820,
2021-07-29 00:46:00,0.70890,0.70890,0.70850,0.70850,
2021-07-29 00:47:00,0.70840,0.70840,0.70810,0.70810,
2021-07-29 00:48:00,0.70810,0.70810,0.70750,0.70750,
2021-07-29 00:49:00,0.70740,0.70820,0.70690,0.70690,
2021-07-29 00:50:00,0.70600,0.70660,0.70600,0.70660,
2021-07-29 00:51:00,0.70700,0.70700,0.70610,0.70610,
2021-07-29 00:52:00,0.70590,0.70600,0.70590,0.70600,
2021-07-29 00:53:00,0.70600,0.70630,0.70600,0.70630,
2021-07-29 00:54:00,0.70620,0.70620,0.70610,0.70610,
2021-07-29 00:55:00,0.70610,0.70650,0.70610,0.70650,
2021-07-29 00:56:00,0.70650,0.70650,0.70620,0.70620,
2021-07-29 00:57:00,0.70660,0.70710,0.70660,0.70710,
2021-07-29 00:58:00,0.70560,0.70630,0.70560,0.70630,
2021-07-29 00:59:00,0.70560,0.70620,0.70560,0.70620,
2021-07-29 01:00:00,0.70640,0.70640,0.70640,0.70640,
2021-07-29 01:01:00,0.70560,0.70560,0.70540,0.70540,
2021-07-29 01:02:00,0.70600,0.70600,0.70520,0.70530,
2021-07-29 01:03:00,0.70440,0.70440,0.70420,0.70420,
2021-07-29 01:04:00,0.70420,0.70460,0.70420,0.70460,
2021-07-29 01:05:00,0.70490,0.70510,0.70490,0.70510,
2021-07-29 01:06:00,0.70480,0.70480,0.70480,0.70480,
2021-07-29 01:07:00,0.70450,0.70450,0.70380,0.70380,
2021-07-29 01:08:00,0.70420,0.70430,0.70370,0.70430,
2021-07-29 01:09:00,0.70370,0.70380,0.70370,0.70380,
2021-07-29 01:10:00,0.70410,0.70500,0.70410,0.70500,
2021-07-29 01:11:00,0.70380,0.70410,0.70380,0.70410,
2021-07-29 01:12:00,0.70450,0.70470,0.70450,0.70470,
2021-07-29 01:13:00,0.70520,0.70520,0.70480,0.70480,
2021-07-29 01:14:00,0.70520,0.70520,0.70480,0.70490,
2021-07-29 01:15:00,0.70410,0.70480,0.70410,0.70480,
2021-07-29 01:16:00,0.70510,0.70710,0.70510,0.70710,
2021-07-29 01:17:00,0.70670,0.70670,0.70550,0.70550,
2021-07-29 01:18:00,0.70560,0.70650,0.70560,0.70650,
2021-07-29 01:19:00,0.70680,0.70730,0.70680,0.70730,
2021-07-29 01:20:00,0.70650,0.70680,0.70650,0.70680,
2021-07-29 01:21:00,0.70640,0.70640,0.70620,0.70620,
2021-07-29 01:22:00,0.70600,0.70650,0.70600,0.70650,
2021-07-29 01:23:00,0.70640,0.70640,0.70630,0.70630,
