,open,high,low,close,volume
2020-06-09 08:00:00,0.20316,0.20340,0.20184,0.20213,
2020-06-09 10:00:00,0.20207,0.20228,0.20178,0.20186,
2020-06-09 12:00:00,0.20186,0.20200,0.20147,0.20170,
2020-06-09 14:00:00,0.20174,0.20196,0.20037,0.20127,
2020-06-09 16:00:00,0.20136,0.20188,0.20056,0.20188,
2020-06-09 18:00:00,0.20190,0.20215,0.20089,0.20121,
2020-06-09 20:00:00,0.20136,0.20212,0.20107,0.20199,
2020-06-09 22:00:00,0.20199,0.20202,0.20133,0.20135,
2020-06-10 00:00:00,0.20131,0.20264,0.20122,0.20253,
2020-06-10 02:00:00,0.20253,0.20254,0.20106,0.20167,
2020-06-10 04:00:00,0.20173,0.20187,0.20096,0.20129,
2020-06-10 06:00:00,0.20120,0.20178,0.20119,0.20149,
2020-06-10 08:00:00,0.20141,0.20192,0.20130,0.20130,
2020-06-10 10:00:00,0.20137,0.20152,0.20104,0.20133,
2020-06-10 12:00:00,0.20127,0.20145,0.20096,0.20122,
2020-06-10 14:00:00,0.20134,0.20380,0.20062,0.20245,
2020-06-10 16:00:00,0.20277,0.20300,0.20198,0.20227,
2020-06-10 18:00:00,0.20242,0.20287,0.20213,0.20262,
2020-06-10 20:00:00,0.20271,0.20359,0.20252,0.20285,
2020-06-10 22:00:00,0.20292,0.20317,0.20219,0.20248,
2020-06-11 00:00:00,0.20246,0.20294,0.20225,0.20228,
2020-06-11 02:00:00,0.20232,0.20233,0.20074,0.20141,
2020-06-11 04:00:00,0.20145,0.20161,0.20101,0.20118,
2020-06-11 06:00:00,0.20119,0.20126,0.20058,0.20118,
2020-06-11 08:00:00,0.20082,0.20110,0.19604,0.19711,
2020-06-11 10:00:00,0.19690,0.19742,0.19347,0.19484,
2020-06-11 12:00:00,0.19483,0.19541,0.18473,0.19213,
2020-06-11 14:00:00,0.19235,0.19235,0.18944,0.18998,
2020-06-11 16:00:00,0.18950,0.19103,0.18810,0.19090,
2020-06-11 18:00:00,0.19095,0.19095,0.18791,0.18864,
2020-06-11 20:00:00,0.18809,0.19055,0.18703,0.19045,
2020-06-11 22:00:00,0.19055,0.19187,0.19008,0.19082,
2020-06-12 00:00:00,0.19075,0.19190,0.19056,0.19185,
2020-06-12 02:00:00,0.19190,0.19357,0.19173,0.19326,
2020-06-12 04:00:00,0.19348,0.19370,0.19221,0.19266,
2020-06-12 06:00:00,0.19263,0.19425,0.19259,0.19425,
2020-06-12 08:00:00,0.19440,0.19500,0.19326,0.19474,
2020-06-12 10:00:00,0.19499,0.19499,0.19205,0.19263,
2020-06-12 12:00:00,0.19266,0.19330,0.19164,0.19225,
2020-06-12 14:00:00,0.19211,0.19426,0.19211,0.19331,
2020-06-12 16:00:00,0.19350,0.19383,0.19244,0.19273,
2020-06-12 18:00:00,0.19269,0.19308,0.19233,0.19298,
2020-06-12 20:00:00,0.19300,0.19327,0.19170,0.19257,
2020-06-12 22:00:00,0.19244,0.19262,0.19188,0.19192,
2020-06-13 00:00:00,0.19193,0.19212,0.19121,0.19174,
2020-06-13 02:00:00,0.19178,0.19258,0.19155,0.19252,
2020-06-13 04:00:00,0.19247,0.19250,0.19161,0.19197,
2020-06-13 06:00:00,0.19204,0.19221,0.19085,0.19108,
2020-06-13 08:00:00,0.19103,0.19257,0.19096,0.19257,
2020-06-13 10:00:00,0.19265,0.19374,0.19255,0.19297,
2020-06-13 12:00:00,0.19295,0.19348,0.19237,0.19286,
2020-06-13 14:00:00,0.19292,0.19361,0.19193,0.19240,
2020-06-13 16:00:00,0.19225,0.19279,0.19185,0.19227,
2020-06-13 18:00:00,0.19230,0.19264,0.19200,0.19233,
2020-06-13 20:00:00,0.19240,0.19249,0.19158,0.19183,
2020-06-13 22:00:00,0.19174,0.19209,0.19157,0.19173,
2020-06-14 00:00:00,0.19177,0.19178,0.19136,0.19144,
2020-06-14 02:00:00,0.19155,0.19193,0.19054,0.19115,
2020-06-14 04:00:00,0.19115,0.19151,0.19101,0.19126,
2020-06-14 06:00:00,0.19128,0.19212,0.19123,0.19163,
2020-06-14 08:00:00,0.19167,0.19195,0.19065,0.19105,
2020-06-14 10:00:00,0.19105,0.19119,0.18972,0.19074,
2020-06-14 12:00:00,0.19079,0.19118,0.19041,0.19115,
2020-06-14 14:00:00,0.19113,0.19138,0.19094,0.19125,
2020-06-14 16:00:00,0.19140,0.19193,0.18985,0.18989,
2020-06-14 18:00:00,0.18976,0.19099,0.18882,0.19022,
2020-06-14 20:00:00,0.19015,0.19060,0.18790,0.18799,
2020-06-14 22:00:00,0.18784,0.18832,0.18615,0.18625,
2020-06-15 00:00:00,0.18606,0.18723,0.18262,0.18414,
2020-06-15 02:00:00,0.18390,0.18515,0.18216,0.18505,
2020-06-15 04:00:00,0.18498,0.18513,0.18439,0.18507,
