,open,high,low,close,volume
2019-06-20 10:00:00,50.09250,50.15250,49.60503,49.69750,8502058
2019-06-20 12:00:00,49.69750,49.86750,49.53250,49.84750,4096799
2019-06-20 14:00:00,49.84750,49.89500,49.74500,49.88250,3000891
2019-06-20 16:00:00,49.88000,49.99500,49.84250,49.84485,2682284
2019-06-21 10:00:00,49.70000,50.18500,49.53750,50.06215,12695162
2019-06-21 12:00:00,50.06080,50.21250,49.90250,50.14413,4206852
2019-06-21 14:00:00,50.14750,50.15750,49.92250,49.93535,5222554
2019-06-21 16:00:00,49.93500,49.99500,49.65750,49.69250,4038363
2019-06-24 10:00:00,49.63500,50.04000,49.54250,49.87000,6542743
2019-06-24 12:00:00,49.87095,49.90000,49.73500,49.77000,3357902
2019-06-24 14:00:00,49.77000,49.80145,49.71500,49.73000,2378992
2019-06-24 16:00:00,49.73250,49.84000,49.61500,49.63750,2166679
2019-06-25 10:00:00,49.60750,49.81500,49.41000,49.43500,6778493
2019-06-25 12:00:00,49.43500,49.52250,49.16250,49.34670,4680939
2019-06-25 14:00:00,49.34750,49.44250,48.83750,48.92000,4376898
2019-06-25 16:00:00,48.91750,49.05000,48.82250,48.89250,2812329
2019-06-26 10:00:00,49.44250,50.24750,49.33750,50.02163,11159929
2019-06-26 12:00:00,50.02535,50.23000,49.88250,50.00250,5296614
2019-06-26 14:00:00,50.00000,50.05000,49.82250,49.99000,4323571
2019-06-26 16:00:00,49.99000,50.05000,49.94250,49.95000,2341098
2019-06-27 10:00:00,50.07250,50.39250,49.98000,50.02988,7949700
2019-06-27 12:00:00,50.03250,50.10000,49.89250,50.01250,3470447
2019-06-27 14:00:00,50.01475,50.06250,49.96750,50.00312,2615825
2019-06-27 16:00:00,50.00250,50.01750,49.91813,49.94173,1662380
2019-06-28 10:00:00,49.67000,49.87375,49.26250,49.49250,7263256
2019-06-28 12:00:00,49.49250,49.85000,49.47750,49.57533,4204481
2019-06-28 14:00:00,49.57750,49.59500,49.28000,49.34250,4656428
2019-06-28 16:00:00,49.34125,49.50750,49.30250,49.48000,4056090
2019-07-01 10:00:00,50.79250,51.12250,50.57500,50.58500,12776489
2019-07-01 12:00:00,50.58750,50.67750,50.21115,50.37750,4850837
2019-07-01 14:00:00,50.37500,50.44250,50.16250,50.36750,4527404
2019-07-01 16:00:00,50.37000,50.48250,50.30000,50.34250,2411407
2019-07-02 10:00:00,50.35250,50.78307,50.34000,50.64750,6862210
2019-07-02 12:00:00,50.64875,50.65125,50.42245,50.47500,4027594
2019-07-02 14:00:00,50.47250,50.65000,50.45250,50.61750,3281125
2019-07-02 16:00:00,50.61750,50.69500,50.56250,50.67750,1866567
2019-07-03 10:00:00,50.79750,50.94875,50.67252,50.89500,5367736
2019-07-03 12:00:00,50.89500,50.99750,50.88500,50.98000,1961521
2019-07-03 14:00:00,50.98067,51.14000,50.93002,51.11253,0
2019-07-05 10:00:00,50.91750,51.11502,50.87250,50.97000,6498773
2019-07-05 12:00:00,50.97250,51.17250,50.89275,51.17000,2860532
2019-07-05 14:00:00,51.17250,51.27000,51.13000,51.20500,3713994
2019-07-05 16:00:00,51.20500,51.21750,50.93000,50.97390,1820757
2019-07-08 10:00:00,50.20250,50.35000,49.60250,50.04000,13028494
2019-07-08 12:00:00,50.03503,50.03503,49.87750,49.97500,3452896
2019-07-08 14:00:00,49.97500,50.04250,49.82500,49.98000,3930366
2019-07-08 16:00:00,49.98750,50.01250,49.94000,50.00250,2251061
2019-07-09 10:00:00,49.80250,50.19000,49.70250,50.03500,8880758
2019-07-09 12:00:00,50.03260,50.31000,50.02000,50.25500,3834115
2019-07-09 14:00:00,50.25500,50.37125,50.15500,50.20625,3201683
2019-07-09 16:00:00,50.20750,50.37500,50.18625,50.32750,2074596
2019-07-10 10:00:00,50.46250,50.93250,50.40000,50.56500,7846621
2019-07-10 12:00:00,50.56750,50.87000,50.56125,50.84855,3006522
2019-07-10 14:00:00,50.84750,50.89500,50.67750,50.85847,3206112
2019-07-10 16:00:00,50.85750,50.88125,50.75750,50.79250,1959256
2019-07-11 10:00:00,50.81500,51.09750,50.77520,51.02000,7342715
2019-07-11 12:00:00,51.02250,51.06250,50.76500,50.77495,3195065
2019-07-11 14:00:00,50.77250,50.79250,50.54000,50.61395,3602079
2019-07-11 16:00:00,50.61500,50.67000,50.42750,50.43500,2313860
2019-07-12 10:00:00,50.69250,50.98750,50.62250,50.97375,6582449
2019-07-12 12:00:00,50.97500,51.00000,50.82250,50.87997,3103746
2019-07-12 14:00:00,50.87875,50.87875,50.70135,50.81000,3737312
2019-07-12 16:00:00,50.81000,50.86750,50.77250,50.81000,2333805
2019-07-15 10:00:00,51.09250,51.46750,51.08750,51.23385,7754601
2019-07-15 12:00:00,51.23375,51.26250,51.03000,51.19603,2838418
2019-07-15 14:00:00,51.19750,51.30000,51.17000,51.27500,2466615
2019-07-15 16:00:00,51.27500,51.30500,51.19000,51.30000,1624778
2019-07-16 10:00:00,51.14750,51.52750,51.00250,51.26500,5720061
