,open,high,low,close,volume
2020-01-21 15:00:00,79.22250,79.30750,79.15500,79.20855,1067713
2020-01-21 15:30:00,79.21000,79.26000,79.00500,79.14250,2441599
2020-01-22 09:30:00,79.61750,79.61750,79.32750,79.52125,3740264
2020-01-22 10:00:00,79.52500,79.72200,79.38500,79.68250,2254447
2020-01-22 10:30:00,79.68250,79.72500,79.45750,79.47125,1497081
2020-01-22 11:00:00,79.47250,79.55750,79.36500,79.52050,1531409
2020-01-22 11:30:00,79.53000,79.67125,79.53000,79.63000,1060419
2020-01-22 12:00:00,79.63000,79.68750,79.52500,79.63235,1000807
2020-01-22 12:30:00,79.63747,79.93750,79.61500,79.90750,1939760
2020-01-22 13:00:00,79.91000,79.91250,79.80250,79.84625,906456
2020-01-22 13:30:00,79.84500,79.97250,79.76250,79.77090,1123436
2020-01-22 14:00:00,79.77250,79.92988,79.76500,79.83250,827681
2020-01-22 14:30:00,79.82748,79.99750,79.75000,79.97000,1291715
2020-01-22 15:00:00,79.97500,79.97500,79.41500,79.58375,2534381
2020-01-22 15:30:00,79.58250,79.74500,79.39250,79.42500,2752564
2020-01-23 09:30:00,79.48000,79.62250,78.91250,79.28000,4170557
2020-01-23 10:00:00,79.27000,79.41750,79.07500,79.40647,1915728
2020-01-23 10:30:00,79.40895,79.52902,79.16000,79.33750,1887621
2020-01-23 11:00:00,79.33750,79.43750,79.23000,79.25250,1351434
2020-01-23 11:30:00,79.25750,79.47500,79.25000,79.37750,1151389
2020-01-23 12:00:00,79.37500,79.49000,79.32002,79.47500,699397
2020-01-23 12:30:00,79.48000,79.54750,79.42340,79.42500,708208
2020-01-23 13:00:00,79.42500,79.60500,79.35000,79.51250,1171887
2020-01-23 13:30:00,79.51250,79.72250,79.51250,79.68000,1116174
2020-01-23 14:00:00,79.68893,79.76500,79.66000,79.72000,1057219
2020-01-23 14:30:00,79.72437,79.81250,79.63475,79.80500,1446354
2020-01-23 15:00:00,79.80518,79.87250,79.66250,79.80000,1540897
2020-01-23 15:30:00,79.80000,79.89000,79.73000,79.80750,2476847
2020-01-24 09:30:00,80.01580,80.65750,79.99750,80.65250,5766334
2020-01-24 10:00:00,80.65500,80.65750,80.25250,80.27097,2728590
2020-01-24 10:30:00,80.27250,80.57500,80.26500,80.55500,2120992
2020-01-24 11:00:00,80.56500,80.83000,80.44000,80.61250,2787730
2020-01-24 11:30:00,80.59785,80.66250,80.46015,80.49317,1455982
2020-01-24 12:00:00,80.48750,80.49500,79.83250,80.02500,3526749
2020-01-24 12:30:00,80.03750,80.34950,79.97120,80.28250,1898561
2020-01-24 13:00:00,80.28135,80.28135,80.01750,80.04250,1216681
2020-01-24 13:30:00,80.04000,80.11507,79.76250,79.96250,1912840
2020-01-24 14:00:00,79.96750,80.02500,79.47250,79.69125,2721347
2020-01-24 14:30:00,79.68750,80.06250,79.68750,80.04500,2106047
2020-01-24 15:00:00,80.05498,80.09500,79.90885,79.91500,1790620
2020-01-24 15:30:00,79.90378,79.92000,79.38250,79.58250,3962984
2020-01-27 09:30:00,77.47500,77.94000,76.47250,77.86922,11160500
2020-01-27 10:00:00,77.87500,77.93750,77.41750,77.78750,3812763
2020-01-27 10:30:00,77.78000,77.80000,77.21500,77.36000,2618384
2020-01-27 11:00:00,77.35500,77.51247,76.88250,77.08750,2545957
2020-01-27 11:30:00,77.07750,77.42000,76.96500,77.34000,2104260
2020-01-27 12:00:00,77.34500,77.77250,77.27750,77.67750,1952310
2020-01-27 12:30:00,77.66000,77.89748,77.63500,77.79250,1479823
2020-01-27 13:00:00,77.79002,77.90000,77.62750,77.78750,1284910
2020-01-27 13:30:00,77.78500,77.82375,77.52500,77.57072,1015066
2020-01-27 14:00:00,77.57500,77.78610,77.47500,77.74000,1147642
2020-01-27 14:30:00,77.74250,77.80000,77.23000,77.37888,1861156
2020-01-27 15:00:00,77.37715,77.45000,77.15500,77.30338,1962333
2020-01-27 15:30:00,77.30250,77.42250,77.09000,77.23750,3505307
2020-01-28 09:30:00,78.12250,78.50750,78.04750,78.24250,5522202
2020-01-28 10:00:00,78.25000,78.42500,78.10750,78.39750,2643973
2020-01-28 10:30:00,78.39793,78.96000,78.39693,78.95750,3357560
2020-01-28 11:00:00,78.95408,79.05500,78.75500,78.98753,2436956
2020-01-28 11:30:00,78.99500,79.19250,78.90250,79.13625,1634846
2020-01-28 12:00:00,79.13310,79.23250,79.08500,79.20250,1403878
2020-01-28 12:30:00,79.20000,79.29250,79.00250,79.17000,1598435
2020-01-28 13:00:00,79.18250,79.18700,79.02750,79.14500,1199186
2020-01-28 13:30:00,79.14625,79.23500,79.03250,79.21000,1121283
2020-01-28 14:00:00,79.21000,79.41750,79.20250,79.28000,1605399
2020-01-28 14:30:00,79.27930,79.59250,79.25750,79.58040,1762589
2020-01-28 15:00:00,79.58002,79.60000,79.41000,79.50000,2142904
2020-01-28 15:30:00,79.50000,79.51500,79.22750,79.42250,4598770
2020-01-29 09:30:00,81.15000,81.81250,80.67000,80.84500,13138459
2020-01-29 10:00:00,80.83500,81.19750,80.34500,81.06730,6088087
2020-01-29 10:30:00,81.07650,81.37500,81.05000,81.34750,4365475
2020-01-29 11:00:00,81.34500,81.75000,81.31000,81.71250,4502350
2020-01-29 11:30:00,81.71250,81.95000,81.55000,81.78750,3878695
2020-01-29 12:00:00,81.79167,81.90750,81.63500,81.68750,2524254
2020-01-29 12:30:00,81.68750,81.75000,81.53000,81.58250,1776539
2020-01-29 13:00:00,81.58500,81.70250,81.36500,81.69250,1777710
2020-01-29 13:30:00,81.69250,81.72750,81.55625,81.65750,1169638
2020-01-29 14:00:00,81.66750,81.96250,81.56250,81.70000,2792796
2020-01-29 14:30:00,81.70350,81.84500,81.57500,81.76000,1729259
2020-01-29 15:00:00,81.77750,81.88750,81.55000,81.81000,2691047
2020-01-29 15:30:00,81.80500,81.82250,81.01750,81.09000,4769647
2020-01-30 09:30:00,80.13587,81.02250,80.03250,80.59250,5435775
2020-01-30 10:00:00,80.59000,80.93250,80.51515,80.65750,2747952
2020-01-30 10:30:00,80.65000,80.65000,79.69500,79.74250,3581596
2020-01-30 11:00:00,79.74500,80.41220,79.68750,80.37785,2735988
2020-01-30 11:30:00,80.38500,80.63250,80.23250,80.48500,1804607
2020-01-30 12:00:00,80.48367,80.52500,80.21490,80.21490,1164411
2020-01-30 12:30:00,80.21000,80.29000,79.97250,80.10750,1625257
2020-01-30 13:00:00,80.11250,80.15782,79.83000,79.96900,1278651
2020-01-30 13:30:00,79.97500,80.11375,79.92000,80.00000,1063676
