,open,high,low,close,volume
2019-06-20 10:00:00,11.58000,11.59000,11.03000,11.11000,384276
2019-06-20 12:00:00,11.11500,11.12000,10.88000,10.92000,837206
2019-06-20 14:00:00,10.91000,11.09000,10.89000,11.01500,555418
2019-06-20 16:00:00,11.01000,11.01680,10.93000,10.93000,283078
2019-06-21 10:00:00,10.88000,10.88000,10.31000,10.48010,342692
2019-06-21 12:00:00,10.49000,10.53000,10.42000,10.44000,352236
2019-06-21 14:00:00,10.44480,10.68000,10.41000,10.63000,562831
2019-06-21 16:00:00,10.62500,10.65000,10.56000,10.61000,330572
2019-06-24 10:00:00,10.64000,10.66060,9.97000,10.00000,1350505
2019-06-24 12:00:00,10.00000,10.11000,9.98000,10.05500,464073
2019-06-24 14:00:00,10.05500,10.20000,10.04500,10.10500,528373
2019-06-24 16:00:00,10.10500,10.11000,10.00000,10.02000,387804
2019-06-25 10:00:00,10.01000,10.03000,9.65000,9.70980,1102545
2019-06-25 12:00:00,9.70500,9.75000,9.61000,9.63000,728442
2019-06-25 14:00:00,9.64000,9.64000,9.50000,9.52000,998211
2019-06-25 16:00:00,9.52500,9.53000,9.42000,9.49000,607451
2019-06-26 10:00:00,9.53000,9.70000,9.32000,9.33500,1258958
2019-06-26 12:00:00,9.33500,9.49000,9.31000,9.48500,599401
2019-06-26 14:00:00,9.48500,9.53000,9.39000,9.41660,522951
2019-06-26 16:00:00,9.41500,9.48000,9.40500,9.45000,409985
2019-06-27 10:00:00,9.45000,9.54000,9.35000,9.50000,599719
2019-06-27 12:00:00,9.50000,9.53500,9.46500,9.49500,409765
2019-06-27 14:00:00,9.49000,9.52000,9.46000,9.50000,461361
2019-06-27 16:00:00,9.50000,9.52000,9.48000,9.51000,358412
2019-06-28 10:00:00,9.46000,9.51990,9.32000,9.37000,596622
2019-06-28 12:00:00,9.37500,9.48000,9.28490,9.41000,633516
2019-06-28 14:00:00,9.40510,9.49000,9.37000,9.37500,446804
2019-06-28 16:00:00,9.37500,9.39000,9.32000,9.34000,538991
2019-07-01 10:00:00,9.85000,9.90000,9.28000,9.28000,1219764
2019-07-01 12:00:00,9.29000,9.32000,9.16000,9.19000,706391
2019-07-01 14:00:00,9.19000,9.23000,9.15000,9.17500,488332
2019-07-01 16:00:00,9.17500,9.28000,9.17000,9.28000,338581
2019-07-02 10:00:00,9.23000,9.30000,9.04000,9.04500,776891
2019-07-02 12:00:00,9.05000,9.16000,9.04000,9.12000,411579
2019-07-02 14:00:00,9.11500,9.27000,9.10180,9.26500,409008
2019-07-02 16:00:00,9.26500,9.28000,9.21000,9.25000,230909
2019-07-03 10:00:00,9.29850,9.29850,9.00000,9.06000,1124909
2019-07-03 12:00:00,9.06000,9.12000,9.00000,9.10000,481520
2019-07-03 14:00:00,9.09500,9.17000,9.09000,9.10000,337525
2019-07-05 10:00:00,9.03000,9.33000,9.02500,9.33000,1077759
2019-07-05 12:00:00,9.33000,9.51000,9.30010,9.32000,1031040
2019-07-05 14:00:00,9.31730,9.41000,9.31000,9.37000,445952
2019-07-05 16:00:00,9.37500,9.43000,9.33000,9.43000,415665
2019-07-08 10:00:00,9.34000,9.37000,9.09000,9.09500,875597
2019-07-08 12:00:00,9.09500,9.10000,9.01000,9.04000,735012
2019-07-08 14:00:00,9.04500,9.04610,8.80000,8.83500,1986986
2019-07-08 16:00:00,8.84000,8.88000,8.80000,8.86000,778221
2019-07-09 10:00:00,8.83000,9.17500,8.73000,9.09500,1674078
2019-07-09 12:00:00,9.09500,9.13000,9.06000,9.07500,609770
2019-07-09 14:00:00,9.07500,9.08500,8.91000,8.91500,781801
2019-07-09 16:00:00,8.92000,8.93000,8.89500,8.92000,366956
2019-07-10 10:00:00,9.02000,9.24000,8.95000,9.20000,904115
2019-07-10 12:00:00,9.20000,9.32000,9.19010,9.23000,512135
2019-07-10 14:00:00,9.22500,9.24000,9.17000,9.23000,352447
2019-07-10 16:00:00,9.23500,9.27000,9.20000,9.22000,283117
2019-07-11 10:00:00,9.22000,9.38500,9.13000,9.35000,733469
2019-07-11 12:00:00,9.35000,9.55000,9.34000,9.51500,908223
2019-07-11 14:00:00,9.51000,9.53000,9.42000,9.49560,470381
2019-07-11 16:00:00,9.49500,9.51000,9.45000,9.45500,291565
2019-07-12 10:00:00,9.55000,9.58010,9.31000,9.57000,614316
2019-07-12 12:00:00,9.57000,9.61000,9.52000,9.53000,348724
2019-07-12 14:00:00,9.52590,9.55000,9.38000,9.44690,626920
2019-07-12 16:00:00,9.44500,9.46000,9.44000,9.46000,175790
2019-07-15 10:00:00,9.39000,9.43500,9.06000,9.35000,1215618
2019-07-15 12:00:00,9.36000,9.46500,9.30000,9.46000,327434
2019-07-15 14:00:00,9.46000,9.53000,9.44000,9.47000,355284
2019-07-15 16:00:00,9.47500,9.51000,9.47000,9.48000,259010
2019-07-16 10:00:00,9.39000,9.49500,9.32000,9.39090,461344
2019-07-16 12:00:00,9.39000,9.68000,9.39000,9.65000,522729
2019-07-16 14:00:00,9.65500,9.80000,9.65000,9.78500,574266
2019-07-16 16:00:00,9.78500,9.82000,9.77000,9.79500,429576
2019-07-17 10:00:00,9.78000,9.94000,9.66000,9.68500,602019
2019-07-17 12:00:00,9.68500,9.74500,9.64000,9.70700,328204
2019-07-17 14:00:00,9.70000,9.88000,9.70000,9.79000,448859
2019-07-17 16:00:00,9.79500,9.83000,9.79000,9.81000,224711
2019-07-18 10:00:00,9.69720,9.90000,9.49000,9.52500,731125
2019-07-18 12:00:00,9.52500,9.74000,9.52500,9.66500,585759
2019-07-18 14:00:00,9.66500,9.72000,9.60000,9.61000,349290
2019-07-18 16:00:00,9.61500,9.62000,9.58000,9.62000,285715
2019-07-19 10:00:00,9.95000,10.33000,9.93000,10.20000,1679753
2019-07-19 12:00:00,10.20500,11.04000,10.20500,10.94000,3810618
2019-07-19 14:00:00,10.93000,10.97000,10.38000,10.54500,3042796
