,open,high,low,close,volume
2021-04-17 10:30:00,60889.53906,60961.87109,60612.51172,60640.00000,
2021-04-17 11:00:00,60573.28125,60606.39844,60309.76953,60572.53125,
2021-04-17 11:30:00,60533.89062,60562.19141,60119.98828,60302.37109,
2021-04-17 12:00:00,60203.32031,60574.48047,59967.39844,60456.00000,
2021-04-17 12:30:00,60467.14844,60668.30859,60390.71875,60390.71875,
2021-04-17 13:00:00,60381.89844,60586.19922,60324.33984,60540.01172,
2021-04-17 13:30:00,60503.71094,60551.92969,59717.75000,59780.46875,
2021-04-17 14:00:00,59681.53906,60341.53906,59645.41016,60286.67188,
2021-04-17 14:30:00,60235.50000,60499.98828,60235.50000,60380.00000,
2021-04-17 15:00:00,60457.78125,60726.80078,60457.78125,60602.07031,
2021-04-17 15:30:00,60571.05078,60712.62109,60571.05078,60708.57812,
2021-04-17 16:00:00,60723.44141,60728.73828,60606.01172,60616.69922,
2021-04-17 16:30:00,60655.37109,60871.00000,60645.23828,60802.37891,
2021-04-17 17:00:00,60793.62109,60870.48828,60698.01953,60870.48828,
2021-04-17 17:30:00,60940.12109,60953.03125,60586.96094,60719.98828,
2021-04-17 18:00:00,60719.23828,60819.89062,60611.73047,60672.07812,
2021-04-17 18:30:00,60707.57812,60740.21094,60375.94141,60668.17188,
2021-04-17 19:00:00,60614.87891,60786.44141,60256.96875,60256.96875,
2021-04-17 19:30:00,60299.83984,60366.85156,60032.48047,60045.89844,
2021-04-17 20:00:00,60056.67188,60357.85156,59580.01172,59580.01172,
2021-04-17 20:30:00,59500.01172,59766.78906,59390.55078,59390.55078,
2021-04-17 21:00:00,59484.05078,59630.62891,59035.00000,59357.17969,
2021-04-17 21:30:00,59287.25000,59691.19141,59127.64062,59250.01172,
2021-04-17 22:00:00,59132.01172,59457.16016,58663.92969,59069.17969,
2021-04-17 22:30:00,58993.67969,59160.44141,58682.82812,58896.28906,
2021-04-17 23:00:00,58899.98828,58949.42188,55342.26953,56431.82812,
2021-04-17 23:30:00,56016.01172,56016.01172,51838.41016,55090.87109,
2021-04-18 00:00:00,54597.98047,55686.03125,54148.55859,55226.58984,
2021-04-18 00:30:00,55430.01953,55969.96094,54618.53906,54900.67969,
2021-04-18 01:00:00,54958.12891,55723.83984,54958.12891,55442.01172,
2021-04-18 01:30:00,55559.32031,55762.26953,55207.26953,55609.67188,
2021-04-18 02:00:00,55534.57812,56363.60156,55525.28125,56059.46875,
2021-04-18 02:30:00,56181.58984,56181.58984,55318.64062,55700.64062,
2021-04-18 03:00:00,55778.39062,56408.17969,55778.39062,56408.17969,
2021-04-18 03:30:00,56417.21875,56480.76172,56116.39062,56157.30078,
2021-04-18 04:00:00,56242.05859,56358.03125,55724.57031,56252.14062,
2021-04-18 04:30:00,56246.91016,56259.51172,54946.73828,55056.46094,
2021-04-18 05:00:00,55066.25000,55246.03125,54543.64844,54628.55078,
2021-04-18 05:30:00,54457.69141,55042.66016,54165.00000,55042.66016,
2021-04-18 06:00:00,54968.26172,55290.98828,54699.60156,54771.07031,
2021-04-18 06:30:00,54853.89062,55144.42969,54550.55859,54645.28125,
2021-04-18 07:00:00,54646.53906,55067.62109,54577.69141,54600.01172,
2021-04-18 07:30:00,54650.00000,54650.00000,53200.00000,53353.64062,
2021-04-18 08:00:00,53561.44141,54337.46875,53441.28906,54337.46875,
2021-04-18 08:30:00,54157.42188,54881.94141,54106.55859,54881.94141,
2021-04-18 09:00:00,54808.28125,55145.53906,54732.19922,55072.42969,
2021-04-18 09:30:00,55115.21875,55279.67188,54907.17969,55166.66016,
2021-04-18 10:00:00,55139.50000,55747.96094,55030.17188,55745.28906,
2021-04-18 10:30:00,55610.62109,55748.71094,55037.12891,55124.14844,
2021-04-18 11:00:00,55115.32812,55485.10938,55014.05078,55304.05859,
2021-04-18 11:30:00,55399.33984,55539.57812,54800.01172,55465.98828,
2021-04-18 12:00:00,55663.35156,55914.16016,55420.39062,55834.57812,
2021-04-18 12:30:00,55779.14844,55779.14844,55268.89062,55396.83984,
2021-04-18 13:00:00,55461.26953,55575.23047,55070.55859,55288.98828,
2021-04-18 13:30:00,55305.00000,55305.00000,54921.19141,55158.08984,
2021-04-18 14:00:00,55229.71094,55249.98828,55059.85938,55059.85938,
2021-04-18 14:30:00,55046.19141,55662.10156,55000.92188,55510.67188,
2021-04-18 15:00:00,55585.39844,55738.96875,55331.42188,55666.07812,
2021-04-18 15:30:00,55747.51953,55787.07031,55641.01172,55716.89844,
2021-04-18 16:00:00,55761.78906,56019.44922,55760.12891,55900.01953,
2021-04-18 16:30:00,55931.30078,56288.57031,55897.10938,56146.37891,
2021-04-18 17:00:00,56220.21875,56220.21875,56003.00000,56112.07812,
2021-04-18 17:30:00,56110.30078,56336.42969,55572.33984,56288.98828,
2021-04-18 18:00:00,56459.14062,56459.14062,56027.51172,56357.17969,
2021-04-18 18:30:00,56410.01172,56667.05859,56410.01172,56563.71875,
2021-04-18 19:00:00,56502.16016,56551.30859,56203.67969,56208.85156,
2021-04-18 19:30:00,56273.64062,56399.48828,56051.39062,56185.55078,
2021-04-18 20:00:00,56137.16016,56264.82812,55736.64062,56059.10938,
2021-04-18 20:30:00,56027.82031,56818.80078,56004.44141,56771.85938,
2021-04-18 21:00:00,56798.48828,57031.89062,56693.07031,57015.85938,
2021-04-18 21:30:00,56932.75000,56950.07031,56696.00000,56774.10938,
2021-04-18 22:00:00,56898.96875,56976.73047,56533.51172,56839.53906,
2021-04-18 22:30:00,56885.60938,57189.17969,56844.76172,56872.30859,
2021-04-18 23:00:00,56909.94141,56939.35156,56727.19141,56815.69922,
2021-04-18 23:30:00,56840.00000,57218.91016,56840.00000,57022.67969,
2021-04-19 00:00:00,57079.14062,57134.98047,56901.85938,56958.14062,
2021-04-19 00:30:00,56940.71875,56999.51172,56724.94922,56949.96875,
2021-04-19 01:00:00,56934.82031,56942.37109,56441.14062,56625.03906,
2021-04-19 01:30:00,56669.69141,56882.66016,56500.01172,56500.01172,
2021-04-19 02:00:00,56597.53906,56925.62109,56577.62891,56770.21094,
2021-04-19 02:30:00,56750.19922,57307.96094,56693.26953,57278.69922,
2021-04-19 03:00:00,57297.05078,57439.48047,57025.30859,57282.17188,
2021-04-19 03:30:00,57351.07031,57414.51953,57264.28125,57359.85156,
2021-04-19 04:00:00,57322.17969,57489.98828,56846.69922,56846.69922,
2021-04-19 04:30:00,56894.00000,57110.33984,56765.30859,56765.30859,
2021-04-19 05:00:00,56871.98828,56940.58984,56602.55859,56788.12891,
2021-04-19 05:30:00,56813.03125,57086.55078,56663.32812,56672.89844,
2021-04-19 06:00:00,56746.57031,56746.57031,56290.00000,56456.76172,
2021-04-19 06:30:00,56502.10938,56502.10938,56136.48047,56469.17969,
2021-04-19 07:00:00,56484.96875,57015.32031,56484.96875,56817.53906,
2021-04-19 07:30:00,56881.07812,57288.17188,56862.60156,57104.85938,
2021-04-19 08:00:00,57028.64062,57115.64844,56870.12891,56980.69922,
2021-04-19 08:30:00,57119.98828,57119.98828,56499.12891,56499.12891,
2021-04-19 09:00:00,56490.17188,56657.67188,56052.71875,56259.69141,
2021-04-19 09:30:00,56314.53906,56729.83984,56314.53906,56628.25000,
2021-04-19 10:00:00,56576.48047,56576.48047,55851.12109,55851.12109,
2021-04-19 10:30:00,55854.85938,55930.67188,55150.28125,55439.89062,
2021-04-19 11:00:00,55182.53125,55400.00000,54771.67969,55400.00000,
2021-04-19 11:30:00,55212.76953,55272.71875,54255.26953,54594.51953,
2021-04-19 12:00:00,54467.67188,55483.76953,54387.39062,55141.66016,
2021-04-19 12:30:00,55175.64062,55381.05859,54710.53125,54844.83984,
2021-04-19 13:00:00,54738.37891,55382.80859,54625.05859,55335.92188,
2021-04-19 13:30:00,55261.85938,55450.48828,55086.05078,55376.69141,
2021-04-19 14:00:00,55341.12109,55765.64062,55341.12109,55620.21094,
2021-04-19 14:30:00,55550.25000,55757.92969,55389.57812,55635.03906,
2021-04-19 15:00:00,55538.14844,55846.94922,55538.14844,55620.39062,
2021-04-19 15:30:00,55555.55078,56052.39062,55435.00000,55925.00000,
2021-04-19 16:00:00,55866.44141,56110.57812,55772.01172,56062.64062,
2021-04-19 16:30:00,56079.80859,56369.44141,56079.80859,56100.00000,
2021-04-19 17:00:00,56109.69922,56216.03125,55779.39062,55779.39062,
2021-04-19 17:30:00,55734.03906,56505.51172,55734.03906,56254.25000,
2021-04-19 18:00:00,56255.67969,56255.67969,55952.60156,56077.28125,
2021-04-19 18:30:00,56104.07031,56329.03125,55843.30078,55980.01172,
2021-04-19 19:00:00,55937.21875,56189.51172,55562.76172,55562.76172,
2021-04-19 19:30:00,55572.44141,55852.98047,55572.44141,55627.69141,
2021-04-19 20:00:00,55724.14844,55765.83984,54752.60938,54798.33984,
2021-04-19 20:30:00,54892.98828,54892.98828,54376.05859,54459.53125,
2021-04-19 21:00:00,54609.87109,55129.82812,54609.87109,54963.64844,
2021-04-19 21:30:00,54884.32812,54895.03906,54492.73828,54807.62891,
2021-04-19 22:00:00,54764.12109,54764.12109,54764.12109,54764.12109,
2021-04-19 22:30:00,54764.12109,54764.12109,54764.12109,54764.12109,
2021-04-19 23:30:00,54764.12109,54764.12109,54764.12109,54764.12109,
2021-04-20 00:00:00,54764.12109,54764.12109,54764.12109,54764.12109,
2021-04-20 00:30:00,54732.69922,55324.66016,54732.69922,55253.21094,
2021-04-20 01:00:00,55258.62891,55375.98047,54885.23828,54885.23828,
2021-04-20 01:30:00,55012.53125,55124.12891,54788.73047,54950.01953,
2021-04-20 02:00:00,54931.30078,55145.57812,54587.62109,54587.62109,
2021-04-20 02:30:00,54510.73047,54655.28906,53552.85938,53756.05078,
2021-04-20 03:00:00,53723.76172,54208.73828,53652.73828,53834.35156,
2021-04-20 03:30:00,54008.35938,54404.42188,53397.62891,54404.42188,
2021-04-20 04:00:00,54343.28125,54996.60156,54262.87891,54789.35156,
2021-04-20 04:30:00,54792.60938,55306.51172,54479.89844,55257.32812,
2021-04-20 05:00:00,55211.01172,55362.51172,54894.46875,55214.26953,
2021-04-20 05:30:00,55208.46094,55245.32812,54786.39844,54894.94922,
2021-04-20 06:00:00,54843.41016,55825.53906,54843.41016,55631.73828,
2021-04-20 06:30:00,55835.80859,56109.01953,55711.62891,55920.32031,
2021-04-20 07:00:00,55987.69922,56093.44922,55754.87109,55797.32812,
2021-04-20 07:30:00,55821.55078,56370.98828,55723.37891,56265.98047,
2021-04-20 08:00:00,56156.57031,56195.60938,55650.98047,55800.00000,
2021-04-20 08:30:00,55817.23828,56069.21094,55742.14062,55811.57031,
2021-04-20 09:00:00,55801.12891,56030.51172,55799.98047,55991.39844,
2021-04-20 09:30:00,56071.28906,56268.53125,56053.21875,56241.17969,
2021-04-20 10:00:00,56368.33984,56407.71094,55994.64062,56052.25000,
2021-04-20 10:30:00,55943.96094,56004.03906,55320.28125,55320.28125,
2021-04-20 11:00:00,55491.64844,55557.03125,54968.07812,54983.23047,
2021-04-20 11:30:00,55007.03906,55420.44141,54774.92188,55335.64062,
2021-04-20 12:00:00,55330.55078,55593.48047,55114.26953,55518.37891,
2021-04-20 12:30:00,55444.33984,55787.66016,55163.03125,55787.66016,
2021-04-20 13:00:00,55782.64062,55833.91016,55582.55078,55691.00000,
2021-04-20 13:30:00,55635.55078,55926.87891,55603.92188,55871.07031,
2021-04-20 14:00:00,55809.60156,56143.42188,55721.26953,56143.42188,
2021-04-20 14:30:00,56121.69922,56387.21875,55933.58984,56216.30078,
2021-04-20 15:00:00,56340.19141,56486.39062,56187.76953,56450.01172,
2021-04-20 15:30:00,56481.32031,56731.96094,56364.39062,56573.19922,
2021-04-20 16:00:00,56637.58984,56913.53125,56400.94922,56896.82812,
2021-04-20 16:30:00,56947.60156,57045.39062,56710.55078,56730.75000,
2021-04-20 17:00:00,56772.55859,56809.12891,56452.53906,56484.12109,
2021-04-20 17:30:00,56460.01172,56965.12891,56460.01172,56958.82031,
2021-04-20 18:00:00,57020.73828,57026.89062,56480.14844,56485.94922,
2021-04-20 18:30:00,56550.94141,56599.98828,56167.51172,56410.23047,
2021-04-20 19:00:00,56418.16016,56531.96875,56247.42188,56459.03906,
2021-04-20 19:30:00,56540.21875,56557.60938,56228.21094,56472.23047,
2021-04-20 20:00:00,56495.71875,56750.00000,56325.64844,56637.08984,
2021-04-20 20:30:00,56644.75000,56644.75000,55637.07031,55706.71094,
2021-04-20 21:00:00,55522.75000,55857.71094,55433.32031,55845.14062,
2021-04-20 21:30:00,55870.23828,56202.19922,55781.78906,56054.35938,
2021-04-20 22:00:00,56000.00000,56050.01953,55903.92188,55998.92188,
2021-04-20 22:30:00,56020.30859,56230.10938,56011.07031,56158.60156,
2021-04-20 23:00:00,56067.85156,56171.30859,55645.73828,55713.71875,
2021-04-20 23:30:00,55739.28125,55846.58984,55181.98828,55181.98828,
2021-04-21 00:00:00,55285.42188,55398.82812,55025.05078,55364.64844,
2021-04-21 00:30:00,55346.98828,55544.17969,55346.98828,55391.41016,
2021-04-21 01:00:00,55263.82812,55633.01953,55162.30859,55530.01172,
2021-04-21 01:30:00,55484.60938,55577.44922,55078.44141,55429.33984,
2021-04-21 02:00:00,55327.48047,55782.80078,55175.73047,55767.44141,
2021-04-21 02:30:00,55742.07031,55754.44141,55561.23047,55561.23047,
2021-04-21 03:00:00,55552.35156,55698.98828,55233.10156,55321.92188,
2021-04-21 03:30:00,55204.66016,55493.94141,55204.66016,55292.64062,
2021-04-21 04:00:00,55366.71875,55366.71875,54924.35938,55223.94141,
2021-04-21 04:30:00,55208.60938,55613.44922,55172.41016,55445.48047,
2021-04-21 05:00:00,55422.07031,55740.64062,55303.85156,55613.07812,
2021-04-21 05:30:00,55639.98828,55692.42188,55470.17969,55580.71875,
2021-04-21 06:00:00,55553.30078,55553.30078,55190.42969,55190.42969,
2021-04-21 06:30:00,55156.60156,55199.98828,54807.53906,54916.82812,
2021-04-21 07:00:00,54812.33984,55100.00000,54565.19141,54565.19141,
2021-04-21 07:30:00,54576.80078,54793.46094,54296.96875,54578.94141,
2021-04-21 08:00:00,54568.85156,55295.82812,54336.14844,55235.96875,
2021-04-21 08:30:00,55259.44141,55470.46094,55171.42969,55416.55859,
2021-04-21 09:00:00,55337.08984,55477.76953,55314.66016,55431.25000,
2021-04-21 09:30:00,55498.98828,55677.87109,55416.07812,55572.19141,
