,open,high,low,close,volume
2021-04-29 15:35:00,73.62500,73.68500,73.59500,73.63500,324175
2021-04-29 15:40:00,73.63500,73.74500,73.63000,73.74000,236471
2021-04-29 15:45:00,73.75000,73.89000,73.74000,73.82000,546921
2021-04-29 15:50:00,73.82000,73.88000,73.81000,73.87000,449519
2021-04-29 15:55:00,73.87500,73.90000,73.77000,73.84500,950345
2021-04-30 09:30:00,72.69000,72.74000,72.22000,72.36650,983457
2021-04-30 09:35:00,72.37000,72.46000,72.07000,72.18000,438074
2021-04-30 09:40:00,72.13000,72.28500,72.09190,72.16000,434278
2021-04-30 09:45:00,72.15000,72.49500,72.14000,72.47890,312513
2021-04-30 09:50:00,72.47500,72.57000,72.41500,72.44000,718483
2021-04-30 09:55:00,72.45000,72.53000,72.27500,72.30000,407277
2021-04-30 10:00:00,72.29000,72.39500,72.20500,72.38000,310027
2021-04-30 10:05:00,72.36000,72.42500,72.16980,72.17000,325259
2021-04-30 10:10:00,72.16820,72.25500,71.98000,72.10800,286414
2021-04-30 10:15:00,72.09000,72.09000,71.84000,71.90000,455109
2021-04-30 10:20:00,71.89000,71.96000,71.79000,71.82000,428490
2021-04-30 10:25:00,71.82500,71.92500,71.67000,71.82500,455524
2021-04-30 10:30:00,71.81000,71.86500,71.66000,71.66500,269023
2021-04-30 10:35:00,71.66500,71.74080,71.47500,71.61000,394136
2021-04-30 10:40:00,71.58000,71.73000,71.55000,71.69000,357235
2021-04-30 10:45:00,71.69500,71.69500,71.50000,71.53000,259274
2021-04-30 10:50:00,71.53000,71.68000,71.51500,71.61000,202746
2021-04-30 10:55:00,71.61500,71.76000,71.60000,71.73000,261140
2021-04-30 11:00:00,71.73000,71.80500,71.63000,71.80500,419662
2021-04-30 11:05:00,71.79500,71.92000,71.67000,71.72000,279089
2021-04-30 11:10:00,71.72000,71.84000,71.66000,71.77500,282092
2021-04-30 11:15:00,71.78000,71.91500,71.77000,71.79500,294076
2021-04-30 11:20:00,71.79000,71.92500,71.79000,71.80000,186628
2021-04-30 11:25:00,71.80000,71.87000,71.69500,71.71000,640961
2021-04-30 11:30:00,71.71000,71.71000,71.59000,71.59000,192953
2021-04-30 11:35:00,71.58990,71.59500,71.51000,71.54500,186504
2021-04-30 11:40:00,71.54000,71.54000,71.45000,71.50000,156314
2021-04-30 11:45:00,71.49000,71.62000,71.46000,71.61370,241276
2021-04-30 11:50:00,71.61000,71.64000,71.53000,71.60500,161921
2021-04-30 11:55:00,71.60870,71.60870,71.50000,71.52000,95868
2021-04-30 12:00:00,71.53000,71.53500,71.48000,71.51000,637886
2021-04-30 12:05:00,71.51000,71.53000,71.47000,71.49500,164505
2021-04-30 12:10:00,71.49000,71.55000,71.46500,71.49000,139290
2021-04-30 12:15:00,71.48250,71.50500,71.37990,71.39000,220510
