,open,high,low,close,volume
2021-06-08 21:15:00,2462.47998,2472.30005,2462.36011,2468.85010,
2021-06-08 21:30:00,2464.79004,2464.79004,2446.14990,2446.14990,
2021-06-08 21:45:00,2442.05005,2443.38989,2428.12012,2428.12012,
2021-06-08 22:00:00,2433.92993,2444.18994,2428.17993,2428.17993,
2021-06-08 22:15:00,2436.16992,2439.03003,2422.09009,2432.86011,
2021-06-08 22:30:00,2428.53003,2431.48999,2415.09009,2431.42993,
2021-06-08 22:45:00,2427.78003,2467.07007,2427.78003,2445.15991,
2021-06-08 23:00:00,2450.79004,2464.85010,2437.02002,2461.83008,
2021-06-08 23:15:00,2461.61011,2472.14990,2455.39990,2460.71997,
2021-06-08 23:30:00,2461.91992,2461.91992,2448.20996,2459.42993,
2021-06-08 23:45:00,2460.39990,2463.96997,2453.23999,2455.53003,
2021-06-09 00:00:00,2460.16992,2462.35010,2435.13989,2441.89990,
2021-06-09 00:15:00,2439.46997,2439.46997,2409.42993,2419.35010,
2021-06-09 00:30:00,2416.39990,2437.23999,2416.39990,2423.50000,
2021-06-09 00:45:00,2423.55005,2453.53003,2423.55005,2453.53003,
2021-06-09 01:00:00,2450.53003,2465.06006,2450.53003,2458.05005,
2021-06-09 01:15:00,2463.20996,2490.70996,2463.20996,2483.56006,
2021-06-09 01:30:00,2477.52002,2479.34009,2472.52002,2479.34009,
2021-06-09 01:45:00,2476.51001,2476.51001,2470.39990,2474.61011,
2021-06-09 02:00:00,2472.63989,2480.87012,2467.56006,2476.33008,
2021-06-09 02:15:00,2476.29004,2519.98999,2476.29004,2513.64990,
2021-06-09 02:30:00,2522.46997,2529.54004,2510.00000,2529.54004,
2021-06-09 02:45:00,2532.19995,2538.20996,2526.21997,2532.48999,
2021-06-09 03:00:00,2528.01001,2537.40991,2519.73999,2524.52002,
2021-06-09 03:15:00,2523.23999,2525.58008,2512.82007,2513.12988,
2021-06-09 03:30:00,2513.22998,2531.95996,2513.22998,2530.42993,
2021-06-09 03:45:00,2529.11011,2530.90991,2503.46997,2503.46997,
2021-06-09 04:00:00,2492.62012,2511.56006,2482.59009,2507.35010,
2021-06-09 04:15:00,2505.08008,2505.08008,2490.64990,2492.12988,
2021-06-09 04:30:00,2488.46997,2498.75000,2483.90991,2492.51001,
2021-06-09 04:45:00,2497.27002,2499.28003,2475.66992,2479.63989,
2021-06-09 05:00:00,2482.29004,2491.92993,2473.89990,2486.23999,
2021-06-09 05:15:00,2490.01001,2509.91992,2487.21997,2503.52002,
2021-06-09 05:30:00,2504.98999,2504.98999,2490.23999,2502.86011,
2021-06-09 05:45:00,2499.45996,2500.57007,2477.44995,2480.08008,
2021-06-09 06:00:00,2477.98999,2486.75000,2471.68994,2478.51001,
2021-06-09 06:15:00,2476.26001,2500.04004,2476.26001,2499.37012,
2021-06-09 06:30:00,2495.93994,2518.60010,2493.02002,2510.42993,
2021-06-09 06:45:00,2515.25000,2515.25000,2493.29004,2496.90991,
2021-06-09 07:00:00,2494.56006,2508.25000,2488.59009,2499.69995,
2021-06-09 07:15:00,2499.05005,2511.60010,2496.55005,2502.43994,
2021-06-09 07:30:00,2502.38989,2508.27002,2493.70996,2506.76001,
2021-06-09 07:45:00,2506.91992,2540.57007,2506.91992,2540.57007,
2021-06-09 08:00:00,2537.88989,2576.32007,2537.88989,2570.02002,
2021-06-09 08:15:00,2568.35010,2569.60010,2555.47998,2556.67993,
2021-06-09 08:30:00,2562.36011,2563.38989,2545.03003,2549.00000,
2021-06-09 08:45:00,2542.86011,2546.37012,2536.08008,2541.87012,
2021-06-09 09:00:00,2539.43994,2539.43994,2528.36011,2536.34009,
2021-06-09 09:15:00,2541.26001,2548.34009,2530.11011,2536.29004,
2021-06-09 09:30:00,2532.64990,2537.00000,2518.71997,2524.67993,
2021-06-09 09:45:00,2520.39990,2527.61011,2517.00000,2527.61011,
2021-06-09 10:00:00,2524.83008,2551.29004,2524.83008,2537.60010,
2021-06-09 10:15:00,2536.47998,2536.47998,2512.12012,2512.52002,
2021-06-09 10:30:00,2515.00000,2523.16992,2513.55005,2522.48999,
2021-06-09 10:45:00,2525.38989,2526.15991,2452.18994,2456.26001,
2021-06-09 11:00:00,2462.95996,2533.46997,2462.95996,2513.01001,
2021-06-09 11:15:00,2521.51001,2551.78003,2521.51001,2551.44995,
2021-06-09 11:30:00,2557.87012,2573.95996,2557.87012,2568.02002,
2021-06-09 11:45:00,2567.57007,2572.03003,2556.79004,2566.62988,
2021-06-09 12:00:00,2574.08008,2580.33008,2555.63989,2574.39990,
2021-06-09 12:15:00,2579.01001,2583.47998,2570.16992,2582.11011,
2021-06-09 12:30:00,2579.62988,2609.37012,2568.72998,2609.37012,
2021-06-09 12:45:00,2614.70996,2617.66992,2597.97998,2598.28003,
2021-06-09 13:00:00,2592.67993,2613.91992,2592.67993,2613.91992,
2021-06-09 13:15:00,2612.44995,2618.25000,2591.72998,2591.72998,
2021-06-09 13:30:00,2582.87988,2593.25000,2582.87988,2588.70996,
2021-06-09 13:45:00,2588.98999,2591.34009,2575.98999,2591.34009,
2021-06-09 14:00:00,2593.55005,2601.44995,2586.51001,2594.28003,
2021-06-09 14:15:00,2595.61011,2595.61011,2579.09009,2580.85010,
2021-06-09 14:30:00,2581.82007,2581.82007,2560.23999,2568.47998,
2021-06-09 14:45:00,2567.14990,2579.52002,2560.57007,2560.57007,
2021-06-09 15:00:00,2568.55005,2575.27002,2553.89990,2553.89990,
2021-06-09 15:15:00,2558.05005,2571.10010,2558.05005,2565.25000,
2021-06-09 15:30:00,2563.11011,2566.35010,2559.57007,2563.92993,
2021-06-09 15:45:00,2560.01001,2571.62012,2551.93994,2560.73999,
2021-06-09 16:00:00,2565.94995,2565.94995,2553.53003,2565.08008,
2021-06-09 16:15:00,2565.06006,2565.06006,2552.52002,2557.93994,
2021-06-09 16:30:00,2556.56006,2573.48999,2552.10010,2572.41992,
2021-06-09 16:45:00,2568.57007,2568.57007,2559.60010,2561.51001,
2021-06-09 17:00:00,2559.00000,2569.91992,2559.00000,2569.91992,
2021-06-09 17:15:00,2571.59009,2575.12012,2554.94995,2562.97998,
2021-06-09 17:30:00,2566.83008,2579.20996,2566.83008,2578.35010,
2021-06-09 17:45:00,2584.22998,2588.85010,2579.84009,2580.51001,
2021-06-09 18:00:00,2580.77002,2598.87012,2577.33008,2598.87012,
2021-06-09 18:15:00,2601.00000,2619.87988,2601.00000,2612.26001,
2021-06-09 18:30:00,2619.16992,2619.16992,2596.85010,2601.39990,
2021-06-09 18:45:00,2602.70996,2605.21997,2594.95996,2598.64990,
2021-06-09 19:00:00,2592.45996,2609.98999,2588.98999,2605.12012,
