,open,high,low,close,volume
2019-06-20 10:00:00,110.88000,111.08500,109.03310,109.12000,3964579
2019-06-20 12:00:00,109.11500,109.84000,109.11010,109.83000,1981656
2019-06-20 14:00:00,109.82140,110.25500,109.80000,110.14000,2275750
2019-06-20 16:00:00,110.14500,110.46000,110.06000,110.18000,1855979
2019-06-21 10:00:00,110.19000,111.67000,110.19000,111.18000,6109090
2019-06-21 12:00:00,111.17000,111.35000,110.83000,110.97000,1810618
2019-06-21 14:00:00,110.97000,111.08500,110.33500,110.34000,1988307
2019-06-21 16:00:00,110.34500,110.42000,109.09000,109.71000,5505080
2019-06-24 10:00:00,109.28000,109.77000,108.71000,109.26000,3967028
2019-06-24 12:00:00,109.26500,109.35000,109.04540,109.20000,1620768
2019-06-24 14:00:00,109.20000,109.43000,109.01500,109.12500,1970699
2019-06-24 16:00:00,109.12000,109.19840,108.53500,108.66500,2573469
2019-06-25 10:00:00,108.68000,108.98000,107.67000,108.78920,4177735
2019-06-25 12:00:00,108.79000,108.90500,108.45000,108.80000,3431607
2019-06-25 14:00:00,108.81000,108.81000,107.97000,108.18000,2866737
2019-06-25 16:00:00,108.17500,108.27000,107.74000,107.78000,2216815
2019-06-26 10:00:00,108.30000,109.30000,108.16000,109.21000,3633692
2019-06-26 12:00:00,109.21000,109.31000,108.62000,108.64000,1802757
2019-06-26 14:00:00,108.64500,108.71000,108.37000,108.49000,1971086
2019-06-26 16:00:00,108.48000,108.63000,108.45000,108.48000,1104466
2019-06-27 10:00:00,108.84000,109.55000,108.44000,108.95000,3721936
2019-06-27 12:00:00,108.95000,109.36000,108.81000,109.29270,2169302
2019-06-27 14:00:00,109.28500,109.38000,108.62500,108.75000,2085336
2019-06-27 16:00:00,108.75000,109.04000,108.73500,108.86500,1542477
2019-06-28 10:00:00,111.04000,112.43000,110.90000,111.60000,6063460
2019-06-28 12:00:00,111.59000,112.16000,111.53000,111.85000,2683064
2019-06-28 14:00:00,111.84500,111.90000,111.11000,111.11000,2105786
2019-06-28 16:00:00,111.12000,112.00000,111.10000,111.77000,2628803
2019-07-01 10:00:00,113.23000,114.52000,113.08000,113.45000,4876189
2019-07-01 12:00:00,113.46000,113.78500,113.13480,113.37000,2018770
2019-07-01 14:00:00,113.38000,113.75000,113.25000,113.68500,2021151
2019-07-01 16:00:00,113.68550,113.91000,113.61000,113.61000,1697840
2019-07-02 10:00:00,113.51000,114.20000,113.35000,113.60000,3640540
2019-07-02 12:00:00,113.61000,113.91000,113.22000,113.81000,2191419
2019-07-02 14:00:00,113.82000,113.87000,113.48000,113.57000,2050941
2019-07-02 16:00:00,113.56500,113.86000,113.56500,113.74000,1114001
2019-07-03 10:00:00,113.35000,113.39000,112.26000,112.58000,3596055
2019-07-03 12:00:00,112.60000,112.88000,112.57000,112.75750,0
2019-07-03 14:00:00,112.76000,112.87000,112.45000,112.70000,0
2019-07-05 10:00:00,113.51000,114.27000,112.92000,113.23570,3065870
2019-07-05 12:00:00,113.23000,113.57000,113.18000,113.23000,1294247
2019-07-05 14:00:00,113.24000,113.62000,113.16500,113.38000,1002250
2019-07-05 16:00:00,113.38000,113.43000,113.05000,113.23000,962328
2019-07-08 10:00:00,112.96000,113.48000,112.50000,113.34350,2277381
2019-07-08 12:00:00,113.35000,113.37000,112.88000,112.93500,1288687
2019-07-08 14:00:00,112.93000,113.02000,112.58000,112.89000,1375051
2019-07-08 16:00:00,112.91000,113.06000,112.84030,112.88000,1023035
2019-07-09 10:00:00,112.28000,113.47000,112.15030,113.34000,2471166
2019-07-09 12:00:00,113.34000,113.46000,112.73440,112.83500,1519425
2019-07-09 14:00:00,112.83000,113.13000,112.73000,113.06500,1456929
2019-07-09 16:00:00,113.07000,113.49000,113.04000,113.34000,1476879
2019-07-10 10:00:00,113.37000,113.83000,112.74000,112.82500,3474293
2019-07-10 12:00:00,112.82430,113.19000,112.78000,113.13830,1668601
2019-07-10 14:00:00,113.14000,113.39000,112.77000,112.84500,1857991
2019-07-10 16:00:00,112.83500,113.04000,112.81000,113.01940,1336827
2019-07-11 10:00:00,113.37000,113.91000,113.12000,113.72000,2724199
2019-07-11 12:00:00,113.72000,113.97500,113.59310,113.79500,2100007
2019-07-11 14:00:00,113.79000,114.33500,113.76000,114.26500,3798417
2019-07-11 16:00:00,114.26000,114.35500,113.93000,114.09000,1859445
2019-07-12 10:00:00,114.13000,114.57000,113.93000,114.24500,3179851
2019-07-12 12:00:00,114.25000,114.86000,114.25000,114.81000,1864235
2019-07-12 14:00:00,114.81500,115.21500,114.79000,115.11830,2342893
2019-07-12 16:00:00,115.12000,115.35000,115.06000,115.28000,1996509
2019-07-15 10:00:00,115.54000,115.57000,113.95000,114.49000,4411408
2019-07-15 12:00:00,114.49000,114.51000,113.72000,113.82000,2495482
2019-07-15 14:00:00,113.81000,114.08000,113.63000,113.63660,2537632
2019-07-15 16:00:00,113.63000,113.88000,113.53000,113.88000,2113240
