,open,high,low,close,volume
2021-04-29 15:35:00,252.75500,252.88000,252.62000,252.85989,385987
2021-04-29 15:40:00,252.86000,252.88000,252.53500,252.60001,327981
2021-04-29 15:45:00,252.60001,252.80000,252.50999,252.72501,549768
2021-04-29 15:50:00,252.72000,252.78000,252.46001,252.53000,609961
2021-04-29 15:55:00,252.53500,252.64999,252.27000,252.45000,1103286
2021-04-30 09:30:00,249.98000,250.50999,249.60001,250.49899,1904292
2021-04-30 09:35:00,250.47000,251.45000,250.25000,251.36501,871728
2021-04-30 09:40:00,251.35001,251.35001,250.35001,250.39000,757175
2021-04-30 09:45:00,250.39999,250.98500,250.19000,250.19000,457424
2021-04-30 09:50:00,250.20000,250.71001,250.11990,250.28000,943917
2021-04-30 09:55:00,250.28500,250.67000,250.17999,250.63000,470370
2021-04-30 10:00:00,250.63000,251.20000,250.62000,251.05141,367668
2021-04-30 10:05:00,251.06000,251.47000,250.50999,251.34000,384399
2021-04-30 10:10:00,251.35001,251.72000,251.24001,251.34000,433245
2021-04-30 10:15:00,251.35001,251.89070,251.34500,251.83000,409769
2021-04-30 10:20:00,251.85001,252.33000,251.75999,252.28000,392258
2021-04-30 10:25:00,252.28999,252.83000,252.14999,252.81000,456386
2021-04-30 10:30:00,252.80000,252.84290,252.50000,252.62500,373550
2021-04-30 10:35:00,252.63000,253.08000,251.95000,251.97000,512998
2021-04-30 10:40:00,251.95500,252.34000,251.85001,252.28011,390196
2021-04-30 10:45:00,252.30000,252.39799,252.03000,252.22000,204512
2021-04-30 10:50:00,252.22501,252.23000,251.85001,251.96001,207757
2021-04-30 10:55:00,251.99500,252.06000,251.62000,251.63000,278988
2021-04-30 11:00:00,251.64000,251.71001,251.45000,251.57500,262953
2021-04-30 11:05:00,251.56000,251.57001,251.27000,251.42999,363956
2021-04-30 11:10:00,251.44000,251.75000,251.30000,251.52000,255623
2021-04-30 11:15:00,251.50999,251.53000,250.92999,251.02000,404050
2021-04-30 11:20:00,251.01010,251.28000,250.92000,251.05000,276184
2021-04-30 11:25:00,251.05000,251.08000,250.82001,250.88000,256281
2021-04-30 11:30:00,250.89000,251.20000,250.72000,251.14999,296246
2021-04-30 11:35:00,251.16000,251.57899,251.11011,251.53999,227638
2021-04-30 11:40:00,251.48000,251.70000,251.38000,251.45000,183212
2021-04-30 11:45:00,251.45000,251.81000,251.42000,251.67000,171972
2021-04-30 11:50:00,251.70351,251.92000,251.39000,251.88451,238593
2021-04-30 11:55:00,251.86000,251.97000,251.75999,251.89000,182480
2021-04-30 12:00:00,251.88000,251.95000,251.52000,251.55000,175263
2021-04-30 12:05:00,251.55000,252.03999,251.55000,251.85500,216376
2021-04-30 12:10:00,251.86000,251.92999,251.74001,251.77000,149053
2021-04-30 12:15:00,251.77000,252.03000,251.73000,252.03000,162319
2021-04-30 12:20:00,252.05000,252.17999,251.64000,251.69000,171082
2021-04-30 12:25:00,251.71001,251.95000,251.64990,251.84000,168278
2021-04-30 12:30:00,251.88000,251.96500,251.57001,251.62131,140579
2021-04-30 12:35:00,251.62000,251.70000,251.35091,251.48000,154214
2021-04-30 12:40:00,251.47000,251.58501,251.38000,251.52000,137151
2021-04-30 12:45:00,251.52499,251.63000,251.41000,251.54500,121437
2021-04-30 12:50:00,251.54500,251.62000,251.42999,251.45000,89607
2021-04-30 12:55:00,251.45000,251.45000,251.25000,251.39500,135947
2021-04-30 13:00:00,251.39000,251.67101,251.35001,251.64999,139450
2021-04-30 13:05:00,251.68500,251.76840,251.62000,251.76840,114195
2021-04-30 13:10:00,251.80000,251.81000,251.38000,251.66499,173347
2021-04-30 13:15:00,251.66000,251.73000,251.50470,251.51630,196412
2021-04-30 13:20:00,251.52000,251.66000,251.42999,251.62000,106494
2021-04-30 13:25:00,251.60020,251.79500,251.56500,251.77991,106814
2021-04-30 13:30:00,251.78000,251.92680,251.74001,251.85989,130290
2021-04-30 13:35:00,251.87000,252.12990,251.82500,252.10500,211954
2021-04-30 13:40:00,252.10820,252.11000,251.73000,251.78999,188964
2021-04-30 13:45:00,251.79201,251.83170,251.38000,251.47000,223183
2021-04-30 13:50:00,251.47000,251.60001,251.19000,251.30000,182908
2021-04-30 13:55:00,251.28999,251.36000,251.08000,251.36000,148992
2021-04-30 14:00:00,251.35100,251.67000,251.33000,251.42000,223700
2021-04-30 14:05:00,251.42999,251.62000,251.42010,251.57001,134872
2021-04-30 14:10:00,251.55000,251.64000,251.47000,251.53999,110362
2021-04-30 14:15:00,251.53999,251.56000,251.44000,251.53999,126148
2021-04-30 14:20:00,251.53000,251.59000,251.35001,251.49001,144185
2021-04-30 14:25:00,251.50000,251.91000,251.44009,251.86000,193602
2021-04-30 14:30:00,251.85001,251.94000,251.75500,251.89999,144544
2021-04-30 14:35:00,251.91000,252.02000,251.86000,251.92999,584775
2021-04-30 14:40:00,251.92000,252.19000,251.91000,252.16000,196509
2021-04-30 14:45:00,252.17000,252.25999,252.08160,252.17000,164533
2021-04-30 14:50:00,252.17500,252.17990,252.00999,252.09000,160954
2021-04-30 14:55:00,252.10001,252.24001,252.00000,252.05000,205969
2021-04-30 15:00:00,252.05991,252.41820,251.92999,252.03000,349497
2021-04-30 15:05:00,252.03999,252.17000,251.89861,251.92999,350702
2021-04-30 15:10:00,251.94000,252.27000,251.93600,252.05350,222074
2021-04-30 15:15:00,252.03999,252.12000,251.88499,251.96001,228707
2021-04-30 15:20:00,251.97000,252.33990,251.89500,252.27000,293820
2021-04-30 15:25:00,252.28000,252.57001,252.27000,252.55499,282469
2021-04-30 15:30:00,252.54010,252.64999,252.34500,252.53000,364743
2021-04-30 15:35:00,252.53000,252.60001,252.20000,252.21001,312650
2021-04-30 15:40:00,252.20000,252.23000,251.81500,251.81500,422361
2021-04-30 15:45:00,251.81000,252.16000,251.45000,252.11549,661460
2021-04-30 15:50:00,252.09000,252.25000,251.57001,251.67999,1040651
2021-04-30 15:55:00,251.67000,252.32001,251.50000,252.17999,1811427
2021-05-03 09:30:00,253.39999,253.67000,253.05000,253.14000,1052995
2021-05-03 09:35:00,253.10001,253.10001,251.81500,252.14000,497369
2021-05-03 09:40:00,252.09000,252.64000,251.85500,252.49001,315781
2021-05-03 09:45:00,252.48000,252.64999,252.13000,252.45990,294845
2021-05-03 09:50:00,252.47000,252.95000,252.27000,252.86000,278535
2021-05-03 09:55:00,252.85500,253.39999,252.84000,253.17999,375876
2021-05-03 10:00:00,253.17999,253.44800,252.69000,253.41000,327348
2021-05-03 10:05:00,253.42000,254.03000,253.14999,253.69580,417955
2021-05-03 10:10:00,253.70000,253.84000,253.64000,253.83000,311857
2021-05-03 10:15:00,253.82001,254.25000,253.81000,254.15370,484465
2021-05-03 10:20:00,254.17999,254.25000,253.41000,253.51500,446195
2021-05-03 10:25:00,253.50000,253.73990,253.31990,253.73990,284027
2021-05-03 10:30:00,253.74001,254.34000,253.64999,254.11200,356426
2021-05-03 10:35:00,254.13000,254.35001,253.66000,253.82500,296449
2021-05-03 10:40:00,253.85001,254.02000,253.58000,253.64000,247743
2021-05-03 10:45:00,253.63000,253.88800,253.45500,253.57001,192019
2021-05-03 10:50:00,253.56000,253.64999,252.62500,252.80000,337761
2021-05-03 10:55:00,252.78000,252.85001,252.57001,252.69000,236520
2021-05-03 11:00:00,252.64999,252.77499,252.47000,252.64999,247624
2021-05-03 11:05:00,252.62000,252.89220,252.57001,252.86000,199812
2021-05-03 11:10:00,252.85001,252.85500,252.02040,252.07001,333883
2021-05-03 11:15:00,252.07500,252.25999,251.95000,252.11011,288230
2021-05-03 11:20:00,252.12000,252.39990,251.99001,252.18649,188018
2021-05-03 11:25:00,252.17000,252.17999,251.80000,252.16550,211300
2021-05-03 11:30:00,252.13000,252.57001,252.00000,252.52130,212750
2021-05-03 11:35:00,252.51500,252.70000,252.46001,252.52000,154889
2021-05-03 11:40:00,252.50999,252.81000,252.42999,252.81000,150600
2021-05-03 11:45:00,252.78000,252.81000,252.57001,252.64999,142277
2021-05-03 11:50:00,252.66000,252.75000,252.38000,252.48000,164641
2021-05-03 11:55:00,252.41499,252.73500,252.41499,252.69000,106453
2021-05-03 12:00:00,252.67999,252.68021,252.39011,252.56000,168966
2021-05-03 12:05:00,252.57001,252.70000,252.45500,252.50000,123591
2021-05-03 12:10:00,252.49001,252.53000,252.34000,252.42999,124073
2021-05-03 12:15:00,252.40990,252.45000,252.22000,252.31000,105652
2021-05-03 12:20:00,252.30000,252.45000,252.15359,252.28000,131306
2021-05-03 12:25:00,252.28000,252.29500,251.89999,251.92000,219835
2021-05-03 12:30:00,251.89999,252.13000,251.83000,252.09000,151142
2021-05-03 12:35:00,252.11000,252.11000,251.95000,252.03000,93847
2021-05-03 12:40:00,252.03999,252.14000,251.89999,251.91000,89448
2021-05-03 12:45:00,251.90359,251.99001,251.83000,251.86000,114985
2021-05-03 12:50:00,251.87970,252.02000,251.85001,251.98000,110217
2021-05-03 12:55:00,251.96001,252.11000,251.95000,252.03999,117732
2021-05-03 13:00:00,252.07001,252.22000,252.07001,252.22000,130828
2021-05-03 13:05:00,252.21001,252.34000,252.13000,252.22000,86182
2021-05-03 13:10:00,252.22000,252.22000,252.04500,252.12331,86972
2021-05-03 13:15:00,252.13000,252.17000,251.92000,251.95000,136515
2021-05-03 13:20:00,251.94501,252.03999,251.58000,251.59000,487407
2021-05-03 13:25:00,251.59000,251.60640,251.20370,251.20370,214369
2021-05-03 13:30:00,251.20000,251.36000,251.12500,251.29640,164874
2021-05-03 13:35:00,251.28250,251.42101,251.12000,251.27000,121014
2021-05-03 13:40:00,251.28000,251.58000,251.24001,251.50000,145900
2021-05-03 13:45:00,251.50000,251.69000,251.35001,251.37000,143726
2021-05-03 13:50:00,251.36000,251.41499,251.29500,251.35201,105624
2021-05-03 13:55:00,251.35001,251.44991,251.32001,251.44991,85844
2021-05-03 14:00:00,251.44501,251.55000,251.42000,251.45000,107541
2021-05-03 14:05:00,251.46001,251.64999,251.39999,251.53000,122825
2021-05-03 14:10:00,251.53000,251.70650,251.52000,251.70000,93824
2021-05-03 14:15:00,251.71001,251.75999,251.57001,251.70000,110654
2021-05-03 14:20:00,251.72000,251.77000,251.58000,251.67709,88044
2021-05-03 14:25:00,251.66000,251.73981,251.64000,251.70020,68113
2021-05-03 14:30:00,251.72000,251.84000,251.63000,251.64000,125559
2021-05-03 14:35:00,251.64999,251.70000,251.40500,251.53920,149110
2021-05-03 14:40:00,251.52499,251.68961,251.46001,251.47000,102785
2021-05-03 14:45:00,251.47000,251.57001,251.39999,251.46001,120707
2021-05-03 14:50:00,251.50000,251.56000,251.38000,251.52000,140758
2021-05-03 14:55:00,251.52000,251.63000,251.41499,251.59010,91185
2021-05-03 15:00:00,251.61000,251.70000,251.53000,251.64000,148471
2021-05-03 15:05:00,251.62000,251.74001,251.46001,251.55000,173787
2021-05-03 15:10:00,251.57001,251.69000,251.50999,251.55000,157044
2021-05-03 15:15:00,251.53999,251.57001,251.32001,251.38000,150492
2021-05-03 15:20:00,251.37000,251.55499,251.33000,251.45500,157085
2021-05-03 15:25:00,251.46001,251.47000,251.35001,251.42990,118754
2021-05-03 15:30:00,251.42000,251.63000,251.37000,251.55000,184309
2021-05-03 15:35:00,251.55000,251.64000,251.44000,251.56400,168575
2021-05-03 15:40:00,251.56000,251.62000,251.42999,251.56000,164742
2021-05-03 15:45:00,251.55000,251.68500,251.53000,251.56000,221225
2021-05-03 15:50:00,251.58000,251.66000,251.42999,251.58000,451615
2021-05-03 15:55:00,251.55000,251.97000,251.42999,251.97000,680041
2021-05-04 09:30:00,250.76700,251.03500,249.61230,250.11011,1856003
2021-05-04 09:35:00,250.17799,250.64000,249.75999,250.05000,326365
2021-05-04 09:40:00,250.09000,250.21001,249.49001,249.55000,369894
2021-05-04 09:45:00,249.52901,250.17000,249.39000,249.92999,360076
2021-05-04 09:50:00,249.92999,250.12990,249.45000,249.79500,465438
2021-05-04 09:55:00,249.77000,249.78999,248.89999,249.15500,496013
2021-05-04 10:00:00,249.15500,249.24001,248.64011,248.78410,597942
2021-05-04 10:05:00,248.78999,249.41000,248.68500,249.32001,397331
2021-05-04 10:10:00,249.30299,249.37000,248.34000,248.91000,529520
2021-05-04 10:15:00,248.92000,249.29990,248.55000,249.01990,296344
2021-05-04 10:20:00,249.00999,249.00999,248.55000,248.60001,306209
2021-05-04 10:25:00,248.59000,249.03999,248.42380,248.75999,336918
2021-05-04 10:30:00,248.75999,248.75999,248.14000,248.14200,330271
2021-05-04 10:35:00,248.14000,248.66000,247.92999,248.52000,406547
2021-05-04 10:40:00,248.53000,249.14000,248.22000,248.31000,390580
2021-05-04 10:45:00,248.32001,248.43500,247.76100,247.88000,328841
2021-05-04 10:50:00,247.88000,248.21001,247.78999,247.99001,376671
