,open,high,low,close,volume
2001-09-20,5.21875,5.41250,5.09375,5.28250,19208800
2001-09-21,5.18750,5.56875,5.16875,5.46000,40428800
2001-09-24,5.58750,5.91875,5.58750,5.80125,12559200
2001-09-25,5.75000,5.83750,5.69000,5.70625,9951200
2001-09-26,5.78750,5.89125,5.63125,5.68125,13273600
2001-09-27,5.68125,5.73750,5.50375,5.69375,13406400
2001-09-28,5.76250,5.91250,5.65750,5.85125,10322400
2001-10-01,5.84750,5.97625,5.76875,5.86125,8278400
2001-10-02,5.86125,6.03000,5.85000,6.00750,10900000
2001-10-03,5.91000,6.30000,5.90625,6.11875,13999200
2001-10-04,6.11250,6.12250,5.92250,5.95250,9056000
2001-10-05,5.88750,5.99875,5.84375,5.97500,12214400
2001-10-08,5.97625,5.99625,5.90625,5.92500,12100000
2001-10-09,5.91250,5.92500,5.83125,5.84500,11063200
2001-10-10,5.84500,6.06625,5.81250,6.03125,16685600
2001-10-11,6.06250,6.24875,5.92750,5.98875,16228800
2001-10-12,5.97500,6.02875,5.80125,6.01000,11457600
2001-10-15,6.01000,6.01250,5.85625,5.95625,9600000
2001-10-16,5.87875,6.00000,5.87500,5.94125,13043200
2001-10-17,5.94875,6.02750,5.88125,5.92875,8213600
2001-10-18,5.88125,6.01000,5.88125,5.95250,6332000
2001-10-19,5.94375,6.02875,5.92500,6.01625,12712800
2001-10-22,5.99375,6.20000,5.99375,6.16500,10716800
2001-10-23,6.19375,6.37000,6.14125,6.14125,12030400
2001-10-24,6.15625,6.19375,6.06250,6.09750,3948800
2001-10-25,6.00000,6.13750,5.98750,6.12375,9764800
2001-10-26,6.12500,6.24625,6.12000,6.20500,8450400
2001-10-29,6.20500,6.21875,6.09375,6.10625,5242400
2001-10-30,6.11250,6.11250,5.98750,6.00750,8999200
2001-10-31,6.05000,6.26250,6.05000,6.17000,16315200
2001-11-01,6.07500,6.12750,5.95625,6.12250,12476000
2001-11-02,6.10125,6.19875,6.08875,6.14750,4517600
2001-11-05,6.17500,6.24625,6.13875,6.18500,3059200
2001-11-06,6.16000,6.26875,6.15750,6.24625,5361600
2001-11-07,6.24750,6.25000,6.14750,6.21750,7430400
2001-11-08,6.23750,6.28000,6.19000,6.23000,6240000
2001-11-09,6.23000,6.24375,6.13750,6.19375,2723200
2001-11-12,6.19375,6.19500,6.03000,6.17125,3999200
2001-11-13,6.23750,6.25625,6.21250,6.24750,8261600
2001-11-14,6.26875,6.45000,6.26250,6.44500,12618400
2001-11-15,6.44500,6.73875,6.43250,6.55500,13776800
2001-11-16,6.55625,6.62500,6.53750,6.61875,11053600
2001-11-19,6.62500,6.80375,6.61875,6.65500,17625600
2001-11-20,6.69375,6.73750,6.57500,6.69250,12739200
2001-11-21,6.68750,6.70500,6.60250,6.69375,9084000
2001-11-23,6.68750,6.68750,6.63375,6.67500,2711200
2001-11-26,6.68125,6.68750,6.48875,6.53625,12923200
2001-11-27,6.51875,6.62375,6.50000,6.53250,6218400
2001-11-28,6.50250,6.51250,6.40625,6.47000,6448800
2001-11-29,6.43500,6.45625,6.38625,6.42500,7641600
2001-11-30,6.45000,6.65625,6.45000,6.62375,12154400
2001-12-03,6.62250,6.66875,6.50625,6.61125,6876800
2001-12-04,6.56000,6.62625,6.54375,6.62125,7030400
2001-12-05,6.60250,6.87500,6.58750,6.84625,10920000
2001-12-06,6.87500,7.04750,6.82750,7.04250,15729600
2001-12-07,6.93750,6.94875,6.84875,6.88000,13519200
2001-12-10,6.90000,6.95500,6.73125,6.80250,8631200
2001-12-11,6.86250,6.87625,6.76875,6.87500,7176000
2001-12-12,6.87625,6.98375,6.79750,6.81250,11228000
2001-12-13,6.78125,6.86875,6.72625,6.85375,10440800
2001-12-14,6.61875,6.85625,6.25000,6.73125,65985600
2001-12-17,6.66875,6.68375,6.53875,6.53875,26223200
2001-12-18,6.51125,6.62500,6.48000,6.59750,15545600
2001-12-19,6.63375,6.85000,6.60000,6.82625,22935200
2001-12-20,6.78125,6.81250,6.62500,6.72375,15624000
2001-12-21,7.01250,7.11250,6.90625,7.03750,33040000
2001-12-24,7.08125,7.14875,7.05625,7.13125,8288800
2001-12-26,7.16875,7.30375,7.11250,7.13750,12077600
2001-12-27,7.15625,7.15625,7.00000,7.09375,5219200
2001-12-28,7.06875,7.12875,7.02625,7.06000,5465600
2001-12-31,7.06000,7.19375,7.01625,7.03000,6570400
2002-01-02,7.04000,7.14750,7.00375,7.11500,9688000
2002-01-03,7.14375,7.14375,7.03250,7.06250,10716000
