,open,high,low,close,volume
2019-01-07 09:00:00,74.57000,75.18000,74.37000,74.74510,1268707
2019-01-07 10:00:00,74.72000,75.66000,74.72000,75.53000,745965
2019-01-07 11:00:00,75.55000,75.92000,75.54500,75.86000,554170
2019-01-07 12:00:00,75.87000,76.36000,75.81000,76.33000,814908
2019-01-07 13:00:00,76.32000,76.36000,75.76000,75.92000,683656
2019-01-07 14:00:00,75.90000,76.06000,75.71000,76.00000,641879
2019-01-07 15:00:00,76.00000,76.07000,75.67000,75.74000,1016018
2019-01-08 09:00:00,76.88000,77.38000,76.33000,76.86000,1107323
2019-01-08 10:00:00,76.88000,76.95000,76.21570,76.40000,738453
2019-01-08 11:00:00,76.41000,77.23000,76.27000,77.10500,857412
2019-01-08 12:00:00,77.11000,77.22500,76.80000,77.19500,874356
2019-01-08 13:00:00,77.19980,77.33000,76.97000,76.97000,664195
2019-01-08 14:00:00,76.95000,77.10000,76.78500,77.01000,1165264
2019-01-08 15:00:00,77.01000,77.06000,76.62000,76.74000,1269606
2019-01-09 09:00:00,76.87000,77.07000,76.17000,76.83000,1661777
2019-01-09 10:00:00,76.83000,77.06000,76.58000,76.91500,1284754
2019-01-09 11:00:00,76.91000,76.99000,76.71500,76.94000,766109
2019-01-09 12:00:00,76.95000,77.11500,76.88000,77.02000,991488
2019-01-09 13:00:00,77.02000,77.04000,76.53410,76.70000,829011
2019-01-09 14:00:00,76.68000,76.90000,76.66000,76.87000,1170643
2019-01-09 15:00:00,76.86000,76.89000,76.41000,76.56500,1144428
2019-01-10 09:00:00,75.55000,76.84000,75.48000,76.84000,1504584
2019-01-10 10:00:00,76.83000,77.31000,76.71000,76.71000,1157114
2019-01-10 11:00:00,76.66000,77.05000,76.63000,76.88000,1608266
2019-01-10 12:00:00,76.89000,77.01000,76.19000,76.37000,1595275
2019-01-10 13:00:00,76.34200,76.61000,76.08500,76.28000,942650
2019-01-10 14:00:00,76.25000,76.47000,75.76000,76.31000,1233176
2019-01-10 15:00:00,76.31000,76.49000,76.22000,76.41000,1202315
2019-01-11 09:00:00,76.23500,76.89000,75.92000,75.98000,1019114
2019-01-11 10:00:00,75.99000,76.61000,75.92000,76.56000,4263878
2019-01-11 11:00:00,76.58000,76.76000,76.05000,76.51000,980507
2019-01-11 12:00:00,76.49600,76.66000,76.42000,76.44000,670340
2019-01-11 13:00:00,76.44500,76.50500,76.19000,76.24500,515655
2019-01-11 14:00:00,76.25000,76.34000,75.81000,75.88000,725820
2019-01-11 15:00:00,75.87990,76.08000,75.84000,76.04000,1319349
2019-01-14 09:00:00,75.46000,76.68000,75.46000,76.43000,836291
2019-01-14 10:00:00,76.40000,76.61000,76.34000,76.48000,670134
2019-01-14 11:00:00,76.47000,76.80000,76.38000,76.38000,659928
2019-01-14 12:00:00,76.37100,76.45000,76.18000,76.35000,302875
2019-01-14 13:00:00,76.31000,76.45000,76.02000,76.17000,373375
2019-01-14 14:00:00,76.18000,76.38000,75.99000,76.25000,490048
2019-01-14 15:00:00,76.23000,76.29000,76.02000,76.08000,1038094
2019-01-15 09:00:00,76.25000,77.70000,76.25000,77.31500,1106114
2019-01-15 10:00:00,77.34000,77.77000,77.27000,77.50000,841062
2019-01-15 11:00:00,77.54000,77.91000,77.48000,77.62000,737971
2019-01-15 12:00:00,77.59000,77.72000,77.46000,77.50740,508983
2019-01-15 13:00:00,77.51000,77.90000,77.32890,77.37000,613882
2019-01-15 14:00:00,77.31000,77.73000,77.30000,77.72000,599663
2019-01-15 15:00:00,77.71000,77.96000,77.62000,77.89000,1312981
2019-01-16 09:00:00,78.00000,78.84000,77.78500,77.79000,1119874
2019-01-16 10:00:00,77.79000,78.05500,77.67000,77.94500,718986
2019-01-16 11:00:00,77.95000,77.98000,77.59000,77.83000,660112
2019-01-16 12:00:00,77.83000,77.88990,77.59000,77.71000,456026
2019-01-16 13:00:00,77.72000,77.93000,77.65000,77.89000,348860
2019-01-16 14:00:00,77.90000,78.00410,77.76000,77.90000,546958
2019-01-16 15:00:00,77.90000,77.90500,77.65500,77.66000,804004
2019-01-17 09:00:00,77.59500,78.89000,77.59500,78.62000,1051560
2019-01-17 10:00:00,78.58000,78.66000,78.38000,78.46000,448229
2019-01-17 11:00:00,78.41000,78.53000,78.20000,78.27000,340345
2019-01-17 12:00:00,78.27000,78.76000,78.23000,78.60000,629800
2019-01-17 13:00:00,78.61000,78.81000,78.45000,78.75000,565764
2019-01-17 14:00:00,78.75000,79.40000,78.68000,78.95000,1247379
2019-01-17 15:00:00,78.97500,79.18000,78.80000,79.13000,1296092
2019-01-18 09:00:00,80.00000,80.31000,79.76000,80.06500,2549866
2019-01-18 10:00:00,80.06000,80.68000,80.03000,80.68000,918846
2019-01-18 11:00:00,80.68000,80.96000,80.33500,80.71000,918106
2019-01-18 12:00:00,80.71500,80.93000,80.50000,80.53500,888625
2019-01-18 13:00:00,80.58000,80.73000,80.35000,80.49340,1435619
