,open,high,low,close,volume
2020-01-21 13:00:00,93.09100,93.12500,92.56000,92.56390,423822
2020-01-21 13:30:00,92.56000,92.60000,92.26000,92.27400,490013
2020-01-21 14:00:00,92.26000,92.46000,92.19000,92.39000,276244
2020-01-21 14:30:00,92.38290,92.49000,92.25000,92.33130,292864
2020-01-21 15:00:00,92.33500,92.44560,92.31000,92.41500,269976
2020-01-21 15:30:00,92.41000,92.54000,92.24500,92.54000,907988
2020-01-22 09:30:00,93.14000,93.75000,93.05000,93.37280,749183
2020-01-22 10:00:00,93.38000,93.48800,93.24000,93.39000,390637
2020-01-22 10:30:00,93.39000,93.51500,93.28000,93.44000,353173
2020-01-22 11:00:00,93.42000,93.45000,93.13000,93.22500,223362
2020-01-22 11:30:00,93.22000,93.37500,93.21500,93.23000,237099
2020-01-22 12:00:00,93.24000,93.33000,93.04000,93.06500,173724
2020-01-22 12:30:00,93.06000,93.21000,93.03500,93.07500,172157
2020-01-22 13:00:00,93.07900,93.18000,93.02000,93.09500,195783
2020-01-22 13:30:00,93.09500,93.09500,92.93500,92.97000,177952
2020-01-22 14:00:00,92.97000,93.05000,92.82500,92.91000,186879
2020-01-22 14:30:00,92.90500,92.93500,92.85000,92.90000,210044
2020-01-22 15:00:00,92.90000,92.94000,92.62000,92.63000,328373
2020-01-22 15:30:00,92.63500,92.74990,92.47200,92.52000,1073454
2020-01-23 09:30:00,91.95000,92.61000,90.75000,92.60000,799122
2020-01-23 10:00:00,92.59000,92.98000,92.41000,92.94000,397388
2020-01-23 10:30:00,92.93690,93.04000,92.76000,92.78000,386981
2020-01-23 11:00:00,92.78000,92.91500,92.69250,92.84000,244979
2020-01-23 11:30:00,92.83000,93.01000,92.81000,92.98000,242328
2020-01-23 12:00:00,92.98000,93.22000,92.94000,93.19500,213879
2020-01-23 12:30:00,93.20000,93.36500,93.19500,93.35000,334970
2020-01-23 13:00:00,93.36500,93.52000,93.27500,93.38000,339943
2020-01-23 13:30:00,93.37000,93.46000,93.30000,93.46000,198793
2020-01-23 14:00:00,93.46500,93.60000,93.44000,93.53500,260469
2020-01-23 14:30:00,93.53500,93.57000,93.43000,93.54930,186644
2020-01-23 15:00:00,93.54500,93.67300,93.48500,93.64500,267465
2020-01-23 15:30:00,93.65500,93.85000,93.59000,93.75000,916849
2020-01-24 09:30:00,94.08000,94.12010,93.39500,93.60000,849097
2020-01-24 10:00:00,93.61000,93.64000,92.90000,92.90000,555736
2020-01-24 10:30:00,92.89000,92.90000,92.59780,92.60000,622732
2020-01-24 11:00:00,92.59000,92.67220,92.35000,92.50000,514816
2020-01-24 11:30:00,92.49000,92.67860,92.35000,92.50000,388714
2020-01-24 12:00:00,92.50000,92.53000,91.76000,91.94500,571361
2020-01-24 12:30:00,91.95500,92.20000,91.90000,92.10000,301437
2020-01-24 13:00:00,92.09500,92.09500,91.82000,91.87000,219362
2020-01-24 13:30:00,91.87000,91.89000,91.66000,91.81000,429724
2020-01-24 14:00:00,91.80000,91.81500,91.45000,91.55000,441271
2020-01-24 14:30:00,91.59000,92.09000,91.34000,92.03000,735715
2020-01-24 15:00:00,92.03000,92.18500,91.97000,92.02000,346953
2020-01-24 15:30:00,92.02000,92.08500,91.71500,92.03000,1090137
2020-01-27 09:30:00,88.63000,89.31000,87.55000,89.01000,2115593
2020-01-27 10:00:00,89.00000,89.00000,88.32600,88.63000,911515
2020-01-27 10:30:00,88.60750,88.78880,88.33000,88.57000,625394
2020-01-27 11:00:00,88.56020,88.85000,88.29000,88.54000,535290
2020-01-27 11:30:00,88.54000,89.03000,88.53500,88.96000,617815
2020-01-27 12:00:00,88.96000,89.11000,88.89000,89.04000,358690
2020-01-27 12:30:00,89.03000,89.17000,88.95990,89.05000,310902
2020-01-27 13:00:00,89.03000,89.24000,88.97500,89.22000,319164
2020-01-27 13:30:00,89.20000,89.24000,88.98000,89.00000,446753
2020-01-27 14:00:00,89.00500,89.08000,88.86500,89.08000,369267
2020-01-27 14:30:00,89.08500,89.26000,89.01000,89.22000,596505
2020-01-27 15:00:00,89.22000,89.45000,89.17000,89.17390,594761
2020-01-27 15:30:00,89.17000,89.19000,88.60500,88.73000,1805729
2020-01-28 09:30:00,88.36000,88.98500,87.72200,88.05000,1600756
2020-01-28 10:00:00,88.02000,89.09000,87.90000,89.01500,1092753
2020-01-28 10:30:00,89.01000,89.13000,88.67000,88.93000,832263
2020-01-28 11:00:00,88.92500,89.00000,88.84000,88.90000,593679
2020-01-28 11:30:00,88.90000,89.04000,88.88000,88.98000,498214
2020-01-28 12:00:00,89.00000,89.18800,88.86000,89.05000,371719
2020-01-28 12:30:00,89.04500,89.13000,88.70000,88.72500,631455
2020-01-28 13:00:00,88.71000,88.77500,88.50000,88.61500,429963
2020-01-28 13:30:00,88.61000,89.00550,88.58000,88.84000,368102
2020-01-28 14:00:00,88.84000,88.88000,88.67000,88.71500,463672
2020-01-28 14:30:00,88.71500,88.88000,88.65000,88.67000,405515
2020-01-28 15:00:00,88.66300,88.83000,88.53000,88.81000,597581
2020-01-28 15:30:00,88.81500,88.81500,88.47000,88.60000,1762571
2020-01-29 09:30:00,88.05000,88.44000,86.25100,86.65000,3580830
2020-01-29 10:00:00,86.64000,86.64730,85.76000,86.20000,1777561
2020-01-29 10:30:00,86.14000,86.20790,85.60000,86.04000,1362739
2020-01-29 11:00:00,86.02000,86.61000,85.89000,86.55000,1103074
2020-01-29 11:30:00,86.56000,86.56000,86.10000,86.25000,766278
2020-01-29 12:00:00,86.25160,86.49000,86.00000,86.05000,618770
2020-01-29 12:30:00,86.05500,86.17020,85.71000,85.92000,775278
2020-01-29 13:00:00,85.91000,86.27000,85.67000,86.27000,907260
