,open,high,low,close,volume
2020-01-21 13:00:00,207.47000,208.03999,207.42999,207.72549,582966
2020-01-21 13:30:00,207.73000,207.73000,207.28999,207.44560,396687
2020-01-21 14:00:00,207.42999,207.98160,207.30141,207.59000,567839
2020-01-21 14:30:00,207.63000,207.99001,207.52000,207.92000,347650
2020-01-21 15:00:00,207.94000,208.39000,207.64999,207.64999,571307
2020-01-21 15:30:00,207.64000,207.72000,206.34000,207.28000,1618319
2020-01-22 09:30:00,207.50999,209.71001,207.30499,209.57001,1193121
2020-01-22 10:00:00,209.58000,209.82001,208.92000,209.74001,556253
2020-01-22 10:30:00,209.69000,210.13000,209.46001,209.67999,589065
2020-01-22 11:00:00,209.65500,209.72000,208.52000,208.77000,512706
2020-01-22 11:30:00,208.78999,208.99760,208.60001,208.70000,335248
2020-01-22 12:00:00,208.74001,208.77499,208.09000,208.30000,376380
2020-01-22 12:30:00,208.28999,208.52000,208.17500,208.49001,187561
2020-01-22 13:00:00,208.50000,208.84000,208.47501,208.66000,225013
2020-01-22 13:30:00,208.67999,208.68460,207.96001,208.03999,276336
2020-01-22 14:00:00,208.03500,208.40500,208.00999,208.40500,272743
2020-01-22 14:30:00,208.40199,208.71001,208.28191,208.60100,294281
2020-01-22 15:00:00,208.57001,208.62000,207.61000,207.69000,371514
2020-01-22 15:30:00,207.69000,208.27000,207.69000,207.86000,742796
2020-01-23 09:30:00,207.55000,207.75999,206.20000,207.33000,1039534
2020-01-23 10:00:00,207.20000,207.63000,206.98000,206.99500,463653
2020-01-23 10:30:00,207.00000,207.25999,206.00000,206.13000,578907
2020-01-23 11:00:00,206.13499,206.34000,205.31000,205.38271,689694
2020-01-23 11:30:00,205.42999,205.97000,205.42999,205.89999,385783
2020-01-23 12:00:00,205.88499,206.48000,205.81000,206.48000,239891
2020-01-23 12:30:00,206.46671,206.50000,206.10001,206.13000,195712
2020-01-23 13:00:00,206.14999,206.56000,205.98000,206.35001,227392
2020-01-23 13:30:00,206.33000,206.85500,206.16000,206.72501,280624
2020-01-23 14:00:00,206.75000,207.23000,206.74429,206.76500,615371
2020-01-23 14:30:00,206.78999,207.11000,206.67999,207.03999,327374
2020-01-23 15:00:00,207.07820,207.13000,206.69501,206.84500,276641
2020-01-23 15:30:00,206.84000,207.05000,206.50000,206.63000,978960
2020-01-24 09:30:00,207.38499,207.99001,207.38499,207.91000,746386
2020-01-24 10:00:00,207.92000,207.92999,207.05679,207.31000,488948
2020-01-24 10:30:00,207.26010,207.51500,206.80000,206.98000,328554
2020-01-24 11:00:00,206.95670,207.19600,206.42500,206.80499,346544
2020-01-24 11:30:00,206.78000,206.78999,206.22710,206.24001,293603
2020-01-24 12:00:00,206.21500,206.21500,205.14000,205.64000,490015
2020-01-24 12:30:00,205.70000,206.17160,205.58501,206.00999,256962
2020-01-24 13:00:00,206.03720,206.04500,205.38000,205.52000,234127
2020-01-24 13:30:00,205.50000,205.50000,204.63000,205.16980,389108
2020-01-24 14:00:00,205.16499,205.25000,204.21001,204.45000,335351
2020-01-24 14:30:00,204.48000,204.74500,204.31050,204.64999,480477
2020-01-24 15:00:00,204.70500,205.30000,204.61501,204.89999,476518
2020-01-24 15:30:00,204.92000,205.10001,204.25999,204.98000,1270629
2020-01-27 09:30:00,199.59190,203.33000,199.16000,202.67000,1199073
2020-01-27 10:00:00,202.78999,202.78999,201.64011,202.17500,664472
2020-01-27 10:30:00,202.12000,202.36000,201.67999,202.36000,440403
2020-01-27 11:00:00,202.37000,202.48000,201.73000,201.98000,419955
2020-01-27 11:30:00,202.03999,202.44000,201.75999,202.12000,430266
2020-01-27 12:00:00,202.12000,203.03000,202.12000,202.97000,254895
2020-01-27 12:30:00,202.94501,203.19000,202.61000,202.73000,168184
2020-01-27 13:00:00,202.71001,202.95200,202.45000,202.94000,153854
2020-01-27 13:30:00,202.92000,203.10001,202.67641,202.72610,210028
2020-01-27 14:00:00,202.73869,202.73869,202.28600,202.62801,238744
2020-01-27 14:30:00,202.62000,202.81000,201.86000,202.09000,283483
2020-01-27 15:00:00,202.02000,202.11000,201.67000,201.80070,335167
2020-01-27 15:30:00,201.75000,201.85001,201.38000,201.58000,766171
2020-01-28 09:30:00,202.58501,202.81000,201.78000,202.70000,912479
2020-01-28 10:00:00,202.70000,203.33000,202.53000,203.22000,519041
2020-01-28 10:30:00,203.20000,203.74001,203.20000,203.42999,429123
2020-01-28 11:00:00,203.44000,203.70000,203.32001,203.42999,401870
2020-01-28 11:30:00,203.44540,203.46620,202.78000,203.28000,345819
2020-01-28 12:00:00,203.30000,203.42999,203.00999,203.27000,292291
2020-01-28 12:30:00,203.25999,203.32001,202.81000,203.00999,293395
2020-01-28 13:00:00,203.00369,203.14999,202.86000,202.91000,267105
2020-01-28 13:30:00,202.91000,203.20000,202.62680,202.98000,312902
2020-01-28 14:00:00,202.97000,203.40500,202.97000,203.30000,392880
2020-01-28 14:30:00,203.27000,203.78990,203.24001,203.39999,427439
2020-01-28 15:00:00,203.39000,203.84000,203.38000,203.64999,419849
2020-01-28 15:30:00,203.64999,203.77650,202.78999,202.89999,976903
2020-01-29 09:30:00,203.64000,203.92999,202.75000,202.96001,749064
2020-01-29 10:00:00,202.95000,203.57001,202.51280,203.35500,460881
2020-01-29 10:30:00,203.36501,204.16000,203.11000,203.83000,447049
2020-01-29 11:00:00,203.84000,204.85001,203.60001,204.59500,264325
2020-01-29 11:30:00,204.55000,204.66000,204.17999,204.63000,196991
2020-01-29 12:00:00,204.62990,205.49001,204.62500,205.27890,301181
2020-01-29 12:30:00,205.25990,205.38000,204.91000,205.10001,275986
2020-01-29 13:00:00,205.13000,205.69000,204.97000,205.69000,199732
2020-01-29 13:30:00,205.66000,205.92000,204.64999,204.64999,322366
2020-01-29 14:00:00,204.61929,205.61000,204.61929,205.53000,217592
2020-01-29 14:30:00,205.53500,205.82001,205.22000,205.25999,358538
2020-01-29 15:00:00,205.28000,205.45000,204.61501,205.33659,520349
2020-01-29 15:30:00,205.30000,205.45000,204.70000,204.88000,1430038
2020-01-30 09:30:00,204.00000,205.28000,203.39000,204.08000,837861
2020-01-30 10:00:00,204.08000,204.97501,203.77000,204.23900,647925
2020-01-30 10:30:00,204.23000,204.24001,203.53000,203.90500,531820
2020-01-30 11:00:00,203.92999,205.23000,203.85500,205.17999,503575
2020-01-30 11:30:00,205.20500,206.34000,205.17931,205.69000,455723
2020-01-30 12:00:00,205.71001,205.98000,205.55000,205.55000,337782
2020-01-30 12:30:00,205.60001,205.75000,205.32001,205.57001,337126
2020-01-30 13:00:00,205.60080,205.94000,205.39999,205.50500,284905
2020-01-30 13:30:00,205.53999,205.82030,205.49001,205.58200,247940
2020-01-30 14:00:00,205.63049,206.22971,205.53000,206.11000,270608
2020-01-30 14:30:00,206.08000,206.71001,205.63499,206.59000,431308
2020-01-30 15:00:00,206.64500,207.33501,206.53000,206.99001,587636
2020-01-30 15:30:00,207.01530,208.50000,206.84000,208.10001,1469806
2020-01-31 09:30:00,201.48000,203.98000,200.10001,202.83549,3481433
2020-01-31 10:00:00,202.82001,202.95160,201.50000,201.80000,1141525
2020-01-31 10:30:00,201.80000,201.98990,201.05000,201.09000,865584
2020-01-31 11:00:00,201.08000,201.42000,200.10001,200.14999,837399
2020-01-31 11:30:00,200.16000,201.28999,199.69000,201.27499,873189
2020-01-31 12:00:00,201.27000,201.66960,201.13000,201.45000,579790
2020-01-31 12:30:00,201.44000,201.55000,200.74200,201.13000,604453
2020-01-31 13:00:00,201.12000,201.36349,200.37000,200.60001,489408
2020-01-31 13:30:00,200.64999,200.72000,200.11000,200.68320,534634
2020-01-31 14:00:00,200.67999,201.01041,200.33000,200.38000,477374
2020-01-31 14:30:00,200.30000,200.75000,199.88000,199.89000,661161
2020-01-31 15:00:00,199.88499,200.00999,198.92999,198.95000,1004491
2020-01-31 15:30:00,198.97000,199.38000,198.25999,198.99001,2055328
2020-02-03 09:30:00,200.03999,201.98000,200.02000,201.92000,1422035
2020-02-03 10:00:00,201.92000,202.25250,201.21001,201.95500,697449
2020-02-03 10:30:00,202.00000,202.14999,201.68010,202.12000,527837
2020-02-03 11:00:00,202.12000,202.22560,201.28000,201.33000,830124
2020-02-03 11:30:00,201.30000,201.32001,200.00999,200.37691,695996
2020-02-03 12:00:00,200.34000,200.60001,200.00000,200.40500,470372
2020-02-03 12:30:00,200.42500,200.49001,200.14011,200.34500,326242
2020-02-03 13:00:00,200.36000,200.41000,199.87000,199.91000,442150
2020-02-03 13:30:00,199.92000,200.62000,199.85001,200.58501,355876
2020-02-03 14:00:00,200.57500,200.61000,200.03000,200.18120,361508
2020-02-03 14:30:00,200.17999,200.57500,199.97000,200.41000,479665
2020-02-03 15:00:00,200.42000,200.72000,200.28000,200.63499,502860
2020-02-03 15:30:00,200.63499,200.89000,200.37000,200.83000,1068569
2020-02-04 09:30:00,203.50999,203.70000,202.24001,203.17999,1588526
2020-02-04 10:00:00,203.14999,203.86000,202.98000,203.84000,747395
2020-02-04 10:30:00,203.87000,204.28999,203.67999,203.97000,516932
2020-02-04 11:00:00,204.00000,204.87000,203.94501,204.53000,597092
2020-02-04 11:30:00,204.56000,204.89999,204.53000,204.78500,413382
2020-02-04 12:00:00,204.78999,204.85001,204.52000,204.60500,352040
2020-02-04 12:30:00,204.60500,204.67000,204.39999,204.42999,237256
2020-02-04 13:00:00,204.47000,204.54500,204.03999,204.12000,416571
2020-02-04 13:30:00,204.11501,204.57370,204.11501,204.33501,339825
2020-02-04 14:00:00,204.36000,204.45000,203.98000,204.09000,350539
2020-02-04 14:30:00,204.06000,204.17000,203.88000,203.96500,314466
2020-02-04 15:00:00,203.96001,204.00000,203.50000,203.84000,475040
2020-02-04 15:30:00,203.82001,204.05499,203.52000,203.55000,975767
2020-02-05 09:30:00,205.58000,205.59000,201.06000,202.25999,1746116
2020-02-05 10:00:00,202.17000,202.69000,200.78000,201.00000,832463
2020-02-05 10:30:00,200.92000,201.28000,199.95000,200.84000,796302
2020-02-05 11:00:00,200.87801,201.24001,200.38220,200.87000,472159
2020-02-05 11:30:00,200.86929,200.94000,200.08760,200.42500,417458
2020-02-05 12:00:00,200.41000,201.06030,200.39999,200.89999,356822
2020-02-05 12:30:00,200.91000,201.16000,200.78999,200.86501,243993
2020-02-05 13:00:00,200.85001,200.93500,200.19000,200.22301,250425
