,open,high,low,close,volume
2018-05-06,0.82200,0.84162,0.80100,0.82669,
2018-05-07,0.82629,0.84795,0.79208,0.80667,
2018-05-08,0.80667,0.81764,0.76000,0.79481,
2018-05-09,0.79481,0.80468,0.74262,0.74926,
2018-05-10,0.74567,0.75602,0.64842,0.67496,
2018-05-11,0.67897,0.70999,0.62557,0.68068,
2018-05-12,0.68521,0.74888,0.66456,0.73109,
2018-05-13,0.72915,0.74877,0.68750,0.72694,
2018-05-14,0.72781,0.74801,0.68194,0.68900,
2018-05-15,0.68900,0.71094,0.65804,0.70708,
2018-05-16,0.70942,0.71065,0.65014,0.65803,
2018-05-17,0.65849,0.68255,0.64600,0.67766,
2018-05-18,0.67636,0.69097,0.66111,0.67493,
2018-05-19,0.67267,0.70598,0.66800,0.69949,
2018-05-20,0.69940,0.70500,0.66939,0.67612,
2018-05-21,0.67631,0.67815,0.63500,0.63824,
2018-05-22,0.63782,0.64488,0.57400,0.59053,
2018-05-23,0.59189,0.63791,0.57635,0.62830,
2018-05-24,0.63000,0.63331,0.59392,0.60459,
2018-05-25,0.60581,0.62613,0.59771,0.60851,
2018-05-26,0.60856,0.61163,0.59779,0.60416,
2018-05-27,0.60417,0.60800,0.54526,0.54526,
2018-05-28,0.54692,0.60893,0.54403,0.59945,
2018-05-29,0.59771,0.62497,0.58102,0.60051,
2018-05-30,0.60139,0.62255,0.59009,0.61153,
2018-05-31,0.61101,0.62382,0.60512,0.62151,
2018-06-01,0.62151,0.65104,0.61515,0.64269,
2018-06-02,0.64299,0.69010,0.63928,0.69010,
2018-06-03,0.69100,0.70462,0.63510,0.65519,
2018-06-04,0.65517,0.68506,0.63289,0.67507,
2018-06-05,0.67508,0.68277,0.65458,0.67338,
2018-06-06,0.67380,0.68935,0.67091,0.67755,
2018-06-07,0.67755,0.67998,0.65837,0.67201,
2018-06-08,0.67300,0.67963,0.65542,0.65746,
2018-06-09,0.65662,0.65662,0.55179,0.58179,
2018-06-10,0.58179,0.60000,0.56004,0.59989,
2018-06-11,0.59900,0.59900,0.54495,0.55504,
2018-06-12,0.55560,0.56124,0.50401,0.52850,
2018-06-13,0.52862,0.56868,0.52051,0.55769,
2018-06-14,0.55696,0.55800,0.52515,0.53200,
2018-06-15,0.53258,0.53779,0.51761,0.53276,
2018-06-16,0.53189,0.54022,0.52150,0.52550,
2018-06-17,0.52699,0.55199,0.50855,0.53854,
2018-06-18,0.53889,0.56125,0.53453,0.54920,
2018-06-19,0.54834,0.55187,0.52397,0.53917,
2018-06-20,0.53987,0.54836,0.52967,0.53457,
2018-06-21,0.53375,0.53504,0.46911,0.48199,
2018-06-22,0.48216,0.49433,0.47333,0.48871,
2018-06-23,0.49005,0.49470,0.43858,0.47334,
2018-06-24,0.47418,0.49153,0.47177,0.48125,
