date,order,price,cost,commission,gross,net,comission
2017-03-17,BUY,33.41769216113365,90198.30833737392,,,,0.0
2017-06-13,SELL,35.02037000474498,90198.30833737392,,,,0.0
2017-06-13,CLOSE,,,,4325.817282848191,4325.817282848191,
2017-07-18,BUY,35.50583857504824,93667.22883599174,,,,0.0
2017-09-21,SELL,37.22685962687673,93667.22883599174,,,,0.0
2017-09-21,CLOSE,,,,4540.190547885398,4540.190547885398,
2017-10-17,BUY,38.17784102172238,97918.123955982,,,,0.0
2018-01-02,SELL,40.804684200763354,97918.123955982,,,,0.0
2018-01-02,CLOSE,,,,6737.299677891943,6737.299677891943,
2018-01-03,BUY,41.37301460477657,104206.05352370896,,,,0.0
2018-01-30,SELL,39.694401597012266,104206.05352370896,,,,0.0
2018-01-30,CLOSE,,,,-4227.916157516023,-4227.916157516023,
2018-02-21,BUY,41.61189027998355,100809.4733692,,,,0.0
2018-03-23,SELL,40.54288146874753,100809.4733692,,,,0.0
2018-03-23,CLOSE,,,,-2589.7937960193053,-2589.7937960193053,
2018-04-11,BUY,41.46742962974239,97330.61541235444,,,,0.0
2018-04-12,SELL,41.75153557509962,97330.61541235444,,,,0.0
2018-04-12,CLOSE,,,,666.8415850905488,666.8415850905488,
2018-04-13,BUY,42.081387393013735,98869.22925028301,,,,0.0
2018-04-24,SELL,39.88799318794893,98869.22925028301,,,,0.0
2018-04-24,CLOSE,,,,-5153.328060965905,-5153.328060965905,
2018-05-04,BUY,42.91685148646712,94590.9033573435,,,,0.0
2018-06-22,SELL,44.985152169827394,94590.9033573435,,,,0.0
2018-06-22,CLOSE,,,,4558.6389326661365,4558.6389326661365,
2018-07-09,BUY,45.80209722855546,98769.42737956485,,,,0.0
2018-07-10,SELL,46.09455389154808,98769.42737956485,,,,0.0
2018-07-10,CLOSE,,,,630.6649451656673,630.6649451656673,
2018-07-11,BUY,45.56039750704412,97581.8733779233,,,,0.0
2018-10-12,SELL,53.46285241767404,97581.8733779233,,,,0.0
2018-10-12,CLOSE,,,,16925.584425478537,16925.584425478537,
2019-01-31,BUY,40.43103645415344,114364.698902713,,,,0.0
2019-05-14,SELL,45.74434336349522,114364.698902713,,,,0.0
2019-05-14,CLOSE,,,,15029.412999432345,15029.412999432345,
2019-06-13,BUY,47.7786795389966,127633.39590961147,,,,0.0
2019-08-07,SELL,47.95291098464295,127633.39590961147,,,,0.0
2019-08-07,CLOSE,,,,465.4325171111965,465.4325171111965,
2019-08-14,BUY,50.045728398709045,124167.01362284069,,,,0.0
2019-08-16,SELL,50.32162530652254,124167.01362284069,,,,0.0
2019-08-16,CLOSE,,,,684.5198622758332,684.5198622758332,
2019-08-19,BUY,51.88339887442298,130894.49412808569,,,,0.0
2020-02-25,SELL,74.5339131198996,130894.49412808569,,,,0.0
2020-02-25,CLOSE,,,,57144.05124226035,57144.05124226035,
2020-04-14,BUY,69.34539183777044,184204.314118475,,,,0.0
2020-09-15,SELL,117.75022293560687,184204.314118475,,,,0.0
2020-09-15,CLOSE,,,,128579.25344566436,128579.25344566436,
2020-10-01,BUY,117.06360370287044,300154.1809402281,,,,0.0
2020-10-02,SELL,112.33687709912643,300154.1809402281,,,,0.0
2020-10-02,CLOSE,,,,-12119.45222424737,-12119.45222424737,
2020-10-09,BUY,114.71516690663042,285344.8176179204,,,,0.0
2020-10-29,SELL,111.8194249243878,285344.8176179204,,,,0.0
2020-10-29,CLOSE,,,,-7202.926954411457,-7202.926954411457,
2020-11-06,BUY,117.9436315725699,276913.5151603894,,,,0.0
2020-11-09,SELL,120.1166971306998,276913.5151603894,,,,0.0
2020-11-09,CLOSE,,,,5102.023859639022,5102.023859639022,
2020-11-10,BUY,115.18244276740279,280815.39019963547,,,,0.0
2021-02-19,SELL,130.02032047845015,280815.39019963547,,,,0.0
2021-02-19,CLOSE,,,,36174.822473390326,36174.822473390326,
2021-04-07,BUY,125.61775895102494,314294.8689249032,,,,0.0
2021-05-11,SELL,123.5,314294.8689249032,,,,0.0
2021-05-11,CLOSE,,,,-5298.6200158723095,-5298.6200158723095,
2021-06-15,BUY,129.94,309190.34277186595,,,,0.0
