,date,order,price,cost,commission,gross,net,comission
0,2017-03-17,BUY,853.49,90007.38206275925,,,,0.0
0,2017-07-03,SELL,972.79,90007.38206275925,,,,0.0
0,2017-07-03,CLOSE,,,,12581.14410255208,12581.14410255208,
0,2017-07-11,BUY,992.9999999999999,100970.19326668217,,,,0.0
0,2017-08-04,SELL,989.6800000000001,100970.19326668217,,,,0.0
0,2017-08-04,CLOSE,,,,-337.58413055929344,-337.58413055929344,
0,2017-09-13,BUY,983.97,101162.11009289579,,,,0.0
0,2017-09-22,SELL,961.01,101162.11009289579,,,,0.0
0,2017-09-22,CLOSE,,,,-2360.521202610741,-2360.521202610741,
0,2017-10-09,BUY,993.24,99260.50090399048,,,,0.0
0,2017-10-27,SELL,1058.14,99260.50090399048,,,,0.0
0,2017-10-27,CLOSE,,,,6485.850860485875,6485.850860485875,
0,2017-10-30,BUY,1095.01,104166.93587378308,,,,0.0
0,2018-03-29,SELL,1406.0,104166.93587378308,,,,0.0
0,2018-03-29,CLOSE,,,,29584.09091002621,29584.09091002621,
0,2018-04-20,BUY,1561.2,131719.6330532879,,,,0.0
0,2018-10-08,SELL,1873.9999999999998,131719.6330532879,,,,0.0
0,2018-10-08,CLOSE,,,,26391.174237169133,26391.174237169133,
0,2018-12-04,BUY,1756.0000000000002,153677.97863282336,,,,0.0
0,2018-12-17,SELL,1565.9999999999998,153677.97863282336,,,,0.0
0,2018-12-17,CLOSE,,,,-16628.027300818037,-16628.027300818037,
0,2019-01-09,BUY,1652.9800000000002,139839.95940800657,,,,0.0
0,2019-02-12,SELL,1604.0,139839.95940800657,,,,0.0
0,2019-02-12,CLOSE,,,,-4143.6443343562505,-4143.6443343562505,
0,2019-02-26,BUY,1625.98,135828.80803744265,,,,0.0
0,2019-05-21,SELL,1874.7899999999997,135828.80803744265,,,,0.0
0,2019-05-21,CLOSE,,,,20784.736422216818,20784.736422216818,
0,2019-06-17,BUY,1876.4999999999998,155688.16436100492,,,,0.0
0,2019-07-31,SELL,1898.11,155688.16436100492,,,,0.0
0,2019-07-31,CLOSE,,,,1792.923651394264,1792.923651394264,
0,2019-09-12,BUY,1837.63,157993.8315127288,,,,0.0
0,2019-09-23,SELL,1777.0,157993.8315127288,,,,0.0
0,2019-09-23,CLOSE,,,,-5212.782771622559,-5212.782771622559,
0,2019-10-22,BUY,1788.15,152255.64047464108,,,,0.0
0,2019-11-15,SELL,1760.05,152255.64047464108,,,,0.0
0,2019-11-15,CLOSE,,,,-2392.631209539152,-2392.631209539152,
0,2019-11-26,BUY,1779.9199999999998,150404.01897178165,,,,0.0
0,2019-11-27,SELL,1801.0,150404.01897178165,,,,0.0
0,2019-11-27,CLOSE,,,,1781.269225541137,1781.269225541137,
0,2019-11-29,BUY,1817.78,151432.5849912069,,,,0.0
0,2019-12-06,SELL,1751.2,151432.5849912069,,,,0.0
0,2019-12-06,CLOSE,,,,-5546.53561416373,-5546.53561416373,
0,2019-12-18,BUY,1795.0200000000002,146858.2267195252,,,,0.0
0,2020-02-28,SELL,1814.63,146858.2267195252,,,,0.0
0,2020-02-28,CLOSE,,,,1604.3775701495663,1604.3775701495663,
0,2020-03-31,BUY,1964.35,147975.58859890245,,,,0.0
0,2020-09-14,SELL,3172.9372,147975.58859890245,,,,0.0
0,2020-09-14,CLOSE,,,,91043.55246931527,91043.55246931527,
0,2020-10-09,BUY,3210.0,231286.05978445304,,,,0.0
0,2020-10-30,SELL,3157.75,231286.05978445304,,,,0.0
0,2020-10-30,CLOSE,,,,-3764.702998049119,-3764.702998049119,
0,2020-11-05,BUY,3319.97,232003.7648527446,,,,0.0
0,2020-11-06,SELL,3304.64,232003.7648527446,,,,0.0
0,2020-11-06,CLOSE,,,,-1071.280076383991,-1071.280076383991,
0,2020-11-09,BUY,3231.03,220060.43618101795,,,,0.0
0,2020-11-10,SELL,3095.02,220060.43618101795,,,,0.0
0,2020-11-10,CLOSE,,,,-9263.429904699213,-9263.429904699213,
0,2020-12-02,BUY,3221.65,217301.0787986287,,,,0.0
0,2020-12-10,SELL,3088.99,217301.0787986287,,,,0.0
0,2020-12-10,CLOSE,,,,-8947.949377935576,-8947.949377935576,
0,2020-12-17,BUY,3250.0,209725.38670478182,,,,0.0
0,2021-01-12,SELL,3120.0,209725.38670478182,,,,0.0
0,2021-01-12,CLOSE,,,,-8389.015468191272,-8389.015468191272,
0,2021-01-21,BUY,3293.0,203421.65832146088,,,,0.0
0,2021-02-23,SELL,3127.03,203421.65832146088,,,,0.0
0,2021-02-23,CLOSE,,,,-10252.624546496454,-10252.624546496454,
0,2021-04-06,BUY,3223.75,192186.89595221425,,,,0.0
0,2021-05-11,SELL,3136.28,192186.89595221425,,,,0.0
0,2021-05-11,CLOSE,,,,-5214.606526231917,-5214.606526231917,
0,2021-06-11,BUY,3349.65,187671.40558847372,,,,0.0
