timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
2019-11-28,220.08,224.6,212.02,217.41,220.08,224.6,212.02,217.41,11556.80086,11556.80086
2019-11-29,217.4,226.49,216.9,224.0,217.4,226.49,216.9,224.0,50234.55027,50234.55027
2019-11-30,223.89,224.67,214.41,217.45,223.89,224.67,214.41,217.45,47622.18011,47622.18011
2019-12-01,217.43,218.18,209.24,214.36,217.43,218.18,209.24,214.36,46721.57914,46721.57914
2019-12-02,214.37,216.25,209.68,213.67,214.37,216.25,209.68,213.67,43397.32559,43397.32559
2019-12-03,213.72,215.95,210.99,211.5,213.72,215.95,210.99,211.5,28430.46455,28430.46455
2019-12-04,211.47,219.68,202.5,207.47,211.47,219.68,202.5,207.47,93351.89396,93351.89396
2019-12-05,207.36,214.46,200.88,211.5,207.36,214.46,200.88,211.5,58415.66785,58415.66785
2019-12-06,211.6,214.0,209.2,212.84,211.6,214.0,209.2,212.84,36081.71398,36081.71398
2019-12-07,212.9,216.62,210.01,211.0,212.9,216.62,210.01,211.0,26962.16937,26962.16937
2019-12-08,210.97,214.89,208.0,212.58,210.97,214.89,208.0,212.58,23530.67976,23530.67976
2019-12-09,212.42,215.08,205.4,208.27,212.42,215.08,205.4,208.27,36474.63924,36474.63924
2019-12-10,208.18,209.35,203.71,206.54,208.18,209.35,203.71,206.54,27927.89853,27927.89853
2019-12-11,206.63,207.99,204.05,207.01,206.63,207.99,204.05,207.01,15264.51196,15264.51196
2019-12-12,207.1,207.97,203.67,206.79,207.1,207.97,203.67,206.79,26540.59504,26540.59504
2019-12-13,206.62,212.71,206.25,211.32,206.62,212.71,206.25,211.32,33534.36619,33534.36619
2019-12-14,211.44,213.11,204.67,205.82,211.44,213.11,204.67,205.82,34067.96904,34067.96904
2019-12-15,205.87,211.72,204.88,206.88,205.87,211.72,204.88,206.88,37076.8692,37076.8692
2019-12-16,206.87,208.67,193.85,196.27,206.87,208.67,193.85,196.27,82405.61891,82405.61891
2019-12-17,196.26,196.96,172.1,176.45,196.26,196.96,172.1,176.45,127025.58764,127025.58764
2019-12-18,176.45,191.75,169.66,189.0,176.45,191.75,169.66,189.0,144833.0183,144833.0183
2019-12-19,188.9,191.0,183.49,185.96,188.9,191.0,183.49,185.96,54337.20347,54337.20347
2019-12-20,186.07,190.72,183.82,187.44,186.07,190.72,183.82,187.44,43236.75189,43236.75189
2019-12-21,187.39,188.43,185.33,186.21,187.39,188.43,185.33,186.21,19488.47281,19488.47281
2019-12-22,186.21,197.4,185.73,196.27,186.21,197.4,185.73,196.27,54636.39805,54636.39805
2019-12-23,196.28,198.0,188.2,189.61,196.28,198.0,188.2,189.61,57146.5522,57146.5522
2019-12-24,189.66,191.68,185.0,188.3,189.66,191.68,185.0,188.3,50765.49176,50765.49176
2019-12-25,188.31,188.78,182.69,185.34,188.31,188.78,182.69,185.34,31724.59117,31724.59117
2019-12-26,185.34,194.99,184.01,187.79,185.34,194.99,184.01,187.79,48012.30969,48012.30969
2019-12-27,187.7,203.92,186.83,203.21,187.7,203.92,186.83,203.21,120980.63718,120980.63718
2019-12-28,203.33,210.0,202.53,206.27,203.33,210.0,202.53,206.27,81593.20921,81593.20921
2019-12-29,206.26,215.94,204.34,212.34,206.26,215.94,204.34,212.34,80763.47218,80763.47218
2019-12-30,212.29,215.0,205.65,208.62,212.29,215.0,205.65,208.62,76221.01161,76221.01161
