,date,order,price,cost,commission,gross,net,comission
0,2019-08-12,BUY,132.840168242,89986.74618975964,,,,0.0
0,2019-08-13,SELL,132.654295704,89986.74618975964,,,,0.0
0,2019-08-13,CLOSE,,,,-125.91119931572997,-125.91119931572997,
0,2019-08-13,BUY,135.344556125,89893.17743965298,,,,0.0
0,2019-08-14,SELL,131.450780474,89893.17743965298,,,,0.0
0,2019-08-14,CLOSE,,,,-2586.1687793506235,-2586.1687793506235,
0,2019-08-16,BUY,133.630010798,87559.12801920029,,,,0.0
0,2019-08-23,SELL,131.853250939,87559.12801920029,,,,0.0
0,2019-08-23,CLOSE,,,,-1164.1961489378734,-1164.1961489378734,
0,2019-08-28,BUY,133.335520214,86377.80705843188,,,,0.0
0,2019-08-28,SELL,133.345336566,86377.80705843188,,,,0.0
0,2019-08-28,CLOSE,,,,6.3592578909988715,6.3592578909988715,
0,2019-08-28,BUY,133.109744099,86364.21779489248,,,,0.0
0,2019-08-28,SELL,133.129376805,86364.21779489248,,,,0.0
0,2019-08-28,CLOSE,,,,12.7380854674654,12.7380854674654,
0,2019-08-28,BUY,133.090111393,86525.34816046245,,,,0.0
0,2019-08-28,SELL,133.070478688,86525.34816046245,,,,0.0
0,2019-08-28,CLOSE,,,,-12.763732915061098,-12.763732915061098,
0,2019-08-29,BUY,134.395686317,86675.3223544318,,,,0.0
0,2019-08-29,SELL,134.837422194,86675.3223544318,,,,0.0
0,2019-08-29,CLOSE,,,,284.88711642263667,284.88711642263667,
0,2019-08-29,BUY,134.758891371,86760.81016092027,,,,0.0
0,2019-09-03,SELL,133.237356686,86760.81016092027,,,,0.0
0,2019-09-03,CLOSE,,,,-979.598307877958,-979.598307877958,
0,2019-09-04,BUY,134.513482551,85898.08022255258,,,,0.0
0,2019-09-09,SELL,134.333646967,85898.08022255258,,,,0.0
0,2019-09-09,CLOSE,,,,-114.84002293559094,-114.84002293559094,
0,2019-09-12,BUY,135.686733039,85785.47666050955,,,,0.0
0,2019-09-16,SELL,133.84597056,85785.47666050955,,,,0.0
0,2019-09-16,CLOSE,,,,-1163.7887002143864,-1163.7887002143864,
0,2019-09-17,BUY,135.023932897,84716.4715675681,,,,0.0
0,2019-09-23,SELL,136.584732994,84716.4715675681,,,,0.0
0,2019-09-23,CLOSE,,,,979.2743716110174,979.2743716110174,
0,2019-09-23,BUY,136.967570753,85585.58965411213,,,,0.0
0,2019-09-24,SELL,134.699993254,85585.58965411213,,,,0.0
0,2019-09-24,CLOSE,,,,-1416.919028872102,-1416.919028872102,
0,2019-09-26,BUY,137.085366987,84347.16561987554,,,,0.0
0,2019-09-27,SELL,134.493849845,84347.16561987554,,,,0.0
0,2019-09-27,CLOSE,,,,-1594.5328840513541,-1594.5328840513541,
0,2019-09-30,BUY,136.731978286,83007.43522115087,,,,0.0
0,2019-10-01,SELL,134.84233037,83007.43522115087,,,,0.0
0,2019-10-01,CLOSE,,,,-1147.1700252157536,-1147.1700252157536,
0,2019-10-04,BUY,135.131912778,81873.6854723284,,,,0.0
0,2019-10-04,SELL,134.974851133,81873.6854723284,,,,0.0
0,2019-10-04,CLOSE,,,,-95.1604654899101,-95.1604654899101,
0,2019-10-04,BUY,135.004300191,81793.98858259422,,,,0.0
0,2019-10-08,SELL,133.178458569,81793.98858259422,,,,0.0
0,2019-10-08,CLOSE,,,,-1106.2082361243945,-1106.2082361243945,
0,2019-10-09,BUY,135.52456689,80798.40117008226,,,,0.0
0,2019-10-17,SELL,137.281694043,80798.40117008226,,,,0.0
