timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
2018-10-12,0.02096,0.02391,0.02063,0.0228,0.02096,0.02391,0.02063,0.0228,1019616895.8,1019616895.8
2018-10-13,0.02278,0.0242,0.02271,0.02385,0.02278,0.0242,0.02271,0.02385,427541072.7,427541072.7
2018-10-14,0.02387,0.02497,0.0235,0.02387,0.02387,0.02497,0.0235,0.02387,453914652.7,453914652.7
2018-10-15,0.02384,0.02806,0.02285,0.02575,0.02384,0.02806,0.02285,0.02575,1086815474.7,1086815474.7
2018-10-16,0.02575,0.02581,0.02451,0.02497,0.02575,0.02581,0.02451,0.02497,260347434.7,260347434.7
2018-10-17,0.02499,0.02525,0.02432,0.02496,0.02499,0.02525,0.02432,0.02496,490584911.7,490584911.7
2018-10-18,0.02498,0.02576,0.02437,0.02471,0.02498,0.02576,0.02437,0.02471,635014543.5,635014543.5
2018-10-19,0.02473,0.02492,0.02418,0.02437,0.02473,0.02492,0.02418,0.02437,405826592.4,405826592.4
2018-10-20,0.02435,0.02471,0.02421,0.02448,0.02435,0.02471,0.02421,0.02448,479015985.7,479015985.7
2018-10-21,0.02447,0.0251,0.02442,0.02458,0.02447,0.0251,0.02442,0.02458,502947856.6,502947856.6
2018-10-22,0.02457,0.0246,0.02388,0.02423,0.02457,0.0246,0.02388,0.02423,314882052.5,314882052.5
2018-10-23,0.02422,0.02423,0.02333,0.02372,0.02422,0.02423,0.02333,0.02372,213425443.8,213425443.8
2018-10-24,0.02371,0.02419,0.02367,0.02373,0.02371,0.02419,0.02367,0.02373,160747802.2,160747802.2
2018-10-25,0.02372,0.02378,0.02335,0.0234,0.02372,0.02378,0.02335,0.0234,142543603.9,142543603.9
2018-10-26,0.02339,0.02405,0.02322,0.02391,0.02339,0.02405,0.02322,0.02391,168010246.6,168010246.6
2018-10-27,0.02391,0.024,0.02335,0.02343,0.02391,0.024,0.02335,0.02343,134594620.9,134594620.9
2018-10-28,0.02345,0.02372,0.02337,0.02358,0.02345,0.02372,0.02337,0.02358,122559284.1,122559284.1
2018-10-29,0.02357,0.02369,0.02165,0.02221,0.02357,0.02369,0.02165,0.02221,264299436.4,264299436.4
