date,order,price,cost,commission,gross,net,comission
2020-07-14,BUY,316.4,89947.12337248014,,,,0.0
2020-07-14,SELL,304.64798,89947.12337248014,,,,0.0
2020-07-14,CLOSE,,,,-3340.8988394938383,-3340.8988394938383,
2020-07-14,BUY,307.96,87148.26719207621,,,,0.0
2020-07-15,SELL,308.316,87148.26719207621,,,,0.0
2020-07-15,CLOSE,,,,100.74289881925789,100.74289881925789,
2020-07-15,BUY,303.796,87080.99322351154,,,,0.0
2020-07-15,SELL,301.7,87080.99322351154,,,,0.0
2020-07-15,CLOSE,,,,-600.8037031313135,-600.8037031313135,
2020-07-16,BUY,300.798,86403.68306604873,,,,0.0
2020-07-16,SELL,297.2,86403.68306604873,,,,0.0
2020-07-16,CLOSE,,,,-1033.5190116677786,-1033.5190116677786,
2020-07-17,BUY,302.666,86088.54309034786,,,,0.0
2020-07-17,SELL,300.5813,86088.54309034786,,,,0.0
2020-07-17,CLOSE,,,,-592.9598494064348,-592.9598494064348,
2020-07-17,BUY,302.3124,85076.60371843119,,,,0.0
2020-07-17,SELL,300.662,85076.60371843119,,,,0.0
2020-07-17,CLOSE,,,,-464.4547387963671,-464.4547387963671,
2020-07-17,BUY,302.617,84669.9696484653,,,,0.0
2020-07-17,SELL,300.752,84669.9696484653,,,,0.0
2020-07-17,CLOSE,,,,-521.813028991724,-521.813028991724,
2020-07-17,BUY,301.3,84213.46538446913,,,,0.0
2020-07-20,SELL,298.16,84213.46538446913,,,,0.0
2020-07-20,CLOSE,,,,-877.6312024800263,-877.6312024800263,
2020-07-20,BUY,303.6,83512.3759005353,,,,0.0
2020-07-20,SELL,298.99,83512.3759005353,,,,0.0
2020-07-20,CLOSE,,,,-1268.0897658151148,-1268.0897658151148,
2020-07-20,BUY,305.2,82273.99418467046,,,,0.0
2020-07-21,SELL,328.08402,82273.99418467046,,,,0.0
2020-07-21,CLOSE,,,,6168.9375111464105,6168.9375111464105,
2020-07-22,BUY,318.998,87867.09778372357,,,,0.0
2020-07-22,SELL,313.3327,87867.09778372357,,,,0.0
2020-07-22,CLOSE,,,,-1560.4908779181353,-1560.4908779181353,
2020-07-22,BUY,317.61196,86412.73176268439,,,,0.0
2020-07-22,SELL,317.408,86412.73176268439,,,,0.0
2020-07-22,CLOSE,,,,-55.49142661478074,-55.49142661478074,
2020-07-22,BUY,317.6,86374.49276847464,,,,0.0
2020-07-22,SELL,317.344,86374.49276847464,,,,0.0
2020-07-22,CLOSE,,,,-69.62175739525182,-69.62175739525182,
2020-07-22,BUY,320.40066,86324.78620370459,,,,0.0
2020-07-23,SELL,332.6,86324.78620370459,,,,0.0
2020-07-23,CLOSE,,,,3286.839101162594,3286.839101162594,
2020-07-23,BUY,335.79,89405.435566805,,,,0.0
2020-07-23,SELL,323.61658,89405.435566805,,,,0.0
2020-07-23,CLOSE,,,,-3241.2219465667745,-3241.2219465667745,
2020-07-24,BUY,290.04388,86311.53851555412,,,,0.0
2020-07-24,SELL,284.558,86311.53851555412,,,,0.0
2020-07-24,CLOSE,,,,-1632.4934796476614,-1632.4934796476614,
2020-07-27,BUY,285.296,84955.46980281569,,,,0.0
2020-07-27,SELL,283.876,84955.46980281569,,,,0.0
2020-07-27,CLOSE,,,,-422.8477340025785,-422.8477340025785,
2020-07-27,BUY,287.8,84459.17824020615,,,,0.0
2020-07-28,SELL,302.0,84459.17824020615,,,,0.0
2020-07-28,CLOSE,,,,4167.200594200578,4167.200594200578,
2020-07-28,BUY,303.958,88194.01182586007,,,,0.0
2020-07-28,SELL,301.462,88194.01182586007,,,,0.0
2020-07-28,CLOSE,,,,-724.2193116067024,-724.2193116067024,
2020-07-29,BUY,299.274,87607.10926469967,,,,0.0
2020-07-29,SELL,299.476,87607.10926469967,,,,0.0
2020-07-29,CLOSE,,,,59.13188606918467,59.13188606918467,
2020-07-30,BUY,299.666,87608.75205709062,,,,0.0
2020-07-30,SELL,297.498,87608.75205709062,,,,0.0
2020-07-30,CLOSE,,,,-633.8249065952529,-633.8249065952529,
2020-07-30,BUY,299.8,87068.22337014145,,,,0.0
2020-07-31,SELL,298.864,87068.22337014145,,,,0.0
2020-07-31,CLOSE,,,,-271.83407963460803,-271.83407963460803,
2020-08-03,BUY,290.0,86884.69158496456,,,,0.0
2020-08-03,SELL,296.6,86884.69158496456,,,,0.0
2020-08-03,CLOSE,,,,1977.3757395198897,1977.3757395198897,
2020-08-04,BUY,297.03,88612.16068331739,,,,0.0
2020-08-04,SELL,296.7,88612.16068331739,,,,0.0
2020-08-04,CLOSE,,,,-98.44801207114881,-98.44801207114881,
2020-08-04,BUY,296.5,88454.94158802206,,,,0.0
2020-08-04,SELL,297.0,88454.94158802206,,,,0.0
2020-08-04,CLOSE,,,,149.165162880307,149.165162880307,
2020-08-04,BUY,297.0,88648.85629976644,,,,0.0
2020-08-04,SELL,293.81068,88648.85629976644,,,,0.0
2020-08-04,CLOSE,,,,-951.9514154005789,-951.9514154005789,
2020-08-04,BUY,296.8,87622.64114444732,,,,0.0
2020-08-05,SELL,295.56242,87622.64114444732,,,,0.0
2020-08-05,CLOSE,,,,-365.3639765079121,-365.3639765079121,
2020-08-05,BUY,297.475,87440.0511207574,,,,0.0
2020-08-05,SELL,296.868,87440.0511207574,,,,0.0
2020-08-05,CLOSE,,,,-178.42208935306215,-178.42208935306215,
2020-08-06,BUY,297.39998,87206.50735994676,,,,0.0
2020-08-06,SELL,298.2,87206.50735994676,,,,0.0
2020-08-06,CLOSE,,,,234.58962578982414,234.58962578982414,
2020-08-06,BUY,298.762,87502.69362715537,,,,0.0
2020-08-06,SELL,298.004,87502.69362715537,,,,0.0
2020-08-06,CLOSE,,,,-222.00628516806734,-222.00628516806734,
2020-08-07,BUY,299.8,87372.30463432093,,,,0.0
2020-08-07,SELL,296.6007,87372.30463432093,,,,0.0
2020-08-07,CLOSE,,,,-932.3889733708553,-932.3889733708553,
2020-08-10,BUY,291.4,86594.92360263203,,,,0.0
2020-08-10,SELL,288.798,86594.92360263203,,,,0.0
2020-08-10,CLOSE,,,,-773.2326397187592,-773.2326397187592,
2020-08-11,BUY,285.67,85799.98237585151,,,,0.0
2020-08-11,SELL,280.936,85799.98237585151,,,,0.0
2020-08-11,CLOSE,,,,-1421.8402932309457,-1421.8402932309457,
2020-08-11,BUY,283.135,84472.15238510541,,,,0.0
2020-08-11,SELL,280.591,84472.15238510541,,,,0.0
2020-08-11,CLOSE,,,,-758.9918437060297,-758.9918437060297,
2020-08-11,BUY,292.408,83753.19552201955,,,,0.0
2020-08-13,SELL,320.492,83753.19552201955,,,,0.0
2020-08-13,CLOSE,,,,8043.982185988061,8043.982185988061,
2020-08-13,BUY,326.79,91164.591447831,,,,0.0
2020-08-14,SELL,327.99998,91164.591447831,,,,0.0
2020-08-14,CLOSE,,,,337.54806560801774,337.54806560801774,
2020-08-14,BUY,331.058,91342.57374677266,,,,0.0
2020-08-14,SELL,329.7965,91342.57374677266,,,,0.0
2020-08-14,CLOSE,,,,-348.061840467697,-348.061840467697,
2020-08-14,BUY,330.148,91088.26776825733,,,,0.0
2020-08-18,SELL,373.45788,91088.26776825733,,,,0.0
2020-08-18,CLOSE,,,,11949.2529000663,11949.2529000663,
2020-08-18,BUY,382.223,101810.06631952859,,,,0.0
2020-08-18,SELL,377.1134,101810.06631952859,,,,0.0
2020-08-18,CLOSE,,,,-1361.0084031213803,-1361.0084031213803,
2020-08-18,BUY,378.196,100574.93705931843,,,,0.0
2020-08-18,SELL,378.243,100574.93705931843,,,,0.0
2020-08-18,CLOSE,,,,12.498868422153619,12.498868422153619,
2020-08-18,BUY,380.0459,100557.34425502652,,,,0.0
2020-08-18,SELL,377.876,100557.34425502652,,,,0.0
2020-08-18,CLOSE,,,,-574.1395481413854,-574.1395481413854,
2020-08-19,BUY,381.0,99965.3237325751,,,,0.0
2020-08-19,SELL,374.1,99965.3237325751,,,,0.0
2020-08-19,CLOSE,,,,-1810.3956266529287,-1810.3956266529287,
2020-08-19,BUY,378.0,98462.53822084152,,,,0.0
2020-08-19,SELL,377.2,98462.53822084152,,,,0.0
2020-08-19,CLOSE,,,,-208.38632427691624,-208.38632427691624,
2020-08-20,BUY,377.822,98222.95378181938,,,,0.0
2020-08-21,SELL,410.002,98222.95378181938,,,,0.0
2020-08-21,CLOSE,,,,8365.88301554422,8365.88301554422,
2020-08-24,BUY,423.0,106033.33498449673,,,,0.0
2020-08-24,SELL,400.58398,106033.33498449673,,,,0.0
2020-08-24,CLOSE,,,,-5619.019758106805,-5619.019758106805,
2020-08-25,BUY,399.882,100642.99577028587,,,,0.0
2020-08-25,SELL,394.018,100642.99577028587,,,,0.0
2020-08-25,CLOSE,,,,-1475.861697193071,-1475.861697193071,
2020-08-25,BUY,400.19012,99406.24397145073,,,,0.0
2020-08-27,SELL,428.2,99406.24397145073,,,,0.0
2020-08-27,CLOSE,,,,6957.585471852877,6957.585471852877,
2020-08-27,BUY,436.368,105748.27893350173,,,,0.0
2020-08-28,SELL,454.116,105748.27893350173,,,,0.0
2020-08-28,CLOSE,,,,4301.003864884197,4301.003864884197,
2020-08-31,BUY,452.1,109554.2345565157,,,,0.0
2020-08-31,SELL,454.1,109554.2345565157,,,,0.0
2020-08-31,CLOSE,,,,484.6460276775744,484.6460276775744,
2020-08-31,BUY,451.84,109878.63873062805,,,,0.0
2020-08-31,SELL,455.61,109878.63873062805,,,,0.0
2020-08-31,CLOSE,,,,916.7901646920858,916.7901646920858,
2020-08-31,BUY,457.8825,110808.84003014967,,,,0.0
2020-09-01,SELL,511.31,110808.84003014967,,,,0.0
2020-09-01,CLOSE,,,,12929.60377544637,12929.60377544637,
2020-09-02,BUY,489.99,122425.4396968147,,,,0.0
2020-09-02,SELL,482.25,122425.4396968147,,,,0.0
2020-09-02,CLOSE,,,,-1933.8617181031182,-1933.8617181031182,
2020-09-04,BUY,403.94,120819.06734797542,,,,0.0
2020-09-04,SELL,388.95,120819.06734797542,,,,0.0
2020-09-04,CLOSE,,,,-4483.531761019341,-4483.531761019341,
2020-09-04,BUY,403.41,116666.74416587222,,,,0.0
2020-09-04,SELL,387.335,116666.74416587222,,,,0.0
2020-09-04,CLOSE,,,,-4648.91279954984,-4648.91279954984,
2020-09-04,BUY,410.42,112408.00780776284,,,,0.0
2020-09-04,SELL,391.36,112408.00780776284,,,,0.0
2020-09-04,CLOSE,,,,-5220.253956473759,-5220.253956473759,
2020-09-09,BUY,347.73,107813.4409156598,,,,0.0
2020-09-09,SELL,348.47,107813.4409156598,,,,0.0
2020-09-09,CLOSE,,,,229.43647737494385,229.43647737494385,
2020-09-09,BUY,353.87,107970.42457923997,,,,0.0
2020-09-10,SELL,376.16,107970.42457923997,,,,0.0
2020-09-10,CLOSE,,,,6800.974267022526,6800.974267022526,
2020-09-10,BUY,377.01,114100.4301408237,,,,0.0
2020-09-11,SELL,371.42,114100.4301408237,,,,0.0
2020-09-11,CLOSE,,,,-1691.7890891148818,-1691.7890891148818,
2020-09-11,BUY,372.0,112608.09159589006,,,,0.0
2020-09-16,SELL,455.0,112608.09159589006,,,,0.0
2020-09-16,CLOSE,,,,25124.923662523855,25124.923662523855,
2020-09-16,BUY,455.74999999999994,135151.63907003202,,,,0.0
2020-09-16,SELL,439.11,135151.63907003202,,,,0.0
2020-09-16,CLOSE,,,,-4934.554633297474,-4934.554633297474,
2020-09-16,BUY,449.5542,130772.3060278453,,,,0.0
2020-09-16,SELL,444.451,130772.3060278453,,,,0.0
2020-09-16,CLOSE,,,,-1484.4867028743024,-1484.4867028743024,
2020-09-16,BUY,450.14,129490.63448932204,,,,0.0
2020-09-16,SELL,444.835,129490.63448932204,,,,0.0
2020-09-16,CLOSE,,,,-1526.0759229703078,-1526.0759229703078,
2020-09-17,BUY,434.42,128062.67870473777,,,,0.0
2020-09-17,SELL,422.1518,128062.67870473777,,,,0.0
2020-09-17,CLOSE,,,,-3616.5428729926534,-3616.5428729926534,
2020-09-17,BUY,426.58,124863.6891254368,,,,0.0
2020-09-18,SELL,434.8566,124863.6891254368,,,,0.0
2020-09-18,CLOSE,,,,2422.633056907483,2422.633056907483,
2020-09-18,BUY,441.175,126954.90629751877,,,,0.0
2020-09-18,SELL,439.76,126954.90629751877,,,,0.0
2020-09-18,CLOSE,,,,-407.1880600917814,-407.1880600917814,
2020-09-18,BUY,441.91,126623.13863800555,,,,0.0
2020-09-21,SELL,436.02,126623.13863800555,,,,0.0
2020-09-21,CLOSE,,,,-1687.6972383015955,-1687.6972383015955,
2020-09-21,BUY,448.9,125266.4590489161,,,,0.0
2020-09-21,SELL,430.865,125266.4590489161,,,,0.0
2020-09-21,CLOSE,,,,-5032.7034728162125,-5032.7034728162125,
2020-09-21,BUY,444.1,120554.8170911546,,,,0.0
2020-09-21,SELL,436.3784,120554.8170911546,,,,0.0
2020-09-21,CLOSE,,,,-2096.095644339253,-2096.095644339253,
2020-09-21,BUY,445.5543,118633.49276173771,,,,0.0
2020-09-21,SELL,429.3,118633.49276173771,,,,0.0
2020-09-21,CLOSE,,,,-4327.877390919834,-4327.877390919834,
2020-09-22,BUY,433.84,114776.27716709023,,,,0.0
2020-09-22,SELL,428.66,114776.27716709023,,,,0.0
2020-09-22,CLOSE,,,,-1370.4156272485748,-1370.4156272485748,
2020-09-22,BUY,430.968,113560.51535357875,,,,0.0
2020-09-22,SELL,424.6367,113560.51535357875,,,,0.0
2020-09-22,CLOSE,,,,-1668.3041220186021,-1668.3041220186021,
2020-09-22,BUY,432.48,112030.87293698371,,,,0.0
2020-09-22,SELL,422.75,112030.87293698371,,,,0.0
2020-09-22,CLOSE,,,,-2520.48740676298,-2520.48740676298,
2020-09-24,BUY,377.5112,109780.20531823524,,,,0.0
2020-09-25,SELL,386.5,109780.20531823524,,,,0.0
2020-09-25,CLOSE,,,,2613.941810374251,2613.941810374251,
2020-09-25,BUY,387.9001,110550.35115870323,,,,0.0
2020-09-28,SELL,417.8172,110550.35115870323,,,,0.0
2020-09-28,CLOSE,,,,8526.282696627408,8526.282696627408,
2020-09-28,BUY,421.5,119801.40060802695,,,,0.0
2020-09-28,SELL,419.39,119801.40060802695,,,,0.0
2020-09-28,CLOSE,,,,-599.7175688800438,-599.7175688800438,
2020-09-29,BUY,417.77,119388.8951507444,,,,0.0
2020-09-29,SELL,413.913,119388.8951507444,,,,0.0
2020-09-29,CLOSE,,,,-1102.2403920731927,-1102.2403920731927,
2020-09-29,BUY,417.24,118238.23007255612,,,,0.0
2020-09-29,SELL,419.07,118238.23007255612,,,,0.0
2020-09-29,CLOSE,,,,518.5887283883995,518.5887283883995,
2020-09-30,BUY,422.5,118782.61799473377,,,,0.0
